rating,review
good,3M is a large company with many opportunities across multiple business units. Benefits are very good and the pay is reasonable. Many employees have worked there a long time and advancement is somewhat limited because of this longevity.
bad,"management completely incompetent, the worst place i've ever worked. terrible hr department, vindictive and petty. the managers at that company are without a doubt the most narcicistic people i've ever met."
bad,"People lazy, will do anything to get out of work.Supervisor too sensitive not enough sense ability. Trainer looked lost too.sealey talked bad about jamlal,couldn’t understand other guy."
bad,"best work counts for nothing. After 22 years, trained my replacement in India, then was laid off with non-compete rules. Rehired as ""consultant"" at 1/3 the cost"
bad,Been with 3M for 12 years. Used to be a good place to work. Now all they care about is shareholders and cycle times. Safety and employees come last. I would look for a smaller company if searching. This company will leave you depressed  daily and missing your family. Poor management and supervision.
bad,"Working at the Brockville 502 3M plant felt like a prison sentence. "
bad,Working at 3M for the first 2 months was Challenging and stimulating to my brain Management  changed training new hires being a temp not making production Quota perfoming duties in the cell and not being properly compensated
bad,Management is untrustworthy.   Job security is low.  Stress is high.   Reviews process is subjective.   Morale is very low.   Vision is not communicated and changes often.
bad,"Almost feels like there is a group of evil people running the show from HR to management. Either it’s their way or you are out."
bad,"Expected to work 7 days a week and bring phones home daily.  Office hours are from 11:30-5 pm expected to answer phones from 9am-9pm, and only make commission on calls taken if an appointments set.  Other employees purposely set new employees up to fail by tampering with company phones and get away with it.  The hours and pay do not equal out."
bad,"They are not focused on what they have to do and how to do , which make difficult for the person who is working there . They hired people without planning."
bad,"Company does not explain the job profile properly. Gives you an actual job different from the one explained during interviews. The job given to me was completely different from the one explained at the time of joining. To crown it all, had a terrible micro managing boss who did not understand the business needs."
bad,"Ambiance de travail médiocre,manque de considération en vers les salarier, système de management très médiocre;Poste travail pas confortable"
bad,"If you want to look for a full -time direct hiring job, don't think you can get it through Volts - 3M agency. They promise to you many good things to get you in only. "
bad,Very bad management third party xpo logistics running very badly to 3m 3m know nothing what they doing never work there supervisor are very bad and manager is racist
bad,"I worked at 3M as a contractor for a year. They treat most of the contractors like absolute garbage. These are some of the things that went on:"
bad,Worked at 3M Loughborogh I didn’t enjoy working there at all. Most people have been working there for a long time and they will not accept new comers as they are a threat. Old employees bully you if you cannot take it you move on if you like sucking then you stay. Old school do not want to learn anything new as they are stuck in their way. Worst place to work. I would stay away from 3M Loughborogh. Majority of the staff are agency employed and the will not employ you direct which I find very weird.No No progression at3M
bad,"I would NEVER recommend this place to ANYONE , if you want to be mentally abused , play the snake and rat games and getting talked about behind your back and everything that is negative then go for it , the management is TERRIBLE , it’s VERY hard to get in contact with HR or anyone for that matter , the team leads are just the absolute worst , the coworkers are toxic and FAKE . Never again ."
bad,"To much favoritism. As a temporary worker I was made to go as fast as I could, be paid way less than their full-time people and told I never made my numbers. Yet they do nothing but talk and made their numbers.  Find it unlikely."
bad,"This company looks in the mirror and sees itself as a global leader in innovation and technology. They have some ideas that look great on paper but fall incredibly short in implementation. If you're a hard worker, expect 3M to take full advantage."
good,3M is a large company with many opportunities across multiple business units. Benefits are very good and the pay is reasonable. Many employees have worked there a long time and advancement is somewhat limited because of this longevity.
bad,"This company treats its employees like swine and just keeps rotating the old class out and the new class in. The care zero about your well being. Forced to drive in dangerous winters snow storms while management stays home, or you lose you job. Forced OT. The nasty examples can go on and on, but the point dont do this to yourself, this company cares noting about you only how hard they can work you until you break and then they fried you and new person in right there to jump in. Its a give give to them relationship"
bad,"Stay away, the pay is good but what you give up in your personal life is not worth it. Management is bullies, safety is just a word, no sense of reality from management."
bad,"Você demora séculos para subir mesmo com méritos e resultados e a política impera em todos os níveis. Não basta ser bom, tem de sobreviver. Eu não sobrevivi. Fui perseguido pelo diretor da área e pelo diretor de compliance conivente. Fiz uma denúncia ao departamento de ética da empresa nos EUA e os dois foram demitidos mas eu não fui readmitido."
bad,"I left because it’s a toxic environment. "
bad,"I was told the job would involve both Server + Desktop work.  It was sitting around supporting laptops, requiring approval from HQ for every thing.  The person I replaced told me that he would be a resource for me, and he never replied to my emails or phone calls for on-boarding me."
bad,This is the worst job I ever had. It didn't last 3 months. They didn't know what they want or what they're doing. I would refuse working for them ever again.
bad,"Poor work culture."
bad,"The worst management you will ever get from an employer. They try to terminate people once work slows down for that time of year. The hardest part of the job is the training, because you are punished for mistakes as if you carried a licence on the PIV already."
bad,shut the doors on employees. poorly ran dirty place to work for. management only wanted to get you in trouble nothing else. worse place I ever worked.
bad,"I have been waiting three months and after 2 day in  I they sacked me without any good reason. "
bad,"As far as management, to many chief and not enough Indians. to many politics, if it weren't for the money I would have never even considered working there."
bad,Managers yell at teams and use threats and coercion. My team finished their first assignment early.Our metrics made the client look bad when compared to full time engineers. Our code was of higher quality too. 3M seemed lost and embarrassed. They treat contractors like dogs
bad,"Worst place to have ever worked at. No communication. No training, just jump right in with both feet and sink or swim.  On call 24/7, 365 days a year."
bad,"Fast paced inviroment supposed to switch jobs every 2 hrs but that never happened for me i was the packer.then they would hire small framed women,they wouldent even switch with me cause they couldnt do the job i was doing all day."
bad,"Rotating shifts 3rd, 2nd, 1st, then back to 3rd again with an 8 hour turn around. There are straight shifts available if you have some time in, but to get a straight day shift you have to be a 3M dinosaur. 3/4 of all employees are from the same small town so friends and family get the good positions. If you're not from the area you will be kept from ever being from the area. High school atmosphere - gossip is horrendous. Back stabbing, butt kissing environment. Mundane work. You will make decent money there but will never have time to spend any of it because you're always stuck at 3M. Due to the mandatory overtime you will never see your family. Management are liars and will throw you under the bus to save their skin. They drug test at time of employment but once your hired it's a free for all. It seems like corporate is trying to make improvements, but 3M New Ulm has some pretty bad stuff going on."
bad,the company was doing very well until 3m took over. things changed and the kept out sourcing job to another plant in new York. probably one of the best jobs I ever had wish that it would've lasted
bad,"Very cut throat.  I think this had more to do with the contracting agency rather than 3M itself, but still a really negative experience all the way around"
bad,Racist people poor management seniority rules this place. They treat their temps like trash. Hope my reviews help people decide if they want to work here
bad,Management does not care about the people they employ. Poorly organized and a lot of bad moral in the whole workplace. Plant supervisors are clueless as to how the operation runs. This is why they cannot keep any good employees. Very high turnover and zero chance of advancement.
good,3M is a large company with many opportunities across multiple business units. Benefits are very good and the pay is reasonable. Many employees have worked there a long time and advancement is somewhat limited because of this longevity.
bad,"do not be a temp at this company. It is awful and I got fired for calling out an another employee for bullying. disgusting, they will never hire any of their temps unless you suck up"
bad,If your thinking about working here think again cause you will be stressed out and in pain all day. Never have time for your family. They work you to death here overtime all the time forced so you have to work it and working weekend all the time forced. When I worked there I never had time to do anything. The management is heartless people too they don't care about anything or anyone.
bad,"Wasnt the job for me so i didnt end ip staying here very long, boaring noone talks and very long hour too early on starting or too late finishing for my lofe style"
bad,Carga y descarga de camiones inventarios manejo de scaner por medio de Sista SAP devolución de materiales
bad,"Poor management, poor handling of issues. Those in leadership roles are inexperienced, no clue how to run a manufacturing department or facility. From HR to production supervisors, no one seems to have knowledge about or want to be involved in their actual position."
bad,This is a chemical plant that doesn't follow SOP. The procedures are not safe and the employees are not motivated because of lack of support from management. There is bare to minimum advancement opportunity. Low quality work environment NOT SAFE
bad,"I worked there a yr as a temp. Killed myself. Never got hired cld never speak to any 1 in hr. The employees r nothing but drama, adult themed & drugs.. Corp. Or management doesn't seem to care.. The Lines are always down. Supervisor come in messed up. Line operators are allowing bad product to go through just to make their numbers."
bad,"when i worked here it was 0 hour contracts so the managers would get rid of staff with a click of the fingers. no windows so wouldn't see daylight for 10 hours. shift pattern, so 1 week would be 6am-2pm and the next week 2pm-10pm. minimum wage. asked everyday to do overtime that day or at weekend and regardless if you have child custody or made arrangements they would tell you off for not agreeing to do overtime and as a result the manager would sack you! absolute rubbish company to work for, but usually they get round this because they work through an agency that do all their dirty work for them. and you earn a days holiday for every 2 weeks you work yet will get a warning for using the holiday if they didn't agree with the reason for holiday."
bad,"Worst place I ever worked; run by politician wanna bees. The managers run the joint with little knowledge of employee issues. Run from the top down. No accountability for managrrs and higher ups.  Micro managing for everyone else. Not a place to grow. "
bad,"A typical day at work starts from every month beginning to 15th."
bad,"Empresa excelente, que figura entra as 150 melhores empresas para se trabalhar."
bad,Motorista de caminhão na carga e descarga no ramo da construção cívil; aprendi ainda mais a lhe dar com clientes; gerência confusa; bons colegas de trabalho; a parte mais dificil era executar entregas longas e com cargas fora do peso bruto padrão; a prte mais agradável era almoçar com os colegas.
bad,"4 crew rotations mandatory weekends ,,living the job no free time no advancement ,,kid of hard to advance when you switch your schedule every week days afternoons,mmidnights,weekends hard to move foreward working these shifts ,,always tired no sleep schedule,dont eat right,no time to excersize,no time for vacation or weekend fun"
bad,"My employment was short lived with 3M. The company I worked for was bought out by 3M and due to lack of experience in the field our company was in, 3M could not successfully manage the team."
bad,"there were too many whiners, a lot of favoritism, they rehire alcoholics, i go into stores now and see all the ear plugs with short fills, didnt happen when i was there"
bad,"Melhor empresa que já conheci na minha vida, alto grau profissional da chefia, pessoas inteligentes e extremamente esforçadas. Aprendizado constante através de cursos e ajuda dos colegas de trabalho. Alto grau de ética."
bad,"Working as an “899 employee” for 3M in Valley, NE is an experience I will never forget.  3M intentionally takes advantage of and abuses federal law by using the law to hire only “temps” (who they don’t have to pay benefits to & can only work 899 hours before having to give benefits or terminate).  At that point, they terminate you and IMMEDIATELY hire another temp.  This is against the law.  They have made a cottage industry of this and are abusing the intent of the federal law.  They openly don’t care & actually have perm employees dedicated to nothing but cycling temps in and out on a constant basis.  Again, this type of behavior is not the intent of federal law."
bad,"très mauvaise entreprise"
good,3M is a large company with many opportunities across multiple business units. Benefits are very good and the pay is reasonable. Many employees have worked there a long time and advancement is somewhat limited because of this longevity.
bad,我回國第一個工作、上司人満親切、可是薪資太低、同事之間很融洽。3M會要求固定公司要進多少貨、其時當經銷商沒這麼容易、因為市面上都充満了3M的東西、根本没有競争力、除非價格很低以外、根本没有利潤。
bad,What I mean by buddy system is there’s no real way to advance you gotta get in there with the boss he has to like you before you advance I started 4 years ago and I been wondering and asking how to get to a level 3 maintenance tech and I’m saying I’m 20 years experienced and I hired in as a level 2 and I still am and my boss was retiring he secretly called his buddy’s in his office one at a time and leveled them up even guys that come to work there years after me and it’s not because of there performance because one or two of those guys are still lost and can’t weld
bad,The management treated me like I was 7 years old. Ignored my suggestions on things I did every day. Then came to me and said I had been making mistakes for 2 months but never showed them to me. Never gave me the days off I requested. None of the mid-level management seemed competent
bad,"Stressful & full of back stabbers. Can’t trust anyone. it doesn’t matter how hard you work for this company or how many nights and weekends you work, for them you are just a number which is very unfortunate to see in a company like this."
bad,They don’t care about their works well being it’s a health hazard and they do not follow protocol. If you get injured or sick on the job they just shrug you off.
bad,"3M is a good company with very bad management in the Gulf. The management and HR had absolutely no interest in the people or customers. "
bad,"People all over others peoples business. Bad supervisors with no people skills. HR always on superiors side. No life balance, upper management just cares about their own benefit."
