rating,review
bad,ABM is doing a lot of illegal business things. They don’t give no training just put you straight to work with chemicals & other objects. They are treating the employees horrible & are not paying the employees right or on time.
bad,"This company is so unprofessional, the workers you meet there are nice and funny. The management is garbage they y’all to you any kind of way. I wouldn’t recommend this job to anyone"
bad,I was short a day on every pay day  what made me quit is that one day they didn’t have a check for me at all and this was 2 days before Christmas  I’ll ask why the discrepancy and their replies was always the system
bad,Managers are horrid. Pay is low. Work is hard Only because of management. I didn't have ways to talk to people for help I needed. As a veteran or as a person.
bad,The time spent a ABM taught me to appreciate what is important and to not spend time with a company who does not match your values.  It was a difficult lesson.
bad,"They will mess around with your taxes lose your W4 and make you pay federal taxes. Force you to work 7 days a week over the holidays no days off. Always looked down at, mistreated and yelled at for any reason at all. Limited to no restroom breaks and if you need change it happens once per shift."
bad,This job was very unprofessional! I was there for 2 years and they never allowed me to take my vacations that I earned. They do not care about there employees. I would not recommend!
bad,"The company doesn't care about it's employees. Employees are treated badly and there is no opportunity to grow. The management is rude and only care about themselves. They are contractors for Dulles Airport and, they always cover themselves at the cost of their employees. I'm glad i left, and i recommend anyone to look somewhere else."
bad,"Horrible work enviorment, full of high school style drama, employees hardly work , and come in whenever it pleases them to, had one good supervisor the other one didn't work and caused drama, called me a communist and said he hit a woman, didn't have a vehicle to get around to do the duties of his job , its a workplace where hard work does NOT pay off but rather B.S. gets you to move up in the company , horribly unorganized do to horrible management and supervision , I was told I got a raise that NEVER showed up , was told it was already in the system and it wasn't, was screwed around for over 3 weeks about it coming and didn't get it , then was offered a supervisor position, when they couldn't even get me the promised raise, when the lazy do nothing master of B.S. supervisor was promoted to account manager, he has ZERO experience that would qualify him for a role like this, he was just out of high school, I left because of lies spun by management , lazy , low life, coworkers, and dishonesty of the entire company, horribly corrupt janitorial company , GET A JOB ELSEWHERE, YOU WILL THANK ME LATER"
bad,"Pay sucks, plant sucks, equipment sucks. Don’t do it. Better places to work out there. Insurance is outrageously expensive and isn’t good. So there..."
bad,"This job was the worst job I’ve ever had the workers there gave me a hard time even If I was cleaning/ working harder than anyone else. The managers would slack on the job and have us, the workers , do their parts for them."
bad,"Nothing was good, better off somewhere else!!!!!!! Was strictly stuck on cleaning the horrid bathroom(womens being the worst) and no matter how many times ive asked to rotate for a night, the word NO was usually yelled at me."
bad,I work for the DEA ABM at DFW airport and it doesn't total complete scam they tell you that you're going to be a security specialist but really you're just a janitor and they lied and indeed need to take their job offering off of the app because they are so disrespectful I only worked there for like 2 weeks that will set you up to get in trouble it is a complete drama-filled place and the leaders are racist
bad,"Great service  and  Great company.  Will work for them again. Some rude workers"
bad,"This company is a joke!  Management is horrible, morale is low, turn over is high and constant.  Unprofessional, no morals, backstabbing, ghetto people constantly being hired. No raise in over 4 years!!  Again, this company is a joke!  Don't waste your time!"
bad,It was a job. I hated smelling heavy industrial chemicals everyday working within a chemical plant. My first week I did nothing but puke walking through the plant while I was working and had to keep going.
bad,"hated it hated it hated it hated it hated it hated it. oh and also, i hated it. trashy people, trashy management, working 8 hours a night for 6 nights. horrible first job experience"
bad,This is a terrible company to work for. The pay is low and the expectations are high. The management doesn't care. There is special treatment for some employees. I would not reccomend this job.
bad,It’s ok it can be better i love what i do its the hours and being that im a single mom you will think they understand but they don’t so when i miss days it’s an issue and when I’m at work i get all my work done
bad,"The only thing I liked about the company was the convenient job location and hours. The pay was inadequate. Soon after I started working there, there was a huge turnover in the company. I was sexually harassed by the general manager. Thankfully human resources took immediate action and terminated his employment. But was unable to rise within the organization. I don't feel like my accomplishments were ever recognized and appreciated!"
bad,There's little to no room for advancement. Sister company (AirServ Corp) failed and lost multiple airport contracts. They were replaced by the airline's sister company after the loss of their main contract.
bad,It has been over three months since I got married and they still haven't changed my last name to my married name. Also they say full time is 30 hours a week but now they say that's part time.
bad,they full of bs and they do not Value their employees do not apply leave and don’t come back they dnt support they lie to help they self out of trouble
bad,I hate it dont work there the people are terrible and dont have great customer service and is very hateful to others and the hours sucks really bad worst job i ever had
bad,This Company does not have any market advantage or competitive advantage.  This Company has an ineffective management team.  The ownership is lost in thought and has no executable ideas.
