rating,review
bad,Aes gives people jobs but no insurance and no raises but aes no longer in business . aes management only cared about themselves not their employees no paid vacation but you have a job i wouldn't recommend no one 2 work at this place
bad,"Truly they don’t care get the job done n go home that’s your life when you work at AES no communication no interaction just cold slave work. Not to mention they barely have the necessary amount of materials to complete a job, which usually creates a problem with the bonuses. Never received a bonus they just lie and say it will come after it was promised. Also you are replaceable expendable they do not care about you."
bad,This company  is way way down the Management  is so racist  and lots of boss (feeling boss) they ganna rob you every time  they get a chance this place is for Spanish  people  only..
bad,"Segurança em primeiro Lugar, trabalho em equipe,Foco no serviço"
bad,horrible place to work with terrible management. there where more bosses in the office than techs in the field. pay was horrible time off was a joke sick time sucked. never ever work for that place again
bad,"The culture of the company among the part-time /temp staff is one of a backward daycare center with a section of the employees napping, chatting, surfing the internet. And another section who are chided for a minor infraction.  What section you fall into could change daily.  It's unclear who your manager(s) are and you are bound to hear from several, without any of the other knowing what you were told. Not worth it for the pay, which is abysmal."
bad,"Hired on through temp agencies at low hourly rate of pay. "
bad,my job was good and very learnable and management system was very good. and environment is very friendly anr its very nice. my job is enjoy evey time.
bad,Um trabalho até bom de se realizar porém com baixa remuneração e um serviço que ia além das nossas descrições de trabalho
bad,"no appreciation of employees, no oppertunity for advancement, they do not encourage or support continued education"
bad,"Good:"
bad,"A typical day at work is clocking in and getting on your station computer. I've learned that this job isn't easy on upon getting sales. It is a challenge when convincing customers. My  co-workers were nice, very funny. The hardest part is being asked to earn at lest 2 customers a day. Nothing enjoyable about this job."
bad,The environment of this organization is not suitable for my jobs and it is not growth for employee.
bad,Heavy work pressure and absence of Employee welfare. Treating employee as Slaves
bad,Culture is not condusive to learning or teamwork.  It's very backstabbing and competitive.   People working here are lifers and resent any new people coming in with more experience and education.
bad,If you like being treated like s**t no matter how hard you work. You are laid-off to rehire and you get hired back as a temp doing the same thing with a pay drop. That's just not right and it's illegal by state law but not going to get in to all of that.
bad,"No library. No established curriculum. Another warehouse for teens during the day. Very little, if any, remedial support for HS students. The mgmt. had nerve to rate teachers as ineffective when in fact the school itself was ineffective. Just another Detroit charter school that's only operating for profit. Students were quite unruly."
bad,The work is not planned out even with a daily shipping sheet provided by thier Corp office. Plant foreman is very rude and has no people skills. The Plant Manager should be the Foreman. They never wanted anyone to know what was going on and tried very hard keeping people in the dark. The foreman stood over the employees while they answered questions about management in a survey. The work they ask you to do is not comparible to the wage they pay.
bad,this job is the worst i worked here for 2 1/2 years foremans are racist.  the people in the office are boneheads and everyone in the field is out for themselves. Dont do it
