rating,review
bad,"I hated having to follow the same script every day, when I knew what the answer was, it was boring. "
bad,"It was a great place to work while the call center was open.  Great employee retention and work environment.  I would go back in a minute if they ever opened it again,"
bad,"AOL was a great company to work for, until people left dial up for broadband in droves. AOL really tried to make broadband available but, the DSL and Cable companies would not share the pipeline. They were sneaky about closing us down."
bad,There is no opportunity for advancement only if you know somebody important in the company. No rules for dress code so environment became very distracting.
bad,"BPO 1st company."
bad,You can be doing your work exactly how they asked you to do so but if they change their minds on how to do it one day then they don’t need you and fire you.
bad,"The company policies do not reflect any interest in genuinely serving its customers.  The company will do anything to retain a customer including lying to them, but never actually providing good service.  There were banners and posters everywhere promoting the views and quotes of the CEO.  There were pep rallies.  In all it felt like brain washing such as one would expect in a cult.  The employees dedicated to retaining customers were well paid, all they had to do was lie enough to the customer to keep them from cancelling their service.  The technical support technicians were poorly paid and discouraged from actually taking sufficient time to resolve customer's issues.  The tech's who were viewed as the best performers were ones who had almost no technical knowledge but followed scripts and got customers off the phone the most quickly by any means necessary.  Some of the management would escalate calls from being a customer with minor problem to a level of hostility on both ends that was shocking to say the least."
bad,How would you like customers yelling at you every day while your supervisor laughs?!
bad,"AOL closed its US based call centers to only keep its foreign based call centers to save overall money. Many customers constantly complained about the call center employees that did not speak English clearly. AOL bases its decisions on not how well a person does, but how well they meet their statistical results of the calls taken in a given day."
bad,"Too much politics - extremely poor leadership."
bad,"Extremely disorganized and poorly managed company. Consistently reprimanded due to serious lack of communication. The pay is fantastic, but the office culture and the way you feel at the end of what can be a VERY long day (I once worked 6 a.m - 9 p.m) is just not worth it."
bad,The amount of overtime and perks you get for working for this company was the best. The hardest part of the job was they did care about fixing the customer issue but the numbers of calls I take in a hour. Maybe that is why they are no longer relevant.
bad,Worked at this job a long time ago and cannot recall to much about it to write this critique.
bad,"Faults are too numerous for the space allowed, but here goes:"
bad,"When I was first hired, they told me there's tons of room to advance and that there's lots of creative freedom. Neither are true. They don't pay well, they know you're expendable, and they're not at all organized. I've completely stopped putting effort into my work with this company because there's no reward or motivation."
bad,"No job security, they lied to customers  and departments close down every week."
bad,i don't remember much it was along time ago . I used to take incoming calls for aol tech support i would basically enter info into computer and it would give me trouble shooting techniques
bad,Manager not open nor friendly. Very stand-offish. Focused on the work on the managers plate and not worried about helping employees to get information or help. Did not care for the consultants on the team.
bad,"Take calls."
bad,"Politics, bad management, not so good pay."
bad,"AOL was losing 10,000 customers a month.  We were contracted to help retain customers and build relationships.  I would not recommend working for this company if it is still around."
bad,"I was a sales rep working in an office in Gainesville, FL at the the time.  We sold magazines or renewed subscriptions to a targeted clientele.  These magazines ranged from Sports Illustrated, TIME and cook books.  The more you sold or the more renewals you got.  The more bonuses you hit.  It felt like a NYSE in their.  Just loud and annoying.  It was easy money for a college student at the time."
bad,"A typical work day for me started in the implementation of integrated marketing acquisition and retention plans. "
bad,this was my first call center experience.  Taking inbound retention calls for a Canadian ISP
bad,Too stressful.  Most people didn't last longer than six months. Unfair metrics impossible to achieve without cheating.  Business practices seemed a bit sketchy at times.
bad,"At that time, the company was a bit of a mess.  They were trying to manage the west coast resources.  It was a bit of  a struggle to incorporate with headquarters.  It didn't work out."
bad,AOL has some of the best minds in the business focused on delivering relevant content to it's mass audience.  Finding the right part of the business for you can be a challenge.
bad,"AOL is a great place to work if you love cliques and gossiping amongst teams. If you don't fit in with your coworkers be prepared to be casted as an outsider."
bad,"preferred time warner before aol bought them out. time warner was about the customer, aol was about the gadgets"
bad,Operating within this company structure was challenging. Teams competed for agendas and individuals competed for recognition and promotions. The mission was not clear but the work was fun.
bad,I worked for AOL during a positive yet challenging transition period during which it became clear the company had lost its focus. Since then it has been merged into Verizon.
bad,"Grosse journée dans ce grand domaine. Beaucoup d'enfants à gérer, et beaucoup d'animateurs pour cette structure. "
bad,"I left a stable job to work with AOL because they were hot, had great people and a great culture.  Two months later I was told my position was eliminated.  Thanks for hiring me to begin with..."
bad,"Contituous reorganizations, extended work hours, great cooworkers and team work however,"
bad,Everything you feared was true but worse. An ad agency masquerading as a product company.
bad,"I was a HIgh Speed Retention Specialist at AOL and was one of the top 50 in the world.  In it's time, AOL was a great thing to have, however, the company for the most part is now gone, no longer in Tucson. Other companies such as COX, Comcast, etc... offered a better High Speed Product."
good,"Great people to be with targets set can be a little ambitious "
good,Not one of my favorite employers. Hard-working low-level employees but top level managers are disconnected with staff.
good,AOL (now part of Oath) has many products in their profile.  Oath is a fast paced environment trying to bring the best user experience to their customers.
good,AOL was at it's heyday the amazing place to work however I came in at a time of the slow death spiral. They have a chance to stay afloat but it is not going to be easy.
good,My time at AOL is not complete. Not much was going on. Most of the day was  talking on the phone about internet accounts and billing. Most days was short because of lack of work
good,"I worked there during the dot com boom.  "
good,Culture was formal and stuffy.  Executive HR Leadership was way too controlling.  Micromanagement comes to mind. Great benefits and great prices.  Salary was very low.
good,Be prepared to fight for your job. Unhappy co-workers. New hires on-boarding daily. Valuable employees leave for better opportunities. Company is relocating in the near future.
good,The was ok - very dynamic and the direction changes quite a bit.   Hard to make progress.
good,"Very big company which makes it hard to advance in some positions. Best part of the job is the people, which makes being at work enjoyable. The hardest part of the job was not getting more resources when needed, even when over performing."
good,AOL has a culture of blame. They have lots of meeting to point out failures. Layoffs are alive and well at this company. Turn over is constant. I would not work there again.
good,Focus of company at this time is to cut cost by whatever means necessary.  There is little to no room for advancement even when someone at a higher level leaves.  Normally if someone leaves at a higher level their role will either get absorbed by another team or they will be replaced by a lower level employee.  Expectations are very high and the hours are very long.  Management - it depends on who your work and would recommend you interview both your supervisor and peers.
good,"- 12 hour work days"
good,"I have been employed on internship basis within a Goviral for 3 months. It was during Christmas period when the company was busy and needed an extra help with no possibility to extend the contract. "
good,"mise en place du service ,service des repas aux enfants,plonge et nettoyage du réfectoire!"
good,"AOL als Arbeitgeber war klasse, leider wurden wir 4 x verkauft und somit ist die Situation nicht mehr angenehm."
good,Accent mis sur l'autonomie et la prise de décision
good,AOL employees always treated Ricoh staff as family. Everyone was always happy and helpful.The AOL employee culture was my favorite part of the job. AOL allows their employees to have a free spirit and be themselves.
good,"Job was ok, but too much pressure to send callers to third party vendors to try to sell them products.  More emphasis was on this than on actual customer service."
good,"AOL is a interesting place to work. In my organization, people are more technical including managers.  We used to have a lot of learning opportunities and fun activities.   But it is very hard, close to zero to advance career."
good,I worked as Tech Support on the phones.  I assisted customers in repairing their software to be able to utilize the internet.  I enjoyed helping the customers very much and gave excellent customer service each and every call.
good,I loved helping customers but did not like all the stress that was placed on us. I do however feel it gave me the opportunity to learn many new skills.
good,Might have been a good company before but was already on a downslide when I worked there in 2005
good,"Great culture and people, but management runs the ISO team like a chop-shop. The product is way too over-priced and under-performing for small businesses."
good,"Iam too fast and concentrate much on Accuracy as well. Interested to meet new people, thus mingles with them easily. Grasp the situation very fast"
