rating,review
good,I get to work on a variety of greenfield projects where I can pick the technologies I use. I've been able to get experience with a variety of cutting-edge tech which has been enjoyable. The pay is great and the expectation to deliver is low so it's a rather great gig. The problem is there's no consistent direction and quite a few of the projects I've worked on have gone nowhere and not because the project failed but because whoever asked for it no longer wanted it. It's hard watching all that work be laid aside time and time again.
good,"at At&T you can work on the latest in industry,spend on projects that others are hesitant to take initiatives  ,ATT research help improve industry standards.Work place culture is really awesome for me I love here,Hardest part of the job is when you don,t have a job to do...means transition time between one project to another."
good,AT&T was good to me and allowed me to advance into management after proving myself as an associate.  Training and Tuition is available and they have steadily improved over the years.  The most enjoyable part of the job is seeing your ideas being put into place and making a big difference in the workflow and bottom line.  Dealing with absenteeism was the hardest part of the job since there are at times many different functions that need addressed on a daily basis in the production environment.  The workplace culture has steadily improved as well with more employee appreciation and teamwork being recognized.
good,"Es una excelente empresa el cual puedes trabajar con un muy buen ambiente laboral, es agradable estar en esta empresa por que no solo somos empleados, tambien somos personas importartantes"
good,I enjoy working for AT&T and the benefits & discounts can not be beat.  It's a great ethical company to work for.  Job security is the biggest downfall.  We have been through lay offs 4 times this year.
good,"Buena empresa de trabajo, con buenos salarios y con oportunidades de crecimiento."
good,"fun company to work for, if had the opportunity would work for them again every in location work as a team as well as competed against as well pay was great but much better if you made commission."
good,"Absolutely loved my experience working at AT&T, excellent benefits and awesome team of great people to be around.   Have to have a quick adapting attitude, and be prepared to experience a lot of on site training to improve your job performance"
good,"Over-all after 28 years I can honestly say AT&T was an awesome Company to work for.  The Departments and Contractors I worked with were the BEST...... There were the ever-present challenges of putting in many hours per Project to achieve a successful outcome, and time away from Home, but in the end it paid off with the development of rapport with Customers that made them want to  continue their relationship with AT&T.It was nice to know  that I helped create that outcome."
good,"Until there was an unexplained change in policy regarding co-location, AT&T was a great place to have spend almost all of my career! if you do get an opportunity, do grab a job here. The only reasons for me to leave would be to try and advance in career."
good,"Un día de trabajo Típico era revisar productividad de puntos de Venta  de los diferentes canales (Retail, Venta Directa, Canal Alterno, CAP& CAES), buscar estrategias según ubicación para poder incrementar ventas y posicionar a la Compañía como un operador confiable de Comunicación, al tener varios canales de Venta aprendes a optimizar las estrategias según  canal, aprendes a trabajar bajo objetivos y lograrlos, ya que se establecen metas el logro de las mismas nos permite obtener un mayor ingreso, por parte de la dirección y Gerencia se conto con el apoyo necesario para el logro de los resultados, una comunicación personal y acertada."
good,"Very full day, doing the same job but the job is different every time.  Every ones homes are different and have to figure out to get the service installed in their homes.  In many different living situations per customer. Trained to climb telephone poles and well as ladder training."
good,"I enjoyed my career at at&t.  I worked there for 34 years in many different capacities.  I loved the people and the culture.  I feel  there is a bit too much company bueracracy, but overall I loved the adventure."
good,"At&T has amazing healthcare and benefits packages, in addition to an open and fun work environment. No complaints about the caliber of employees; however, the company is growing rapidly and experiencing it's own growing pains. You MUST be comfortable with EVER changing strategy and goals, and slow career growth"
good,Good Company with Good Pay. I would recommend working here. It is a fast paced and ever changing company with loads of opportunity if you are willing to relocate.
good,"You need to be very competitive to be successful at ATT.  You also need to be prepaired to join the IBEW union. There are a variety of shifts, but bids are strictly tenure based."
good,"AT&T is an excellent company with opportunities for career advancement at every level. The benefits package, pay, and paid time off are strong. Most of the leaders I dealt with are good people, but with any company, there are a few I would rather not work with."
good,"This was not an hourly paid position but a commission and an overall base pay agreement met with Organization and Standards!  "
good,"Great place to work with great benefits. This is a very stable company that has been around since the dawn of the telephone. However, because it is so stable, do not expect a lot of upward mobility."
good,"I worked in the new 20/20 work environment, which allowed continuous networking and collaboration.  Balanced work life and home life was high priority."
good,AT&T is an amazing place to work.  The culture of perpetual learning and personal advancement is second to none.  There is always work to do and plenty of horizontal movement available.
good,"AT&T is a great company to work for, they have a wonderful diversity and inclusion policy. They strictly adhere to this policy and are supporters of each individuals uniqueness"
good,I overall enjoyed working for the company I really do not have any complaints. although the advancement process I did not agree with other than that it was truly a pleasure
good,The work pace as a technician with AT&T is fast pace but as long as you know your craft you can work jobs to your advantage and tackle task or issues fairly quickly.
good,"nice enviroment, good managers, very competitive "
good,AT&T offers great benefits and comfortable work surroundings.  The only problem is lay-offs with the probability to return to current or a different position. The testing for a position may be hard to some.
good,"Lots of fun, Great people. Poor compensation. Have to go into alot of smelly houses, customers with terrible attitudes. People are fun to work with and you get to work at you home pace."
good,"At&t was a great career and provided great compensation and benefits.  After the divestiture, it was even better.  At that time is was Southwestern Bell.  When it went back to being At&t global, that is when the benefits started being cut, and the senior employees were being replaced by minimum wage workers"
good,"The job as a technical support specialist can be stressful, as people are relying on your expertise for communication. When you are able to resolve the problems, its very satisfactory."
good,This job keeps you on your toes. The customers are interesting and different. Situations can change the environment quickly. The meetings are intense and you must be above reproach in carrying out your duties.
good,"Employees have to get accustom to quick changes in processes and demands, very competitive with demanding hours and not for people who get offended easily. Quick paced.."
good,"A typical day at work with the union employees was fun, I learned and was trained in almost everything that dealt with sales and culture ongoing, the management team that reported to me was the best work family I could ask for, the culture within the office was a work in progress but we supported each other, the hardest part of the job were the goals that were changed all the time right in the middle of a month, and the most enjoyable part of the job was hands down the people in the call center."
good,"AT&T has great benefits and work life balance; however, since the DirecTV merger there has been continual layoffs leading to a lack of job security."
good,Good career job but in a disappearing industry...will have to climb poles and go in customer residences..ATT technical school is one of the best around..
good,"This place is the pits. You start out making barely minimum wage. You are given a sales goal and if you do not reach the goal you do not get any commission. You are placed in a tiny store with several other employees where customers rarely appear, so when they come in you have to basically rush to them to get any kind of commission. The management took it personally when you asked for time off and they were happy to promise you whatever you wanted to hire you only to pull the rug from under you when you reminded them of their promises. Have a personal life? Kiss it goodbye."
good,"a day at work consist of loading and stocking work provided vehicle  reading orders and facilities.  Understanding cable layouts and facilities underground.  grounding and termination of telephone wire. installing telephone equipment  a/v equipment, fiber splicing, coax splicing, termination of cat3 catv cat6. processing data information. surveying work site for efficient installations.  learned how to assemble and install satellites. how to effectively read and comprehend faults on telephone lines. how to splice fiber optic cable. the use of optical network termination devices. installation and trouble shooting of battery operated telephone lines. pole climbing various heights"
good,The company was a great place to work. You had unlimited opportunities to do something different everyday. The employees there are great and make each day fun to come to work.
good,"Create tickets for customers"
good,"As a 27-year career professional with AT&T, this company provided me with an optimum experience in providing quality of life for me and my family.  I would recommend this company for others."
good,Would love to go back and work for At&t. Very competitive pay and they care about their employees.  Always room for growth and they have a great benefits package including a 401K where they match dollar for dollar.
good,I love working for this company it was the best job i have had so far. the reason im not working with them now is that i thought i was going to move and it didn't work out and at the same time the company was changing managers so i would have to interview over again so i didn't go back.but this is a wonderful company to work for.
good,att has good benefits but strict guidelines about answering phones. its like a grading system. the pay was ok but I believe its much better now. its was almost ten years ago since I worked there
good,"In the early 2000s the pay and compensation bonuses were amazing. I made a ton of money had great friends and enjoyed the people I worked with, Once AT&T completely took over the BellSouth Company the culture changed to what it is now, which is all about sales and not what the customer needs"
good,Proactive and reactive trouble shooting of Fortune 500 company network systems.  Attend meetings with companies to discuss system support coverage and installations.
good,AT&T was a good place to work.  It offered a challenge but also had room for future growth and career advancement.  I enjoyed working for AT&T.  Our management and leadership was awesome.
good,would clock in review the sales for the day take inbound calls with customers that need help with payment and other things that they might need help with
good,"Work independently to provide administrative support for two Directors and twelve Product Managers for the Wireless Solution Department. Schedule and maintain calendars and keep them abreast of any changes occur.  Type letters, memos, and correspondence."
good,"Have enriching experience working with telecom giant. Good software development processes. Highly competitive team, with continuous cycle of releases and production support work."
good,Great place to work with a full benefits package. Fast paced and things change all the time.  Excellent co-worker and management team where I'm located.
good,Indeed a great place to work. Wages were great as well as the people I interacted with on a daily basis. My manager was superb and was always willing to lend a hand and his expertise.
good,Gave customer service with people who had an account with direct TV or wanted direct TV. I helped them manage their account if they wanted to make a change to their account. I followed procedures to manage their accounts accurately and performed my duties to satisfy the customer’s needs.
good,"What you will do, depending on location, is completely different."
good,"Great company to work for. Willing to work as a team and get things done in a timely matter. Also, have to have great customer service skills because you will be dealing with a high volume of customers."
good,Es un gran lugar para trabajar ya que es una empresa multinacional y cuenta con mucho prestigio.Brinda la posibilidad de conocer mercado en ventas de forma directa y establecer nuevas estrategias comerciales debido a la complejidad del producto.
good,"typical day, get ready in the office, get instructions of area to cover. star day around 1pm and keep going till 8pm. knock on doors and sale products to residential areas."
good,"Good training Great Pay, learned a lot.  I only left due to health issues.  Management up top are just bean counters.  Employees are expendable but union protects them."
good,"I learned many different computer programs used in the analysis of cable replacement plus Excel & Microsoft Word.  I was in the Rehab Analysis Organization.  Management and union employees worked well together, mutual respect for each others work and ethics.  The hardest part of my job was trying to determine exactly where the technicians in the field were requesting cable replacement when they didn't prove all the information needed to locate it on a map.  That was also my most enjoyable part of my job, it was like trying to solve a mystery with only bare minimal information."
good,This is a great working environment. There are a lot of nice folks here. They are willing to collaborate and a great team spirit exists here. They got a good work culture.
good,"Good company. Big company, good benefits. Good pay. You can expect to meet talented people and compete with them. Connection made in this company are tremendous. Top company."
good,Overall I would say ATT was a great company. I was part of a company restructuring or I would still be employed with this organization. I was with this company for six years.
good,"AT&T has a good work life balance, great coworkers and strong management. There are plenty of opportunities for advancement for those who put forth the effort."
good,Excellent company to grow with. Commission plan for retail associate is by far the best structure for a salesperson that i have experienced. Plenty of opportunity to grow and advance in the company
good,"AT&T leadership has vision.  The message from the top waterfalls down through all levels and is reinforced regularly."
good,"It's a great place to work, but it can be difficult to meet numbers at times, however, if you have a great leadership team you won't be discouraged and will succeed.  You just have to be receptive to feedback and coaching."
good,"As a Data Network Account Executive I was able to advance my technical sales skills."
good,"Good Place to work"
good,"Within the telecommunications world you have to be ready for change and AT&T is consistent with change. The environment is one of work and fun combined, but can be tedious with schedules and flexibility. It is a full time position, requires the ability to research and exert patience with customers and management alike. The hardest part of the job is maintaining a positive attitude while being in a difficult situation. The most enjoyable part of the job is the people around you and the family vibe."
good,"A great company, their were many opportunity for advancement, great benefits for the time I work there, but as many company's benefits, and opportunities has change, but overall still a great company to work for."
good,The position is about delivering results in the agent channel. The purpose of the visits are to help on sales support side and really help drive the growth in the channel.
good,"I worked in several different departments over the years,from the Repair Dept, to Credit and Collections and ending my last 12 years in Special Services Dispatch Center, all which included talking to customers and or inter-company employees,handling trouble tickets and service orders that were distributed in a timely manner for the installer or repair technicians to be able to complete their jobs to customer satisfaction. We also had continuous on the job training for any updates in computer functions or job functions. I especially enjoyed the rapport I had with co workers and the field technicians,managers and other inter-company employees, as we all  had to work together to make sure the customers were happy and service was working properly. I learned the importance of teamwork and being able to do a job I wasn't sure I could handle. The hardest part was mostly being overloaded with work at times. We also enjoyed office parties to celebrate birthdays and promoting company products. Overall, I enjoyed my career."
good,Awesome work culture. Lots of room to grow and advance your career.  Management and leadership is great at communication and setting expectations to employees.
good,Great place to work people were great looked forward to going to work every day learned a lot of information  made great friends.would definitely go back at any time I did very well there and earned a great deal of income
good,"I love AT&T and I would continue to work for them, but to advance it requires me moving to undesired location. AT&T had a great remote worker policy but as the company changes, so do their needs."
good,"Initially it was bit challenging to me but slowly I picked up the things and given the deliverable on time and learnt lot of work."
good,"Start the day off by getting job assignments for the day. Verify you have the proper equipment loaded on your van."
good,This is a good job. You get to work outside and see some beautiful homes. You can't be afraid of heights or small spaces. Technology is always changing and this is challenging. The more work you can complete the more money you can make.
good,I enjoyed my time at AT&t met a lot of good people co workers as well as customers. I can actually say it felt like I had a second family when I worked there.
good,easy going and a great place to see balance in. hardest part about this is not getting to talk to customers or getting a job to land on you after running your main routes. In this line of work you learn of how to be a big team player instead of being just a 1 man crew.  the most enjoyable part of this job is you get to communicate with every one and customers and being able to help them to get what they are looking for and getting the job done to how they like and wanted to be done.
good,A  great company to work for without needing a college degree. Great training to successfully do your job. Better insurance then comparable companys and good amount of vacation time. Work inviroment is good. Being a installer/repairer you work alone most of the time but when help is readly available needed. Management does its best to give adequate training and support to acomplish goals. The best part of the job was being to provide the customer great service installing new service or repairing existing. For me the hardest part of the job was not beining able to resolve issues due to the sorce of the problem.
good,"Eight hour workdays, fielding inbound calls for technical support and billing questions. Working in a team environment. Learn how to make use of company based tools and tools for Apple iOS support."
good,great place to work current manager is outstanding skill building in multitasking with latest technology and technical skills improve when employed here
good,This is one of the best jobs. The people and work environment are all positive and courteous. The best thing that you can make about the job is that you can make as much money as you can
good,Una empresa con una excelente mentalidad y dirección para los empleados como para los clientes
good,At&T works with all employees and the work life was very balanced and real. Advancement is based on your experience which is great because it is not solely based on your relationships with management.
good,"Great company overall"
good,"Good company with good training, good fellow employees, being a large company sometimes get lost in the massiveness that is AT&T"
good,"at&t was a great company to work for. Sales was a primary focus, but customer service was the main function. Great pay, and awesome employee discounts!"
good,"Joined in February. Had fun throughout my tenure. Work is challenging and hectic. Though the process is easy and eventually you will grasp the basics. Will have to be patient. Management is average. Growth, is what I am disappointed in. Barely any growth, no matter how loyal you are to the company."
good,Provided good service to customers and took good care of their employees.  Was a good employer who supported the communities they provided service in.  Good corporate citizen.
good,"all companies have their own benefits and issues, so in AT7T is the same, the biggest this is happened recently is job security is not good in AT&T, and it makes employees nervous"
good,"Great job, loved working with the company wish I may be able to continue working with the company. Customer service is a key is Central School to have one working with this company."
good,Great Place to work; compensation is comparable to what I am worth; job security and fear of being moved is always a factor; great benefits and variable management depending on location
good,I worked with fun people and we had a blast. I learned something new everyday. It paid well as I was just 19 yrs old. I'm not a sales person so that's why it didn't last long for me.
good,"Great place to work, nice atmosphere, transfers and ghost calls, system issue shouldn't count against us. The management team is great."
good,"AT&T was a fast paced company challenging performance on a daily basis. Through these challenges, I was able to seize opportunities to move up in the company and learn new aspects of the business as well as support the diversity of knowledge for myself and other employees."
good,"un empresa, que esta dando un gran aporte al personal, ambiente de trabajo agradable, pero en algunas ocasiones los puesto alto tardaban en darte soluciones, pero si respondía con la mejor disposición, oportunidad de crecimiento laboral y apoyo con becas, certificaciones por su propia universidad"
