rating,review
bad,One of the worst companies I have ever worked for. They offer no raises or explanation to raises. District managers move corrupt general managers around instead of firing them and holding them accountable. Work load is ridiculous to pay scale. Bottom line It's a part time type of work and should be treated as such
bad,Took all the black people out of position and replaced them with white people. Also Hispanic was demoted. Will not compensate you for temporary replacement
bad,"No one can manage this store for more than two days, it's only here to compete with the other automotive retail stores, not to actually make a profit."
bad,Dont waste your time.  Management is a joke and if you want to be a stockperson then just run.  I have another full time job and dont have time for the bs
bad,"Close coworkers are great people everyone else seems to have something against you and are not willing to be team players. Management only cares about numbers and only complains when they talk to you, never give even a compliment when you do good work."
bad,"No valoran a los trabajadores, despue de 15 año de trabajo en esa compañía y de ser una buena trabajadora en mi puesto de trabajo no se tocaron el pecho para despedirme, para mo seguir pagando los beneficio y no fue solo a mi"
bad,"Advance is terrible.  I was brought in as a General manager.  They offered me half what I made managing a store with another company.  I accepted, hoping that my love for cars and customers would outweigh the low pay.  It did, but the job was awful.  Long hours and impossible goals mixed with pay secrecy and deceptive practices in profit and inventory.  "
bad,"Not a good place to work management poor lack of ethics no empathy no working equipment at times poor lighting dusty cold "
bad,"While working at World-Pac I discovered, this company is a felony friendly place to work for,  Like many companies out this own get incentives for hiring convicts.  If you are undocumented they would use fear and intimidation tactics. I don't trust middle to upper management,  very incompetent there's no leadership this company would hiring just about anybody.  There's a lot of favoritism, nepotism, and cronyism that goes in this company"
bad,The company's focus is on profit over all instead of customer service or welfare and fair pay of employees. The upper management has no idea what the customers want or what employees need. And none of the upper management recognizes talented car people who are the ones customers need.
bad,"This company is not stable. I am surprised it is still in business. The pay is low and there is no room for advancement. They preach ""speak up"" if you do you are putting a target on your back."
bad,They move you up but never raise ur rate always putting you down and are always afraid of some one else trying to take there job make you do why to much for such lil pay
bad,"A typical day at work was very stressful."
bad,they promised me everything never came though with nothing kept saying a raise will happen never did tried to change stores the manager wouldn't let anyone try to advance
bad,"Worst place to work. They treat you awful. Mangers and the company as a whole don't care about you. To them you are replaceable. Your supposed to get off at 530. But they don't tell you what time your getting off. You never know what time your getting off. After 13hrs of work and they tell you, you can't leve. If u do it's a write up."
bad,One of the most greedy companies I have ever worked for they only care about high-pressure sales to customers that are trying to just fix their car with badgering them about buying additional useless items constantly threaten employees with job performance issues if they forget to punch in or out for can’t make their daily sales goal even if the weather is bad and there aren’t any customers.  Constantly restructure bonus plans so that it favors them and it is unattainable for managers and constantly change speed perks program to benefit themselves and hurt the customer
bad,Just not good it was a very un attractive job and it payed nothing for the hours and amount of work you would do......................................
bad,Lots of favoritism when managers do something wrong it's swept under the rug like it never happened very poor management no room for advancement and dont bother to report anything to HR they don't care either
bad,Wow is all I can say. They are a joke. They do not want people to move up in the company. Asking off of work is like pull g teeth. Everyone judges you no matter what. They rather judge someone instead of helping them. Management sucks but time..
bad,They are a bad company and recuse their employees medical help when they are hurt and allow people to try and hurt others  while others try to do the right thing
bad,"This is a sad state of affairs....they make promises that are not kept....you get virtually no support in your endeavors "
bad,"The customers bite, everyone that works here bites the district manager bites and we went through 3 store managers in my three months at this location. The store is half thefted out until the shelves are almost empty..store and everything and everyone in it is complete garbage"
bad,"Horrible company they don't appreciate dedicated workers and you have to fit in to there click, when you start you're treated as an outsider until you kiss up to upper manage ment"
bad,"Worst job I ever had. No matter how long or hard you worked, upper management was never content . Store management micromanaged through all the computer reports. Too many unreachable goals to meet ."
bad,Absolutely no work life balance!!!!!!! You are not compensated for work or improving all sales numbers!!!! District manager is completely ignorant to any business aspects!!!!
bad,"Managers treat their employees like garbage "
bad,"Was lied to about the job, garages will not deal with the store manager, he’s very disliked, he him self lies at will, he has his favorite employees, no one is happy in the store"
bad,There was no help from district manager when needed. Benefits were very poor considering what I paid per month for them. Well under paid for the job I was doing. The contract you sign at the beginning of the job vs what is expected of you. Example working 60+hrs for 2years because your Rpp position wouldn't be replaced due to sales volume of the location. This is just a few of the many things I could say
bad,They screwed me. I worked there 5 years and got hurt and never missed a day. Even worked for 2 1/2 years with torn rotator cuff. We was getting ready to  go to court and they offered me a settlement so I took it and was made to quit. I just wanted my shoulder fixed and keep working but that didn't happen.
bad,This company is a joke. The higher ups and the gm at the store was dumb as a box of rocks. She was clueless. The new district manager is an idiot too.
bad,Management is a joke. Pay sucks. They will pressure you till you quit. Nothing you do is good enough. No training. Their training is you learn as you go sort of thing. Definitely not worth your time. Many other jobs that will pay more out there and  appreciate your role with proper training. Beware of this job. First hand experience given this advice.
bad,"On indeed they advertised a full time driving position so I took the job, I rarely got the fulltime hours, some weeks I would only get 19 hours. I told them I could only work certain hours on the weekends and they would schedule me for those hours almost like it was done on purpose, I upsold alot of parts thinking it would help me and it didnt. Bad place to work for. When I left 2 others left after me"
bad,"Poor management, everything was wayyyy over priced causing angry customers nonstop, with the Walmart merger came a ton of arbitrary policies, other locations wouldn't handle issues well causing angry customers to come to my location, unrealistic sales expectations, and most of all TERRIBLE management."
bad,The manager takes naps and is unfair to employed. When I work in Tennessee it was a great company to work for. But the Watertown store the manager will not work with you on your ability to work times.
bad,"That is all they worry about they hire sales people not Autopart people"
bad,"Very unappreciative. They work you to the Bone. Pay is poor. Broken promises. They send you all over town store to store. No compromising, it is their way or the highway."
bad,I worked for this company for a yr. They want you to be quiet and have no voice. Promoting from within is a joke and they dont acknowledge the hard work and dedication. High expectations but its like working for nothing. I was fired because i had a voice and at the most crucial time in my life. Being dependable and reliable to only have wasted my time.  Worked for the ones who didnt want to for them to still have a job
bad,"No management there, inexperienced, horrible work environment not welcoming at all. Leaving there, corporate is even worse  they put up with bullying and that alone is a pending lawsuit"
bad,"You will be worked to death for no reason. They will provide a skeleton crew in their store and then look the employees and GM like it's their problem the upper management doesn't know what they're doing. "
bad,"The computer softwares and hardware are not compatible,  they are also extremely outdated. It's embarrassing, and the computers not only crash and freeze daily,  but the catalog is not entered with descriptions for much of it,  and inconsistent description that makes it hard to offer comparisons to customers. Pictures are not available quire iften a also.  The management is a joke.  Corporate companies don't care about you."
bad,"Get away as fast as you can. They don't care about you. They tell you what you want to hear, they make promises and then they ""forget"" what they said. This company is there to take advantage of people wanting to work hard and yet they won't pay what you are worth."
bad,Should have been 4 day work week turned into 5-6. 12 hour plus days. Too much appeasing associates. Most could not speak English. No working together between departments.
bad,"This is one of those deals where who you know trumps fairness, and even though helping people fix their problems is very rewarding the treatment and biased nature of the management in MULTIPLE advances makes it hard after a few years of dealing with and even trying to fix/reporting matters."
bad,Cant really say what I want too but it's more stress then working pleasure. If ur a good employee then managment will have the good employees doing junk work while other employees just stand around twiddling there thumbs and managment dont say anything to them
bad,Working inside a warehouse for the first time is one of the worst experiences of my life December will be 4 years for me honestly it feels like 10 !!!
bad,There's no comunication they only think about  them self  they don't  care about the employe and the customer. And the worse part they are raises  and that's wrong
bad,Would never work there again no matter what the pay would be management or the lack of is good at moving numbers to make themselves look good and that's about it
bad,"Kicked to the curb , like I was never truly valued to begin with. Had to to BEG for a raise , only to be let go . Huge turn over, which means EVERYONE has to go and be replaced."
bad,Doing track and deliveries was the best position ever given I mean at times when it was slow for the delivery you will have to go up in the front or you’re in the back doing truck only downside and con When other employees just play around Or if you ask for help it’s like management or other employees expect you don’t know where everything is or what to do in certain situations we don’t get paid enough to yell or argue at customers that the management job we were basically just get fired on the spot written up And installing batteries when other people are just lazy specially management Also there’s favoritism
bad,All I can say is that management doesn’t listen and shows favoritism over other employees that have been there longer. I personally felt very unappreciated and unheard as an employee.
bad,I guess indeed wants me to leave a feedback for advance auto parts we went through 3 store managers in a year it was wild Ok I hope you have a great day
bad,"The management is terrible. Everyone tries to be the boss..when there is only supposed to be ONE! You don’t get recognized for hard work, dedication, or passion for the job. I advise you to stay away."
bad,"pull orders, deliver them, put up stock, maintain company inspection at beginning of shift, fuel vehicle at end of shift, collecting payment and signature for delivery of products, handling questions and complaint and forwarding them to management"
bad,I didn't like some or most people because they would talk behind you're back very immature place!the managers didn't have a clue. Everyday sucked big.
bad,"It's a shame that you can NOT give a zero to the worst treatment by a manager in my life "
bad,I hated it..i worked there 8/14/2019-8/20/2019 it was extremely hot..the first 2 days are ok because its safety then orientation..i was not paid for the first 5hours of orientation..they sent me an email with the wrong hours..i left a vm to hr lori she never got back to me and friday my check was wrong..
bad,"I was hired to get the commercial sales business off the ground and had way more experience than the manager . I was training him in the process and how it makes money. But , him and his boss had other ideas that didn’t make any sense so I left"
bad,Very high turnover in associates none of the managers are skin color friendly. Everyone is suspected of stealing. Not family oriented at all there is no maternity leave. Women just fight there way back into there position if available. Very high school with rumors starting with young managers
bad,I had drug addicted coworkers who got high on the job.  One of them stole the bank deposit while i was on unpaid vacation.  Every day involved personality conflicts with people who would not do their job. Management was terrible. Area managers would routinely hire friends for more money than experienced employees who were better qualified made. Raises were tiny if at all.
bad,It was so hard to be a woman and work there. They where sexiest and rude to most of the woman to come into the store. You knew what the men there wanted.
bad,Terrible place to work...  they blame their employees for something they didn’t do and don’t care about the facts. Their entire system I stupid. They don’t care about anything they have to say. He believe what they say is right when it’s wrong.
bad,This is a very busy and mentally straining job depending on the location and/or district you work in. I was given the ultimatum to transfer or quit multiple times regardless of the distance I lived from the job. They offer too little pay for the responsibility given. Low quality remanufactured parts. I would stay away if you are looking for true success in the automotive parts field.
bad,"I like the job, and the district manager. The hours were OK There was no manager witch made things confusing . 3 people acted as boss and yelled at the 2 older drivers."
bad,"The manager and assistant manager are best friends at the 124 W Rodney French Blvd, New Bedford, MA 02744 location."
bad,"Was a manager for years in good standing. On the day of my brother's funeral, I forgot to clock out. Was fired over two days later for ""falsifying time record"".  Asked them to give me a write-up because of the circumstances it happened under. They said sorry about your brother, but your fired...company policy!"
bad,This was a temp to hire position. A typical day at work would start with our safety meeting. We would also go over our performance from the previous shift. Most of the time we did not have enough manpower for the workload resulting in extremely long hours. Management was typical warehouse management. I'm just doing my job.
bad,"Screwed over, and empty promotional promise! The general management was unappreciated and overworked and needed more help! Management was also not allowed to put trust into other employees to make other decisions"
bad,"The whole company sucks, all the way up the latter. Under paid employees. Dont stand behind their own policies. Take away things you have earned and deserve to keep. I will never recommend anyone working for them."
bad,I only made $8.88 a hour and was there 8 months done my job the managers job and everyone else job and got no raises or benefits. Worked off the clock to get my manager training in just for it to be giving to a kid that was the GM stepson and it was his first job. This company could careless about there employees or customers. I don't recommend this company to anyone for anything. They promise you the world and lying the whole time.
bad,This company has fallen bad over the years. When I first started it was a great company to work for but after 10 1/2 yrs it had changed for the worst. I do not recommend working for this company for a long period of time. For a starter job or just cause you wanna work... sure but not a career. You as a person dont matter to them.
bad,Don't waste your time working for this place. They're a complete waste of time. They don't pay worth anything and they expect you to break your back for them.
bad,Advance Auto parts your hours is based on the store's performance. You have employees who are very lazy and down right just don't care. Employees constantly call out
bad,Would definitely not recommend this place to work at. There is alot of favoritism and it's a joke. I am mistreated and it's not fair to me to have to deal with that.
bad,"I had a bad experience working here. I was doing all of my GM's duties, working 60 hours a week at a part time status and got no recognition for it. So please don't base you're opinions on Advance based off my experiences only."
bad,"They dont train or develop. No understanding of who in charge. Able to do as you please, No opportunity to advance. They have no since of urgency. They di t have a open door policy."
bad,"As a single mom, I was attracted to growing in the company. This doesn’t happen. They hire from outside for upper level positions. I had four years before I was given a tiny raise. I mean tiny. Forty cents tiny. Harassment is unbearable."
bad,Its cool working with auto-parts but the company sucks. Unless you make it to upper management by some miracle you make below average pay and its not a job that will provide for yourself let alone a family. Stay away unless you know you are going to be the gm or higher.
bad,The only thing you can count on with Advance Auto is to be used as a place holder until Management is done using you. Employee performance and devotion means nothing here. Each location is constantly needing people because job security simply doesn't exist.
bad,"This company needs to get its priority's straight. They focus on the customers solely, not its employees. Hours being cut, employees being underpaid, understaffed. Etc."
bad,I've been lied too by management don't get the hours I need to pay bills  hours are scheduled unfairly and at last minute. Absolutely the worse job I've ever had
bad,"They pick and choose who they give promotions too, and over see employee that are hard worker. And they are good to hire friends instead of inside promotions."
bad,"Not a bad part time job, but don't try anything new with the old timers dispatching deliveries. They also don't care how you are treated at certain run down auto repair dumps. The bottom line is always right."
bad,Has a lot of favoritism going on in the work place the GM likes to show he's private parts and call's it his tumer.the other employees are sceared to say anything or address any issues .
bad,U have no life..boring in the am ..pm busy after 5 pm..u must know about cars and trucks pass ur test. Management not good..make this temp.job and find better job..2019 this company just want there numbers up..u will be stress out..they all about a sales.. N u have to sell the promte product u only benefits more hours n manager get the bounus ..
bad,Upper management is entitled to monthly bonus checks that other employees are not eligible for.  Kinda works like a pyramid scheme.  Everyone works 3 people benefit.
bad,this corporation treats its employees like garbage. all they care about is money. corporate wants its people to work for very little money. the people i worked with & my customers were great.
bad,Advanced is a liberal driven company with a attack anyone with opposing views .no promotions unless you are in favor of upper level management .hard to earn a good life sustaining wage with raises are nearly nonexistent..
bad,The hardest part of the job was the inability I had to actually perform my job. between the management and other employees I had a very poor work team. I do not like working for companies that don't care to actually help yet categorize themselves as customer service. If you aren't willing to care for you customers as you would a family member you should not be in the customer service business.
bad,While working there management was Self centered and lazy they would up make me the Part time guy do allot of the management Work Like taking inventory while they smoked cigarettes ! The Management Scheduled all there Vacations on the Holidays and made the Lesser Employees Deal with the Aftermath!
bad,"as far as store level goes, if you question management you are labeled as a problem employee. They don't care about employees or customers. If out on sick leave, when doctors release you to return to work they drag their feet on scheduling you back."
bad,Would not recommend this to a friend ever you get paid bottom dollar for $100 and hour worth of work and god forbid if you want to advance in the company they just plain lie to you to string you alone about it
bad,Terrible place to work for no one knew what was going on. Everyone is on the same drawer so when money started going missing they started pointing fingers at everyone. Definitely wouldn't recommend this job to ANYONE
