rating,review
bad,I got fired all because I asked someone did they know how to make a flyer being that she’s always on Facebook on the company time. I got fired for asking a question that both of of should have been gone not just me wasn’t fair and no one was trying to hear me out.
bad,I am seeking a better employer where I could better put my talent and  skills to use more effectively. The culture and group dynamics are very confusing and make working within it a chore and being effective nearly impossible. Management seeks to usurp and undermine rather than support and promote success.
bad,"An old-school style big company"
bad,"Agilent was a fun place to work. Very busy office, which made the day go by quick. I grew very quick being at Agilent. I loved the responsibilities i had and assisting with my team mates."
bad,"Bad to be contractors."
bad,"Hi, I joined this company in Aug’13 & have seen worst time since then. I joined after working with Genpact for around 5 years where I had great career. Agilent attracts the new job seekers by showing that they were listed in India’s best place to work but the facts are different. I joined their Accounts Payable - Banking&Payments team where the process is too bad. Management has done nothing to streamline the process & employees are forced to work from 8 in morning till midnight & even on every Weekends. Still their work is not completed & highlights the errors. Management really torture the employees especially in AP - Finance process. The company is not stable as proved by the fact that they got split from HP & now their EM part is getting to be split as Keysight Technologies in 2014. The lateral company is running in losses.Within 6 months of joining, company gave me Corrective action letter despite their HR policy that no employee can be judged in 6 months. Managers harasses all the time even on other’s faults. Old employees play politics here & no one wants to work here. Their another cons is the location of Manesar - worst place to go, neither secured & it’s all an Industrial area where you will be surrounded by the trucks. They have worsen my career. I was thinking of filling a suit in court against them but did not do as we get nothing in Indian courts. Guys this is my real experience & do not go to this company as you will get into depression. My colleagues who joined with me have already left this company, I was the only left to whom the company itself asking to leave"
bad,Management by the numbers with no vision on the overall strategy. No commitment to long term goals.
bad,"NASD in Boulder has become very top heavy with managers and has become a place that hires friends rather than qualified candidates. Good employees are leaving because of the current culture. Departments only care about the success of their group, often at the expense of other departments. "
bad,"no chances of growth, highly unsecured management. no training given to new joiners, no handholding. HR is insignificant in organization, lot of  gender bias cases."
bad,I wouldn't recommend to anybody who has a family unless u are going in as upper management...they make us come in early and never know what time we getting off..it is so poorly managed only because they show favoritism in the company. My experience with this company has been by the the worse in any warehouse job I've been employed
bad,"Management seems to have favoritism for employees that their cool with (personal friendships) if someone has a problem,they never seems to get to the root of the problem, they just dismiss the situation as if it never came up. There is no room for advancement within that company. Poor benefits, I wouldn't recommend."
bad,"My typical day at work involves seeing to the production of particles used in GPC chromatography. Coming to this job I had no previous laboratory experience .the work place culture has been great. "
bad,"Underpay for Hayward site, people work really hard but they pay less then the average salary for lab associate. Need to pay fair for workers and need to change how they work"
bad,"I got a lot of knowledge there. I could learn so much from the conference every week and could get help from them."
bad,"Once me regular manager retired,I reported to a middle manager that constantly micro managed me.  Was difficult situation to be in, this manager didn't respect my judement."
bad,"Man was i fooled on this one.  When you first start everyone raves about the work-life balance and the company culture.  But once you are in hat all goes away.  The departments are ruthless towards each other.  Blame game and employee stealing is rampant throughout the company. I managed a repair center and was always fighting off other managers from trying to steal my talented employees.  HR is another entirely different animal.  They are on the extreme side of the employees and very anti-management.  If you ever approached them for advice on how to handle a non-productive worker, it suddenly became your fault and it was your butt on the line for not coaching them properly."
bad,"This place could be a nice place to work if SLT was competent. All procedures are horrible, people lack social skills. The decisions made are just wrong. Needs a staff overhaul."
bad,Just not a good environment. Poor management & unhappy employees. There was no good direction given. When notice was you got walked out that day. It was very hard to show up to work.
bad,"Agilent is a left behind branch of HP.  Its continuous struggle to modernize it's culture is plagued by the old HP residual culture which supports large unaccountable layer of bureaucracy that suppresses innovative spirit.  Having a great idea is not good enough and often innovator is intimidated by those who is not accountable for any relevant task.  This company culture reminds me of communism, job security means 100% brown-nosing your superior and learn how to hide in plane site with lessez-fair.  Agilent needs new leadership blood, same people cannot improve its old culture because they don't know what to change to.  Agilent needs to redefine itself form ""Old HP"" image, it needs at least to be ""New HP""."
