rating,review
good,"Productive and fun workplace with great people and room for advancement. "
bad,"Poor benefits. Poor management!!!  Lack of respect for experienced workers, lay you off before your pension matures out of greed. Very sad to have dedicated so much time with a company, then to be treated so badly in the end."
bad,Great bunch of people to work with but management are a waste of space .They preach about health and safety but do nothing about it especially Area supervisors .The  Vans they give you are barely road legal always promise things but never deliver on them .long hours and not much money especially agency staff
bad,"Understaffed and over worked for low pay. Dealt with dangerous chemicals outside in the heat with few breaks to hydrate. Fast paced, poor planning.. management was quick to threaten your job."
bad,"Air Products purchased company that was well established in manufacturing processes and they came in and insisted on change."
bad,Apex industrial gas services .      Worked there for five years . Manager was awful  and a bully  and racist used threatening  behaviour to manipulate the staff and get results  for his benefit . Airproducts seem to turn a blind eye to the issue . Salery very poor to the amount of work done  . All they want is a robot worker  to use and abuse.  Will send you all over the country living in poor b and b . Living on limited expenses.  All work and no life  .
bad,"I was employed at air product's training was a joke when out on road with experienced driver, head office would send out work for us both to do, I was rushed around so we both could get finished that was a 12hr day+. When  I went for interview I was told it would be a 9and half hrs I thought this sounds great,  I was lied to , then when you  pass out on what you have been trained up on head office just piled the work on and expect you to be as fast as experienced  people that have worked at air product's for a few years, if you like long hours ie 12hrs plus ,and don't mind been compared to experienced staff go for it ,if you like a home life and only want to do 10 hours a day  keep well away , not very nice  to work  for"
bad,It's a very stressful place to work with very long hours. Overly competitive. Not a great place for advancement for most employees. No work/life balance.
bad,"Air Products was the best company I have ever work for! The company had great benefits, there was alot of over time, great people to work with, and alot of support from upper management."
bad,The plant in Air product in galt they discriminated latinos becareful with. The manager joel he is a punk  jackie is cool but joel hates latino is not cool
bad,The Edmonton site is plagued by poor managers locally.  It is a very interesting place to work and you will learn a lot.  Managers are poorly trained and have little ability to be effective in there rolls.  I regret taking the position there.
bad,Big powerful and full of monsters in charge. Their way of management is like book other! Makes 100%  no sense! You'll pull your hair out trying to understand why they go one step forward to want to stay three steps backwards! One day when you think your doing great and your career is going fine you'll end up being punished like a kid and for god knows what and no one can answer your questions for what's the reason your odd man out. Its almost like they test to see how much insanity you can take just to have a management game of sport to have fun in the offices.
bad,"Company is not welcoming to new members of staff. There are many members of staff who have been with the company for several years and not progressed. The company does not have a plan for staff to develop and grow, if your a yes person and willing to be walked all over then you stand a slim chance of progression."
bad,They couldn't have cared less about Safety and Training was non-existent. we were contractors on a customers site and Management took advantage of this by keeping everything broken just so they would always have something to fix. Success was a moving target. Job never changed but Managers shuffled the procedure steps around every 8 months or so just to have something to do.
bad,Not much life outside work. Your shift will be starting at night for years. Managers are terrible.  Seniority Driver s are all about the company. They look at new guys like they are stepping on their toes.
bad,"From Alcoholic/child supervisors talking you down, too upper management ensuring you know you are replaceable. Favoritism/disrespect is a huge deal."
good,"Productive and fun workplace with great people and room for advancement. "
bad,"In the beginning it was a great place to work for. As time went on things only got worse. Training was horrible even in the beginning. Had to search, beg and plead to get trained. Caught on and worked hard to only find out there were things that i was supposed to be doing but never even knew of. So many changes and layoffs... management was self involved and did not care about employees. Only care about keeping their jobs. Employees were great to work with but management needs major work."
bad,"The place is just a facade of an underlying dis-functional bunch of ""good ole boys"". "
bad,"It's not what you know, it's who you know at this plant.  Some were favored, while others were crucified at every turn.  The workplace culture was straight from a 1960's 'good ol boy' job shop."
bad,"Hiring takes forever! Training takes 6 months! A fine job for someone fresh out of driving school, but not a job I would call a career! Management is a joke! Corporate is even useless!"
bad,"If you do a days work you will be punished by being laid off. Most workers were slackers and those who weren't, had to behave in such a way as to look like slackers. People would sleep on the job. The management is out of control, or should I say have no control, or don't want to control. Corporate would come in help with the ""back log"" or work. Most workers spent the day on the phone or on facebook. Corporate should have a closer look at what goes on in Leetsdale."
bad,"A very non diverse place to work, very few African Americans employed."
bad,des heures de travail a ne plus en finir . toujours plus
bad,"Great job and some really good work colleagues but "
bad,"Air Products is a very cheap company that understands its plants. You will be doing the role of 2-3 people, and as a result you’ll be constantly called out, working excessive hours, and you’re always busy. The benefits are mediocre compared to the rest of the Gulf Coast, but pay is up there. "
bad,Management is all about the dollar they can take out of the company today and not the company's existence tomorrow!!! This is not a place you can retire from and they will likely discard you or the doors will fold first.
bad,"I worked for 27 years as a bulk delivery driver from Hull and in the early years the job was a good one, "
bad,"lot of job responsibilities to make an impact."
bad,"Working short handed all the time. No job security. I learned that even if you don""t like your job you need to give it 100%. If you dislike it find another place to work if it will not effect your family to much."
bad,"Don,t even bother stepping foot inside this company as I've heard it is now like rats leaving a sinking sink. They are making redundant all the time and have no sympathy for anyone even some who had worked there for many years. I've heard they just make people redundant to get them off the pension liability. The management is rudderless and toothless and give no direction to their employees. One to keep clear of for sure."
bad,"mentalité très vieille, et personnel beaucoup trop hésitant quant à votre rôle en tant qu'intérimaire."
