rating,review
bad,Hard job long hours 60+hrs.  one week days one week night.   dirty job hot. They were just lost a class action lawsuit. Not a good place to work.      T
bad,". "
bad,"If you like making a decent amount of money but never seeing your family or spending your money on fun stuff, then this is the place for you. Management is horrible. They don't care about their employees. They like to stab each other in the back over anything and everything."
bad,Poor management.  No one who was an hourly employee wanted to take a management job due to the fact that they took away benefits and made it difficult to speak your mind.  Main management came from plants from other countries who had different work cultures and did not or would not conform to American values.
bad,was a good place to work but they ended up closing the doors and moved south. No longer around in Canada. was only there 9 months before they closed the doors
bad,"union is just another tool for mgmt to hide behind, under paid, mandatory 64 hr week. no work life balance. seniority determines everything. no performance increases for production staff."
bad,"The company exists in the dark ages and is led by the worst management I have ever experienced.  It is a dangerous environment, made worse by an autocratic management culture which allows and supports bullying of workers and contractors alike."
bad,"The environment set by management was aggressive and stressful. I would never recommend anyone working for this company. The coworkers were constantly at each others throats and it was not healthy. The stress that was placed on employees to be perfect was horrible. The feedback was never constructive, no training ever given."
bad,"I loved my position at Alcoa, however was laid off from the company because ALCOA did not want to pay the American workers what they deserved to get paid."
bad,not enough man power to run the plant safely but it was never a management problem pay rasises never came when promised help never ther when you needed it.
bad,I don't know why the company doesn't give higher payer. People have idw to provide daycare for. They should have a daycare in the workplace which would create less call outs.
bad,"Alcoa keeps the same management thats destroying the company."
bad,ALCOA shutdown after I left to go to work for another company.  Many jobs were lost when they closed after asking for community help and support to stay open.  Community did everything to help ALCOA and they left anyways.
bad,"Most machinist knew more about the job than management. Meeting we're held every week, questions were asked about improving work quality and production but nothing would ever change,"
bad,Stressful environment and not enough breaks to to consider a harmless environment. Too many hazards that posed threats to employees. This place needs to be audited for employees fair treatment.
bad,"Days are long and never know what to expect"
bad,"This particular company was ruled by emotion and very poor management styles.  They were good with safety and practiced safety very well, but that was all."
bad,Poor and Unsafe place to start a career. mandatory forced overtime. long hours. poor management. unsafe work environment.
bad,"management doesn't care for its workers , Alcoa says its all about safety  first but then makes 2 departments work 11 straight weeks of mandatory overtime, hr dept is useless commen answer is too call 1800 Alcoa so they can help you , lies and open threats from management is a weekly thing"
bad,"I worked for two years for this company and they only gave me a 0.14 raise, despite getting certified part inspector certificates, was one of the few that could set the machines up and buy off the parts."
bad,"Former Dover, NJ Etcher. You get told to be creative and find ways to be faster and when you do they write you up. You ask too many quality questions and they gang up on you saying thats not your job. You try to follow their verbal instructions and if you deviate for faster production, you get written up . They take away your vac time only to help the plant. After all that is done, they still cant make profit? I was fired because I rocked the boat. Who can you go to for help ? No HR Department or big turnover of management. If you are not a quiet person and says yes to everything they want... YOUR FIRED and I lost 7 weeks for insubordination on my unemployment and was forced to cash out my 401k. Dont do it......they can care less about your hard work and sacrifices."
bad,"At one time ALCOA was a good job but as with time things changed for the worst, from mismanagement to constant haresment to its employees. This is an employer that I wouldn't recommed for long term employment."
bad,Sounds like other Alcoa plants are nice to work for or these other reviews were written by Alcoa managment becausethe Alcoa plant in Dover NJ sucks! Working conditions are horrible and they brought in EMCOR Services in to take over maintenance so most likely all Alocoa maintenance employees will be unemployed soon. No job security here!
bad,"They work you hard then lay you off after they make there quota ,and they make you work on holidays. They save the company money by making you take a week off without pay."
bad,No work life balance. Toxic environment to work in. They lie to you when you interview so you take the job. Awful...would not recommend applying to this company.
bad,I absolutely hated my job at Alcoa. The worst place I ever worked. It was nasty and not well maintained. Nothing ever ran correctly other than employees mouths. Management looks for reasons to fire you. Watch your back.
bad,Dirty nasty place to work. They give you fans to cool you off in the summer that are coated in oil. Much uncertainty and layoffs
bad,"bad management, bad organizational skills, too many chiefs, and not enough ""smart"" Indians. If you want to work with a bunch of lazy people who like to steal from you, and talk about you behind your back...then this is the place for you."
bad,"This is not run like the other ""Howmet"" plants, this plant is a scary world of it's own. Current Senior Managers are dictators. They rule with an iron fist by raising their voices, belittling peoples. Yes, this truly is ""the good ol' boys club"". And do not look to HR for help, their members of this club too. So many good, really good employees have gone through this and are afraid to say anything or stand up for themselves as they need their jobs. This could be such a great place and there are so many opportunities for this facility with the right management. They had someone who could have taken this plant to great heights and they let him go. He was the best thing that ever walked through the doors. They are letting really good people go for no reason. I've watched this for too long."
bad,If your not in the union they fire you just by someone saying lies. Had ok benefits. Bosses favored certain people. They treated you like a number not a person
