rating,review
bad,La pire boite que j'ai connu. Management pourri et zéro motivation
bad,Sales Force Effectiveness
bad,"Dysfunctional company. Poor decisions from upper management. Good people and managers at local level. Shutdown of site at Smithfield, RI was misguided. Greed and hubris are the norm at executive level. Lots of talk about patients, but supply at risk from poor planning."
bad,"LATAM headquarters in Miami are a cluster and joke.  VP is a severe micro manager and makes for an uncomfortable working environment.  He is all about ""the boys"" and wants to build his own empire and get rid of anyone in the way.  He is sneaky and you must watch your back with him around.  You put in your blood, sweat and tears and don't even get a thank you.  Leadership is disorganized and ""clicky,"" and the office environment is like being in a morgue, everyone sits at their workstations like robots and doesn't talk.  Not a team environment.  HR does not look out for the best interest of the employees, if you tell them you want to grow with the company, you are told ""NO"" and beware, it will be held against you at a later point in time.  Strongly recommend anyone to think twice before joining this type of environment.  Everything is reactive versus pro-active."
bad,"Great Compensation and great Benefits.  "
bad,Integrity seriously lacking in this company.Highly qualified for position but overlooked as they had doubts about whether I would stay.Got feedback from friends within the company.The fact that the HR / managed don't even have the manners to give response to interview speaks volumes for this company.
bad,Most people feel they are over worked and unappreciated. The supervisors in some areas need to be retrained or replaced. Not the best when it comes to cGMP and GMP   The benefits and compensation are great.
bad,"Very stressful working environment they do not really care about your personal life or any requirements of it. Management was not supportive, all they cared about the bottom line.Not a good place to work for a long time. Facility Was  grossly understaffed in management knew about it for years then complained when mistakes were made."
bad,"My immediate team was excellent, we worked very well. The senior management team cares nothing for the individual and looks only at the bottom line. When I began working there 11 years ago it was a totally different culture from today"
bad,Muito difícil adaptar-se em uma empresa que muda tanto.
bad,"This company brags about a lot of things, but in reality their demeanor is highly unprofessional and rude. Its amazing how they treat people like trash. I was called for an on site interview after a phone screen and phone interview (taking an unpaid day off from my current work). I was told that I would be notified of their decision nay or yay within a week's time by the HR. Shockingly, I never heard back from them. I inquired twice through mail, but I did not get any reply from the HR even after a month of my on site.That is ridiculous."
bad,"Great place for cleaning up after chickens , they call it animal husbandry . I learned how to collect sanples from a rooster and artifically breed a hen.The management of this company is awful as they do not treat all employees fair and equitable .The hardest part of the job is the chicken dust and droppings all over the area to clean up . The best part of the job each day , was going home ."
