rating,review
bad,"Terrible place to work.  Arrogant management & employees.  In constant cut back mode.  Stay away. Benefits keep getting worse, raises are minimal if at all etc"
bad,Taking a job at ATI has been my biggest regret.  This company only wants employees that will keep doing everything the same way its been done for 30 years. There is no consistency in any HR policy.  Employees are not treated fairly.
bad,"ATI has shown that corporate greed is rampant in the United States . The workers agreed to keep one old strip mill running while working overtime to get a new one up and running . After working ridiculous hours to help the company out , they locked us out. While claiming losses which caused their demand for raping our contract , they gave themselves millions of dollars in bonuses . If there was a zero rating for what this company has become I would have chosen that. What had been a great place to work has been so corrupted by greed that the union AND salary workers are disgusted !"
bad,My memories of working at the ATI helpdesk were not good. There was 8 workers shoved into a closet with no windows expected to not talk and work. The problem was that there wasn't enough work to go around.
bad,I worked an X-ray where I did not said in with my coworkers I had plenty of experience previously and after false accusations And finger pointing I was let go Management did nothing to look into whether or not what was said about me with true
bad,"Stressful environment, management cares more about safety numbers then the employees, the morale is terrible, management pushes down changes without accounting for how it will affect employee morale or if the changes made will hurt productive. The insurance was good but has been replaced in the last few years with a high deductible plan that requires you to meet the deductible prior to any portion being payed by the plan."
bad,work was hard and long rotating shifts in virement was always dusty or Smokey had constant disorder the work was straining  the hours were long with no respect for how hard you worked or the quality of work you tried to pass on to co worker
bad,"ATI are fairly good payers, however beyond that I cannot recommend working there."
bad,"A good company name to have on your resume and that is it.  Expected to and forced overtime.  The culture is throw you under the bus while walking on eggshells. New Upper management has no idea how to turn around company creating a high employee turnover at every level throughout company.  Favoritism and nepotism are ruining the company.  Will probably be bought out.  Would only recommend short timer looking for a couple years experience to pad resume.  But beware,  put your armor on be ready to defend yourself everyday while being micromanaged."
bad,"Terrible culture based on fear, in an all boys club old school thinking.  A cut throat environment.  Systems are from antiquity, literally still using matrix printers on green lined paper!  Management spends all day in meetings"
bad,"I have learned a lot working in raw materials; however, I do not like working night shift and there are many differences between my work ethics and other's work ethics."
bad,"The job itself is stable but there is a major lack of management and organization with in the company. My particular department has little to no supervision, little to no guidance, and equipment that never seems to work right. Not a horrible job or place to work, great if you like shift work, just not for me."
bad,"Very hostile environment. The jobs are not bad, but the managerial staff is horrible. Favoritism and discrimination abound. Contractual agreements are viewed differently in different situations."
bad,"Looks and sounds like a great place to work. The absolute opposite of a team environment. I am paid fairly but that is the only pro. Management is clueless, nobody follows any procedures, lack of training is the worst I have seen in many years. You have to beg for training which shouldn't be the case but it is. Also the information flow is terrible. Nobody passes any info and then just plays the blame game. Apply at your own risk!!!!!!!! You have been warned!!!!!!"
