rating,review
bad,"Total lack of training available for new employees.  If you want to be thrown to the wolves, this is the place. Everyone is paranoid about losing their jobs.  Company is totally insecure. They believe they are big players in the industry and don't even come close.  Very poor management."
bad,"Unless you are a female and non white you will not be promoted at Alliant Energy. Heavy reverse discrimination.  In addition,  reviews are based on forced  distribution.  If someone does well somebody else must be rated poorly."
bad,Worst work environment.  Culture is horrible despite what they preach. Executives unfairly make rash decisions and lead by intimidation.  Policies are not consistently applied.  Pay is good but the leadership is a good ole boy mentality and it is hard to fit in regardless of skill. don't provide opportunity to improve..if you make a mistake they hold against you.
bad,Micro managed to the point of being ridiculous. Call centers are treated totally different than the rest of the company.  Nothing enjoyable about going to work. Other departments treat customer service employees like they are less than and get away with it. Same management that has been there for years and years and years. No one on one meetings with team leads on a regular basis due to call volume and lack of help.
bad,"The pay is great but management/culture/ job is horrible. People who have been here 20+ years are looking to get out. The stress is so bad people cry DAILY, management just tells them, and I quote ""shut up""."
bad,did not seem to fit in well with other employees and management.  Felt as if no help was provided to me once issues were raised regarding company wide problems with management and fellow employees.
bad,"You are not important, just the company's numbers. Management do not care about the well-being of the meter-readers at this company. A typical day at work involves fighting off dogs and battling the elements of mother of nature. If you get hurt or bit, you're fired! If you have an accident, you're fired! Management create exigent circumstances by demanding a set quota of meters read (500) and every meter read, even if there are hazards present."
bad,"Current AE employee, but not in legal department. High turnover in legal department makes it difficult for us get work done. Recently lost 3 top lawyers in group for total of 6 or 7 in past year. Dishonest and bizarre leadership in this group. Apply at own risk - not a good place to work."
bad,shoot first ask questions later with no thought of individual happenings or care about responsibilities outside of the workplace.  people throwing others under the bus to try and help elevate their own career
bad,"Alliant Energy has gone down hill fast in the last seven years. Unqualified. inexperienced mid-level managers have ravaged the company. Poor business and hiring/firing decisions have left this place a shadow of what it used to be. There are people without college degrees managing people with masters degrees. Pay isn't competitive. Benefits are mediocre. "
bad,"Its a call center job. Management is terrible, zero culture and you are so stressed from getting yelled at by customers but nobody cares. I was having high anxiety. As were most of my fellow coworkers. There is mandatory overtime because nobody wants to be there. You get screamed at by customers for unrealistic payment terms, you are not able to actually help. You are just a butt in a chair."
bad,Extremely challenging place to work.  Management is not willing to work with employees.  Very deadline driven.  Very limited opportunity for advancement.
bad,"There really wasn't a typical day with all the changes that took place. The work environment was stressful because the company was implementing many changes to keep up with the time, all at once."
bad,"Evaluate present practices and implement processes, concepts, training and tools to prevent, detect and correct human errors that may adversely impact the safe, reliable operation of the electric transmission and distribution system."
bad,"Was a great company when I started but now it is loaded with people only interested in their personal advancement. Use to be a place where you started low and learned multiple avenues of the business thus making you very knowledgeable of ALL aspects of the utility. Not the case anymore, who you know not what you know."
bad,"Cut throat organization. Greed with leadership is stifling. Bonuses were decent however, , in access of $20k for lower level salaried staff, goes up from there, thanks to rate payers."
bad,"Small room for advancement, it is a union, and there is no consistency in management - one manager will say one thing while another one will say another.  Policy is extremely strict."
bad,"They want you to speak your mind, but truly you can't.  If you do then you will be watched until they can get ride of you.  Used to be a wonderful place and I was proud to work there."
bad,"I enjoyed my short time at Alliant Energy. Many great people work for this company. However in my capacity there is little to no dedication to business continuity and the desire for a robust program is not among the executives."
bad,"beware in Burlington location older workers will sell out anyone that doesn't back stab and spread rumors it was a bunch of people in their 50s acting like kids in junior high or high school.  on top of that if there was a complaint it was always the accuser or complainer who was right without even hearing the other side and management was too stupid to realize they were getting played for chumps.  I've never worked at a place that so many games were played, it was totally ridiculous.  i felt like i had to walk on egg shells anytime i was working, it was bad enough that fellow meter readers would lie to management on my location just to elevate themselves.  i worked there for 1 1/2 years with no problems then after there was a management change i was gone within 6 months.  one example is that i was 5 min late one time and got wrote up for it when the day before he gave me a verbal warning on it,  the manager of the meter readers is clueless.  he's never done the job he just goes off of what the head meter reader says, and she's one of the ones to watch out for.  i was even told i was one of if not the best reader we had, it didn't matter once i got a target on me i was toast."
bad,Run from this place. You dont want to work here as a contractor or a permanent hire. High turnover for a reason. Management problems at all levels starting at the top.
bad,"I was provided many opportunities to take part in training and classes to develop my professional abilities which I greatly enjoyed and appreciated.  Alliant does not hesitate to invest in the development of its employees.  However, advancement and opportunity are highly dependent upon your supervisor and where they feel they need you to be rather than what is in the best interest of your desired career path."
bad,"All the bosses review your calls differently, and all they care about is if you got off the call quickly and hit every sales pitch imaginable. It was ridiculous. Those people work hard and the customer is not able to be taken care of on a timer!"
bad,"Alliant is a good company to work for depending on the department you work in.  My advice to those coming in the organization, get as much as you can initially.  Don't count on any raises or bonuses to make up for lost ground because that is simply a pipe dream.  Also don’t count on any raises when you take on additional responsibilities or obtain certifications.  Expect no more than annual inflationary increases at best."
