rating,review
good,"The job consists of talking to customers that are past due on their auto loans. Ive learned how to interact with the customer and create a way to have a win win situation for both customer and company. Management makes sure you have all the tools needed to assist. The workplace culture is incredible, very diverse and accepting of all backgrounds. The hardest part of the job would be trying to have customers commit to making timely payments, the most enjoyable part of the job is the fact that its fast paced and learning new ways to help the business prevent losses."
bad,"After being layed off, I was not given a fair opportunity to secure employment within Ally, yet I was told in training that I was valued."
bad,Management is disrespectful and doesnt respect the reps that put in years and years of dedication and loyalty. Work life balance sucks and if management doesnt like you they will make your life horrible until they fire you or you quit.
bad,Treats employees like garbage. Management doesn't even take time to learn your name. High revolving door rate due to unrealistic expectations. Don't waste your time here
bad,Do not waste your time working here the manager have their favorites and they only care about numbers nothing else. Pay is wack please avoid this place .
bad,Toxic environment with toxic management. You'll regret coming here. Management doesn't have the slightest clue what their employees are going through.
bad,I currently work for Ally Financial as a CCG agent. My job is not stressful but the amount of pressure from the manager is stressful. I process refund and also take inbound calls. The QC and QA  is very hard to maintain each month. The company is not organized or professional. The company only cares about making money. It’s very sad to work for a company that don’t pay much and it’s hard to get promoted.
bad,"nice place, good people just few bad management . Lots of management from GMC who are discrimination and HR is Joke. but overall I have a good time and worked with amazing people."
bad,"No communication, management is terrible. No work life balance and it’s a challenging environment. The company is growing quickly but cannot keep up with their growth."
bad,"Contractors are treated horribly.  Hostile work environment.  Verbal abuse, absurd requirements, being told to do something, doing it, then being told you were told to do something completely different and being called stupid, etc.  Being told to treat others unfairly if you want to keep your job.  Horrible experience."
bad,"The leadership team lacks integrity, they do not treat all employees with fairness nor are they organized in their hiring processes. They lack professionalism."
bad,"Horrible managers, allowed people to be overworked while others did nothing....and just horrible people. I suggest not to work here unless you want to be miserable every day of your life."
bad,Stay away from the Consumer Asset Management operations at all costs. This operation has had several discriminatory lawsuits from ex-employees. This branch is built on nepotism. The senior leadership team has the power to do anything they wish with absolutely no repercussions for their unethical actions.
bad,Moral is low. Pay is sub par. You’re simply just a pawn in their game. You get used up until you have nothing left. There is no career advancement. If there is you don’t know about it or get overlooked. The benefits are ok. The management style is questionable. Lots of favoritism
bad,"Management is terrible, to the point of lawsuits. Workload is changed all of the time, promotions on connections not merit. Bad work environment in general. Get your experience and go some place better."
bad,Very stressful environment management HR department or very unprofessional have a tendency to be unfair to certain employees for no cause reason no chance of promotion low hourly pay
bad,"Management is very bad, company does not care for their employees, or does anything to make taking calls and being abused by customers better."
bad,"I interviewed for a client care position in Shoreview MN and after meeting with the site director, I thought it was a great fit. A perfect vision and career. "
bad,"Terrible place to work. No opportunity for advancement. I worked there with no raise for the first six years at $13.50 an hour. The seventh year, they gave me a $0.40 raise.  In the seven years I worked there fifteen people that I worked with me died."
bad,I worked for this company for 9 years. Started in collections and eventually moved into the customer service role. Management here is very racist. They do not care about your family or outside life. Within my time here people have died just form the stress alone here at Ally. It is a very cut throat environment. This is not the place to be if you have a family or have issues outside of work.
bad,"I was not very happy to work for this company.  I took my work seriously and became very good at what I did for the company.  The pay was not appropriate for the work that was being done.  As an employee I did not feel very appreciated of my work, which made me feel unable to reach advancements within the company."
good,"The job consists of talking to customers that are past due on their auto loans. Ive learned how to interact with the customer and create a way to have a win win situation for both customer and company. Management makes sure you have all the tools needed to assist. The workplace culture is incredible, very diverse and accepting of all backgrounds. The hardest part of the job would be trying to have customers commit to making timely payments, the most enjoyable part of the job is the fact that its fast paced and learning new ways to help the business prevent losses."
bad,"After going through the interviews they still have doubts about my abilities. They will never respect you and or give you rewards for all the things that you do outside of the scope of your work. "
bad,i dont have much to say about the jobs i had. they were all very good to me. i just want to find another job that is a better fit for me.
bad,"This is not a company you want to invest your time in, They are rude and very unprofessional."
bad,I have nothing nice to say about working at this company and therefore prefer not to disclose any information about Global Response. Thank you.
bad,"Biased unethical Leadership in Loss Mitigation. Culture that speaks on leading and doing so by example but doesn't require that their Leaders do so. Culture that allows disparate treatment to its customers and its employees as long as the higher ups aren't aware of it.  No structured training, or foundations to allow employees to excel. Leadership that doesn't know what being a ""Leader"" really means."
bad,"This was by far the WORST job experience in my whole professional career. I supported the servicing and collections business within Ally and I will be the first to say that they have no concept of work life balance, they are known for underpaying their salaried employees and favoritism, management is notorious for exploiting favoritism and nepotism policies within the organization. Morale was constantly low and they have a very high turnover rate. If you aspire to be successful and to make inroads in your next career move, I would be very careful about working here."
bad,"I have been with Ally for the last 7 years. I started with a sister company, Nuvell. It was much smaller and more family friendly at that time. The company changed to Ally about 5 years after I started. We joined with our parent company, which was GMAC at that time. Once the merger and the name change took place we began to see a shift in management and company concern for its employees. Our joint operation meant more people, and less opportunity for management to concern themselves with our needs. In this time there were few advancement opportunities to be had, and we were asked to sacrifice more of our personal time to company  business. This has led to low morale within the company."
