rating,review
bad,"equipment operations, removal of  overburned from coal, poor management and foremans, does not offer good job security, insurance benifits really bad,"
bad,They put to much stress on the workers and threaten them with their jobs if everything does not go their way            HAVE NO MORE TO TELL.
bad,learned how to run mining equipment  make belt moves power moves rock dust lay track make belt splices put in head drives.
bad,"They work culture was one of constant pressure to perform, but not given the tools or direction to succeed. Safety culture was just a discussion but not lived. the union men were in constant battle with company."
bad,"went in mines and started running the bolt machine, bolt a few places and the load the bolt machine up with bolting supplies, worked with a lot of good men and made some good friends, was hard trying to keep up with miner cutting the coal, "
bad,don't recommend working there and management is sorry. They are one sided and were never for the men. On day we were made to work mandatory days most management was not there do to there (you work for me I work for you planning)
bad,very dissappinted with the management of certain groups. If you like working 70+ hrs a week and getting all the scrub jobs because your not friends with management....goodluck
bad,"Worked for this company for years and years.  Was recently informed Alpha is going bankrupt.  Vacation time maxed at 3 weeks  beginning in 2016, 401K match no longer exists, only 24 hours of personal time(sick time) in a year.  Management has been a rotating door -while qualified individuals were in place, they were let go and replaced with unqualified, inexperienced people.  Staff is expecting pay cuts as well- and many are looking elsewhere.  Safety was a large part of the culture until qualified managment was let go.  Company has always been heavy on the management side.  Excessive bonuses were given to management in 2015 while cuts from the guy on the ground.  Such a slap in the face when years and years of my young life were spent building a career with this company."
bad,"It was a good place to work, good co-workers. The management wasn't the greatest, and didnt really agree on how they went about things but all in all decent."
bad,Coal business just is not what it used to be.  Company was not good at letting employees know about how the company was doing or about the outlook and future plans.
bad,"competitive pay, but all this company does is keep cutting there employers of everything we worked hard for at massey energy"
bad,"long work week with very little time for family. "
bad,the company no longer exists so I feel as though giving an opinion on it is pointless. so since I cant just put a bunch of periods ill keep writing until I have enough let
bad,"Company is micromanaged to death with little to no actual working experience or qualifications within management. Majority of management has college degrees and no underground working experience. Safety culture is good awful. It's a dark, dirty and dangerous job that can be very rewarding. Employer makes you feel afraid of reporting accidents or bad conditions for fear of repercussions afterwards."
bad,Dudnt care about the works but the pay was good the boss didn't do a good job and was lazy they cut corners cut bonses but better then most places it was ok thete
bad,"This job was a part time job.  Duties were pretty straight forward and easy enough.  People were nice and easy to work for.  As this was part time, there was no room for advancement."
bad,"I worked there, made good money, had lousy benefits. Now I don't work there. "
bad,"Just as any typical coal mine, work a lot of hours in not the best of conditions. Doing whatever it takes to get the coal on the belts."
bad,Alpha is a great place to work but it's a dying industry. I hope that it picks up soon. I would love to work there again. I was laid off unfortunately after 7 months of employment. The people are great.
bad,The culture speaks for itself with what’s been demonstrated in the news and Southwest Virginia. The pay and benefits are amazing. Management I have no comment.
bad,Loved working with fellow employees. Wish it were managed better from corporate level if it were maybe they wouldn't have closed the mine.
bad,"Not a company I would recommend to anyone who needs a job to support their family. You work one day and the next day you are looking for work. Yeah, the pay may be great but it is short lived."
bad,I'm filling this out to fullfil at least 150 characters because I have to. I used to work for the company but it has changed a few years ago after it went bankrupt.
bad,"Loved it there was wanting to retire at the place I worked."
bad,I work on heavy equipment for alpha natural resource I have been with these company for 8 years I enjoy my coworkers the
good,"If you like spending time with family, this company sucks. Money isnt great. You gotta use your vacations when they want you to use them. Always threatened people with layoff."
good,"long work days"
good,Productive fun place to work with lots of friendly co-workers. You do many different jobs and see lots of scenery. There is lots of wildlife. Better pay and benefits would be better.
good,"Good money,but poor management!  6 years there and no advancement. no raises,  worked a lot of 6 day work weeks"
good,"a good place to work,but the coal ind. is not very strong."
good,"Start at 11:00pm ,quit when they say your done,I learned very little from this company,skill wise.Management was overall bad at the sites I worked.The co-workers were good.The hardest part of my job was dealing with management.The best part of my job was finishing my job assignment on time."
good,"Was a great place to work untill 2011 when Alpha bought Massey Energy Company and from that time forward everything gradually went down hill. On the upside, met a lot of wonderful people here that i will always consider a friend."
good,"Day consisted of installing roof and rib bolts to comply with roof control plan. Off nights consisted of moving belt/power to advance production crews these were the tougher nights other than dealing with young management. The most enjoyable part of the job was the group of men working their, everyone got along and did what they were expected to do."
good,It's a good company. I've worked for worse and I've worked for better companies. I'm supporting my family with me employment from Alpha Natural Resources.
good,Reliance on market conditions makes long term employment uncertain.  Long commutes for employees not willing to live in rural areas where mines exist.
good,"This is not a company to choose if you want to be treated well. They came in and bought our company out and things were terrible in the workplace shortly thereafter . Poor benefits, costly health coverage, fair to poor opportunity for advancement unless you know someone higher up in the company."
good,Good company to work for as long as you follow instructions. Needs better upper management.
good,"Pretty Dusty, But good hand training. I learned the forklift, Mixing, Punch Presses, even a little Machine Maintenance.Lots of heavy lifting which i think is O.K., but given my degree I'm aiming to grow in CNC Operation, or CNC Programming."
good,Purchasing for the company is a good position. It makes for a busy but rewarding day. I feel like I have accomplished something each day when I clock out.
good,"While working here I trained employees as production techs, I worked long hours, rotating shifts, operated a coal truck. I enjoyed this job, until the war on coal took it away."
good,"Would have liked to finished by career in the industry and company.  However many challenges within the industry and company beyond my or employees control.  "
good,You made good money and they had nice benefits but you never know if you would have a job due to coal industry and then you never know if the mines would collapse and you get hurt
good,Job security is rated low because the state of the economy for coal. There is no job security and employees continue to get cut from their jobs (myself included).
good,Spent a lot of time away from family on evening shift and did many jobs in addition to my own.  Good people to work with and a very challenging work environment
good,When it was busy there was requirement to work whatever hours was needed to get a job completed and at short notice. That being said there was quiet times as well on occasion and so long as the required tasks was completed there was free time. Sometimes there appeared to be limited planning so that tasks could be completed or made easier utilizing downtime as opposed to being last minute rushes.
good,Learned alot and worked with some really nice guys just wished it would of lasted longer but due to EPA mining is in danger and have to look for a job due to being laid off.
good,"I would say the job was very challenging, and sometimes very exciting depending on your job assignment. Working with safety minded individuals helped everyone to do a better job. I guess the hardest part of the job would be sitting for extended periods of time."
good,"Due to market and political struggles, the coal industry is not a stable environment. My current company seems to be playing ""catch-up"" instead of leading the way."
good,Do not believe supervisors.  Two co-workers that were helpful.  The hardest part is working with reports.  
good,very unhappy with alpha i have my electrical apprentice card that i paid for out of my own pocket tired of trying to get in thier program for three years to better myself so i got card on my own they still wont let me use it or put my in thier program very dissapointed
good,When working for this company i had to run equipment and work on D10 and D11 machinery. You also were placed in situations where accuracy is the key. Must be very attentive.
good,"safe productive mines. Opportunity to advance wasn't there. The majority of employees are smart, hard working coal miners with a positive attitude. Overall compensation package comparable to the industry in areas they operate."
good,This company was good to work for. I worked for them for 6 years. Keeping a job with them was difficult due to the instability of the coal industry and its decline.
good,"Mix between office work and field work, great local management and fantastic supervisor. Questionable decisions by upper management and executives as well as a general downturn of the coal industry makes job security and increased compensation non-existent. Much more likely to receive decrease in benefits year over year as opposed to any increase."
good,"It is a good company to work for, just that I drive one hour and a half to work , and they just gave us our sixty day notice that our job is shutting down so I have started to look for something close to home."
good,"lazy people worked here also and again if I get paid, I'm going to work hard...hardest part was operating a shovel instead of the dozer, learned that it is crucial to communicate with my team members...enjoyable part was talking with my Lord on my hour drive home!!!"
good,"Job responsibilities are reasonable in comparison to compensation but an unstable environment (due to struggling market, cost cutting efforts, and restructuring) has caused poor morale throughout the company, especially throughout the region."
good,Working for alpha was good the management really tried to get you what u need for the certain job you was performing and really respected their workers
good,"Alpha is a great place to work,"
good,"Good Work Environment Excellent pay and benefits. Bad Management,  Emphasis on safety and team work.  "
good,High quality job but in today's economy very poor job security. Have learned to operate a variety of heavy equipment along with insuring a safe work environment. Job security is the hardest part of this job in today's economy. Daily worry of job loss is a continuous issue.
