rating,review
good,"Managers will constantly be on you even if you are on task."
good,does not seem as though they really did not care for me as a person no lenience what so ever if you have 99.99 percent production regardless it is a write up 3 write ups in 9 months they will fire you
good,It’s all up to you to make it here. Crazy rates to keep up with in some departments. Favorites by managers do get far. Manager rarely know anything for certain. Always has to get back to you. Crazy walks to some break rooms When you work on 4th or 3rd floor!
good,"People who work faster than others are put into positions where they have to work harder than others who just can't do the job in packing and its frustrating when you've met quota and you get placed with people who aren't even trying"
good,management sucks and its about who you know not how hard you work. i wouldn't recommend this place to anyone. Another thing is that it is way too over populated.
good,I only work at a delivery station but the overall atmosphere of the warehouse is heavy. A lot of associate drama and managers rarely take associate feedback into consideration.
good,"They like to overwork their employees and they push us to scan at a certain rate so they can cut everyone's work hours, resulting in hardly get paid very well."
good,"I never worked at a place where you were monitored all the time.  We were told at one point it should only take us 6 minutes to sign out of the system and use the restroom!!  It was all about the numbers, and I understand that, but the expectations, in my opinion, were unatainable."
good,"I’ve been working at Amazon for nearly half a year now and so far it’s been alright. Most of the people you come across seem nice and pleasant and the work isn’t too difficult. However, the breaks are far too short and due to the size of the place you’ll be rushing around in the time you want to put your feet up and relax. The agencies are not very understanding either and I’ve been given warnings about absences due to family emergencies and the fact that I sustained an injury to my leg (and 10 hours of putting pressure on it is agony) so beware! Probably not a long term thing for most people"
good,"From the time time you clock in, you will be busy, and any slack or time off task will be subject to negative feedback. Workloads can be incredibly stressful, often performing multiple functions to minimize hours lost in path. Equipment, like forklifts, will often be left in poor or broken condition for long periods of time before being repaired."
good,I would have remained with the company if able to. But due to family issues and concerns I decided to move closer to home. Sorry amazon. Will recommend to others in the future.
good,It's a good job to work while in school but not as easy as they make it seem for advancment.Lower  Management was very sloppy. Turn over rates are horrible because they will bully people into quiting.
good,"not a good place to work if you are getting back on your feet.feed back was never good at all, too many young supervisors they dont have good people skills."
good,Working there is great with the many people there but management was unhealthy lacking the time off work to relax and regain strength for continuous work place
good,"everything comes and goes with your manager. I saw the good, the bad and the ugly."
good,"Long days, but not many days a week so plenty of time to do other things how ever you are exhausted and just sleep most of the first day if you are like me"
good,I was a contractor for Amazon Fresh at graveyard shift. Management was very helpful and supportive. The atmosphere of cultures was vary from high school grads to late 50th yet everyone was collaboratively working together.
good,Hard to maintain a work life balance.  If you do not have a family to take care of and can devote most of your time to your career then this is where you want to be.
good,Working here was like any other job. but i found out as i advanced that it was amazons goal to do the most amount of work with the least amount of people even if it is at the cost of their workers.
good,"Amazon thinks that you are a robot and suppose to constantly do above and beyond for work that a 5th grader can do. Its safe to work, however, the managers suck the fun out of working your job."
good,"It's okay at first, you'll be caught up in how much they pay, and then a couple months go by and so does your sanity, you begin to question if your life is really worth $16 an hour. It's. Not. 10 hour shifts make you feel like you're in an insane asylum, it's just not worth the pain."
good,"The job is stressful enough, then you have to worry about being stepped on/over/through because someone wants the job more than you. It doesn't matter if you have triple the experience, if Joe Schmo knows the right person, he got the job and you didn't. "
good,Its a very competitive and fast paced work place. A standard work day depends on which shift you are on. Night shift is the busiest shift with the highest ship goals.
good,"My days at Amazon were stressful and difficult.  My training was not up to par, and my trainer conducted the training too fast.   This one day training was to get the team put to work as soon as possible.  The system in place lacks, it is designed to work the pickers into exhaustion.  My job was at a pickers station, designed to work the employee, picking merchandise, some weighing over 50 pounds at a very fast rate.  "
good,"Pay was sufficient for job, once you included benefits, without it was underpaid. Not much advancement for people my age. Managers were rotated frequently, which made for some confusion at times. Training not long enough for new hires. which caused high turnover rate."
good,"not the worst job but there is flex up which is mandatory overtime if you haven't hit your numbers. its meaningless work so its hard to be passionate about it or happy about it..  lots of people get away with not doing work which makes more work for those who actually tr harder... if you're in school this is an awesome job to make fast money but you can become very unhappy when you're stuck here and don't have many other options, but if you are one of those people the upside to this verses retail is you don't deal with the public."
good,Amazon is a fast paste job. You are required to meet a quota. Its easy to catch on to the work if you are a fast learner.During peak season be ready to work a lot of overtime.
good,"You will work 12-13 hour shifts, 4 days per week. Before each shift, you give a pre shift meeting with all associates. Productivity of workers is tracked and if they are not up to Amazon standards, it is your job to coach them. It can be a very stressful job at times, especially when productivity numbers are not high. I learned a ton in my short time with the company about how to run an operation and get the most out of my direct reports."
good,It was very quick and hard to keep up with. They put unusual strain on employees. The work environment itself was just fine but the quotas to which they want you to keep up are just unruly.
good,If it's not their peak season it's very slow there and they tell alot of people to go home but if it is peak season I recommend anyone who is fast pace to give it a crack
good,"Super competitive, ridiculous amount of favoritism. Hardly any chance of advancement. Poor management. Bad work life balance and it gets worse the higher the level of your position"
good,"This is a numbers driven business, and as such, numbers are required to perform the job proficiently.  The direct management did their jobs very well, but upper management, and HR left much to be desired from such a large company.  Worked for the company for 5 years, and got a great many of people hired on for seasonal roles, but all told me, they would not become full time employees"
good,It was a contract seasonal position. Lasted 2 months in picking and packing was interesting and met nice people and showed a good work effort. I would advise people to take the opportunity to learn from the different people that you work with.
good,"It is what you make of it, Try hard and you will do well. Slack and you will not. Great people to work with. Terrible work/life balance. Shifts change without warning."
good,It's was a work were I saw that there wasn't gonna be no advancement. You had sometimes where there was little fun in the work environment but I'm a person who is always looking to advance in better position and that is where they were lacking the most.
good,In meiner Arbeitszeit war ich hauptsächlich im Bereich packen zuständig. Eine Arbeit bei der man nicht viel denken muss da das System dir alles vorgibt was du zu tun hat. Oftmals war nicht genug arbeit vorhanden sodass ich öfters Heimgeschickt wurde trotz Minusstunden. Selbst in der Weihnachtszeit passierte dies öfters. Gelernt habe ich dort nichts und abwechslungsreich kann man diesen Beruf auch nicht bezeichnen da man Täglich immer das gleiche sieht und tut. Wenn man nach einem Aufregendem Job mit vielen interessanten Beschäftigungen sucht ist man im Versand von Amazon fehl am Platz.
good,Low wages and too much stress to make rates. Managers are cruel and insensitive. Commonplace to see management playing ping-pong in break room while demanding employees return to work and hit rate
good,Awful management.  You were treated like a number and all the employees were clicky and rude.  I was overworked and under appreciated.  I don't feel like I was being set up for success.
good,"It's a warehouse job so the job culture is a real mixed bag. One day it's a high school, the next day it's like Election Day 2018. While the benefits are great, the job itself is daunting and advancement seems to be based on WHO you know not WHAT you know (aka experience)."
good,Great work as long as you can ignore bad manager and don't have a need for work-life balance. It is very rare that you get kudos. The default state is the critique. You need to learn to learn from negative feedback to thrive here.
good,"Management often tells you different things based on the volume. The hours are inconsistent. The system for time-off and absences are often nonsensical but, for a physical labor job, the pay is good."
good,Las ETT nos mintieron pq nos dijeron que era un trabajo indefinido pero que ellos tenían que hacer contratos de mes hasta que la empresa nos cogiera y en la primera tanda nos echaron casi a doscientos
good,"working 12 hours a day 6 days a week with the work i did was hard and painful, during witch caused a injury and the companie would not move me to a new position"
good,Hot really sick with the flu. Doctor took me off with Dr note and orders & because I didn't have the 20 he's the told me to come back in 90 days after I'd been their for a year and just made it through peck..
good,"Amazon is constantly changing and is highly competitive. While I was able to learn alot there (working my way up from temp to management in 5 years) it wasn't because there were any programs to do so. I don't feel that this is unfair as this is the way logistics (or any business for that matter) works, however, I find it important to note that positive results are necessary in order to keep your job. As with any large corporation there are benefits and gaps in overall experiences. The benefits and work hours are predictable and reasonable (except during peak hours). There are often processes and systems in place in order to track results and heaps of data to dig into, which is very helpful. On the other hand, there are gaps in expectations of management, safety requirements and process changes. Safety policies often contradict themselves which can be frustrating to everybody. In contradictions like this it often feels like a free-for-all. There are also many expectations for management which requires a huge amount of prioritization. Overall, it's a great place to work if you can look adversity in the eye, and know how to deal with people above all else, using data to support propositions and results."
good,Amazon is an okay temporary part time job.  It is a physical job and no experience is required.  It is unskilled labor.
good,"I worked here for 6 years and was able to hit my targets with ease, the shifts where good as there was a days or nights to choose from. everyone there was very helpful."
