rating,review
bad,Poor training and management not aware of all thats going on. compesation is not base on experience and knowledge.  what was offered on interview was very different of what i was given.
bad,"Unorganized, messy, even verbally abusive. This place is the definition of toxic. Who ever kisses the most butt wins. The quality of your work means absolutely nothing if you aren't kissing your managers but morning noon and night. Please for your sanity do not work for this company."
bad,"If you have any kind of mental illness or emotional problems  they will fire you    "
bad,"I enjoyed working for the first department and manager I was hired for; however, the contract ended and most of the department was let go a few weeks after I started. I was one of the few employees they kept that was transferred to a different department.  Although I was grateful for the opportunity; I found the position to be very stressfull due to increased quotas, bad systems and inadequate help from management to achieve success.  Several of my coworkers were let go or quit due to being unable to meet their quotas. There is a high turnover and they replace permanent employees with temporary employees to keep from having to pay benefits, such as insurance and paid time off."
bad,"I would go into my shift and not ever know what time I would be clocking out. In the middle of my and my fellow employees shift, management will tell you in that we are working mandatory overtime. If you worked the night shift you would not be clocking out until almost noon. That is insane. No thanks. A lot of warehouse jobs are like that these days and I am not okay with that.  "
bad,"I have never worked at a company that has such little value for their employees.  They hired over 300 temp workers and had no place for them so they put 200 in the basement, expected us to work with 1 monitor with over 10 pages pulled up at one time and elbow to elbow."
bad,"This amityville location is not a place you want to work. They treat you like your a slave. They’re disrespectful, unappreciative, Conniving and straight up foul. No one deserves to be treated the way they treat us. SAVE YOURSELF THE TIME!"
bad,"Too fast paced for a normal human being.....maybe for a bionic robot. Even the young people were very exhausted and tired."
bad,Not a place i would recommend at all absolutely no benefits what so ever at this job they offer pto but u can't use it if u speak English lol they really seem to hate Americans for some reason all they ever do is cater to Cubans
bad,"Your calls are audited 3 times monthly. You're constantly told what you do wrong. Never what you're doing right. You're on production. How many to-do's you clear in an 8 hour shift. If you can't keep up, You're written up and eventually terminated. Family is not important here. All they care about is numbers. Save your time and stress. Toxic Work Environment. Do not apply."
bad,"They hire you on with talk of how your production will be compensated and the cream rises to the top ect. A couple months later, there are mass layoffs, and top producers in the same batch with everyone else."
bad,"This warehouse is a great Comapny before, but once this new manager took over every hardworking person in that warehouse quit, everyone was treated like they were nothing. No good raise, he fires people for the stupidest reasons. And cooperate can’t do anything about it because his boss is covering for him. Not a good place to work. Please don’t waste your time working here, you will regret it"
bad,Disgraceful place to work. Company is very bad. Do not apply to this company. There are better places to work. Management is also poor. No opportunities for advancement.
bad,"Human Resources with a combination of management hires family & friends; in addition to, doing special ‘favors’ for special projects and promotions. There is no room for growth & development. The management & Human Resources work collectively in treating employees unethically. ( The LASH Group sector)"
bad,"I have been here for almost 3 years, and this is what I have gathered."
bad,"Absolute worse place to work at , I would not recommend this place to someone who is starving to death! Management is so unprofessional and has no type of knowledge on how to manage , also  no type of knowledge on how the company runs or the rules and regulations. Favoritism takes a big part in this company if you are liked you will not work if you are disliked you will be overworked. Overtime is mandatory at world courier , if you want to have no life feel free to take this position. Also they will not work with you to help you grow within the company or out of the company . They pay will get you through but most people stay for the benefits. I would rate management a 1 1/2 , co workers were great."
bad,Horrible job do yourself a favor and stay away. Only way to make good money is to go to casepick and work16 hour days no room for advancement even amongst there most valuable workers
bad,Pays well leadership not so good they treat you as just a seat filler. Location is well kept and nice breaks and lunches are nice. If you are looking to
bad,"I'll make this quick and simple. If you want to work here fine but you should know this first."
bad,"They literally bring people off the street and pay them more. They dont compensate the employees that already work there. It's a dead end job. With very little room to grow. And if you happen to advance... you will not be compensated for it. Billion dollar corporation and they pay the bare minimum. These are people with families, mortgages, debt, etc. And the company pays you as if you are a college student living at your parents. It's bad enough it's a glorified call center. The least they can do is pay the employees fairly."
bad,"I recently started working as a telehealth nurse with Lash. Training has been very unorganized and information is not taught so nurses can learn. Trainers talk very fast and run through complex material and expect the nurses then to be competent and capable to do the job.  A trainer said, if you keep asking questions on same topic I will report it to your manager."
bad,If you do a good job you would be expected to do 2 other people’s jobs as well. Management/supervisors are often too lazy or too stressed out and get frustrated when you ask them questions. This is just a garbage place to work and everyone there acts like they are back in 5th grade and are bitter all the time. DO NOT GO WORK HERE!!!!
bad,"Senior Manger from California and Team lead ..both work remote in the IT, are terrible to work with. they have the boss kind of culture. they collect the money from the team including the contractors and share the gifts among these two people. no human respect..and they know how to manage the topmanagement"
bad,"Started as Inside Sales rep then promoted to outside but ran into a buzz saw of a newly promoted District Manager that was not involved in my coming onboard, so tried his damndest to get rid of me and he did!"
bad,"Was a pretty awesome place, company to work for, supervisor was on the ball and all ways had a positive attitude no matter what challenges popped up."
bad,This was a temporary assignment. The job was not hard but the training was very unorganized. The seating arrangement made it difficult to successfully do your Job. The management was poor
bad,"Lies Lies Lies, its a shame how many Lies I was told. "
bad,"This job was the most stressful, unorganized, horrible job I have ever had. This job provided no organized training."
bad,"Catty, cut-throat, clubby. Your teammates may be next to you today, gone tomorrow. No idea where the bar was set, employees are regarded as ""replaceable."""
bad,Very little quality of life as a manager with this company. Upper management needs to understand what it is doing to its people. The turn over rate is a great indication of if this is a great place to work.
bad,"I wouldn’t recommend this job to anyone. Especially this location. Everything was seriously disorganized. Products all over the aisles. It was disappointing because in the interview and orientation, everyone spoke highly of this place."
bad,Majority of employees are contract. Advancement and opportunities are based on favoritism. They value quantity over quality and ignore the unethical tactics used to increase numbers. Poorly or untrained team coordinators and chaotic training. It is as if no one has done this before but are in a position of leadership. Contracts end abruptly and you are ushered out of the building like cattle as you are no longer of any use to them. Unprofessional environment. Not at all what I expected.
bad,"Terrible place to work because management is not open to new ideas from employees and will micromanage you and corporate just cares about making money so that CEO’s, VPs and such can get fat bonuses. They don’t care that people have families and buy homes or that employees are loyal and sacrifice so much for the company. They pay lip service that they appreciate you but actions speak louder than words and their actions say you are replaceable. Very backstabbing culture only work here if you face being homeless and find something else quickly because you are constantly in fear of being terminated. Fast food companies would be a better option for work. At least you can move up and have some sort of chance at the American dream."
bad,Management is terrible. There's a different problem every week which no one seems to be able to fix. They work you 12 hrs every day. The hr is corrupt. I've been told by the general manager that if I don't like how they run it to go find a new job. They do anything they can to not give you a raise. Overall worst warehouse I've been to.
bad,This is the worst place I have ever worked they micro manage you to death you are on you feet for over 11 hours a day and the Management their is so bad and they have no clue on whats going on they don't help when it gets busy they stand around looking stupid and they will not tell you the truth when you are applying for this job they don't tell you about the over time and you have to be 95% to standard all day that means you are running around like a chicken with its head cut off do your self a favor don't work here ever.................
bad,"Bad morale from day one as people don't like their job."
bad,Managers don't care about employees. Bad morale. Not many people like their job. High turnover rate. Managers expect you to remember how to do  a task after learning and doing it once. No grace period for new hires.
