rating,review
bad,This company cares more about the output of product over the happiness of the employees. people constantly come and go due to the harsh work environment.
bad,"FMH-Ametek is the worst, false promises, horrible management, takes away bonuses and will run it to the ground with impossible quotas, and they’ll just let you go when deemed appropriate for no reason and say your position is no longer necessary no matter how important you were to it. Management is friends with HR and will put friends in high places, cuss you out if you don’t obey and force you to work countless hours on demand if they feel so. Run away from them."
bad,Lack of direction. Reason why they still can do things right. Spying on their employees. Poor management. Employees very down by the lack of support from management. Always doing extra work due to not knowing how things should be done. Materials not being made good. Dies not working. Everyday for the past years. Place needs new supervision
bad,Most of the leaders there have a lack of leadership skills.  Some can't do the jobs required for the employees under them. Stressful work without much reward.
bad,"There losing jobs, there sending them all to Mexico. Ametek is the worst company anyone could ever work at. I feel bad for the employees. Managers are worthless"
bad,"Basically run like a prison Camp two misfits Lead rats act like guards on the electrical assembly floor  many grumpy people, really can't voice your opinion with is horrible. out someone out to get ya. Management"
bad,"Very poor management. I worked in the Largo facility as a welder, and there is no to grow at all, and I was actually told by my supervisor that a monkey can weld. The pay increases at 2 percent a year, no exceptions, everybody gets the same. I put in 10 Years there and wasent much further ahead than when I started. Stay away"
bad,"Current employee at Glasseal, Lakewood NJ. Horrible environment. Management has no idea what is what day to day.Some good people but for most part just drones."
bad,"Company lacking management structure, Low pay, and required to work over time every day plus weekends"
bad,leaving at the end of the day is the best part
bad,If you like non stop misery this is the place for you. Toxic environment with very poor management and supervision. I had never quit a job in my life but felt it necessary to get out from under this awful dismal company.
bad,"Not a great place to work for. Very clicky.The manager would not train the workers when defects were made, they would rely on us to fix their mistakes."
bad,Horrible place to work. Management only cares about themselves. Can’t or won’t make departments run properly. Workers work slowly until they can get lots of overtime.
bad,"There is really no management at this company.  People work where they please; accomplish what they please; come and go as they please. "
bad,Because Ametek is so large of a company your treated like a number. Upper management could care less about your hard work and long as they made their monthly income quota. There was a lot of back stabbing. Always felt insecure about your employment.
bad,Siloed and miserable work environment.  Many managers were demeaning and arrogant.  Little room for advancement.  Long hours expected and not appreciated.
bad,Un'azienda improntata sul lavoro in team a livello internazionale
bad,"Not a company you would like to work for."
bad,"They reorganize frequently. They did personality testing so they could use the results to trick me into accepting their offer. It’s full of amateurish Directors and VPs. Don’t walk, RUN away from this company. Or if you want to report to about 10 levels of VPs, by all means, be my guest!"
bad,"Cons"
bad,"It Pays well."
bad,"The management sucks. The employees are noisy! The leaders are not qualified to even be in charge of their own selves. Laziest leaders in the world and management knows. They harass the heck out of people. They are over paid pricks. One definitely stands out the most. I worked at the Peck, MI location for almost 2 years. KH harrassed me every day."
bad,"Entry level for life,if you dont like your job quit,supervision is un professional  ,my supervisor was like working for Rainman. No advancement, no concern to improve the company"
bad,"na"
bad,This place has a bad management for the actual workers. If you are not in the 'front office' they treat you like a second class person. I liked the work I did but was so underpaid that i found my self 'holding back'.
bad,When i was there i went to work sick and the floor manager told me that i was stealing from the company for being there. They dont like when you call in if your sick or when you come to work sick. Very hard to please or advance in company.
bad,"I've done assembly work at moen before and they have a person for each station 9/10... but here they have like 3 people for 10 different things. The pay is horrible. Very small company. Building things here is the stone ages, very little machines and basically a nail and hammer Type of assembly. Management and HR listen to the ""team leader"" and don't make their own decisions. Team leader is basically a worker."
bad,"The company is poorly managed. The managers deploy operational tactics from 50 years ago and are not open to newer tactics. Some employees were bullies and management allowed it to continue, in some cases, management participated in the bullying. The incidents were not at an Ohio facility, it was in Kansas."
bad,Many of the employees have been there for many years.  It is a good company that I used to enjoy working for.  I am only leaving because of my manager.
bad,"It used to be a great place to work, but the last couple years the morale has been run into the ground.. The pay has not kept up with the times, seniority means nothing.  The harder you work, the less you are appreciated."
bad,Was stuck in a stock room and was basically invisible to the rest of the company. My supervisor barley knew I was there. They also have a few employees who can do whatever they want and the managers let them.
bad,This company could be great if not for the poor management.  Benefits are top notch and pay was good but often had to work 7 days a week. 2 sets of rules. Floor workers have to follow them and office staff pretty much did whatever they wanted whenever they wanted
bad,The new management abuses their power. They lie to the workers and treat you badly. If they like you then you can do anything you want to do and they leave you alone. If they do not like you then they harass you and wait to you make a mistake and then they fire you. I know of several people that were fired for no cause and no proof
bad,"I worked hard for this company, for them to turn around and end second shift and fire the management.  They shot themselves in the foot doing that. I would never work for this company again."
bad,"I am A Director OF Engineering and make sure u do not forget that = I like to talk and find faults with every one.  Regardless of time and schedule , if you know how to talk to me and teach me and baby seat me then you are the best. Can you imagine using every resource u have to characterize design issues for a simple transceiver, 6 months latter you are exactly where you started may be worse off. Make sure you dot use the directors chair in the lab otherwise you will be asked not use any chair all week. Get back to earth and do your job or go milk some cows that way you do not cause any stress for hard working employees. May be you can provide the hard working employees with better cheaper milk."
bad,I received a phone call about a job. I mentioned I would like first shift. She tells me first shift is IMPOSSIBLE to get on. I say okay I can do the second shift then. THEN I am told I can't even work there unless I can work all three shifts and that after my training that I will probably be on seconds but if I can't work thirds too then I can't work there. OKAY THEN PUT IT ON YOUR POSTING THAT YOU MUST BE AVAILABLE FOR SECOND AND THIRD SHIFT AND THAT YOU CANNOT WORK FIRST SHIFT HERE. HOW HARD IS IT TO BE HONEST TO PEOPLE THAT YOU MAY BE EMPLOYING IN THE FUTURE.
bad,"Management is horrible and extremely rude and uneducated. Nobody at the company is happy under an extremely hostile work environment,"
bad,"Had to work with some toxic coworkers in the deburring department, but I didn't report it because I knew nothing much would be done about it and I was a temp so it would be a waste of my time"
bad,Senior company leadership unable to provide clear a clear vision for growth as manufacturing was being shifted to China from U.S. factory locations.  The decrease in control of product availability and quality lead to the loss of channel partners and customers while opening the door for significant competition.
