rating,review
bad,Title says it all. Most problems stem from poor management on all levels. Some great people working here though........................................
bad,".Challenging to open minded with my experience."
bad,"Learned a great deal while working there about the industry as well as the processes. Great starting point in a young persons career path"
bad,Cutting Edge Technology. But this company has more lay-offs over the years that they hire. They tend to lean more towards out-sourcing to overseas than anything else
bad,"Low salary standard.stressfull,superior and subordinate problem.no team work.lack of benefit.low increase for yearly appraisal.company frquently reorg people if manaegement team."
bad,"Several significant reorganizations company-wide have taken place over the last 5 years. The latest reorg in  Oct 2014 moved directors and senior management into new roles across the company. Technology and segment groups were joined under general managers (new structure). Same reorg also resulted in significant layoffs (at least 10% of staff) and many teams have been understaffed in key areas. This paralyzed the company for at least 6 months.  According to rumors internally, requisitions are awaiting signature and hiring will start up again this fall (particularly in the product lines)."
good,"great company, but when you have 2 people doing the work of 1900 employees and you have no say and the management does not stand behind you, then there is a time to move on"
good,"They have a lot of time for meetings and it makes it difficult to get a lot of work completed. They are not very focused on primary objectives and the messaging is unclear, at times."
good,Company provides innovative projects to work on everyday. A lot of technical knowledge is contained in senior engineers.
good,Worked there for a few months and completed job tasks as asked.
good,A manufacturing company that requires employees to be trained and certified with all tools and equipment they are operating within their cell or lab. A clean room facility that requires clean room garments to be warned at all time.
good,"a variety of working time/schedule/shifting;"
good,"When I originally started at ADI in Nashua it was great! Then the confusion started. The floor leader did not train me as was expected, I have been there for 4 years now and am still being told not to do something, then told to do it, told to do it this way, then that way. I have so much confusion as to what I am suppose to do I no longer do anything without someone telling me. I am tired of being spoken too and told not to do something I was told to do yesterday."
good,"Was a fun and innovative place to work for many years. Now management is trying to be all things to all people, won't prioritize and properly staff initiatives. Random reorganizations, high-level people leaving or being pushed out."
good,"It's a laid back place. The CEO doesn't seem to know what to do with the company. He talks about moving into software, but just laid off 10% of the software engineers and abandoned hit IoT initiative. Most of the people over 57 were offered early retirement or laid off. Raises never exceed 3% and there is little opportunity for advancement, Every division is perpetual understaffed. While having a greater than 40% profit margin, the profit sharing and health insurance were reduced and vision benefits dropped entirely."
good,"Typical work place, good security, innovative, competitive resources, and good management system for a semiconductor company or wafer electronics."
good,"It used to be a wonderful place to work. It is too bad that things have changed. Analog is now just another company with short sighted management interested only in the stock price. Employees are now just another commodity. The company has performed layoffs in spite of the fact that it had plenty of cash and was not losing money. People are routinely apprehensive about the annual layoffs in the November/December timeframe. Because of this, a vicious competitive environment has been fostered where backstabbing is the norm done by people who mistakenly feel that it will make them more secure. It does, however, still offer one of the best 401K plans available."
good,I am happy working in analog devices but I working as contractor(direct contract) so i looking forward for permanent job.
good,Exceptional place to work; the culture of the individuals who work there take pride in a quality product. The most enjoyable part of the job is experiencing the final product.
good,"ADI is very good for those starting out in their careers to get oriented and has a lot of resources for networking and building one's engineering tool set.  The work/life balance is good and the pay is good enough."
good,"All the different people you get to work with, friends made for life. A learning experience nearly every day. Valuable skills learnt that will allow you to improve your work ability now and for the future."
good,"Over the years it has been a great place to work.  Historically, great benefits. ADI encourages movement within to round out skill sets and stay challenged."
good,Analog Devices was my first job out of college.  I worked on the manufacturing floor for almost a year before I moved into a new role.  I don't have much to say about the company culture because it has been so long since I've been there and at the time I had zero experience
good,I have not been with company for several years and since my tenure the company has gone through multiple reorgs and a significant merger. I left for a better opportunity. It is not ideal for a non-engineer (ADI is a very engineer-driven organization). Good family/work balance depending on the manager you report to. Somewhat political.
good,"The department of test manufacturing is not good. The culture in there is it always be the senior to be the 1st to be promoted or have the more power in talking. The culture is base on seniority which is not nice. Because there are some of the seniors is not capable of the work. "
good,this is a clean room and a understanding place to work. you deal with new tech and the people is always happy and the job is enjoyably not worry about stressing out too much
good,"just in company for 7 months so have no much to say. my BU being bought by On-semi so all the ops had to leave; I was lucky, getting interviewed at apple then got the offer at the same week"
good,I was working here as an contract employee.Nice teamm role.Everyone is supportive but contract employees are not getting any benefits form the company
good,Bread and butter of company is from legacy products created in the 70s. Little innovation but friendly folks. Not for the ambitious but for folks simply looking for a decent job.
good,Challenging everyday. The most enjoyable thing at work is I get to see so many different people at work and have conversation with them. Interacting with all levels of management is a plus to.
good,Challenging workplace with the option to move freely between departments. Benefits package is very attractive however the salary could be better. There are not that many opportunities to progress up the ladder.
good,"I learned SCHEMATIC and PWORK to prepare detailed electrical and mechanical drawings for new product development.Create CAM files for a copper clipboard."
good,"Typical day at work is good, we have a good working environment."
good,"Small teams working on leading-edge tech products.  Strong R&D and leaders in the areas they play in, but little commitment to fight for market share in new areas.  They are good at creating new product categories."
good,Spændende job med mange udfordringer - der er aldrig 2 dage der er ens. Mulighed for at skabe sin egen hverdag.  Meget rejseaktivitet. Få kollegaer med ledelse i UK.
good,"ADI was a very good place to work.The people that I worked with in San Jose made it worth coming to work every day."
good,"okay, free coffee and parking. Grey ceiling doesn't let younger workers move ahead."
good,"Challenging company, highly collaborative, smart people, innovative but a bit too risk averse, slow in decision-making - too many analysis. In the middle of an integration, so it's a bit chaotic there now. You have to be able to deal with ambiguity. Some weak leaders at the top."
good,"Analog Devices is a member of EICC (Electronic Industry Citizenship Coalition), a code of conduct establishes standards to ensure that working conditions in the electronic industry are safe, that workers are treated with respect and with dignity."
good,"Ahead in tech behind in everything else. This is my review about analog devices located in wilmington MA, the united states of america at 804 woburn street."
good,"Analog Devices is a very employee-oriented company. "
good,"friendly culture, but slow paced with little innovation. not suitable for ambitious young professionals."
good,Working Environment and work culture is excellent. There are tons of skills to learn within the company. A lot of opportunity to work with different kind of people.
good,"Productive day at work."
good,"Excellent job security."
good,"1) I checked voice mail and worked on spread sheets. "
good,"Its a good place to work if you are from engineering background but not for support team like HR and Administration."
good,"ADI is a good company with great mentoring culture. It promotes good work/life balance as well as peer to peer communication. However, salary in Philippines is well below the mean compared to other countries with the same job role."
good,Fast paced company with room for growth from within the company. Management lets you work and instills confidence in your abilities. Hardest part of the job can be the long hours at times.
good,In vielen Bereichen flexibler und fairer Arbeitgeber.
good,"Good place to work, management at times do not work well between workcentres, however recent upgrades within company have seen imporvements in this area"
good,"A lot of great, smart engineers who are open and willing to discuss problems that come up in your circuits.  Our group is all about power electronics."
good,"Fun the first part, cutting edge yet a relaxed envirement.   The last part not so much.  I got exposure to many new technologies that I never would if I worked some place else."
good,Helpful friendly coworkers and challenging work mad my summer internship a very worthwhile experience. I learned some new skills and was challenged in using those I already had.
good,"nice client.i like the work environment, "
good,"Great place to work for a semiconductor techie. They have an extensive suite of analog, digital, and mixed signal products. Company is well managed with a seasoned team of executives."
good,"Worked with a confidant IS team that assisted one another with daily activities that consisted of SOP, troubleshooting user issues and time-lined projects. Management works well with team members and co-workers meet daily for trouble case updates."
good,"Pro: Great company and culture for working. Management is encouraging of new ideas but slow to adopt any."
good,BCO is a very good research place for someone who likes a bit of challenge. Well established and good people to work around.
good,"Great wealth of technical expertise with the company.  Good work-life balance.  Upward progression limited, re-organizations occur almost yearly."
good,Work on different aspects of many different tools sets. Engineering behind the engineering is mind boggling. Learning different aspects of the electronic and mechanical fields. Management are helpful and a pleasure to work for as are working with co-workers. Most enjoyable is finding the error\problem\issue and resolving it.
good,"ADI was an excellent company to work for, and the culture is fantastic. I highly recommend this company."
good,A highly interactive workplace where innovation is highly regarded. Many talented people to bounce ideas off of. Selling your ideas is half the fun.
good,"I enjoyed most the group of people that I worked with, they are all supportive and helped me to get easily adjusted with the new things I experienced as a Test supervisor."
good,"A good,generous company and iso certified company .i resigned from the company because nobody could take care of my kids.and the location was too far from my home."
good,"1. Bigger company. To many processes"
good,"amount of learning will be less, advantage is i learnt how industry culture is. pay and benifits are very good. flexible timings."
good,"A high quality employer affording plenty of opportunity, interaction with a wide range of other professionals, foreign travel and exposure to several industry segments."
good,People is great. It has a decent work/life balance. But Management and compensation needs improvement.
good,"I have spent almost 6 years working as a operator in a state-of-the-art wafer fabrication facility in Ireland. Overall i find my experience very good. People i have worked with, culture at work, bonuses, salary.All this things were very good. The only thing which was hard is that i had to work both dayshift and nightshift."
good,"Stable company. Good Benefits."
good,"As with other high tech industry, there is no guarantee in job security. Some departments have better management and are more organized than in other departments."
good,"Good company overall, Analog is a good place to learn and engineers get exposure to diverse set of technologies and markets. Major design centers on both coasts."
good,"My experience at Analog Devices was very good. "
good,"good for NCGs to start career and learn at early stage. Experienced co-workers, nice 401K plan, tuition reimbursement can help on advance degree."
good,It is a good company to work. Friendly employees and management and good benefits. I learned lot and strengthen my skills here. Equal opportunity for all the employees.
good,A very stable company with very good work culture. And a challenging daily work. Every employee is well treated. And well benefit provider. Manage everything accordingly.
good,"Analog Devices is a great place for entry level production applicants.."
good,"A typical day of work, I meet with the Team Lead (TL) and with other technical guys, communicate with the end users and other project stake holders with regards to the progress/status of the project and document each stage of the software development.  The means of communicating with the project team and end users in terms of passing documents is through email, printed documents being routed or through Skype Instant Messaging.  Part of my job is to analyze the requirements, build/code/test new applications/software.   I deploy the applications to the test server in the IIS and Database and then the testing is done my TL is the one that deploy the applications to the Production Server.  Before the buy off by the users the web apps have to undergo end to end testing from my side as the developer to the test to be made by the end users of the applications."
good,"Good place to work but could improve on the work life balance on the 5 cycle shift. After a 12 hr shift you have little or no time or energy for family or hobbies while on shift. That said because of the shift there is good time off between shifts."
good,"Before it was ADI, Linear Technology was the best place I've ever worked.  Amazing management, right from the top.  I learned a lot, did a lot and worked with very talented and competent peers."
good,"Analog devices have good projects, work, and opportunities. Management is encouraging and friendly. Overall it is a good company to start your career if you want to enter semiconductor industry."
good,I enjoyed working at Hittite/Analog Devices.  The people I worked with were professional and shared their experience and knowledge.  Unfortunately like most large semiconductor companies they have moved the majority of their manufacturing to offshore locations.  I think it is a great place for good engineers.
good,It was a very good place to work.  The company was constantly changing and being adapted to the newest technology.  It was nice to be exposed to these changes and be adapted to them.
good,"Good place to hone your skills, down side there are many people in the same organization so a lot of over lap. Not a very good training program"
good,Its like everyday in school. Different lesson you have learned in this company. The most enjoyable part of the job is you have to study the machine that u operate 5-8 machine.
good,"A great and organize Managements."
good,"Analog is a great semiconductor company with some really good managers who act as mentors as much as directing tasks.  My only complaint (as of 2004) was the pay.  They figured bonus and stock options as part of the package, but both were very unreliable over the 6 years I worked there"
good,"I enjoyed working with Analog Devices as HR Administrator. I've been exposed to different aspects of HR e.g. Benefits, Employee Relations etc. The knowledge and skills learned everyday cannot be discounted because Analog has a healthy working environment where we are asked to speak out and re-engineer our own processes. Trainings tha t has been provided was excellent. The Management has played a very effective role by building transparency in the organization. For someone who enjoy working in this organization, I don't have to work a day because it is really fun working with the team. The only thing that really made me decide to quit is the fact that headcount is limited and I have to work as Temporary. The most enjoyable part is that every effort is being recognized and appreciated."
good,Great company for young people getting the foot in the door. Overall management was weak.
good,"There's a lot of room for pushing the scope of the job and gaining additional skills and responsibilities. For example, when I started, there was no program for energy management and procurement. I was able to secure and purchase natural gas contracts directly from the suppliers to achieve cost savings."
good,Management and workplace culture are top notch. Job was enjoyable in the sense that the managers are working towards a clear goal and focus on developing people.
good,Managers are very approachable and understanding.  The work environment is fairly relaxed and the people are very professional. Plenty of opportunity for growth.
good,"Overall, a great company to work for. Benefits are good and schedule is flexible. Room for growth if you're willing to put in the work and management is supportive."
good,Analog has a good company culture and is good to employees.  They respect the work-life balance and provide competitive benefits to employees. Telecommuting is an option
good,always perform a daily work and enjoy the job and very responsible duty to get the job and always have a lot fun and enjoy daily work atmosphere and always enjoy.
good,"God place to work"
good,Good place to work if you are committed to your job and want to gain good experience in a range of RF systems. Work hours are becoming more flexible. Feels like a smaller company when you work in this group.
good,Analog Devices is a great place to work. They continue to grow especially now with the most recent acquisition of Linear Technology. I have learned so much over the 20+ years at this company.
good,"Working in normal office hours as a technical trainer. Responsible for giving SOP training to new hires as well as operations training for test manufacturing equipment such as test handler and automated test system. Do training record updates and certification/ recertification of manufacturing supports. Design and develop training outlines and materials."
good,"all facilities were clean and organized. "
good,"The company has excellent projects and the people are really helpful.The company has tremendous scope for learning, especially for an intern or a fresher.Flexible working hours."
good,"I was with Analog Devices for 2 years, contracting the first contract was for 6 months, they extended the contract but never became full time. My manager was very happy with my performance, but due to financial status they had to laid off all contractors."
good,"Most people there seem to be very nice , treating each other with respect . A few design engineers not so friendly at all specially if you are not white or speaking English with native tone."
good,"Great place to work with many long time employees."
good,Best part was the teamwork inspired continuous improvement atmosphere.
good,"Good opportunities to learn, make a difference    Used to be better, now more red tape    Well managed company    Most people are good, competent, helpful"
good,"Although the job I applied for had long hours and day/night shifts, I felt very much at home at Analog. Everyone worked as a team and were nice to one another and were so helpful to new employees which made the work so much more easy and relaxed."
good,"I learned a lot, helpful staff, great teamwork, OT is available. Flexible schedule.  Company outings and luncheon for employee appreciation month was great.  I enjoyed working there up until I got laid off.  I might apply to go back if there is opening"
good,"Best place for career growth; family oriented company with great leaders. Fair-paying workplace, great incentives and employees’ effort towards the job is greatly appreciated and recognized."
good,"overall the atmosphere around the workplace was pleasant, things are very organized, people were very friendly and helpful, they have a bidet in every bathroom"
good,"A great place to work, with opportunities for learning and advancement depending on the job function. Compensation and benefits are good as well. A company which you can consider a second home."
good,"Engaged, motivated, intelligent team members. The culture is self-empowered, creative, energetic, and independent. Real sense of ""making an impact"" on customers and markets. I continually feel like work matters and makes a global impact. Lots of opportunity for growth and diversity of responsibilities."
good,"Solid company to work for with outstanding benefits.  Lots of great people always willing to help each other.  However, semiconductors is a tough industry considering all the competition on a global scale."
good,"Great Working Environment"
good,e helped build the HR Portal in order to allow the Phlippines office to function as base of human resources shared services. Our superiors see to it that there is continuous learning and have fun programs carried out to allow work life balance.
good,"I support design and product Engineers, with bench characterization.: using test instruments to collect data on how a chip functions and also why it may not be functioning."
good,employees were very loyal and hard working.  The management was fair in treating their employees. the company closed down to the economic downturn in the market
good,"Good place to work, great engineering environment. Communication between employees is (engineers and Engineering Specialists) very good. Serious yet comfortable work environment."
good,"As an HR Intern at Analog,  I can proudly say that this company  is a very people oriented company. they give out a trust to their people, Good salary, with meal and transportation allowances and etc..."
good,Good starting job and culture. Pretty fast paced learning curve. Company invests heavily in skill development. Co-workers are always ready to help.
good,"Good pay and benefits, shut down between Christmas and New Years.  Communication could be better.  Transitioning from Hittite Microwave to Analog Devices has been tough."
good,"Start in a first day of work is training,the department that i belong to my superior and co workers,the product is IC ( Integrated Circuit).i learned how to operate the production machine and make the products from their processing,managing the time is always there co-workers is considered as a friend. the hardest part is when you not meet the products on the time needed. enjoyable parts is when you got incentives from the company."
good,"Analog Devices is a very good place to work, great work/life balance. There is good opportunity for personal and professional development."
good,"Good environment"
good,"we have crewing schedule in our work 12 hours per day 9:00 am to"
good,Better Client i have ever faced and dealt with. Company will like to work with this type of client. Analog Device is one of the very good Mindteck client
good,"Started there delivering interoffice mail, was Jr. Cost accountant when I left."
good,I very much enjoyed working IC layout design for this company. It was an excellent experience.
good,"Analog was my 2nd home because a lot of good memories and experiences with my co workers, we shared our ideas, shared our knowledge and applied it to our daily works and tasks to be a better group. I learned a lot of things from simpliest to hardest work and even to learned the best technique to simply my works."
good,"As an intern, I learned a lot about how the semiconductor industry works from designing certain IC schematics. It gives us a broader knowledge and other topics that are more complex outside the classroom. My supervisor is very supportive to me for learning new things and experiencing new ways in testing the actual IC chip."
good,"ADI has great benefits and some very interesting technology. "
good,"Having my internship by Analog Devices was a great experience, regular employees taught me tasks that happens on a daily basis some were challenging but nevertheless there was always a way to fix a problem."
good,"Analog opens room to his employees to grow within his organisation."
good,ADI is a good place to work at.  Management is competent and leads the business in the right direction.  The people are good to work with and always helpful overall.
good,Analog Devices is a great place to work.  It's unfortunate for me that I was laid off.
good,"Their positions are promising - benefit wise is higher than any other semiconductor industry. Work environment is great and fun, work-life balance can be stable here"
