rating,review
bad,"The pay is not fair and they don’t care if you work hard or not, they don’t help to move forward I don’t think think if they want to see they job done they supposed to pay more"
bad,Management is only out for themselves! The culture is terrible at Aptar Lincolnton. Management does not give equal job opportunities for an employee to grow within the company. During my time there there were four different directors of operations and the culture has yet to get any better. As an employee for almost seven years I would never recommend anyone to work for this company!
bad,"Les salariés de ""base"" sont géniaux, ils vous accueilleront sans problème et vous assimilerons à leur environnement au travail."
bad,Where to start. Management believes workers are literally disposable. They don't seek top talent and don't believe in employee retention. They don't invest into the facility or there employee's.
bad,"Worked at Aptar for 4 years.  Was best performing Account Manager in the UK for Beauty and Home."
bad,They have no clue what is going on . Management is horrible . They don’t even know safety procedures . They write you up if you have an accident . Even if you were doing the steps right
bad,Management is clueless to employees needs. Horrible place to work. They expect way too much for way too little. They keep taking everything away and giving nothing back. It was a great place to work twenty years ago when it was Seaquist Closures. It has went nothing but downhill ever since becoming Aptar. I was terminated after twenty seven years of dedicated service to them without so much as a write up. I was nearing retirement and dismissed for little to no reason at all. I feel as though this occured so they could save themselves money. They don't care about their employees well being. Working for them will make you old before your time. They work you hard because they are severely understaffed. They run full productivity even though they don't have enough people to do so. Their training system is poor too. They throw you on machines with no training what so ever and expect you to run it anyway. You are responsible for running up to twenty one different machines at the same time all by yourself on a daily basis. They have a revolving door of employment. They can't even get people to apply there because they have a horrible reputation for mistreating their employees.
bad,"Aptar is a judgemental place, they do not care how you feel, and make up their rules as they see fit. There is no room to grow. The management plays favoritism."
bad,"Horrible hours for little pay. They make you work more than one press and it's highly stressful sometimes I ran 7. you have people swearing and hitting on their presses.. Overall if you like to run a lot of presses on 12 hours with little pay I say go for it, I sure will not"
bad,it was a long hard day at work the managment was not good overall my coworkers were for the most part not nice people but i did like my job it kept me busy most of the time
bad,Human Resources at NextBreath an Aptar subsidiary.  The old lady there is very condensing when talking to employees of color.  The team lead is always looking for someone to sacrifice for their short comings or at the daily meetings.
bad,having been there for 9 years I've seen a few management changes but their current leadership is abysmal. Between switching employees shifts on a days notice and not filling vacancies and over working the current employees this place is an unbearable environment.
bad,"The job the work was fun and easy, but management and other workers made it difficult. Hardcore favoritism along with shady things go on at that plant . Heard great things about the one in WIS. though."
bad,Sobretodo la encargada de las tardes Ana es simpatiquisima y muy educada
bad,No one ever seems to know what's actually going on. Very little training is provided before you are on your own and while you are being trained your trainer usually disappears for long periods of time. Very cliquey people. They either like you or don't and if they don't good luck getting help. Most people are over worked and expected to come in on their days off for meetings. 12 hour shifts on your feet leave you little time to do much on the days you do work. They expect the company to be your whole life
bad,"Management allows "" who you know"" type of supervision style."
bad,Aptar has the potential to be a great company but they need to focus on how they treat their employees and the management within. Bad management can ruin a company and I feel that is what is going on here.
bad,"Worked here for over a year. Company only cares about themselves - not their employees. Any company like that is no good company at all. Compensation was decent, but not worth what you have to put up with."
bad,chef d'équipe et régleur U1-U2.aucun savoir faire dans le management d'équipe. C'est personne ne sont pas assez contrôlé trop de laxisme.
