rating,review
bad,"- Schicht übernehmen, selber neue Bestellungen bearbeiten, Schicht abgeben"
bad,"This place has horrible management the lie all the time and the have people that don't anything about managing people,I only worked there because I desperately needed a job."
bad,Managers you're all liars from the bottom all the way to the top they sell y'all falls dreams and think you're going to have job security for a long time they're full of s***
bad,"If you are part of ITAD services at Arrow, there is no chance for promotion, fair pay or doing anything interesting. Managers/engineers are lazy & don't care."
bad,"Arrow used to be a great company to work for, but since relocating to Colorado, the company is a shell of its former self. All the managers are poor.  Do not except a job at his company!!!!!!!"
bad,not a good place to work- i cant tell you how bad it was. please dont ask me any more questions on this topic. thank you very much. hope you find the right job
bad,Bad work environment. No focus. No leadership. No training. Horrible Management and culture. No one knew what they were doing. Bad benefits and perks.
bad,I was signed for 6 months temp to hire but there are people in my group who have been here over a year and they are still temp. No holiday pay or benefits for temps here. I am looking for something better. This company could easily afford to hire permanent employees but their only concern is the bottom line.
bad,"A poor place to work, did not agree with culture and outsourcing of all employees. negative working environment and does not foster an environment of fairness."
bad,"The people are nice, but the company is so bad. They let people hanging , not giving them full time, and they get rid of them without ever looking at their performances. Performances don't matter which did not drive motivations at work.."
bad,"A day usually goes by pretty quick"
bad,Terrible place to work. High turnover. Racism thrives here! They will cheat you on hours pay and benefits. This place will break you down! No time off for anything! 03 cent raises per year even after 5 years is a joke. HR and legal department are dishonest.
bad,"Arrow Electronics is a Fortune 500 Company, as such they encompass the typical negative outcomes of “Corporate America”. You are a number. Decisions are made by upper management, who have no clue what the outcomes will be when implemented to lower levels. The company has 24 Billion in revenue; yet raises are small (if any) and holiday parties are a thing of the past. There is no room for growth."
bad,"Arrow electronics bought out what was originally  TechTurn and ended up closing it down shortly after,thus leaving everyone scrambling to find a new job"
bad,Was not a good experience working at Arrow. They have low pay you will not be able to retire working here unless you are in upper management. Good place to start out of college.
bad,"The management, up to the director level, in the AIS division was the worst I have ever experienced. "
bad,Management is clueless lacking in accountability.  Very little opportunity to advance and literally no training.    Low tech for a high tech company.    Awful work/life balance at quarter end.  Lousy base salary and dismal commission structures.
bad,A lot of unhappy people. No real work/life balance. Several departments cannot even get their basic job functions completed correctly or timely. Management and leadership do not make the necessary changes to improve the company.  HR is about 90% outsourced - if you have a problem they will give you a 1-800 number to call.
bad,"that company don't give a care about the employee at the bottom of the line chain, the ones that really make money for arrow electronics"
bad,Horrible company with terrible leadership. I would advise to never work there! VPs are a dime a dozen there and have no idea how to lead or treat their team
bad,"Arrow has major issues with the hours the employees work. You never know when you'll start and when your day will end, it's not a set schedule, it's all by ear. It's extremely frustrating especially since each supervisor tells you something different. Supervisors are completely incompetent. They really do not care about how hard you work. This company tends to focus more on punishing their employees. If you talk you get a write up, you miss a day you get a write up, you are constantly punished no matter how good you are at your job. I do not recommend working for this company. People tend to quit after a week of working here. Either not enough money or over working. They make it near impossible to move up in the company. Honestly worst company to work for."
bad,"Aangenomen voor andere activiteiten als die ik dagelijks moest uitvoeren, op activiteiten waar ik niet voor was aangenomen daar wordt je op beoordeeld"
bad,"zero benefits for temp to hire workers, no company culture. recent accounting graduate and when I was excelling at job- manager marginalized every thing I did to maintain her year-out hire plan. scrutinized daily by the manager to the point I was told my laugh was disrupting."
bad,This was supposed to be a temporary position till I found something in my field of experience. They have a huge turnover. Poor work conditions. I do not recommend this company.
bad,I felt like a slave working here. The co workers was very disrespectful I was over excited when job ended
bad,"I'm so glad to have left this life sucking place.  There is no chance for advancement unless you suck up and are a yesman.  Want to sleep your way to the top?  They can do that too.  Supervisors and managers are rotated so fast that you will not get a yearly review from the same one you had at the start of the year.  Then when you don't get a raise, they'll give you the ""work with me this year"" speech.  "
bad,Awful company to work for. Terrible management. Upper management realizes the lower tier are peons and treats them as such. However if you like getting dueced on at work this is the company for you.
bad,This is a terrible company to work for and they are constantly changing the rules. They will not train you on the new and up coming systems so if you go to work there expect no training.
bad,Was never a good place to work. Poor pay and worse benefits. They provided a sabbatical which was great but now it's gone too
bad,"they will over burden you from the onset.  If given 100 items to task   if 99 are done , you will receive no praise or thanks for completing the 99 but only get discouraging remarks for the 1 that was not attained. "
bad,"Awful company to work for, they don't care about the employees,  just the money they getting from our hard working.  Unfair pays . The only good thing was my supervisor and my co-workers. that was the thind that made the job better"
bad,"If you don't have ambition it's a place for you. If you want to be treated fair and have ambition look for a more professional company cause you deserve better than Arrow Electronics B.V. Because here you are only a number that they can replace. Only pressing people down. No professionalism of management and Hr. ""If you don't like it go away"" Arrow Electronics B.V politics."
bad,Everyone is constantly being laid off which produces a hostile environment. Upper management wants nothing to do with anyone below them. Benefits are below industry standard.
bad,"As the largest employer in CO, this company targets individuals throughout the country in tech. Then when you try to leave, they blacklist you with Everyone who does business with them. They don’t pay all commissions owed to employees, demand most employees travel, and offer terrible insurance plans - most of which Won’t Cover You When Out Of State. "
bad,"No one can help you with a problem employees just worry about what they have to do. In most cases they sit in front of their computer and work in their area, no concerns about anything else."
bad,"A typical day is fast paced."
bad,A typical day at work is doing the same thing over and over again which would be fine if the rest of the day was tolerable. Management is ignorant and don't have the ability to make positive changes for the company or to stand up to employees that don't put the company first.
bad,Went in with great expectations and have been disappointed at the lack of trust and teamwork among departments.  It's a fend for yourself environment.  Bad attitudes and a lack of responsiveness is excused by management and blame is passed like a hot potato.
bad,"managing over 120 accounts daily. Provide full customer service through the entire sales process. For the most part the co-workers are friendly. Hardest part is that there is no room for advancement."
bad,"A typical day at work for me was being crossed trained to work in many different departments. I integrated myself and myself as valuable as possible, I loved being able to do anything requested of me and helping out management as much as possible and learned as much as I could. I trained quite a few people and I learned how to test OS systems, how to program part numbers, serial numbers, model numbers into a huge programming database called APD. I could also test the assets and entered in any and all information required. I started out in Quality Control, making sure that all private information programmed on any and all assets was officially erased, I cleaned assets and reset to factory settings and than boxed them and transported down to shipping. While there I also learned how to run their whole receiving department by myself and log incoming assets ontop of weighing all pallets and recording them in both our systems and corporate systems. There really wasn't anything hard about this job as I enjoy a challenge and adore learning how to do new things and making myself valuable to my company. The most enjoyable part was getting to learn something never every single day and implement my new knowledge into my job. "
bad,I worked there for close to 14 years. I learned recieving shipping and storing product.
bad,"This your typical corporate company, Hr lies to protect the company advancement is granted to those who are deceptive, dishonest.Mutual admiration Soc"
bad,"I worked at Arrow for 5 years, and in that time I had some room for advancement, and while some of the opportunity was on my merit, it was also because nobody wanted to stick around in higher roles. Due to the reactive environment, people clutch at their own responsibilities, and work hard to shift accountability away from themselves instead of collaborating to customer success. Different departments are liking different companies. Engineering can spend lavishly on non-business related items at will, where other areas of the business are passed over for minimal yearly increases. Many people work two jobs in this market while still having room mates well into their 30s. If you just need a job, and that job does not need to satisfy you, this will provide a paycheck. All decisions are made behind closed doors without input from people (mind you I was in management and left on good terms). I had to keep my team in the dark constantly instead of empowering them."
bad,"Low morale, horrible management and no policy or procedures insight. Lots of contractors at Arrow that are over worked and under appreciated! No sight of corporate direction of said “5 year out” should be get out in five years considering the turnover. Stay away if you have self dignity and pride! What a shame."
