rating,review
bad,"Wants to pay peanuts,,and just blatantly lies about everything,,made deal so he would cover half my fuel expenses from Clydebank to Alloa,,got it once,,the week I left,,after 2 months being promised he would sort it out,,and never got the couple hundred owed for fuel,,so left,,greedy man,"
bad,Pronto Insurance has been one of the worst work experiences I have ever had. Poor management that only care about themselves and instead of helping the employees they just find ways to belittle everyone. They say they will pay commission and promise everything under the moon then they don't pay. I would not recommend anyone to work here.
bad,"I resigned twice from this company due to its sweatshop atmosphere whether you’re at home or in the office. Everybody has to work almost 24 seven just to keep their job. Very heavy work load. The pay is good but over all when you consider the hours you put in it’s probably more like $.75 an hour. Most  supervisors are nice and helpful but my last supervisor did not give you support or guidance leading with a bull whip!"
bad,"Run don't walk.  If you get an interview you may want to exit left.  This company is beyond sub-par. It is a stressful environment with unrealistic expectations, this is an understatement. The management is inexperienced, inefficient, and uneducated, and therefore unhelpful to say the least and are unable to support their staff in times of need. Oh let's address the elephant in the room, the training, oh that's right there is none! Also, don't look for raises as they do not exist and bonuses are non existent as well.  Not much incentive for keeping employees around, thus the high turnover and job burnout."
bad,Company is notorious for three things. 1- Promising wage increases (even inflationary ones) and never coming to fruition. 2- Hiring and promoting family members (as other mentioned nepotism). 3- Retaliation against those challenging the salesmen or leaderships ethics.
bad,"Lots of stress and verbal abuse I would not recommend Gallagher. They're always taking things away from employees, sick leave vacation and 401k Contributions."
bad,"The best insurance option is a $8k out of pocket and after that 80% is covered.  No room for advancement and they let go of employees all the time for being 1-3 minutes late. The  building has no parking and it is typically a 4-7 min walk from were you park to get to your desk. It is not a great working environment, you have the  General Manager of the site who is very unapproachable and will give you a fake laugh and a fake smile and never look you in the Face."
bad,"Upper Management will not take your phone calls.  Upper Management have and plays favorites.  Some wonderful clients; however, some expecting you to deny everything"
bad,Orlando claims manager pretends to be nice and supportive but she is not. There is a horrible atmosphere in the office. Everyone overworked meeting corporate matrix instead of adjusting claims. Other Florida offices may be different (other than unrealistic daily corporate matrix). Most adjusters in the red daily regardless of file handling quality.
bad,This company communication is  so bad the management was disrespectful. You have to train yourself and they put others work loads on others even if they are not trained properly. A comment was that confirmed that  I wasn't to be at this Job ... RUN FAR AWAY FROM THIS JOB.
bad,"Too many claims. Not enough people. They hire inexperienced people and this sets them up for failure. Their failed files then are passed on to experienced people thus causing their failure. The atmosphere is horrible! I left after over 2 years because the work-life balance...well, there is none. Work all day or night to keep your head above water just so they can keep giving because someone else again quit. If you want to work here...be prepared to never have a life outside of the company as long as you stay there. They give only up to 3% raise and most of the time the raises are never at the top but not prepared to tell you why. Its really pathetic."
bad,"They hire idiots  for management positions with no experience and treat the worker bee employees like a sweat shop. Horrible pay, management and hours."
bad,"If you are considering employment at this office, in the interview asks these questions.  When was the last time they obtained a new account.  How many employees have left within the last six months. Why are there so many job openings.  In general, how many hours do the employees ""actually"" work per week. Then you will know what actually goes on in this office.  For years because of nepotism certain employees were paid just for showing up with absolutely no work production.  Now because the accounts are demanding their money's worth, all employees particularly claims have to suffer through changes after changes of micromanagement from Senior Management - because local Management mismanaged this office -  to make sure everyone now tows the line.. There are strict deadlines for every single - read this again - every single job duty, there is no hedging or leeway due to the fallout out of prior terrible claims handling from the chosen few.  Just as fast as someone is hired, they leave within a few weeks time.  Unless you are desperate for a job, DO NOT come here to work.  These people make promises about raises and bonuses, that never happen because they create new rules that is difficult to follow and make that the excuse as to why you are not given the promised raise or promotion.  They make unrealistic promises to the Insured to keep their business and expect the adjusters to somehow make these promises come true.  The workload is heavy. especially in the time frame they demand for it to be completed.  Expect to work very long hours and weekends. Expect little to no reward from"
bad,If you are looking for a HP NonStop Engineer position don’t bother.  The senior engineer acts like a child and management supports that behavior. Good luck.
bad,"Typically most come in early and stay late "
bad,"No advancement, says you can work from home, but are working 50 to 65 hrs a week including weekends just to keep up, with no overtime.  Most of the time responding to EMAILS, at least 50 to 100 a day. They don't care about the employees, just the client. If client doesn't like you, your written up or fired.  No type of training, give you a large case load of files from the start, never able to catch up. If you going on vacation, will take months before you catch up again.  EMs from CEO brags about his travels to different offices around the world and his golf game. Bad pay and not enough personnel. Stay away."
bad,"Completely mismanaged claims office with one of the worst work environments of any third party administrator in the industry. No advancement ability, job satisfaction, or work/life balance. Expect employees to work excessive hours in the office and at home with no respect for an employee's right to time off. When total hours worked are factored into the equation the pay is ridiculously low and not sufficient to cover the cost of living in high cost of living area such as Massachusetts."
bad,"Came back after major surgery and was terminated."
bad,"The management sells their product to clients, misleading them on the level of service they will be given.  This is simply due to the overpromising of employees.  There is far more work than employees can handle and management hides this from the clients."
bad,"Very strange atmosphere in the office, nobody seemed to know what they were doing. High turnover of staff too, somebody was always working their last day in the office. Lot's of leaving night's."
