rating,review
bad,"Upper Management is horrible, they micromanage everything. In the renters, home departments have a extremely high turnover rate.  You are overworked and underpaid. Starting salaries don't compare to other insurance companies. Only work here if you're desperate.  The amenities are the best part of the job."
bad,"Only work here if you're in a higher up role, don't work on the phones. You're cattle to them. They treat you worse than cattle though, honestly the worst job I've ever had. They owe me holiday pay from 2014 but because I was young they just pretended they didn't owe it to me. Avoid."
bad,Management expecte you to be perfdct with 100% QA every time or they write you up. Management sits in their cubicals and never are willing to help with anything. This is the worst place I have ever worked in my entire life. Mildred Higgins is the worst manager...she will call a meeting and talks to the group like you are scum of the earth she curses at you. Awful person!!!
bad,Although I was working through a temp agency...the manager at the time...mind you the client I worked for had 3 managers in my short time there  promised me if I had perfect attendance for two months they’d hire me on around that same time the manager knew they would be letting me go in a month. Higher management is more or less on a power trip than making the company better  there is so much going on in that building I wonder how companies let them work for them. Letting a single mother go without warning when you knew a month ahead of time is disrespectful mind you they also informed me by email I will never advise anyone to work for this failing company
bad,"Horrible place to work, was micromanaged by manager. Ask for help or guidance from manager and she was clueless on what was going on. But was more willing to yell at you for anything and everything. Lack of work ethics or standards, and in fact manager should been fired. Poor or bad management skills.. In fact she didn’t have any people skills.  "
bad,We are sorry to hear that you are having trouble with your device. We are currently aware of this issue and have sent this over to our developers who are working diligently towards a resolution. We appreciate your patience.
bad,Assurant pays pretty good. The benefits are ok as well. I dont have much to say concerning the job. This will completer my review concerning this role
bad,There is nothing to say. It's been said over and over by many others. Poorly managed and immature leadership. No effort to improve. Lots of time on useless roadmaps while the entire place falls apart.
bad,"The customers were angry most of the time , the job was hectic, the management was horrible , the people that worked there were ""clique-ish"" and very childish and one-sided ....its a horrible company to work for."
bad,"Sweat shop, no work home balance. Revolving doors. No clear objectives, favoritism, wrong perceptions and assumptions. CIO, SVP and sr management - all ""retired"" in the past 9 mo. Run...."
bad,I don't recommend this place at all. They want you to work hard and don't appreciate your work. peoples snitching other peoples others believing they would opt for a raise. Supervisors go out every time and last 30 or 45 minutes smoking and when the employee needs them they are never there because they are smoking and managers don't care. F*** ASSURANT
bad,"Il s'agit d'une plateforme téléphonique en open space, où les salariés sont collés les uns aux autres."
bad,We weren't allowed to go off script to ask a customer how their day was or to build rapport. It was horrible you'd get pulled into an office and they would make you listen to you calls and have a document with everything you did wrong and you had to SIGN IT. I had a manager tell me they prioritized professionalism over friendliness
bad,"The environment was unprofessional and the people they had in charge were unprofessional. Also, no real work life balance. They require certain people to work EVERY weekend"
bad,"Job is very stressful, and they love to say when you get out of training you will have team support if you need help.That is a lie. Team leads who are there to help DO NOT. They hire managers who do not know the job to help either.  Low pay for the stress. Also managers/ team members gossip too much."
bad,"Managers are friends of somebody, with no experience. They work ridiculous and unnecessary OT. They hire contractors, let them go, then hire contractors ... Thinking they are saving money, but in reality, they are loosing money. Inexperienced C level positions."
bad,"This company went downhill since they went public, they don't care about the employees management is a complete joke"
bad,"Treated horribly  under appreciated and if you were on the phone past your scheduled lunch you wouldn’t get one! "
bad,DO NOT WORK for this terrible company.  They are the absolute worst.  I’m so glad I don’t work there anymore.  They don’t care about their staff. They care about money only.
bad,"No respect from other staffs. Specially some  supervisors and Team managers support only who know them.Hard work not recognised. Racist and bullied. All the managers support to supervisors and Team managers.They don’t care about staffs. Only they support who they know. "
bad,"Productive environment-if you are going for management positions it helps if you are a self starter, willing to engage with others to find and provide results.  A lot of progression from within, and you have opportunities toy shadow other departments and attend meetings that include management and employees from across different lines of business."
bad,"If you want to work somewhere that is stressful and they do't pay you your worth this is the place for you. They don't pay you a living wage. Also they benefit package that they have costs an arm and a leg, also if you dont op out of it they will charge you an arm and a leg each check"
