rating,review
good,"Very helpful employess, fast paced job, lots of benefits, flexable hours. Management is great and very helpful. hardest part of the job, was possibly working the 2nd shift which was until midnight"
bad,"payplan sucks. 100 mini. management is never on same page with each other. manager vs manager.  its a circus run by the clowns. pay is low due to cut throat mentality and hard to sell cars.  low inventory on new, carmax pricing structure on used so no haggle results in lost customers daily. they want to act like carmax having 1/8th the inventory to choose from to switch customers to. ecomm dept is the pits. lots of leads.....bogus leads. i would say 50% of the leads are valid. this is the most bell to bells i have ever worked for a company on a monthly basis.  12 per month to be exact !  dont work here. dont tell your friends. its bad."
bad,Horrible and no customers so no money  work hours and compensation aren’t worth it. You can’t sell anything because no customers come in. If you do sell something you barley get any money
bad,Miserable all the time. Management is horrible.  Company only cares about making money and not rewarding employees enough. Terrible work environment!!
bad,Mgmnt only cares about their own $$commissions$$.........they dont care about employees that work hard to earn them those high commissions........!😠👎
bad,This company is horrible to work for. I have been here for awhile and haven’t received a raise. They do not care about their employees they treat us horribly. I would never suggest anyone work here unless you want to be treated bad
bad,"Very toxic place to work at stay away. Lots of discrimination from the majority of ""cubans"" working there all the way to management. And, certainly too much favortism mostly towards all cubans in this dealership along with bad business practices..👎👎 No room for advancement or growth lack of diversity you can only make it there if you one of them ""cuban!"" 👎👎👎"
bad,Communication is horrible and management is a non factor and getting things done is a job in itself there is no loyalty for no employee that works for autonation you are just a number!
bad,"Would not recommend going to work for Autonation period.so happy I finally left."
bad,"Horrible, vengeful department to work for.  Training is the worst I’ve experienced.  If you are not in the “click” group within the department, you will take the blunt of work.  VERY, VERY, VERY micromanaged!"
bad,Please do yourself a favor and don't work here. It's a nightmare. Typical work day includes thinking about applying to other jobs as soon as possible..
bad,"People if you don’t mind working a flat rate mechanic job,then this job is for you. But if you do mind the flat rate then run to another job cause dealing with this company especially the whole flat rate sucks big time. I would never recommend this company Cadillac Autonation to nobody. This place the manager straight up lied to me about my pay"
bad,Please don’t waste your time working at AutoNation in Johnson City.You had Managers that would be Drunk on the job.Would berate you and always change your Schedule last minute.
bad,Save your self from working in a place lile this. Managers will treat you like a piece of trash. They have a few friends that they like that have been here forever otherwise they talk down to everyone new. Gm is a complete blank and deserves to get fired. Lazy and cheap self wont spend a dime on the store
bad,No one will help you. Everyone is out for themselves cause they wont make money helping others. No advancement and management treats everyone like they are no one.
bad,"Management doesn’t care about you only numbers god for bid you get sick, hurt or have a family problem then your jobs being threatened, very rude and unfriendly"
bad,"Service technicians regularly damage customers cars and write it up as if the customer I did it with the support of management. This company is absolutely crooked and it should be investigated by the FTC."
bad,"If you are young, a woman, lgbtq, or and ethnic minority working for this company is difficult at best, hostile at worst. Very Conservative, racist,  laissez-faire management, and poor conditions."
bad,"IF you love to stand around and do nothing and either get paid for it or not thats your choice, their is nothing but favoritism in that building, most days you mop the floor and clean up after the higher technicians, none of the entry level techs have any tools so i hope you like to lend out everything. the service manager is so selfish and doesnt know how to put his foot down and demand respect. actually you could disrespect him, mess up a car, and he will still find a way to blame someone else who didnt do it and make it their job to fix it."
bad,"Awful place to work at, horrible management, horrible coworkers, constant stress and judging. And the place itself looks awful. Do not recommend one bit"
bad,Been in the car business for years and this is by far the worst place I’ve ever been in. They have a GM that can’t even show up on Saturday mornings and run the only meeting. The GSM is from corporate and can’t get you a new car menu. They have more managers then sales people and talk down to everyone that’s not in management. I literally quit this job mid delivery of a car deal due to terrible management.
good,"Very helpful employess, fast paced job, lots of benefits, flexable hours. Management is great and very helpful. hardest part of the job, was possibly working the 2nd shift which was until midnight"
bad,"Terrible management.  Only care about numbers, does not care about employees, employees are a number to them.  Unless you are a big wig in the company, you are nothing."
bad,"See ads for this porter position every week at the same 2 places and its very clear once you work there why the turnover is so high. Youre treated like a slave for about 20 different people in the service department getting orders barked at you from all angles of the building, No matter how fast you run laps around the building looking for misplaced cars that are parked clear across the property or running around for 20 mins looking for keys that an advisor misplaced for a car that is blocking in a pregnant womens car with a kid in her arm on a 100 degree day, Youre going to anger atleast 5 employees at any given shift because you couldnt possibly do what they DEMANDED,not asked at a reasonable time. If that wasnt miserable enough, You have random angry costumers sitting in the parking lot for 30 mins getting mad at YOU just because you have the company uniform on because a service advisor is too ""busy"" to deal with them for whatever reason."
bad,Trying to negotiate the old brick and morter approach vs. a complete digital presence.  This is a tough place to be in and will make a huge enterprise like AN make some drastic pivots over time.
