rating,review
good,"The best job I ever had. The boss's we're great and the co workers as well, very clean, great pay and benefits, a very understanding company with compassion!"
good,"The coworkers and customers are what make this employer great. The store managers do an exceptional job but the bigwigs make decisions for the company based on what looks right on paper instead of what benefits best between customers, the company, and employees that see to it that these ""Executive decisions"" are executed on customers and how they affect the customers without having a say in them."
good,"I did a lot of custumer service, inventory, did a great sales work as a cashier did a lot of heavy work with auto parts change batterys on cars wipers and try to do my best with custumers."
good,AutoZone is a great workplace where you are constantly learning new things everyday. The mission there is too provide great customer service and to help customers find any auto parts that they are in need of.
good,La atencion al cliente es lo primordial y trabajar en equipo es esencial !!  Sus politicas de trabajo en lo personal son muy buenas y eficientes ayudan tanto a la empresa al estarlas ejerciendo como en lo personal !!
good,"Excelente en todo buen ambiente, personam adminsitrativo bien como el gerente"
good,"Kept up with reports and daily invoices"
good,I was responsible for taking parts to other stores and returning parts. A typical day at Auto Zone consisted of helping patrons and delivering parts and traveling to different stores when I was needed.
good,"Great company, this is a great starting point , great managers, excellent place to work, good benefits, personal time off and vacation time , on the bus like for people that don't have a car."
good,Always be on time and ready to push your limits and learn because that job on its own is a learning experience. Intense environment you never know what customers you may get so you always have to make sure you put customers first and give them everything they need the first time to avoid any unecessary trips back.
good,Great company! The diversity is unparalleled and the other people who work there are like family. I typically answer the phones and assist in pricing parts for delivery/walk-in commercial shops and diy (do-it-yourself) customers.
good,"Busy atmosphere to work in self motivated great place to meet new people, love the costumers that would come in, great opportunity to move up in the company"
good,Work environment was ok not enough hours can't really say to much about but it was ok no complaints. Well organized good off days. Would recommend for part-time
good,come to work learn about cars attention to detail and just to really enjoy your job.hardest part was just getting the whole work style down pact but overall a great and awesome company to work for.
good,I really enjoyed working here. The management was great along with the other coworkers. I didn't have any kind of problem here what so ever. I enjoyed it completely.
good,I really enjoyed working or this company. The insurance was great and they have a union option for their employees as well. If the plant had not relocated
good,"I have never felt like more of a family at work than at autozone, the other workers and i worked together as one cohesive unit to help out customers and each other succeed"
good,I enjoyed my internship at Autozone.  This was my first job in a corporate office setting. I worked on many different tasks and projects during my time there.
good,i started out at the bottom worked my way up to commercial sales manager. i was paid well and treated better. i worked there for just 2 years but i would go back
good,"Enjoyed my time there, great co-workers who always sought out to help others in the aid of finding what they need and the installations need to do so."
good,This is a high volume retail chain that deals with automotive parts. I was in a middle management position that allowed me to help with customers and supervise other employees. I had full knowledge of the companies system. I was well utilized in this position.
good,Everyone is excited to be there. Management is Great. You feel like part of team. A lot of benefits. Management can tone it down a bit tho. Fun job for the willing.
good,"working at autozone helping costumers with any kind of issues according to the vehicle they owned, also testing and replacing batteries and items we can work on"
good,"This is a good place to work, you learn about cars and get to help others fix their own. Replace batteries and windshield wipers. Test starters, alternators, and batteries with nifty, easy to use machines.People will come back and if you use good customer service they will remember it and help you reach any sales quotas you need for the item of the week."
