rating,review
bad,"Difficult work environment resulting from micro management at the Sr Leadership level. Front-line associates are pulled from fire to fire and direct Managers are expected to manage through Director/VP/GM decision making. Sr Leadership does not value feedback from Management staff. An interesting culture that is presented as 'new and unique' which involves free food and drinks frequently, simple employee recognition and quarterly Townhalls, all very common in a Contact-center work environment. Technology utilized by customers and employees is outdated and old, training concepts very outdated. Transparency is not made available outside of Sr. Leadership and accountability of office relationships swept under the rug between front line associates and the most Senior staff member."
bad,"Not on the same page with policy or procedure, high turnover with management which can cause an issue with reps not knowing where to go for the help and training is done virtually which should be done hands on."
bad,"I'm no longer there. There is no work life place. I would not recommend any employees to work here. Treated unfairly, never appreciated. Docked for being less than 7mins late but never appreciated for working 16hr days!"
bad,Terrible management. Totally empty office due to layoffs. Very overworked and unhappy coworkers. Extremely mismanaged. Extremely offensive behavior by coworkers is allowed by management.
bad,"Do Not go there interfering busy body will just dick you off!"
bad,"Avg Company for Employee to work, So much pain from management "
bad,"The quality of people that they let handle people’s medical insurance was scary, How this company is not sued into oblivion is amazing. globalist diversity culture, not merit based. How you can train someone 2 weeks and put them on the phone is careless and wreckless, many mistakes made on information on policies. If were the right persuasion you couldn’t make a 20 dollar cimplicity mistake and be let go and accused of not knowing how to operate a phone, while taking call after call after call. Meanwhile, right next to you, if you were the right persuasion you could get 6 extra days of phone training and still be sitting there doing enrollment and be awful and still be working there."
bad,The definition of a toxic environment. I lost 17 lbs in two months from working with a community of individuals who prefer passive aggressive communication instead of teamwork.
bad,I lost track of people who quit while I was there. Management played favorites and misogyny ran rampant. Everyone who came from the East Coast offices was given high priority regardless of performance. I wouldn't recommend this company to anyone.
bad,"They bring new hires in everyday, a big turn over, they work you for a couple of years then tell you to kick rocks. They have their click, guess you have be in it."
bad,I love the job im doing because i love working with kids and i really do care about there safety. I only work with the kids before the kids go to school and after the kids get out of school
bad,"ADP is a tough place to work. Hours are long, and tremendous stress and pressure."
bad,"Started off great, then became a very toxic environment. Ended up leaving for a competitor. The pay was ok. But the leadership and culture was horrible."
bad,"You will spend all your time in internal work meetings, leaving little time to actually do your job. "
bad,"One of the most unorganized and difficult companies to work for.  Almost all the IT is outsourced, so you know what that means..."
bad,"Was hired as a contractor in the Agency Relations department. I made an honest mistake on an excel file which I apologized for & they fired me after just 2 days for being ""argumentative"" after asking for written directions."
bad,ADP used to be a nice place to work. Look out if you are 50 or older. They let go almost all of their older wise staff in favor of youngers who have no idea what they are doing and will take less money.
bad,"Terrible management, terrible company. My own manager encouraged me to quit-goes to show how terrible the company is although they preach a positive work environment."
bad,"ADP unfortunately has not been the same since the Pershing Square group issue. They really undervalue tenured employees. After 2yrs they will keep adding more work and less pay. Employees are stressed out and upper management are not good strategically. Couple that with  piece mill products that don't integrate and you have ADP. "
bad,"My time at ADP was surrounded by legacy leaders, out dated process, polices and sales. 4 years into a rebrand and still failing. It appears to be a great company until the first few weeks end."
bad,"Was working on ADP's HR portal and we were contractors. We were told they could only hire one guy to work with us as a developer in CT but that they were hiring 4 guys over in India since they were cheaper. The guys from India were hired Full Time. They were flown to Connecticut once or twice so we could get them up to speed on what we did so far and how we were coding the site. Then us contractors were laid off while the guys from India took over. Not having been able to find another job quickly enough my car was repossessed and I had to move out of the home I rented for 3 years into the living room of an ex girlfriend. I guess that is how contracts work, but it was frustrating knowing the guys in India were hired Full Time and they let us go thus causing a lot of financial hardships for me and my family."
bad,"The work environment was toxic, unprofessional and not safe. The manager lived in another state. He was physically and most times mentally not present."
bad,The culture that ADP portrayed that it was all about when they hired me was not followed through. The company is unorganized and doesn't have a reputation for longevity. Hiring from within is all about who you know and not necessarily about skill set. It is indeed a popularity contest. The job itself isn't bad but the management needs major improvement.
bad,"they will reduce your territory constantly to maximize their production while raising your quota.  "
bad,Worst job that I ever had. I had the worse managers I have had in my career. The Managers did not manage or provide guidance for any of the work performed.
bad,"Lots of changes from above that were not for the better and it seems all the other departments like mine are either overworked or understaffed, or both."
bad,"Something is not right at ADP. I would never recommend that anyone work for ADP. They claim that they are hiring new people to do away with an unwanted culture, when in fact, they are doing everything they can to keep perpetuating this horrible culture."
bad,"Are you an adventurous person?"
bad,"I don’t recommend this company"
bad,New department starting out with no plan or directions for work everyday. Required to get a license in which very little teaching is given for the testing.
bad,"Let me just say this... those at ADP should be in prison rather than doing their work. This company has no morals. So if that is what you're are all about, ADP can be a good fit."
