rating,review
bad,"I honestly don’t even know where to start. Please look elsewhere as here the people are disrespectful, managers pick and choose who they want to succeed, very high turnover rate, disrespectful customers, training does not prepare you, and horrible schedules. They pay us pennies, especially when you can do every ones job. HR doesn’t know our job but yet the first ones to come and see you. This was the first place I worked where managers were pregnant by one of there team members."
bad,"Worst company I have ever worked for, no support, extremely clicky, don’t pay their staff correctly, expect you to work all the hours under the sun no work life balance at all"
bad,Stay away!!! You are less than a number. I was told that if I left when a tornado hit my home (with my kids there alone) I would be fired! Horrible!!!
bad,Management is terrible. They treat all workers very badly. They look for ways to fire you. They constantly try to make you do tasks outside of your job description.
bad,Lack of advancement opportunities. Need more diversity in senior management. Need to increase minimum wage for employees. Need to improve high turnover.
bad,"Pros:"
bad,"Theres no respect, your right get violated.  They treat people like a waste basket. I once was told if I used the restroom in the main building I would be fired. Eventually I was fired from trying to protect myself and even though I was in the union , my right was still violated and I was fired for asking people to leave me alone.  If you know better, you'll do better. You've been warned."
bad,Nothing at all the pay is terrible and the no cars on Monday’s and Tuesday.. We have Preferred members who wait. When the have reservations and they are so upset
bad,"Pay is garbage, District manager has too high of expectations & the staff is unsettling. No reimbursement if you've got to use your personal vehicle if you've got to run an errand. District manager is a cheap skate"
bad,"I am a current employee of ABGroup and  staff are always exploited with unfair work culture especially at the Sydney Airport. Management will push you to do upsells and sell insurance but will hold your bonuses and entitlements and give it to the managers. There is continuous discrimination and staff at the domestic Airport are NEVER given a fair chance to work at the International Airport. "
bad,"The reality is that there is too much office politics in the workplace. No matter how much you work hard, you will never progress since there's obvious favoritism going on."
bad,I worked for AVIS Budget for almost two years and it was truly a waste time and energy. The starting bonus was nice but after that is was all down hill. Favoritism and immature managers made it not just miserable but unbearable. After only being there 3-4 months I was thrown on the overnight shift 12am-8am after being told this would not happen. Every night I was stuck with long lines with no cars and very angry customers. This resulted in no sales and no personal life. Despite all that I stuck it out to try to get a transfer to stay with the company. After giving my two weeks notice after being denied a transfer more times than I can count with zero explanation I drove over 100 miles to complete my notice. I reapplied like instructed to another location only to be told i was blacklisted . Stay away from this company.
bad,"Worked there for a year before I couldn’t take it anymore.. managers only hire old people in order to take advantage of them ...cut my commission and work hours for no reason and out of no where.. pay is terrible... switched positions hoping it’d be better but it was the same bs... was often held 2+ hours (against my will) after my shift ended and and was paid nothing more than minimum wage for the extra time "
bad,"Arrogáns, bunkó management. Felkészületlen, tapasztalatlan HR."
bad,"Company clearly cares more about their shareholders, executives, and senior management than their workforce. directors and above do not take any feedback from subordinates."
bad,"There are four shuttlers at this location who are horribly verbally and physically abusive to new employees, that's why they can't keep new employees.  At this location, I was verbally abused by four drivers/shuttlers that work here and physically assaulted by one. The management does absolutely nothing to these individuals.  The drivers have been there for years, apparently dislike their jobs and the climate is the worst I've seen in all of my years of employment.  It does not have to be this way, but it is...for $8.46 an hour.  This place needs to get rid of all of the old drivers who complain and hate their jobs and abuse new employees and get new people.  The women drivers are the worst, not driving but how they treat others, it's not worth it, don't do it.  Many of the drivers don't take care of themselves so they smell bad, look bad, imagine shuttling with unkempt people in small cars in the summer time.  I will say it's absolutely not what I thought it would be.  The old drivers who have been there for years get away with horrible treatment of new people because management just doesn't care, honestly, I've never seen anything like it.  All management cares about is moving cars, aside from the old drivers killing the new employees, they don't care.  I will say management is incredibly overburden, the scheduling is the worst I've ever seen, you can't plan anything ahead of time, there were times when the schedule wasn't even available and employees had to wing it, this is not where you want to be.  There is no professionalism, imagine the worst case scenario you would ever"
bad,Avis Budget Group was a wonderful place to work. Checked in vehicles when returned and checked vehicles for damage.  Processed credit card payments. Answered in-bound calls and made reservations for customers.
bad,"The work environment was very toxic and stressful. They hire anyone off the street, and treat their employees with total disrespect. Not too mention, staff members are very racist too."
bad,Management treat you like garbage. They expect you to go above and beyond for less them minimum wage when you calculate that you don't get paid for opening the store or closing. They see the 15 min that you have to be there earlier for opening as extra that you should do for free. They will work you down to the bone and not even say thank you. That is unless you have a special relationship with management that allows you go move your car every 2 hours and be gone for 20 min plus. If you don't and if you ask for anything more they will make a the problem.
bad,As a manger you are on call 24/7 ON TOP of being scheduled for 50 hour work weeks which turn into 10-15 hour shifts depending on how busy the location is. The location is always busy too because they overbook and you have to turn customers away. Would be much better if only 40 hours a week and on call.
bad,"not the best either, I wouldn't recommend staying here for too long, it can be very depressing. pay is not that great either, definitely would suggest looking elsewhere."
bad,"As many other places, you are just a number. They preach well but act bad. The only thing this company really cares about is $$$."
bad,The worst place I have ever worked. Super toxic environment. Really bad management. No raises ever. just a absolute horrible place from the top boss on down.
bad,The company rips the customer off.and did won't to take care of the customer problems at all . when you are short card that won't you to Clam the customer down
bad,"Hours were horrible pay was awful co workers were lazy. Constantly having to work desk, shuttle, clean all alone, customers, co workers and management never appreciated the extra work i did."
bad,"Four years making less than $10 I am a full time employee, if you're looking for a good job dont bother applying here, work you like a dog with no pay"
bad,Management are a joke they have no respect for their workers will bad mouth about other colleagues to one another an other store management. They will hang you up to dry in situations. They will pick an choose who can have nice free upgrades if your a woman then your lucky you'll get best car on fleet as the desk staff are just randy old guys
bad,Blanket management. Mansgerd take hostile customers side.  No loysltu to employees.   To much of a sexually charged placed. This place is stressfull.  They over book and make customers suffer.
bad,"Très mauvaise expérience! Je déconseille."
bad,Very unprofessional seems to not care about no one but their self stay telling lies it’s always the customer over the employee even when the customers be wrong
bad,"they don't care about you ,or your family,as long as its not their job being erased. they don't stand behind you , they use the cars for their personal benefits. so if you are low on the totem pole you're treated as such. you give 23 years and one day they just call and say we know you're close to retirement but........"
bad,"Ho resistito solo qualche giorno c/o i loro ""uffici"" di Fiumicino Aeroporto. Manager incompetenti, che ti trattano malissimo senza farti andare neanche a mangiare o in pausa videoterminalisti 15min ogni 2 ore o in bagno. Trattano male anche il cliente. Permettono che si mangi in postazione o si usi il cellulare in postazione.Ti schiavizzano pensando che sei un robot. Ho una importante esperienza professionale alle spalle e sono stata trattata come una ragazzina di primo pelo che hanno pensato di schiavizzare a portare le bevande, risme di fogli. Nessuna formazione e i colleghi che si capiva benissimo essere nella maggior parte raccomandati anche loro come 6 manager (tutti con accento napoletano..non aggiungo altro..), non ti spiegavano nulla perchè avevano paura che poi diventavi troppo brava e gli fregavi le vendite. Lentissimi, incuranti di clienti che venivano da 24 ore di volo dall'Australia e li lasciavano in coda ad attendere che fossero ""comodi"" e poi un'ora e mezzo con figli a seguito, per avere le auto. Lavativi e menefreghisti verso i clienti. Con me hanno pensato di trovare la loro schiavetta, ma dopo 5gg gli ho detto ""bye bye"", avevo già capito dove ero capitata. Non sono corretti nei contratti (basti leggere i commenti negativi dei clienti ovunque in internet), le percentuali sulle vendite sono fake in quanto ti mettono target irraggiungibili per non dartele così Avis incassa, ma tu non vedi soldi. Pessima organizzazione anche basilare, trattamenti schiavistici al limite (manco in bagno). Hanno capito male con la sottoscritta. Ho una dignità e do molto valore alla"
bad,"customer service sucks, rude manager, really dont understand how they get any business. I would never get a car, van, or anything for that matter from them they are unorganized and just a mess"
bad,"5 days a week 10+ hours day. Every weekend. Ops Manager gets paid 40k plus commission that I NEVER SAW. The company car and gas benefit is good but not worth wasting you time here. If all you want to do is work and have no life, this is the place for you. Management is poor and could careless about you as an individual."
bad,this company tells you what you want to hear but nothing ever changers I was a driver here the others drivers I worked with were a superb bunch but that was the only good bit about this company
bad,"If you crash a vehicle, you are subject to drug test & will most likely be terminated whether pass or fail &/or if the car accident was your fault or not. Union does nothing on your behalf and serves no purpose to employees. They do nothing to save your job. A number of Cars were stolen bc lack of security system and armed security guards."
bad,ALWAYS laying off. terrible morale.   Employees not able to make their own decisions.   CIO only cares about saving money.   Uses yesterdays technology.
bad,Must do the job of several people by yourself and deal with customers. Learned to work a DOS type computer program answer phone calls for making reservations. The hardest part of the job is dealing with angry customers when the company can't provide a vehicle for their reservation.
bad,"Avis and budget does not offer any benefits it is poorly managed the manager decides whether he wants to pay your or not he trains you for 2 days and leaves you on your own. No respect or consideration for personal life matters. No paid time off , basically you are a slave and belittled & you get nothing in return for it."
bad,"Poor training, outdated computers and programs, cut-throat employees, employees not valued, lack of leadership, antiquated systems and procedures, too many chiefs not enough Indians,weak management"
bad,"I worked here at the airport for almost a year, almost every white worked there has said a racist comment towards me or about a group of people that share my ethnicities. Management doesn’t nothing to hold the parties accountable. You can show up whenever you want leave whenever you want and never get fired which gets annoying when you’re waiting on someone to show up so you can leave for the day. There are two old ladies there that dodge work so you will be taking majority of the customers resulting in no commission.  Do not take this job seriously"
bad,This is one of the worst companies in existence to work for. The management will falsely accuse you of something you didn't do and then will yell at you when you try to go and talk to them about it!!
bad,This is the worst job ive ever worked for. The employees were so unprofessional. The management was extremely unorganized. For all the work we did the pay was very low. Only good thing I can say is that I had down time during slow hours.
bad,"Cutbacks layoffs low pay working there is a high turnover rate biggest turnover I’ve seen in a call center, they don’t really know what they are doing, running on a thread"
bad,"Terrible place to work employees lack supervision, drivers hiding not working taking  extended break lunches leaving  early punching in then not working."
bad,"First and foremost they use you and take advantage of you until they cant no more, oh and dont let you be a great worker they only pick on you and let certain people slack they will stress you out so bad you might end up in the hospital oh you definitely wont grow here at all management sucks they let people harass you and dont do anything about it dont trust none of them but if you need a quick check for a few months go ahead feel like being lazy, and doing what you want to this job is for you."
bad,They dont care about the employees nor the customers. The supposed Union does nothing to prevent the mangers from taking advantage and breaking the contract. Sucky sucky sucky sucky sucky.
bad,"Over worked under paid, management is a joke. As long as they get there money they don't care about employees or customers. The area and regional suporvisers are just as bad."
bad,Staff not trained properly and when you asked to be transferred the just laugh. Managment needs replaced. Horrible treatment of employees. No respect.
bad,company was trash. nobody knew what was going on. Managers never bothered to learn your name. nobody took accountability for anything. zero training. terrible schedule.
bad,"Originally Cendant Corp. Now dissolved. Company had many legal issues 2001-2006."
bad,They can never keep staff. The little staff they do have is overworked. Several managers giving you orders and not communicating with each other. Not explaining the rules to you then punishing you for not doing something you didn’t even know you weren’t supposed to be doing.
bad,"As a former supervisor I have to say they company is one of the worse but why should they change. The employees milk the clock by being at there post 15 minutes and taking 2 hour lunches so they could be with there friends. When you mention this to upper management all they want is good labor relations. If your looking for a place that doesn’t care and pay employees to do nothing and have you have no say in it then it’s a perfect fit. While all union companies are like this, never seen one this bad"
bad,Worse job ever !  Have to clean cars too often if service agent unavailable.  Not provided with cars needed for reservations way too often.  Having to deal with irate customers on a regular basis.  Low pay and high pressure to sell the car insurance in order to keep your job.  I do NOT recommend Avis-Budget group to anyone !
bad,"This job is not worth the stress. Management is poor, work requirements are high while pay is low. Management will tell lies about raises to trick employees to work harder. Promotions are minimal and they hire from the outside making it impossible for the hardworking employees to move up in the company. All the tools you need to work are always breaking, equipment is 20+ years old. Management tries to employ new strategies with poor equipment, causing efforts to fail. Corporate forces the use of a system that works poorly. Corporate also visits on the easiest days, and gives poor advice on how to do your job better. If a day is needed for family or academics is needed, your best bet is to simply call out rather than ask, you will get told no unless you’re on managements favorite employees list. To contact corporate is impossible, to quit is the easiest way out. There are days that there are no cars, even when a customer books their reservation months ahead and prepaid, the employees who have no power get to tell the news to the customer just to get yelled at. Corporate is very much aware, apparently this is a norm for this company. Not only the regular employees but MANAGERS have quit due to the stressful requirements and inadequate pay."
bad,"Put add in job portal so that it can hire H1b "
bad,"Incroyable, mais on a essaye de me balader pour un salaire de misère, le pire c 'est que le compte ne correspond pas à la réalité  ! "
bad,Never been treated so bad In my life. Started as an apprentice I was really excited to get started . On the first day the manager called me useless and made comments about the way I looked. I was made to feel inadequate on the first day of me working there. However I overcome this and started hitting sales targets (never got paid commission) and began growing more and more utill I was top of the leader board in the midlands for my sales and service given in the first few months. However this was still not good enough and was making employees that worked there previously look bad. DO NOT WORK FOR THIS CONPANY. Was humiliated by staff and made to clean many cars and vans in a cold basement
bad,My role was working the midshift from 11 to 7. Staffing was always an issue. The manager did not really care if we were short handed.The atmosphere was as long as the work got done well then that was all that mattered.
bad,"The very bad atmosphere at work. Sometimes wages not on time in the bank. Very small rate - minimum rate for hard work. "
bad,A lot of illegal activities go on here and management sucks too  much work for low pay rate. No benefits and a very sexist company to work for. Relocation is no point
bad,Non era assolutamente l'ambiente adatto alla mia personalità. Lavoro noioso ripetitivo ed alienante. Zero possibilità di inquadramento in tempi brevi e scarsa  possibilità di crescita professionale.
bad,"Do not ever work here. The hours are terrible, the pay is worse. The company never ensures that you have the vehicles that you need for the reservations they allow customers to book. They will short hand your location and tell you to ""figure it out"". THE MANAGEMENT IS AWFUL. Stay far away from this company."
bad,Avis budget group is a hit or miss company. Some may enjoy and others may find it stressful. Company needs some improvements on the security side and customer service side!
bad,"When traveling, please be kind to whoever it is behind the counter.  It is their job to get you where you're going, for whatever reason.  But, if something went wrong, THEY DID NOT DO IT TO YOU ON PURPOSE!  And they will do what they can to get you on your way."
bad,I would not work for Avis again as the hours were not consistent or available for change. Not a great place to try to make a little extra income. Not recommended for even part-time work.
bad,I don't have much to say other than their a lot of work for them ahead. They need to focus on their people and work on increasing their wages for all departments.
bad,"No integrity and support  from the top (DM)  means none from lower management!!"
bad,Avis Budget ist Firma die ich keinem empfehlen kann.
bad,"Terrible place to work at. Basically it's a paycheck until something better comes along.  Management is abusive and the customers are abusive.  Managers play favorites.  Terrible pay.  Long hours and mandatory overtime during peak season.  Because it's customer service and a call center the company is systematically running the place into the ground. Everything is being outsourced to Tijuana. The workers are good people but get no respect from upper management. The company continuously rips off customers by lying to them when a contract is signed, adding things that the customer does not ask for like coverage and upgrades. But if the customer yells loud enough it is able to get to the top you can generally get their money back. Outdated systems. The company is dying a slow death and Uber and Lyft are the way to go."
bad,The company was not a good company to work for. They were to worried about their sales instead of their employees. I would never go back to work for them.
bad,The supervisor staff is inconsistent with communications to the workers. Outside conditions are terrible. No special rewards for hard workers. No free healthcare
bad,people was lazy and to many want to be bosses they act as if you was going to steal the cars .they had favorites . they would take days away from you if you said you could not work those days
bad,Not good. Bad culture. Needs improvement for employees and customers. Bad communication and operates corruptly. No ethics or morals at all. Needs culture change.
bad,"When I was hired I applied on Saturday and had the job by tuesday. Training was a breeze and they then dropped me and left me alone in 4 days to work on my own. I was so curious as to why was this position open and why didn't the last girl stay at the company. They made it seem like they didn't have anyone in the position before but I was able to find out that she ran as far as she could away from the company because it was so badly managed. "
bad,"Apply at your own risk. This location is always running out of cars. Even when a customer has a reservation. The overselling on rentals  is ridiculous and reoccurring."
bad,budget is a great job the problem was the managers in ft laud .commission was good no room to grow but a good pay . i heard miami location is better to work at .
bad,As above - they are a terrible company and offer no support or training. They expect the world and give nothing to support that. They tell you to be on call every day all day and also have favourites which is very clear and obvious.
bad,"In my year and change working there they cycled through 5 managers and none of them really knew what they were doing. "
bad,Reagieren auf Bewerbungen nicht. AVIS Braunschweig!!!!
bad,"This was by far the worst decision I made in my management career. There was 0 work life balance, the culture and the environment was stressful and unhealthy. The hardest part of the job was managing the employees as they were unionized. If they wanted you out of the company they would plot and scheme to get you fired. The most enjoyable part of the job was when it was time to go home. Management was inappropriate in their speech and actions, and there was no room for advancement."
bad,"management can’t organise "
bad,I appreciate the years I had with Budget. The benefits were good and it provided for my family. Great vacation time off to assist the employees with a work life balance
bad,Company biased and racist and the union is a joke have to meet sales goals and the goals are technically illlegal sales of fraudulent insurance predicated on lies and deceit told to traveling customers with limited knowledge of their rights and options spent seven years with company
bad,"South San Francisco/SFO = Absolute joke.  Work 55+ hours a week in all hours of the day and night including weekends and holidays.  Pay is terrible.  Management is horrible and never transparent - they will lie - they will try and do everything they can to hustle you out of hours of work, days of work, and pay.  Salary is poor.  Company culture is nonexistent and terrible staff environment.  This company is not for serious professionals.  Great for people with no education, no experience, no options because its a step above working fast food.  Do not waste your time."
bad,if you don't work for a corporate owned location... look elsewhere. The agency locations are not supported at all by corporate management or franchise management. The corporate owned locations offer benefits and far better conditions.
bad,"Unfair treatment"
bad,"I loved the job, but the manager treated me horrible! He had his favorites and would communicate with them with politeness, but to me he wouldn't talk to me and if i tried telling him something he would walk away as i was telling him something! Very disrespectful! I busted my butt for the company and i got no appreciation for what i did! Never work for the idaho falls Avis."
bad,I have worked in the car rental for 10+ years and I just left the business with a poor taste in my mouth. It has changed from being an enjoyable experience to it being all about sales driven place to work.
bad,"The worst management you ever going to meet"
bad,Do not ever work here. This place is awful. The manager is horrible and doesn’t know how to be a manager. The company is greedy and does not care about you at all. They don’t pay well and don’t care about your safety
