rating,review
good,"One month assignment with Nelson Staffing, processing IRS tax documents for Bank of americia"
good,Great company.  I learned a lot.  Everyone who worked there was very friendly and helpful.
good,its a very organised place to work. All systems are set and a very non chaotic environment to work in
good,I worked at Bank of America as part of my banking class. The team is extremely nice and helpful. They make the environment fun. While being there I help them filing documents.
good,"I completed the Nation's Bank/Bank of America management training program."
good,"This is a good company to get yor foot in the door and learn about what banking and taking care of people's needs. Everyday will bring new adventures with customers, whether it be helping someone get their first credit card and teaching them the ins and outs of credit or helping someone retire."
good,It's all about the sales and add-ons here. If you want a sales job with no bonus work here.
good,Multi task ability a must. Foreclosed vacant properties owned by Bank of America as well as the management of HUD properties and outside banking facilities. Responsible for portfolio of 600 plus properties per month.  Co workers were enjoyable to work with
good,I learned from many Financial Advisers while working at Merrill Lynch.
good,"I appreciate the time I spent working at Bank of America. I was able to enhance my professional ability, while being instructed by great management."
good,"A recognized leader/champion known for timely delivery of complex projects by forming alliances with technical and functional teams across the organization.  Highly commended for assertive decision making, energizing the team and crafting irrefutable arguments based on intricate empirical data.  "
good,"I enter data entry, answer email inquiries, phone calls, & manage a desk daily. My management team is great. I enjoy my work place enviorment. My co-workers are great to work with & be around on a daily basis. The hardest part of my job is quitting. The most enjoyable part of my job is meeting clients needs successfully."
good,"effectively process numerous transactions, learned to sell products that benefit customers, and performed administration duties."
good,"•	Knowledge of the complete mortgage lending process and financial analysis techniques"
good,"Face pace working environment,there is no micro-management this is not recommended for entry-level workers."
good,"I had the best experience during my summer internship. Even the senior most members of the group knew about my work, appreciated it and made it a point to get to know me. Hard working environment where one is learning constantly with a keen focus to create value for the client."
good,A great place to work with many opportunities for advancement.
good,"Bank product sales (credit cards, loans, savings) and customer service"
good,Enjoyed helping clients meet their goals and discussing their options.
good,BOA offers remote positions and paid volunteer days to employees. It is a great work balance!
good,"An ex-Oracle employee with over 15 years of experience in multi-terabyte Enterprise Data Architecture and Business Systems Analysis with creative analytical skills and expertise in data warehousing helping companies to make wise business decisions by accessing accurate information. "
good,"Served as primary administrative assistant to the Branch Manager."
good,A typical day at work included verifying motions for attorneys to make sure attorneys followed Bank of America's state mandated key. Management was supporting and helpful. My coworkers were reliable and they truly believed in team work. The hardest part of the job was validations. Every word and all punctuation had to be perfect. The most enjoyable part of the job was showing attorneys how to properly complete a motion for bankruptcy.
good,A typical day at work consisted of constant balancing and processing of transactions.  I enjoyed making customers happy and working in such an efficient and professional environment.
good,I was very pleased with the work I was doing for Bank of America.  I was exposed to several loan types and gained a wealth of knowledge and experience.
good,"Working at Bank of America was one of the best jobs I have had in my career thus far. The management was great, team mates all worked together to get the job done and the atmosphere was almost always upbeat."
good,"I enjoy every single day at work. very challenging day after day."
good,good company to work for was an intern. help assist with clients
good,The work environment here is very systemized and easy to adapt to.
good,Co-head a wealth management team and manage the complete financial affairs of a select group of families and individuals in the local area
good,"Enjoyed supporting efforts of others."
good,Open new accounts for new customer's. Research customer's accounts to prevent fraud.
good,I would create direct deposits and balance transfers and pay customers balances on credit cards.
good,"Enjoyed my experience working for them, Honest and open and kept employees updated on any issues"
good,Old school great time learning experience traders were the best
good,"•	Working as Lead on different Mortgage applications in both Initiative projects and Production Support."
good,very easy to work. i learned to be better person. management was bad.
good,Providing customer service in a call center environment. I love to work in a team environment work space where everyone is a team player and there is room for developmental growth.
good,"This company believes in the concept of ""The sky is the limit""."
good,"Make the Right Move and join a winning team! Build your career with us. BAML - North America is part of BAML Group, one of the largest banking and financial services organizations in the world. Our domestic strength and extensive global network provides our employees with the best of both worlds - the friendliness of a local organization and the resources of a worldwide network - for diverse experiences and challenging career opportunities"
good,BofA Merrill Lynch is a great place to work. I enjoyed it very much. The management in Salt Lake City was great.
good,"This company is great, it has really given me outstanding opportunities, and I loved my job."
good,I enjoy my job at Bank of America and the only reason that I am leaving is because they are closing my site.
good,"Answering inbound customer calls full time and resolving their reason for calling in a caring and understandable 1 call resolution by taking ownership of the call."
good,"Establish, retain and deepen relationships with customers to provide quality customer service while achieving personal and team goals with banking necessities via telecommunications."
good,Worked with a group of individuals that were very friendly and motivated. Great place to work.
good,I was hired by a gentleman who became President of Merrilll Lynch.c
good,Merrill Lynch is an excellent place to start a career in wealth management. The company is an industry leader for a good reason.
good,Helping clients find solutions is the most enjoyable part of my job.
good,"First hour to review all e mails and contact any client with a loan in process to gather all necessary documentation requested by the processing department.  Next 2 hours to contact Realtors in the area to promote the programs available at Bank of America for potential clients.  The rest of the day if at a Branch to also promote the different mortgage programs to potential borrowers, presenting not only the benefits but also the advantages of keeping all their business with Bank of America."
good,"customer service, monetary transactions, following bank procedures and policies."
good,BAC was a great place to work. I would recommend the company.
good,Respected and self-motivated professional with more than 15 years of experience in the Real Estate industry.  Senior underwriter who sucessfully manages a multi-million dollars pipleine in residential loan and ensure compliance with approriate company and secondary market investors are met.
good,This was my favorite place to ever work.  There were hundreds of people that worked here and you could make lots of friends.  Because of the large size you could easily transfer into different departments and cross train to new jobs.
good,Highly diversified work environment and challenging projects which improved my technical and people skills.
good,My work experience includes 4 years of Management experience at my current job and 3 additional years of Management experience from my previous jobs. My experience also includes 7 years of Risk Analysis and Mortgage Underwriting of very complexed loans. A typical day in the last 4 years involved deep risk analysis of various loans. Approving loan exceptions in a great work/team environment.
good,Great company to gain vast experience and excellent Asset Based Lending department.
good,Great learning experience and job. I enjoyed the work environment and the insentive
good,"Bank of Amerciac as a Powerhouse Financial Institution. It is a great place for anyone interested in cultivating a career in the finanacial industry. From retail banking to Wealth Management, there are a pletora of opportunities at every level."
