rating,review
bad,"The management at this store was completely inept; when they aren't simply pulling tills, existing within their own to make displays and talk about the rest of the employees, and doing literally the same job as the Booksellers on the floor they are reading statistics or holding pointless meetings that accomplish nothing. There is no training program either beyond a binder with poorly-writtenC outdates, and confusing instructions. Worst work experience I've had, despite countless promises of inclusivity and attention to employee needs."
bad,The managers pick their favorites and give th the first choice on shifts. Also there is no support in the cafe so although was a bookseller I spent the majority of my time covering for the cafe. The management is very liberal and political
bad,"Management refuses to hire any new employees, They send out emails stating they will be looking for other candidates months and months later. They do ""Phone"" interviews and never call back but months later send out emails refusing any new person, It's like they only prefer students."
bad,"No hours, extremely early lunches sometimes an hour after getting to work, like pulling teeth to get someone to cover when it's break time, just all around unhappy with the company"
bad,"So understaffed most of the time, very stressful place. Working in the cafe was horrible. The manager is lazy and does not do anything and when we are busy she always disappears. The coworkers were nice and made you feel welcomed. The pay was not worth it for how much you had to work."
bad,While you will meet some amazing booksellers and people in general Barnes and Noble as a company does not care about their employees. I have worked for this company for 16 years in 3 different stores some managers are worse then others and forget asking the”we listen” line for help it’s not confidential and only hurts the reporting bookseller in the end.
bad,"They expect more from their employees than is humanly possible for very little pay. Also the B&N corporate takes every opportunity to make terrible business decisions, then cuts hours for employees to make up for it."
bad,Terrible place ownership and management use this place for there own twisted political views . I will never work here or shop here again. BUYER AND WORKER BEWARE
bad,"Barnes and Noble is a company that puts its employees last on its list of priorities. The only kind of benefit this company gives you is an employee discount that keeps getting smaller. "
bad,"The managerial system was corrupt. Unfortunately, they could get away with discrimination since it was not caught or recorded on cameras. Local people report the managers (and some workers) here are ""slightly"" racist. They often comment on the lack of diversity in the work place. "
bad,IT sucked working there. There are NO café managers. Everyone is quitting and your left alone a lot even when your new. They throw you in there and assume you can handle a whole bunch of customers and drinks when you barely have any of the information in your head on how to make things. Managers could care less what happens in café. You work really hard and not paid for all the things you experience.
bad,"It may have been fun a decade ago but these days, this bookstore is a disaster. Everyone from the corporate office down to our District Manager and Store Manager have been horrible to work for and with. They are so fake to your face then they'll report you for something stupid and throw you under the bus for they're responsibilities. I cant see this company lasting much longer, they've insulted our good regular customers as well as our best employees.Not only do I not recommend working for this company, I strongly recommend you shop elsewhere!"
bad,"This company seems to care more about numbers then the people, most if not all the managers I worked with couldn’t be bothered with the ideas I had, nor the less then up to par working conditions they have. The cafe is a a disaster. My first day I stopped the training to clean black mold. Let all the managers know the health code violation we were in Bc of it. No one was held accountable because of the inaction. Not one person would listen when it came to organization. Just all round a mess. Not to mention most of the employees were afraid to say anything for they would lose hours."
bad,"A typical day at Barnes & Noble was frustrating to say the least. Lots of customers but not enough staff. They stated the mantra of ""customer service"" and treating the customers with empathy, yet the management couldn't even lead by example, were passive/aggressive and spoke down to you. Management had you read a manual to try and figure out the job on your own. Calling on them for assistance was a joke. They would look at you like you were crazy for asking a question. Their expectation levels were way to high for the number of employees they had on any given shift. I'd say this was the worst retail store and management I've ever worked for."
bad,"They claim this is a part time position but it’s really not. They’ll have you on the schedule 4-5 days a week, 9 hour days with a 30 minute lunch,  with awful pay, you’re better off finding try part time work else where. They’re also extremely pushy about telling people about the membership."
bad,"I worked at Barnes and Noble in Reno, NV as a Warehouse Clerk. I'm of Hispanic decent, however, I was shocked and utterly surprised that the supervisor would conduct her morning meetings in Spanish when there were obviously other workers who were not of Hispanic decent and did not understand the language. I found it highly offensive. This facility seems to have a bias in hiring Hispanics. There were maybe a handful of workers who did not understand the language and who were not of Hispanic descent. I felt terrible for them because they would ask what was said in the meeting. It also felt like a prison. During our orientation, we were given a clear fanny pack to use to carry our belongings in because security will check your bags when exiting the metal detectors, which you also have to go through to get to your station. There is a bell that goes off for each break, which also make you feel like a prisoner. The break rooms are a distance away from your work area, so you have to make sure to rush to get a bathroom break and quickly eat your meal because if you do not get back in time, you are being talked to. I absolutely not recommend this place unless you are absolutely desperate."
bad,This job is essentially high school with adults. The management honestly believes they are the cast of mean girls. There is definitely a culture of a weird type of bullying that is masked as the management staff pretending to be your friend. If you suck up to them you will be well-liked. If you show up to do your job that isn't good enough. You must befriend management to have a positive experience in the union square store.
bad,"Management was horrendous. Sure, it's great to work here if you have no other option. At least, this is true for the Huntington Beach Branch in CA. It is clear as to why, Barnes and Noble is dying."
bad,"The store in ridgecrest was small. At a glance one would think it would be a nice inviroment but the office lady made spiteful comments to me and directed to to me because my glasses were thick and it took me a little longer at times to find the screw numbers or names of books. Her rudeness made what I thaught would be a pleasant work inviroment streful and I ended up quitting because her rudeness made me feel bad about myself because I know I have to wear glasses, but no one likes likes to be poked fun of or be the center of jokes behind ones back. As a book store- I like the store in Glendale but the store in ridgecrest was small minded and a real bed sore."
bad,"I highly disliked this job due to the managements unwillingness to listen to employees issues. Such an unorganized management team. The pay sucks and my little brother who worked at Bojangles in my middle of nowhere town even made more per hour than I did. You may get assigned to one position for a certain day, but you will be working all positions because “someone was sick” or “no one else wants to”. I even contacted the corporate office concerning the ridiculous mess that my store was and they offered 0 help. Never work there unless you’re ready to be payed a fraction of what you’re owed for the work you do and to be screamed at for not doing a job that isn’t your responsibility."
bad,This is was the worst job I ever had. They took advantage of how hard I worked by refusing to respect my time and refusing to pay me more. I hesitate to even shop at Barnes & Noble anymore.
bad,I feel as if i was highly discriminated against I worked at the Barnes and Noble bookstore at Northern Virginia Community college in Manassas VA. I was let go because I didn't know how to properly use a box cutter. I feel as if I should've been trained instead of being removed from the team.
bad,"Terrible job, forces you to stay late after closing by force and demands you to come early for morning shifts. Will work you to death during busy seasons even though we are always understaffed no matter what, especially during the slow seasons because they just cut people's hours without care of if they can pay for the rent because the company only cares about their own profits. I was harassed by a lead and a manager who had anger issues and would threaten customers all the time and nothing was done in either situation. I was blocked by the lead manager to get in contact with HR over the harassment I was dealing with for over months at that point. I was promised by managers that I would get a response or hear back over what happened and nothing. Management is terrible, always had to deal with homeless people and drug addicts in the store as well and manager didn't care about our own safety, just told me to keep it quiet around customers when I had to deal with the same addict multiple times and afraid for my own safety. Easiest store to steal from because they don't have their own security and always understaffed so never enough people to keep eyes on anything at all in the store. Discount is not even worth much, better to just save your money and buy off of Amazon. I can't wait until they go out of business because you deserve to. Four hour shifts is utterly insane and still I hear people getting hours cut to two hours or just sent home once they arrive to work. They also cut our discount from the B&N cafe, because they are so greedy they just want to profit more off of the"
bad,It is a terrible place to work. My managers always scheduled their favorites the best hours and threatened to fire us if we didn't reach daily goals for the rewards programs. The only pro was 20% off regularly priced items. It went up to 30% right before Christmas.
bad,Very toxic work environment. Abusive upper management. HR not helpful when I reported that I was being verbally abused and harassed by my store manager and assistant manager.
bad,The management is grossly unqualified and the store is always understaffed. The cafe was not appreciated and there was only one person who was cross trained and they wouldn’t even let her work in cafe to help if someone was working alone.
bad,"Typical cafe service, Starbucks located on second floor, 8 hour shifts, very busy around the holidays. Room for growth within the company as long as youd like to stay a barista."
bad,"Not a great place to work if you have mental health issues and managers who simply don't care about them. Interacting with customers was fine, but I feared going in every day for what type of panic attack I might have based off of the manager working that day."
bad,"At first, I loved working for Barnes & Noble. It was fun, quick paced, and full of fun loving people, but that all changed as time went on and I became more comfortable around my coworkers. The only light in the entire time I worked there was working in receiving with one of the best managers I've ever had, but Barnes & Noble didn't think his position, or the 2 head cashiers, or even the woman who did all the VOS orders, were important enough to keep, so in one fell swoop my boss, as well as 3 other coworkers were let go before they could even clock in."
bad,Staff and management was insulting. Employers do not seem to be concerned with employees. They did not show respect for their staff. Horrible experience.
bad,"company was bleeding money and instead of trying to innovate and bring in new customers they placed extreme expectations on the booksellers and baristas to badger customers about multiple promotions that were always ongoing. Management set quotas for how many drinks, memberships, promoted books etc. that you had to sell without offering any kind of incentive, customers frequently complained about the badgering remarking that it was akin to walking on the a car lot"
bad,"This is not the kind of job that can financially sustain an adult. You will have to surrender your entire schedule to management to get even close to 30 hours. Every week, the schedule changes, with only a couple days notice. "
bad,"Worked at BN for 15 years. From management to part time and every department. Beyond shady. I worked enough hours to get benefits but was ""coded"" at 12 hours so I could never get them. Full time positions were almost all eliminated they laid off great, tenured people to do it. Workload to staff ratio was exhausting. Cafe employees left alone for whole shift practically begging for a break which was covered by a manager who was barely trained in there.  No training, horrible customers, horrible pay, horrible management, no honesty, shady disrespectful upper management. It started out great but the employees are the most miserable people. All of us were on Indeed looking to jump this sinking ship. Shut it down."
bad,"Would not recommend to work here, the manager’s were not very nice they would throw you under the bus even if you didn’t mess up. The coworkers were the only good thing about working here"
bad,Poor Store Manager who has a record of losing quality and people with integrity due to harassment.  Lack of company required training.  When store manager was not present everyone worked as a team and enjoyed their day.  Producers were acknowledged.
bad,not enough help on the sales floor. The company is worried about money and is suffering. their needs to be more staff on the floor and having less focus on selling memberships
bad,"The company is constantly changing things, ignoring feedback from the store level, and cutting vital positions for no sensible reason."
bad,everyone is jumping ship no chance for advancement increasing expectations decreasing payroll doing away with full time jobs but you get to be around books.
bad,Did not enjoy working here. The mission was loosely followed and the turnover rate is ridiculous due to unruly supervisors. Will not return back to this and wouldn't recommend it.
bad,"The once great company which turned on its dedicated,most knowledgeable, best working veterans and threw them out with security."
bad,"Working in the cafe was an absolute nightmare. Other cafe workers were angry, incompetent, arrogant, and lazy. Sanitary food handling never practiced and the restaurant was filthy. Customer service skills were abysmal. If you value integrity, honesty, hard work, and healthy communication, do not work here,"
bad,low pay not many hours unless you are full time any thing less you get 10 hours if you lucky I worked there 5 years had a good boss to start It was fun at times but no money to be made.
bad,"As a lead bookseller, I reported to Corporate headquarters, that the person under me would not follow my instructions, or requests- because he enjoyed the favors of the store manager. This has remained in my file- and has prevented me from ever working for any store ever afterwards.  Most recently, this has happened with my application for work as a temporary bookseller in the Frederick, Maryland branch. It is either that, or because of my longevity, I am 64 years old now."
bad,B&N is clearly headed in a downward direction. It's a non supportive environment that I would never recommend. 
bad,"it was not a nice place to work they treated us like we meant nothing at all, they were always looking at us and they thought we were not getting our work done, to me they seemed to be a little racist"
bad,"Barnes and Noble is a company competing against itself, barely managing to keep brick and mortar stores open when their online store is out competing itself.  They don't price match anything, even themselves, which leads to intensely awkward and uncomfortable situations for the in store employees.  They also pay incredibly poorly and the benefits are lackluster.  Plenty of PTO days are offered, but employees are strongly discouraged from using them."
bad,This store is poorly ran. This company has no compassion for the working conditions they place their employees in. Always chaotic with minimal staff so workers are working extra hard. Retail at it's worst.
bad,Not a good place to work. Won't be around very much longer. Punitive culture that pushes you to increasingly unrealistic goals. Compensation is pitiful.
bad,"Cut throat, brutal management, highly stressful, ridiculous, insane, unnecessary nonsense, bad management, over the top, mean, nasty, unfair, inhumane."
bad,The only way to advance is to be a total yes man and to kiss butt. I wasn't a buddy to management and got screwed over every chance they got. No one there cares about you if you don't blow smoke up their butts.
bad,Low pay. Long hours. No advancement. Poor management. Rude customers. No time to complete your tasks. Poor supervision. No communication. Bad place to spend time.
bad,"I was at a Barnes and Noble that just so happened to be attached to a mall, so working in the cafe was much much busier than other stores. However, you couldn't tell with the leadership. They ran a pretty shoddy ship. At this point, though, the people I worked with are no longer with the company."
bad,Self explanatory - terrible management at every level including regional. They just kept replacing bad managers with worse ones. The store will be closed in the next year.
bad,"My employment at Barnes and Noble was dissapointing because I was not compensated well for the work performed, the store was not well managed and it was not a pleasant work experience"
bad,"Always understaffed"
bad,"no benefits and part time hours, the pay was minimum wage. Pretty slow paced work environment. there were not many opportunities to advance in this company"
bad,"This was once a wonderful place to work, but in the past year it has gone down hill, expectations have become unrealistic and there has been a mass exodus of management. New management has been poorly trained and the corporation as a whole gives off an unorganized air."
bad,"Could be different else where, in Spokane, it's the pits.Management above store manager level is very two faced. Advancement only happens if you really agree with district managers at all times. Store managers need to step up and defend their people. If a concern happens or training is needed then give the time needed. Manage the stores as they are your own. Not every square peg fits the round hole. All the training and seminars that are given to store managers on how to treat people need to start at district manager level.However, store managers are also afraid to not agree or they will soon lose their job."
bad,"Absolute worst place I have ever worked at. "
bad,"If you want to make some extra money during holiday season, it's worth the risk. But that's it. When the year starts, they cut your hours dramatically and without notice. When you ask about it, that store manager lady tells you so many stupid lies, and expects you to believe in her bs. She basically underestimates your brains. And they are so lazy, that the computer system BY ITSELF does the schedule, therefore messing with work/personal lives of employees. Not to mention the pressure to sell those lame memberships that only pays off if the customer but at least $250 worth of merchandising that year. So, overall, it might be a good experience if you're a student. But if you live in the real world, has bills to pay, and want something worthwhile for your life, don't even waste your time applying. You might as well make the same amount of money washing cars or cutting grass."
bad,"This is just like any other part-time job... except with a lot more passive aggressive people. Don't expect to get honest answers from your managers, as they'll just give you an attitude and ask you to look at the handbook. "
bad,very unorganized and messy management. Worked in a college store and management reflected such. Horrible experience very little direction
bad,"In a typical day: dealing with customers, sales, organizing, cleaning and making orders. Flexible hours, good co-workers, tons of deliveries, little space to place stuff!"
bad,"Working here was probably the worst mistake of my life. They managed to hold out on our checks and not give us the pay we earned. First week you're overworked, 35-40 hours, then you're lucky to get 3 days a week. Management is petty, they seem to think this is just a high school girls bathroom where they can talk about whoever and no one hears about it. They can take as long as they can on lunch breaks but if we're a minute late were reprimanded? We're ALL supposed to get only 30 minutes."
