rating,review
bad,I have not worked for Baxter Healthcare so cannot comment. Not sure who they are. they are healthcare who look after people in a wonderful way. great to work for I guess
bad,"Management sucks they use underhanded tactics to get their work pushed out ..  their is no communication behind the drivers and management , you are basically working blindly.  they are rude to temp to hire workers who are really the reason why the company stays afloat .. equipment is horrible , "
bad,Name brand franchise but really nothing else was good from there. i will not recommend anyone to apply because it is waste everyone's time. Culture was horrible
bad,"If your an experienced injection molding process tech you will be greatly disappointed. They use the job title and job description to lure you in. You will be lucky to get an opportunity to process, your time will be occupied resetting alarms (never solving problems), monotonous operator duties, material handler and quality personnel duties, anything but process technician duties. You will find that your coworkers are inexperienced and have no training in Injection Molding or processing. "
bad,Terrible company to work for. Expectations far to high. Food offer terrible. Senior management have no idea. Very clicky. If you’re face doesn’t fit your life becomes unbearable
bad,"The pay rate isn't enough to provide support to your family if it's the sole income. YOU WILL GET IN TROUBLE FOR TURNING DOWN OVERTIME. SERIOUSLY, YOU CAN LOOSE YOUR JOB FOR GOING AGAINST THE MANDATORY OVERTIME THEY DO EVERY SINGLE DAY."
bad,You can be the top performer there but they will not want to move you up because then they will be losing out on your productivity. Opportunity to travel is a big selling point.
bad,Unhealthy work environment. Always have to OT Everyday. No time off. Always have to leave workplace only after 7pm no diff from shift personnel. Equipments always having issue and management not doing anything to address it.
bad,Worst Maintenance Manager that you have ever worked for. He cuts corners and he is made of Teflon. Should have been removed along time ago when he first started.
bad,I enjoyed working here after my first few months getting to known everyone. I enjoy the health insurance benefits that came on the first day of employment.
bad,did not like working here overall management cery poor hr not great supervisor was on a power buzz could not approach i would not reccomend to work here at all
bad,"My position was sent to India,"
bad,"The hardest work I've ever done, There are only 2 delivery guys working there at the time and they've been there for over 20 years and treated me very poorly. Worked my regular shift and when I returned back to clock out my Manager from Illinois was standing at the time clock waiting to Fire me. Didn't tell me why just Fired me and walked away. Of course 1 day til my 1 year anniversary!"
bad,I initially enjoyed working in Baxter because i had to travel a lot however i wasn't  reimbursed properly.Hectic job profile and no support from immediate colleagues
bad,"Be prepared for the Good Ole Boy system. If you're family you are well prepared, but for an outsider ... good luck. "
bad,Baxter has very many problems all of which upper management chooses not to address--as long as they get their six figure bonus checks.  Avoid like the plague.
bad,"hard fast pace place to work, "
bad,"Only promotes the butt kissers, never fixes any problems, does not care about employees."
bad,"Some very good people at Baxter. Of course, all companies have bad people. Well, couple take the cake. One manager (CF) was the worst manager I have ever experienced and still to this day, even though I have left the company, those that are still there plan to leave because of her pretentiousness."
bad,"Expected to work non-stop. Mandatory overtime is enforced. Management members micromanage their employees. Taking on extra projects is encouraged, however the employee does not gain any benefit from doing additional work. Extremely difficult to move up within the organization."
bad,"I worked at Baxter for a short-term temporary assignment. I was overqualified for the position and they ended up using me for custodial duties a lot. That was definitely not what I signed up for. The recruiter who placed me at this assignment assured me that if I worked this low-paying, short term assignment that I would have a good chance of landing a better, permanent position with the company. That never happened."
bad,Management is very poor. They do not care about their workers. They do not ensure the safety of their workers. They overwork everyone. Too much mandatory overtime.
bad,Baxter International is a poorly run corporation that has no clue what happens outside of their corporate headquarters of Chicago. If you are not located at their corporate headquarters you might as well not even exist.
bad,"Come in and someone is always arguing. "
bad,Very bad management with no people skills. very low salaries and no bonus. no canteen. Toxic ambient and atmosphere due to extreme bad management. constant work under high pressure and stress.
bad,"This company is very unstable job."
bad,"Very out dated way of hiring and operating. Management consists of family and friends.. "
bad,everyone acted like 12 year olds.  the boss treated me like I was mentally disabled.  no one would just leave me alone to do my job. and there was to many clicks.  and staying employed there majors on weather or not the bosses liked you an if the top clicks liked you to.
