rating,review
bad,"The culture was toxic.  Only focus was onmonthly results and threats of termination when results were missed.  Very short term focused, expected immediate fixes to long-term problems."
bad,Very poor management and hourly pay do not like to give annual raises and if they do is only 2 percent .i would not recommend that anyone take a job ther unless they are in a bind and really needs a job
bad,als vrouw zijnde en je  doet je werk  word je toch even goed met je nek soms aan gekeken door je colegas om dat je een vrouw bent en in hun ogen is het  heren werk dus
bad,"As if the low pay and managements ""get it or get out"" attitude weren't bad enough, the total lack of ethics on the part of management sent me over the edge of seeking new employment after about 16 months. "
bad,Sometimes it can be stressful To run machines Theres great people that work there When we get bad parts for the machines When its time to go home
bad,"The company boasted a long established culture. In reality it was the worse run company I had ever worked for. Management was a revolving door, no lean culture, people are worked long hours, dangerous conditions, millions of dollars annually to scrap and mis production."
bad,"Customers and Employees be damed....Total shareholder focus. Lack of support from management. They only care about Sales Force customer relationship management software updates and metrics. Inordinate amount of time spent in meetings giving management the same updates that were just entered into CRM."
bad,Overall it was bad in just about every aspect.
bad,"I was housekeeping at the mall. I didn't learn much from this job. I mostly cleaned the food court and bathrooms. My manager was nonprofessional and he made my work enjoyable. I felt very stressed every time I came to work, like i could do nothing right."
bad,Lack of morale. My department is full of high school drama. Management plays favorites and makes it clear if you are not by focusing on the negatives.
bad,The people i work with are good people. The bunch that run the copany do alot of stuff that leds me to beleive they are not at all faimily orenated
bad,"It wasn't about what you knew, it was about who you knew."
bad,"Belden Inc is in the business of buying businesses, outsourcing the work to overseas locations, and then closing the factories down."
good,"If you're looking for supervisors to lie to you, pick favorites, force you to work 6 out of 7 days a week, make you feel not so good about your work, constant supervision changing you'll love the place, you enter as a temp, and kept as a temp over a year working close to a lot of holidays. Constantly on you about breaks and not taking to long. They dont care about your life outside of work."
good,It's an ok place to work. Laid back as long as you keep yourself busy they won't bother you. They always have work and rarely ever slow down. You will be working alot
good,This place has some issues when it comes to promoting minorities. They would rather hold you back from growing. I worked many long hard hours for the company and was left out to dry in the end.
