rating,review
bad,"The company has a very efficient setup that has a potential to make profits, Amcor is a large company that enjoys lots of diversity in the employment pool"
bad,"Everyone is extremely overworked and the pay is not consistent. You will get in big trouble if you talk about your own salary. For the exact same position, some people are salary exempt and some nonexempt. They increased the workload for those who don't get overtime pay and decreased it for those who do. If you voice your concerns, expect to have repercussions. When we brought up our concerns bout the excessive workload, we were told that if you don't like it find another job."
bad,"Terrible stay away "
bad,Company cares about nothing but profits.  Workers are consider slaves who should be grateful to be beaten.  Layoffs when slow and can never keep a full staff due to unreliable employer and no one wants to risk working at the plant.
bad,All management are related.no one has a college degree maybe one has an a.s. If you get on wrong side of supervisor even though no direct contact you are done.HR takes their side never wants to hear you.
bad,"Cultura agressiva e intimidadora, sem oportunidades igualitarias"
bad,They only took care of the people that was in there click. There human resources department sucked . they really don't care about there employee's they treat you like trash
bad,"world class benefits my but, insurance goes up every year. yearly raises dont cover the cost of living, nor pay for increase in insurance. basically losing money every year. operations manager is a 30 year old punk, that's never gotten his hands dirty in his life, but tells you how to do your job. no leadership in maintenance."
bad,"I can't express enough how much of a hostile work environment this is. I would not recommend this company to anyone. Total lack of vision, experience, and management."
bad,Don’t really remember much about working here other then it’s a factory line job where you constantly move boxes from the machine to a pallet your on a team with ppl that barely help you and show a lot of favoritism
bad,Worse place I've ever worked. They mandate overtime every week and refuse vacation when they have projects to complete. Management never thanks the loyal employees and pushes then past the limits frequently
bad,"Job sucks, management really sucks, lots of lies, don’t believe anything this company say, they just string you around like your a puppet, turnover right is very high, old equipment that’s never fixed, if your not kissing their butt they don’t like you,"
bad,Bemis cares nothing about their employees or their home life. In fact we never had a home life. They only care about making themselves look good! There is so much overtime! One of the worst places I've ever been employed!
bad,They do not I repeat do not value their workers and can't stick to their word from the head HR to the Leads. I wouldn't recommend them to my enemy.  DON'T DO IT
bad,Muita bagunça não tem organização tem muito cacique mandando para poucos índios tem 10 cacique para mandar em 5 índios baderna total aquela empresa
bad,Poor management which creates a poor work environment for employees. Long hours mandatory. Work conditions are not great for employees' health. The pay is not worth working there.
bad,"HR will stab you in the back every time she could . Each employee"
bad,"This is by far the worst place you can work at. They hire (illegal) workers from a temp agency which pays $12 an hour but pay us regular employees $17+ for the same type of job performed. Human resource personnel does not have coworkers interests in mind. 12 hours shifts, zero chance of advancement. 2nd in charge of this facility is not fit for the job. He will fire you for looking at him wrong. This place is a joke. The head of Amcor is a good guy, surrounded by unethical management below him. HR does not care about us."
bad,"They preach safety and yet they want workers to work in harm's way and in unsafe working conditions.  Management is a joke, all kids that don't know what they are doing. No matter what your position is  you will be a material handler 99% of the time."
bad,Horrible management. Supervisor takes sides and does not get the other side from the person who is the temp to hire. Was told supervisor would come in and talk to me then decided to have temp call and say they did not need me anymore but gave no reason! Would never recommend this place to anyone! Supervisor has favorites and they do no wrong complete bs!
bad,"their wasn't really much that was likable about it but how much they paid. they don't really train their they put you out on the floor and have someone tell u what to do and then see if you do it right or not. A slight few of their floor managers to i think should't even be managers. On my second day i was put on one of the hardest lines their and the was asked "" has it broke you yet"" and then laughed at me."
bad,"I worked in maintenance on blowmold and there was not a single person, there that is a tradesman. Most of them were operators turned maintenance, most by just sucking up to management. A lead electrician that doesn’t know an electric dryer is 220v. The other lead that “qualified” me on the lathe and milling machine pointed to the surface grinder when I asked about a grinder to sharpen carbide lathe cutting tools, it wasn’t equipped with the appropriate wheel for that, he flat out didn’t know. The same ignorant mouth breather also brought me a woodworking belt sander to restore the profile on a machine cam. There are a handful of really smart, good techs there but they’re walked on and treated like idiots because they’re not about sucking up and actually do their jobs. The only detail this company did not lie to me about was the address, literally!! I was told about pay progression to get to top scale, they changed their wording on that ofter I quit a good job for that one. They promised 2weeks of vacation which I got but was impossible to get any “approved”. I was also told I would train in the facility for 90 days on all the equipment with the PM crew and then put with a shift tech for the rest of the training but in reality they stuck me mopping and cleaning up after the PM crew. After 90 days they put me on shift, not to train, but to replace another tech and learn as you go, but still with entry level pay progression. There, maintenance is responsible for quality, setting up the machine, change overs, and operator on top of maintenance responsibilities. They are also terribly"
bad,"Supervisor acts like she's your mom,and not management, she is in everybody business instead of doing her job , there is no growth at all in the place"
bad,it was a horrible place to work and would never work there again the manager was unbareable and you would get written up for any reason the lunch breaks were only 30 mins long and had mandetory overtime almost everyday
bad,"To see a real life example of a bad dream, come work at Amcor Chino. Plant supervisor has no clue on what goes on in the plant. Unethical and abusive behavior towards employees were reported to human resource but ignored. Wage gap between same-level employees are unreal. Amcor is a non-union organization which means you are not protected against any type of mistreatment by upper management. The Amcor way does not believe in fair wages and fair working conditions. A typical work day for Amcor machine operators include operating 2 or more machines for 12 hours which you are responsible for. Any quality defects found are always the operators fault, even if it isn't. Production supervisor will find a way to push blame on machine operators, which always resulted in a written documentation. You also have the production supervisor hovering over Amcor coworkers while they work. It wouldn't be an issue if he is a people person, but he does not know how to talk to employees, which makes things awkward. Health care benefits are atrocious. Premiums are sky-high (basic coverage through Blue Cross with high deductible). Just a lousy company overall for a machine operator to work at. Morale of the company is low. Mechanics are cool though. They kept things fun & productive at the same time."
bad,"the Management team is worst I've ever seen.  Not strategy except to ""aspire"" and make more money next year than this year.  No plan how to achieve.  Leadership team dysfunctional and don't work well for benefit of company or shareholders.  They always make excuses and waste effort on covering their mistakes."
bad,"Everyone was very unhappy, no job security, nit picking managers, finger pointing, dangerous environment, dangerous chemicals, no support staff after hours, will be written up for the littlest things, no communication, not worried about customer specifications, constantly losing business, lab staff is not respected and work very long hours and its hard to request time off"
bad,Don't really like it it's not hands on to far from home lunch breaks aren't long enough it's just an all around not very good place to work the pay is good but don't really like the company
bad,The worst place ever to work. Lots of favoritism my management. Supervisor do nothing to help you and will throw you under the bus. Terrible training. No quality standards. The plant in Centerville is also on the list to possibly get shut down. The people also voted for a union over a year ago and still have no contract and the people are very divided.
bad,This company is falling fast because of a poor culture and a lack of accountability from the senior leadership team.  People are treated unethically and unfairly.
bad,"The Bemis Company overall seems like is a great place to work. But, the Centerville plant is a different story. The Plant Manager and one supervisor is always harassing and treating union supporters different. They target them for unfair disciplinary action and is trying to reduce the union supporters to get them out of the plant. People just want to be treated with dignity and respect. If you are not a supporter of fair employee treatment, this is the place for you. If you want to be treated fairly, don't even consider this a last option."
bad,"Engineers hit the three year vesting and typically leave.  Travel is listed as 25% and in most cases is closer to 75%.  Long days and you won't get comp time.  1980's management style with a heavy blanket of micromanagement.  "
bad,Do not work here unless you are absolutely desperate for a job. I would rather cut small pieces from my genitalia and sell it on the black market than work for this company again.
bad,"Empresa muito boa de trabalhar, aprendi muitas coisas; tanto na parte profissional como também na pessoal."
bad,management always ignored the people who were actually doing the work and paid complete attention to the whiners/complainers
bad,The management team plays favorites towards certain employees  and does not work with employees for work life balance. Don't even think of complaining to HR about anythjng. Management is clueless. Managers allow the team leads to run the entire shift instead of managers being managers. Violent place to work. Employees threatened each other and these employees are still employed. Harassment happens and nothing is done about that either.
bad,Long hours with no results. No pay increases in 4years. Management doesn't care about your feedback out you. Cares about their PIP Bonus more than Safety.
bad,"no engineering, no electrical department, safety is to political and non existent, read the other reviews and you can see the corporate culture of ignorance and sycophantic, all the managers are wana bees with no skills and or training in human relations, the workers are keeping the plant together, while management tears it down."
bad,loved my job and co-workers learned how to run slitting machines
bad,"The worst job I have ever had, the management treat you worse than the number zero your just not a number you are taking up their floor space which is not yours,"
bad,Used to be family oriented. Management is terrible and they don't care about employees. Constantly feeling threatened they will eliminate the factory from production.
bad,"Management doesn't care about the employees.  Supervisor positions are given to people ""on the buddy "" system.  Not to the employee that has earned it."
