rating,review
bad,"The manager is a terrible person  to work for. Did not train properly. Plus she is not a VERY stable persons. You will not learn from this person whatsoever. THEE upper manager is awful, condescending and TERRIBLE. Perhaps a management class MAY help them, doubtful. They need a clean sweep of ALL managermenrt"
bad,nobody seems to know whats going on.Management always lying right to your face and smile about it.Overtime overtime and more overtime plus they have a company union that lets them do whatever they want no balls too speak back about conditions.
bad,"they don""t care about you at all. got fired for calling in cause my Dad was deathly ill. and the benefits are going away. the union pension fund only has enough money to last 14yrs max,and theyre having problems getting other factories to join. health benefits are union negotiated with the company and thats the companies highest priority is to get rid of paid health care.you co-workers back stab you to your bosses, and your union reps mis-represent you when they tell the top supervisor anything you say bad. the only thing they want is a person to live at that factory.   DID I MENTION ALL THE MOLD THAT COMES OUT OF THE MIXERS EVEY FRIDAY NIGHT WHEN THEY CLEAN UP"
bad,big heart pet brands is a bad place to work management and employees are horrible. they are really back words when it comes to breaks and people of higher authority are real jerks
bad,"company sucks and doesn't care about their workers specially if you are temporary worker like i was, i was paid minimum wage with explanation that salary is well based regarding my duties which were to clean up the power plant, i actually did technicians work on daily basis and no one ever even said thank you"
bad,Managment is terrible and work is ok.  Not really a machine operator all you do is push buttons. Is ok if you don't like to be more involved with machinery.  You get hammered with overtime until you gain seniorty but the way things are people with 20yrs are getting forced overtime and its in every dept they are short of people.  Its good money though wouldn't recommend working here if you have a family and care to spend time with them....
bad,Picking orders at a fast rate to fill customers demands. Overtime is demanding and on short notice! Seniority rules. Great benefit packages!  Work closely with others everyone in distribution is driving a forklift!
good,"BHPB is a company with many good people who try hard to do a good job. However the management and culture was not a place where teamwork was expected. Many areas of the company were understaffed causing people to work extra long hours and that what was expected on a regular basis. Ten hours a day was not enough. It's interesting that the company was recently purchased by Smuckers and their review said ,much the same thing- that lots of loyal people but managed like a company from the 1980- or 90s. This review is only of one of their plants though."
good,Being in maintenance its hard to say what a typical day would be it depends on how the plant is running or what needs to be fixed. This also makes it one of the most enjoyable parts because there is never any repetitiveness. The worst part of the job is being owned by kkr they are more worried about running things as cheaply as possible without investing in the factory or the workforce.
good,"It was a fun job to work at. Supervisor was not helpful rude. Poor Leadership. Everybody is out for there self. I wanted to stay longer they were going to hire me for company, But would not give me time to get my paperwork in order. I would love another chance. Thank you"
