rating,review
bad,Awful management. They have a us vs them mentality and it is horrible. The customer base is bad and I have been screamed at over 2 cents price difference. Management is not helpful and coworkers are gossips and backstabers. Not recommended.
bad,I was not a fan of working at Big Lots . But your experience may not be like mine . I was not there for long becuuse I wadnt getting enough hours and the pay wasnt enough
bad,"Avoid at all cost!  Company does not value it's workers at all.  Because of that, and the disrespectful attitude of the store manager the culture and morale are terrible.  Employees call off daily, no call no show and even walk off on lunch and keep a job.  You will be saddled with an unreasonable amount of work while other managers sit around and do nothing because it's ""your department"".  The store is underperforming in a big way because teamwork is non-existent."
bad,"Over worked,under paid ,the hours aren't good,management doesn't help outall they do is stand around and complain... You kill yourself and so u der paid for your work you do.."
bad,This place had too many managers and all didnt do their jobs efficiently. I hated going into work because of some of the un-professional management that big lots had in their leadership structure.
bad,The management was unprofessional and the new management is worse than the last. Poor customer service and  you can't go to them for anything including items they sell in the store.
bad,Don't do it place suck I wouldn't work there for nothingno benefits people come in and steal place just not a good place to work at find somewhere else
bad,What a load of rubbish that place was. Managers were bellends as well. Shouting at me doesn’t make me work any faster when there is nowhere to put anything that comes of the truck
bad,"I spent 6 months with the company "
bad,"Got a new store manager and he immediately started picking his favorites and immediately put a target on any associates of color , aful managment on store level and aful district management way to stuck up , store was a mess at all times , people were never scheduled when needed just a sloppy place to work."
bad,"I've never had a job before this one where employees were treated as insignificant.  Low pay and few hours makes it impossible to make ends meet, in most cases not even worth it for a second income. Store managers have their favorites and can get by with whatever they want without being disciplined."
bad,I need to be paid back for my time and gas going to the fake interviews that I never had. The entire company seems to be unprofessional they gave me the run around for 2 days
bad,This was the worst job ever poor management over work and under pay never get help or answers to any questions you need answered the hours suck I just hate the management team
bad,"Day management is awful, Night Manager is better. Pay is subpar. Overall one of the worst places I've ever worked.  They don't care about the customer. Don't work here."
bad,"Big lots themselves do not care about the employees. If you had a sudden emergency, death etc, you would get a mark against you. Their j+ board belongs in high school and brings that high school experience in the workplace. People get mad when you do good. Doesn't care about expired items. LOTS of drama. People cared more about what others were saying about another more than doing their job."
bad,i was judged due to my sexuality i was mad fun of bullied and was fired due to my mental health tbh the management was horrible and favorited a lot of the other employees
bad,"I spent a year with Big Lots as a furniture sales person, and ended up leaving due to the fact that they began hiring new people at a higher pay than what I was given, who were doing significantly less work than I. I built furniture, loaded it out for customers, created my own CRM with regulars and would properly organize with them to ensure a sale. I was harassed by a higher up who was only in our store for a month, and when I went to corporate about it, they gave me a 2 dollar raise and then took it away after 1 month. I do not recommend working for this company unless you want to feel belittled and betrayed."
bad,"To many people their lying, playing favorites, have issues. Over work for little pay. Been yelled at for someone else wrong doing. Too many people would rather play mind games instead of work. Grave yard shift was terrible for me every single day because of the people."
bad,"During a typical day, you can expect other associates to talk about you behind your back and criticize your work. Managers were inconsistent when it came to the guidelines for returns and helping out customers and associates. Your hours are also inconsistent and will get cut frequently, EX: you could have a 16 hour week and the next only have 8 hours. Associates stole all the time and were never terminated or even talked to. Also, if there was any sort of family/life emergency, they don't care and will cut your hours and talk poorly about you afterward and hold it against you. Also, don't expect to get paid a lot because only managers get full-time hours. In conclusion, just DO NOT waste your time working here."
bad,Managers are childish. They do not care about you as a person. They are extremely far from flexible. They are not educated and seem more like elementary school kids with disabilities.
bad,Wouldn't work for this company ever again. You get hurt because of the company lack of safety and you have surgery. They try to take your position away and put you in a lower position and then try to lie to workers comp until they get caught in their own lie and have to pay up now. They are very disrespectful and the district manager will try to make you lie for them to have someone terminated it's a bad company stay away.
bad,"Management is rude you work hard the pay is not good and the hours worked does not provide the employee with a living wage.  Employees are expected to  unload trucks shelf merchandise, help customers, use cash register during the course of one day."
