rating,review
bad,"bad company, if your not part of the company click, your treated in a substandard way, my manager is a bully, loves to tell all he is in charge."
bad,"Very busy at work"
bad,"management is prehistoric in how they deal with employees - if you are ""in"" you are ""safe"""
bad,"More focused on strategy meetings than actually implementing and doing. I learned that a huge corporation can stagnate due to inability to make decisions. If you were politically ""in"" you will become a protected manager. Hardest part was not being allowed to make business saving decisions when required. I enjoyed absolutely nothing about working for this company."
bad,"i was treated as a contractor - just did my job, they where happy"
bad,"the management has no compassion for their workers, there's no future"
bad,"Empresa sem cultura definida, falta de gestão da direção, processos ineficazes."
bad,"Les journées chez Biorad se ressemblent toute il ny ajamlais de surprise,"
bad,"If you're looking to advance in this company without kissing a few rear ends then this is not for you. Not a great working space very micro managed along with the feeling of alienation if you're not Filipino/Laotian/Cambodian or any kind of southeast Asian for that matter . You'd be better of somewhere else the pay is not worth the disrespect, barely over minimum maybe $15.50."
bad,"This is possibly the worst place I have ever worked. The EMEA Commercial Leadership Team are the worst leaders, a blame culture, distinct lack of accountability and lip service to customer centricity. There is no real desire to do things better, to be compliant, to do things right. Its all about 'looking good' vs actually doing good."
bad,This company requires a cult like following from its employees.  Long Term employees are rewarded while newer employees carry the load.  Management is top down run as a sole proprietorship even though they have a goal of 5 billion in sales. The job description was misrepresented to me. I fell ill during a 72 hour weekend call shift and was forced to take a warehouse position I was totally unqualified or prepared for.  Computer systems and work materials were very much out of date.  Company spent little on employee development.
bad,"free parking, multiple toilets, exit signs, break room, chairs, desks, walls, phones, carpet, windows, air conditioning, heat, running water, hot and cold,"
bad,Incompetent old school confused company. Nothing works properly out dated software. Everyone works in silos with a boring un engaging work environment. Worst company i ever worked for!
bad,"Empresa del sector de la Biotecnología, más enfocada hacia los resultados: gross margin y cumplimiento a rajatabla del uso del CRO Sales Force."
bad,Terrible experience working for this company.  Management promote a culture of blame and no one wants to take accountability for anything.  Very difficult workplace with high turnover of staff in most departments.
bad,"The co. has been on SAP for about a year. There is no one in the accounting department that can train you. So your on  your own."
bad,The co workers is what made me happy coming into work everyday. The supervisiors and and the upper management did not know what they were doing.
bad,"Bio-Rad is in an Transitioning period currently. So lot's off positions are unclear at the moment. In different departments. Still growing, but adjustments will follow."
bad,Not a place for forward thinking individuals. Long hours (at least in my group) and unfortunately really entrenched and uninspired leadership. Great Bay views though!
bad,"The work itself was not difficult.  However, I received contradictory information about what was expected."
bad,"The Irvine operation is in the middle of a culture change, the manager are changing and the ones left are very stressed. Expect long hours and changing project targets."
bad,"If you want to work for a team of management individuals that have very little interest in you, your health, or your family life; by all means go to work for Bio-Rad. Did I mention they were sued (and lost) for not paying their FSRs overtime.They set you up to do the impossible, then when you fail, your reprimanded."
bad,Bio-Rad is not the place for the 20 something crowd. The majority of the people in IT are over 40+ years old. Many of the managers have been there for years and are set in their ways. Not the most friendly place to work.
bad,"This was my second job in the industry. The colleague and the manager I worked were very strange. Did not tell their expectations up front. No appreciation for good work or successful experiments which were 95% of the time. However, they keep track of 5% failed reactions. The colleagues talking behind your back. "
bad,"Empresa Multinacional de grande porte de atuação no mercado de pesquisa cientifica, qualidade alimentícia e farmacêutico."
bad,i was just a temp and didn't have much time to observe the work culture
bad,Equipment Leasing implementation was a new learning in the Pharma industry. We used the standard SAP methodology and it was a sucess
bad,"Severely underpaid, I did not realize it until I went elsewhere. It is very hard to be managed by someone who is incompetent and doesnt understand the job they are managing! People are promoted based on politics and seniority rather than skill. High turnover."
bad,"Nessun supporto da parte dell'azienda, formazione quasi inesistente"
bad,"work was stressful, everything was a different scenario for processing orders. They wanted to much work to be completed on a daily basis as well as follow up on orders/work from previous days that haven't shipped for whatever reason. The expected you to get and understand everything first time. you got help, but unless it was an coworker you wouldn't. Management would fix problems but wont explain what the to fix it and just tell you that you did it wrong. when there were teams meets or one on one meets.  The supervisors or managers wouldn't really listen to your question or suggestion, if at all. HR wouldnt even take on your behalf about the managers/supervisors listening to you in meetings. . Most times they would just cut me off mid-question or answer. instead of showing you what was wrong they just gave you a list of errors and asked you yourself to reviews if they are your error or not."
bad,"Bio-Rad is an excellent employer if one is employed in a spotlighted position such as a scientist, engineer, business  professional,  or other professional.  However, there is a clear class system.  Advancement is very difficult to accomplish.  Management takes very little interest in support positions and has difficulty in simple assignment instructions.  Essentially, they focus on the Big Picture and have trouble with the Small Details.  Furthermore, most Bio-Rad employees have 10 or more experience / seniority which can very difficult for new employees."
bad,"Good benefits and healthcare"
