rating,review
bad,"A male colleague worked from home for four months under the guise of a groin injury, while I was EXPECTED to come into the office with e recent throat cancer diagnosis! My male colleague was allowed to work from home, but I was not offered the same courtesy! I firmly feel this was SOLELY because of my gender! My Manager favored the men under his ""charge"" while females were ignored; with two notable exceptions who were ""buddies"" with the Manager's male colleagues/subordinates!"
bad,"Not the best company but the experience was good."
bad,Management did not care about their people. You didn't get raises. Work life balance was not good. Management didn't support their people. Didn't put anything back into their people.
bad,This place is run like a fascist regime. People are taken advantage of on a daily basis. I’m planning on leaving here ASAP after the new year. There so much of a communist attitude from the managers here. Not to mention the cost of living in Washington State near Seattle. If you don’t give your soul to the company you’re as good as fired and the Union here is useless. Most union stewards are Company stewards.
bad,"8h/day, 40/h week job...  Low pay, pension 1/2 paid for by employee (industry standard is 100% employer paid, and higher), cheap relocation policy, high LTD (Due to many ""Claims""), horrible management/leadership, high taxes, low standard of living (Winnipeg), low morale/camaraderie, people line up at the punch out clock 45 mins/1h early, walking around the plant you'll see people sleeping/glazed over eyes, high turnover rate and low retention.  Might be an ""good"" employer for Winnipeg.  The qualifier there is ""For Winnipeg"".  It is insulting to find out others were given signing bonus and moving expenses.  All I wanted was my moving expenses covered.  The ""Relocation policy"" covered only  50%.  "
bad,"When I would tell people I worked at Boeing they were immediately impressed, but the truth is my job was nothing more than a data entry position and the pay reflected that. When I got sick they fired me for too many days off, though doctor approved."
bad,I hated it there. People are so busy playing politics that work never get done.  Nothing ever gets accomplished.  They arw the only company I know of who will tell you that there is no money for projects but you will still have to go through the motions.  Boeing is a train wreck waiting to happen.
bad,"Management has Blind eyes on, No one is in it for the satisfaction of putting out a Superior Product, very much a Robotic Atmosphere, don't ask Questions, don't tell us what's wrong, just do your Job and don't question or Complain or we will find a way to get rid of You."
bad,"Paid 25% less then market "
bad,"Management play favorite and as you get older, they would make any efforts to suppress your salary as well as kicking you out of the door!! Experience is a liability to them and not valued."
bad,"people"
bad,"Managers and employees are risk-averse. This inhibits innovation and creativity. Processes are over a decade behind. Very little external experiences within the leadership, promoting stagnation."
bad,"Some coworkers were determined to do as little work and stir up as much $4!7 as humanly possible.  They would hide tools and parts, write nasty anonymous notes making fun of people and generally be as cruel and evil to everyone as they could manage.  Oh, and they got caught...repeatedly.  Management can't do anything even if the person in question brought a gun to work, came to work high as a kite, assaulted a coworker or shagged a coworker on company time.  The best they could do was move the troublemaker somewhere else to make other innocent people suffer.  Stay far, far, far away."
bad,"Don't go with the brand name. Company needs lot of strict policies to safe guard employees. Some teams have no work at all. Some teams have are over loaded and have no work life balance. It's on either ends. "
bad,"This is the worst company to work for in Aerospace. I was in Composites and I would say, don't even waste your time. Go to Northrop. This Company is a junk place to work."
bad,"once a contractor always a contractor, contracts exploit workers, and you wont get paid for holiday, sick leave, etc.  They will fight to renegotiate your wage to minimum wage as a scare tactic"
bad,People who work their don’t care if you die in one of those plaines. They do what they want when they want with management approval. Quality is a joke
bad,"worst place to work for. ruins marriages, ruins lives, people live here and are under appreciated. miserable and not worth it. the company could care less about its employees"
bad,Bedbug infestation problem at Boeing in Oklahoma City. Extremly hot and stuffy in the buildings. They won't turn on the dehumidifiers in the building. Cheap!
bad,Boeing was a great place to work staff were really friendly and everything was fair you do have to wake up early in order to get to work but great benefits
bad,Boeing has a process for everything. It doesn't matter whether its right or wrong follow the process. When you question a process it is like you are seen as insane.
bad,"Generally you are not paid for 40 hours of work, but rather to work for 40 hours, .  Innovation and strategic thinking will get you in trouble if it goes outside of your immediate area of responsibility.  Management tends to focus at the task level, often micromanaging experienced and competent people.  Employees are held to the letter of internal polices, the same are constantly violated by management, especially those who want to advance.  An ""opportunity"" is used to load more work onto you, with little to no recognition. Over time you will find that no matter how well your performance reviews are, the value of your compensation erodes.  Avoid Boeing if you are looking for a place to develop your career, but it is an acceptable employer if all you need is a job and a paycheck."
bad,"Sucking soul crusher of a place to get lost.  I turned in a eeo complaint and was told what a courageous thing I did by the company lawyer"
bad,The company did not pay enough and expected way too much like you weren't allowed to used phones in designated areas and yet you could not bring a book to read to stay occupied.
bad,"Avoid Boeing. No room for promotion, doesn't foster an environment to develop career. No opportunities to work on proposals unless you are called out by name."
bad,Not a good place to work. There is no job security and management is terrible. You are treated as a number. You are not able to take time off without being harrassed.  People that are on your team are not able to help you. Everyone is out for themselves. Management is horrible and they do not care about you. They get rid of people like you are trash and they spend money on traveling and events for themselves.
bad,The most unproductive period of my working life. Poor management. Micro management. Ethically unsound. Could not leave quickly enough. Did not learn anything apart from how not to manage people.
bad,If you are under 30 it is a great place to work once you hit 40 years old you might as well have a target on your back.  Diversity is more important than skills and education.  So much for that degree you worked so hard on.
bad,"Racists company "
bad,"Stressful work environment, lack of communication from management. No accountability for poor behavior/bad decision making. Extremely low starting pay for the area."
bad,For such a prestige brand to have such low energy and a lack luster environment is surprising. Probably one of the most difficult jobs to come into work every morning.
bad,"hello today and tomorrow, hello again today and tomorrow, this is the most screwed up website I have ever had to use.  I am being forced to be in an evaluation for Boeing eventhough I don't want too."
bad,"Not a Good Culture to work in. Very few advancement opportunities, to Much a Union Environment. Managers are only in it for them Selves, not interested in Employee advancements or Training."
bad,Worst job and culture I have ever experienced. 10% of the workforce somehow manages pulls the remaining 90% and company forward. The majority of non-union employees are severely underpaid and the workload to headcount is disgusting. One employee could have four vendors to manage while another could have 65.
bad,"If you want to be pushed toward mediocrity and a lifetime of incestuous internal bickering then this is the place for you! Do you love  goals and objectives that contribute to absolutely nothing? You'll get that here.  Work in an unclean, cramped, noisy distracting environment!  Be told you cannot telecommute despite the fact that your entire group is virtual! Watch your great benefits disintegrate before your eyes! Live in a world of silos, finger-pointing and a complete absence of accountability! Watch nothing get done..ever."
bad,"The company has a bunch of Trump supporters, so it's not a company that has a long term vision of a strategy for success. I would stay away from the company."
bad,"The job is OK as an Engineer sometimes."
bad,they hire senior managers that are a joke completely worthless who know nothing about the teams they run. THEY DO NOT BELIEVE IN WORK AND HOME LIFE BALANCE. THE SUCK THE SOUL OUT OF YOU
bad,This is the dumping ground for the worst managers in boeing. A typical day starts off with you walking all over looking for the parts to do your job. if and when you find them then you have to stand in line for tools. Everyone hates it there and is looking for another job.
bad,"Ordering parts for airplanes for 5 people. Learned about airplanes.  "
bad,Working environment and morale has hit an all time low at this location. Upper echelon has ignored our voices and managers are incompetent to perform their duties.
bad,"Mad managers, dishonest very cut throat.  Any type of advancement were for their friend.  Managers could not be trusted, they would tell you one thing and tell their peers something different."
bad,"Boeing does not value their employees. You are nothing but a number."
bad,"I haven't worked at this company in fifteen years, therefore I an not in the position tell you anything about the current environment at St Louis BOEING."
bad,"upload travel voucher travel for employees in long beach and st. louis.  Posted invoices to customer  accounts from the posting journal "
bad,"Known for laying-off they're senior employees and bringing in new college grads.  "
bad,Boeing have the worst managers to care for workers and the union didn't care about workers. There are to many meeting without accomplish the jobs. There is not a family friendly work place. I got discharge while I taking care for my daughter oversea. These managers jobs were terminated workers. The people were not friendly.
bad,"Great place to work as a union employees but horrible place to work as a manager. Was given no training, no support as a new manager. Upper management shunned me because I didn't start from the ground floor. Management was blind to the problems and just forced the flavor of the month down our throat."
bad,Management has no clue on how to implement and endorse their own policies.  Policies change to fit what they need no standard from one person to the next.  San Antonio Boeing
bad,"Excellent company to work for.  Fantastic benefits, fair to employees.  Advancement opportunities are plentiful.  Would recommend this company to anyone interested in the aviation / aerospace industry."
bad,"I worked here because I love airplanes, but I found the management left something to be desired"
bad,"Too many terrible things to list, just awful. Sad because the product is amazing. I've wanted to work at Boeing forever, can't believe this is what it is."
bad,Lockheed took over the KC-10 contract treated all the previous employees of MDC as suspect and this was a real bummer time in my life. I really want to forget this.
bad,"Be prepared to get over worked every day.  New Breed has poor management and you get mandatory overtime every single week and there's nothing you can do about it.  If you need time off you don't get none.  If you miss a day of work, you need to make it up somehow because of the mandatory over time by management.  There is no advancement within the company and you get really low pay.  You get to work 10 hour days M-F with no time off.  They don't care about you, so you might as well find work somewhere else."
bad,"No Engineering workmanship or support. Lack of planing i.e. work orders. Harassment at work were you live, internet, etc."
bad,"Company was aggressive in the post banking crash economy. Every - every! - employee who was not line staff was in the business of protecting his/her job, not being a leader."
bad,"Boeing mesa was a good place to work with good benefits. however, much to my surprised, the new management team had turn this place upside down. New policies are in place to replace 90% of well-trained staff members into outsource, contracted work without providing benefits. This was not the place it was 23 years ago when I first started working there. "
bad,"I would not recommend working for Newbreed Logistics to anyone. Once Newbreed came in and took over behind Boeing, they doubled the work load and decreased pay rate almost in half. Once the new company was trained by previous Boeing employees, Newbreed dismissed all of the previous employees as if they had nothing to do with they're success. They hired all new employees with an embarrassing pay rate. This was hands down the worst employment experience ever. Unfortunately above rating does not let you choose zero."
bad,"Recently having relocated to Oklahoma from Seattle, I am looking for a position in where I can step back into the exciting business world, help others, and hopefully get back into software, IT, consulting, research, investigations, or process/procedure analyst. "
bad,"Bad Management"
bad,"Executive management is driving the company into the ground it used to be a family based company and now it is a dollar company that does not care about quality, employees or Loyalty."
bad,I had a contract through PDS. Liked the work did not like some of people(how I was treated
bad,one of the best jobs i have ever had to take an aircraft from concept to production and see it become the airlift work horse of the USAF.
bad,Ahead of the rest advancanced training
bad,"threatining, timid, challenging, terrible managmen, thorrible, terrible managment, long hours, many meetings, lot's of presentattion creating,"
bad,I preformed audits/inventory for the different tool rooms and PCA stores within the Auburn and Frederickson plant. My team members and myself worked well with each other along with getting the audits/inventory done in a timely manner.
bad,all liars from the top down and right to your face with out blinking a eye. First job I get in my field I am out of their.
bad,"My experience, was in product and services management, I experienced an immature implementation management and reactive working environment. The technical teams seemed to be managed similarly. I notices changing roles and assignments on projects regularly."
bad,"Run Run Run as fast as you can away from this co. Treatment of employees by management is unfair,  unethical,  belittling,  and down right Rude! They don't know how to build a plane, which is why they go into management.  Which also, they know NOTHING about. If you are a man they don't pick on you too much, but if not, than you are constantly harassed.  Unless you dont mind sleeping your way to the top"
bad,"At Boeing Distribution Services, you may feel the Nasty Management Attitude, Specially in the Order Filler Department. You’re supposed to have at least 30 days to complete your trainings, but they want you up and"
bad,"I was hired to take over a highly critical and complex system which is required for interactions with the Federal Aviation Agency.  Upon arrival, I found I was to replace a 16 year employee who retired.  The system was his only job and he did not document anything.  He had integrated 6  OTS packages into a whole system and then proceeded to ignore anything he could.  That was bad enough but he gave the manager 2 months notice of his retirement and he left on the designated day.  I was hired 6 months later so of course, I got zero turnover.  I also inherited a list of 100+ failed transactions with the FAA and each transaction represented an aircraft that couldn't be completed and therefore could not be sold or delivered.  That accounts for nearly two billion dollars worth of inventory.  The system I inherited was full of bugs and the previous developer had never fixed any of them.  He just wrote a stand-alone agent to correct the data.  He wrote over 500 agents that he used to keep everyone happy but of course, he never documented when or how to use the agents."
bad,This is a great place to work if you have no marketable skills and don't mind being treated like a child. I have a skilled trade and am sorry I came to work here.
bad,"They have no clue how to invest in their people.  Engineering is sub-par, way too much management and stuffy environment.   The final product is cool though."
bad,"No job security at first. Frequent layoffs until you have gained some seniority."
bad,"I do not wish to provide an ind depth comment at this time for personal reasons.However, I feel that the company lacks diversity and culture.  Advancements are minimal for minorities.  Work, life, and balance is an issue too."
bad,"Boeing is een US gigant, met nog veel uitdagingen op internationaal gebied. Kennis en resultaten worden gewardeerd."
bad,"Leadership at Senior Manager level and above is only about them.  Partnering for success is direct falsification of partnership with the supply base.   The Senior Leaders only worry about cost savings to ensure they manipulate their numbers to get bonuses. "
bad,"I work Human Resources and Project Management items. The workplace culture is in flux. Right now, it seems like no one knows where that will lead to. It is a hard environment to work in when you don't know who will have a job from one day to another."
bad,Employees continually cover up mistakes. Management takes all of their stress out on the mechanics. They rely on 2-3 workers to carry the entire load while 7-10 sit around with fidget spinners. The place is a joke.
bad,"Strange place to work, super boring work. A few good people but a lot of strange people. Not a good place to work but not the worst either. Was called but not sure I could ever go back there. Work is simply not inspirational."
bad,"I left because of the debased minded culture this company portrays to its employees.."
bad,This company is imploding under the weight of it's own bureaucracy. Very dysfunctional and cut throat. Management is making horrible decisions and cutting their touch labor.  This company wont survive another 5 years.
bad,"most of the technical staff has been or will be laid off and the management focus is on cutting costs at the expense of innovation. I do not recommend working here, unless you are new and starting your career. it is a good place to gain experience."
bad,Did not tolerate any excuse of tardy/absent because I have a child with disabilities and that gets sick a lot. The company does not train you and does not have advancement options.
bad,"For hourly employees they do everything to undermine and take from you. If you are a salary employee then they believe that you can do no wrong and you are great. Boeing puts fourth all these programs that look great but they don' back up anything they put out and each building has different management and programs. No one works together because the atmosphere is that everyone creates their own kingdom and will not do anything that might jeopardize their kingdom. Also Boeing tries to outsource every job they can so that they can minimize the amount of employees they have. Management cares only for the stock holders and not about products, safety or their people."
bad,"Worst culture and no training; very top heavy with managers; lots of long time employees bilk the company for money and stand around and talk all day and don't help new people because they're afraid the newbies might actually do the job better."
bad,Difficult to advance.  Scope of work is not very challenging.
bad,"A typical work day for me was not bad I actually enjoyed my job and the people that I worked with on a daily basis they were great and willing to help you if you ask, it's management that needs up. Communication between workers and upper management was almost non-existant, lower level management was constantly giving incorrect information to the workers because upper management was constantly altering the way things were to be done causing jobs to be completed incorrectly, which in turn caused a backup in production. Scheduling was not the best, throughout my year of work my work schedule was changed multiple times. Training was learn as you go which also caused multiple issues as there is no standard, there were a few classes that you are required to pass for certification purposes but nothing more."
bad,"Trying to find work elsewhere. Moved to Charleston with high hopes as a contractor at Boeing. Swallowed all the lies told to me at first. We were all told what a great opportunity this would be, ground floor and all that. It's the same junk that goes on everywhere else. The players and suck ups get hired. Hard workers don't. Worst parking ever too!"
