rating,review
bad,P.... poor management/too many chiefs not enough Indians I think you can fill in the rest. During my 50 days of working with Boise driving through Forest City’s daily 100 miles Round-trip daily from work to home I occurred three traffic tickets which made me Late to work occasionally during my 90 day probationary. No one cared no one gave a care no one cared In fact I was fired by someone half my age that’s Boise for you
bad,This company has a very high turnover rate 90% alot employees constantly get hurt in this company management pushes the employees way too much with the overtime and management keeps overworking their employees to the point they quit to find another job management is so greedy about their bonuses they want all the employees to work really fast they dont care about their safety this company is getting worse and worse and they are having a hard time having people if management doesnt get volunteers to come in on Saturdays then its mandatory they dont pay their employees enough for the amount of work and stress they go through every day they're so cheap to do repairs which costs them more time and labor because they dont want to spend alot of money to get it fix the first time all their machines are very old ancient they need to upgrade and buy more efficient machines but they refuse to do it corporate needs to get rid of everyone in management and hire people that actually knows how to run a business because the current management team is driving this company straight to the ground this company is very understaffed cause how management treats their employees its ridiculous it's a hostile work environment and management is very disrespectful towards their employees
bad,"The main thing that prevents this company from being a great place to work is management, and lack of adequate training. I wouldn't recommend this company to any potential employee. The last thing you want to put up with as an employee is a management staff that doesn't respect you, especially working in extreme weather to get the job done."
bad,this job is not for everyone! its very hot and cold. when it rains the rain leaks on the inside and you get wet. a lot of wood to clean up which is very hard
bad,this job is only good for people with no children or preference in shift. you are notified in minutes before your shift ends that you have to work 12hrs. the environment is very hot during the warm seasons and very cold in the colder ones.
bad,"For the most part most of the people there are awesome to work around but, the management there are a bunch of back stabbers.I enjoyed working with the group of guys i was directly working with."
bad,Been operating a machine for more then a year and management still refuses to give me operator's pay I'm still getting paid General labor wages this place is a joke I wouldn't recommend working for this place to anyone management treats their employees very poorly and management wonders why their employees quit
bad,Lack of people skills.  Need to be focused on the people that work there to help make the mural better.  People are what makes the company a good place.  Upper management is very poor.  No real decision making.  Pay was lacking in the sense of not getting paid for the knowledge you bring to the table.  No compensation for going above and beyond.  The only good thing to say is the co-workers were great!  Co-workers genuinely care about each other in helping them to succeed.
bad,"Unprofessional COMPANY."
bad,Management there is in there own click does not care about employees you are easily expendable they constantly change work hours and schedules with no regard to employees family life or child care arrangements they do not deliver on promises or pay increase as stated when hired  they will tell you what you want to hear when hired but that quickly changes nothing they say ever happens it's usually the total opsite if you want a home/family life do not work there
bad,Worse job I've  ever had   yard manger don't  talk  to  people  with  respect  they tell u can advance  yourself  but that's  a dam  lie I know guy's  there  for 16-17 yr  and still doing  same thing  and same  pay that's  your people  nvr stay there  run  away  from  this place 👹
bad,its a okay job my hours are from 6 am to 3 pm. my day go by very slow sometime but its worth it i have currently taken the forklift training and test
bad,"Even though I was in a management position, upper management was a complete disaster.  Promise were made prior to accepting offer and they never followed through.  Life/work balance was non existent not only for middle management but hourly employees as well.  So, my advice for anyone that is considering working at the Moncure facility, don't.  Unless you like working in very, very below working environment with terrible management."
bad,"Very poor and un organized place to work very poor work place has no benefits, management is poor, would not recommend anybody work for them, dont appreciate anything that gets done"
bad,Don't do it. You will regret it. The supervisors are all back stabbers.  They have their own little clicks running around spying on you.  They let their little clicks get away with being lazy.  And the people that will work they will work to death!
bad,Did not enjoy my years at Boise. Management is terrible. It was a really bad iexperience. They treat employees unfairly. The only good thing was pay was decent and close to home .
bad,The Thorsby mill in Alabama has always been a good place to work until certain management staff were brought in and now it’s gone down hill. If your not willing to kiss butt to the management team then you don’t have a fair chance for better jobs within the company. We work 65 to 75 hours a week and that is mandatory. No family life but yet management does not care. Would not recommend working here and I will go out of my way to make sure all people in my area do not get treated as poorly as my coworkers and I have been.
bad,"Poor management and no clear vision.  New ideas are met with resistance and hesitation.  The manage,memnt eats by fear and intimidation and as a veteran no care for any disabilities"
bad,"everyone hates working there due to work/life balance. they split your days up off, insurance is too expensive. its next to impossible to get the job you want or bid for due to seniority."
bad,"management is horrible,they won't take care of you.you are just a number to them .pay is good, other then that they are poo."
bad,"Did not like at all, treated hourly an salary like trash."
bad,"This company and the folks who work here are terrible, they would rather see you fail than succeed. I was a 8 1/2 year employee and when I got hurt everyone flipped on me and showed there true colors they make you feel like if the plant blew up and you got out but no one else did you'd be like screw it..............."
bad,Non professional culture with expectations of long hours.
bad,"Hard work and that's it. Don't dare miss a day. Was laid off on my third week. Management lied to me, hot and sweaty work with co workers that would rather make fun of you than help you out. "
bad,"When I was hired and took a tour around the yard the supervisor of the yard warned me that there is a lot of jerks that work in the yard that I cannot be thin skinned, from day one I dealt with rude and unprofessional coworkers that did everything they could to make themselves look better and make me look worse, with 20 years prior lumber experience working for several different companies I think I know what I’m doing,  they could care less if you take breaks or lunches at the proper time, just a dog eat dog world in this place,Unless you work in the offices they have it much better than yard workers"
