rating,review
bad,It was okay to work at this company they were not fair in how they treated the temporary employees including myself don’t let them make you feel less than
bad,This was the worst job that I ever had! The do not care about employees well being.  If sick or experiencing any time of emergency you are still expected to come into work.
bad,"Of all companies ive worked for Boston Properties provided the least amount of support for new hires and people working up the ladder.  They rely mostly on the engineering department to run the buildings, interact with tenants and manage construction jobs with little to no support from management. Normally this would be fine but from what i understand they just outsourced the entire department and took away all these benefits."
bad,"Outsourced all the building engineers, no job security after dedicating many years to the company, corporate had no regard for personal in the buildings."
bad,"Worked here in Princeton almost 10 years, non-union so we get pennies for a raise. I like my maintenance job but do not like being micro-managed by immediate supervisor. Being able to have people skills, communicate by at least saying good morning or good night should not be so difficult for low level working supervisors."
good,"It was a disappointing experience, though most of my ill feelings toward the company are contributed an unapproachable and hypercritical micro-manager, nepotism in the hiring process, and lack of team work/basic communication. You are unlikely to find a mentor here."
good,Generally a nice place to work. Fast paced day at times and other slow. Peers were helpful with questions. Advancement was not available. Pay very low for the work you do.
good,Great place to work. I’ve been with this company 11 years. It’s time for something new. I’ve also been in the same position the entire time. This company has commited employees and there’s just no movement.
good,"This is where you meet different people everday, but still must treat them like you've known them forever. Nothing less than profesional."
good,Tours and maint of three commercial buildings.
good,"okay place to work, but expectations are very high, while pay scale is low..."
good,"Great for college kids. Good pay, ducky hours. Also their break system sucked. Too many chiefs not enough Indians. Overtime is given to whoever they prefer instead on whoever is the senior in the equation."
good,company was good to work for/provided nessesary input and management in the overall was great
good,Boston Properties is an exceptional company to work for.  It was a relaxed and professional atmosphere and my fellow colleagues were extremely knowledgeable in their respective roles.
good,Good at what they do. Always striving to complete their goal/mission. Employees are driven. Management/higher authority are very encouraging and motivational for their employees.
good,"Shirt & tie kind of a place.  Learned internal systems and a bit about accounting for a REIT, JV, and third party fixed assets.  Management is well-trained and knowledgeable.  Co-workers are nice people.  Stuffy environment though.  The people are the best part of the job as well as the benefits.  Great location in the prudential center tower."
good,"The workplace culture at BP was hardworking, but balanced with perks. I enjoyed being able to work on various projects and not being stuck at my desk all day long."
good,Company is great . Good benefits and great people. The only problem I have is Im under pay and been for this company for couple of years and finish a lot of schooling and have a lot of certifications and still haven’t got promoted yet. And they seem not to care much. But overall good company they take care of you but hard to get a  promotion .
