rating,review
good,Brinks was probably my favorite job ive ever held down. management was nice crew was chill. days go by stops and not just solely off hours. recommend this job to people who work alone
bad,The company doesn't care the workers they just care bout themselves no proper training need to an brown nose in order to move up and be able to get acknowledgement
bad,"Do yourself a favor, and work anywhere else. Go dig ditches before you work here. The pay sucks, the labor sucks, the turnover sucks, the policies suck, they don’t look after long term employees and instead baby and cradle new employees. Will lie to your face so you hear what you want to hear. This place will do anything for an *** in that seat! Stay far away from this place, the drama is not worth it. There’s also a blonde that works in the back and she’ll hit anybody."
bad,"Brinks will hire you at a higher pay rate to get you to accept the job, then have you do things that are not your job, I.e. hire you as a Driver and have you work as a Messenger, for driver pay. Then after a few months they will come and threaten you and lower your pay. When you do a what they want, they will set up to fire you. If you are a female, forget it. Men are favored."
bad,Horrible place to work. Poor management and lazy coworkers. Extremely difficult to request days off. There was favoritism between managers and colleagues.
bad,Poor culture and retention policies. High turn over of management personnel. No centralized policies and procedures. Poor leadership with top down management style.
bad,"After moving to Atlanta I took the first job I could get, just my luck it was Brinks. The job itself is not bad but the management and pay are horrible. Management played favoritism and worked you like a dog for chump change. They did not care about your home life ever. The set up for this company is horrible and I honestly don't know how people can work there for over a year the pay is not worth it, you have to work at least 15 hours in overtime to make any type of money."
bad,"Great work environment and fun people to work with, fun team, outings outside of work, amazing boss and I loved working in there, was laid off due to lack of work."
bad,They have no sense of communication or work help. If you call in the work load is dependent on who else is there. Favoritisms is truth. You can’t leave until the work ALL work is done and if you think you can leave early because our work is done think again cause they will give you something else to do. Don’t schedule anything during your work days because you won’t be able to do it!!!
bad,"Criminally underpaid for the amount of work they expect. No support from corporate or any level of supervision. Will cut your throat in a second. They also have a knack for mistreating and not caring if they keep customers or not. They also have lowered the level of safety for employees. I.e. firing of an employee for getting robbed at gunpoint, when their new procedure policies caused said robberies."
bad,"huge things go under the radar, huge liability, and lies . the managers throw you under the bus for problems they cost you. the managers flirt too much as well"
bad,Theres no comunication and its not work life balance its not worth putting life on for and they over work the employees and they dont have respect the emplyees
bad,"You get delayed your start time, management finds a way to screw you over PTO and your schedule. End up being leaving base late and coming back late close to midnight. You get in trouble for finishing your day early even though you did all your stops."
