rating,review
bad,They dont pay for holiday pay. Leads or disrespectful.  A lil bit of favoritism with races. Dont understand people's have outside problems with family that they may have to call off.
bad,"My manager was so busy that he didnt have time for this direct reports."
bad,It was fun. I smoked everyday when i when into work. The place id full of junkies recovering in delray. Beware! They hire people without any experience.
bad,Classica azienda che cerca di lucrare su persone che hanno bisogno di lavorare.
bad,I have never worked for a pharma compnay that was 20 years behind the times and compliance was not valued. Staff is overworked and people are not motivtaed. It is very hard to meet deadlines here qhen everyone is chasing a regulatory commitment with band aides
bad,"Culture at BMS is poor at best.  If you don't work in NJ it is obviously because you are stupid.  I was actually told I wasn't paid to think, I was paid to do what I was told.  Even though what I was told was aainst regulations.  Poor management, poor culture, poor salary.  This is the first job I have ever left in under a year."
bad,"Do you think it is possible – that will all the money this company spends on meetings outside the corporate office’s it owns that just once…maybe just once you could leave a tip for the people who service you?? The people who get up so early in the morning to make sure your room is set right, breakfast is out, put lunch out - services your dinners that is paid for on company time and by the company.... and we put up with you not knowing how to use a projector and all your other needs – maybe you could toss us a few bucks once and awhile and say thank you! You right it off in your company tab anyway…..us servers in NJ and PA would appreciate it! and cash would be nice. Thank you!"
bad,Working here was painful! company is stuck in a time warp and would not reccommend working here.  I would equate the culture to 1950's mad men era! All the people in postions that can make a difference DONT! they are not able to be forward thining and agile.  The diversity and inclusion here is even worse.  They consistently pass by talented qualified hires to the detriment of the company.
bad,"The group I worked with were not professional, quite the opposite. It was not a good place to work. There are PM's that leave within a month. There are some that stay a year or more."
bad,"I've worked at BMS as a permanent employee and as a contractor. Depending on the department you work in, it will determine your work environment. Some departments are great to work in and some are a nightmare. Currently, working in the nightmare environment. Very unorganized environment, unprofessional boss, only negative feedback."
bad,Company is being destroyed by owners' greed. Owned by capital management firm.
bad,un ambiente de trabajo muy tenso fue la empresa que se fusiono con abeefe asimismo invito a los trabajadores a retirarse por el cierre del laboratorio.
bad,"I never would have chosen BMS as an employer.  They acquired Amylin Pharmaceuticals and that is the only reason I was with them during this time.  They were not honest about their intentions.  Cannot trust any level of management in general.   Extremely stressful company to work for.  They send multiple sales reports that conflict with one another.  No clear direction for sales force.  Lack of support for sales team.  No clear directives for marketing message especially concerning competing products within BMS.  "
bad,"Unfortunately the site closed, but overall what a wonderful career I had there."
bad,"All politics and terrible management, the only way to do anything there is knowing someone and following stupid orders given by undeserving and moronic management."
