rating,review
bad,"I liked it at first until I found out if you're not an ""associate"", you're looked down upon. People ACT like they care about you and/or your willingness to try to advance but will only help you if it benefits their agenda. They want to enforce rules and regulations but are very hypocritical because they break the rules"
bad,Not a Good Place to work for a career; No Future Goals; No Holidays Off No Weekends Off; Not enough Pay to live off of.  Very Micro Managed.  Only hire who they like or friends or family.
bad,"Overall not a growing , or a positive atmosphere."
bad,"Very stressful place. Workers are over worked and the dynamic is set up with weird people with nasty attitude. You can work hard and know you're job better than managers but will never advance unless you're part of the crew, or family! It's not what you know it's who you know....be careful when you work for this company"
bad,"Product based nice company except the management in India, My team leads not so supportive, when asked for leave they always used to ask about minute personal details. Managing things from personal prospective was very hard, fun at work was very less."
bad,Overworked and underpaid. Worked as a temp for three years and was never hired full time. Treat temps very badly. Management caters to certain employees. Makes you work twelve hour shifts and on holidays and makes you take other days off so that you will not receive overtime pay.
bad,"If you want a job with zero compliments on hard well-done work, this is the place for you.  Unrelenting, moving in circles, bite off more than they can chew and then the employees suffer."
bad,Laying off ppl without any notices and keeping more long term temp. If anyone looking for permanent job this is not good for u . Very minimum pay and work load is extra for each associate . The company only cares for itself no care for associate . Company policy is to keep70% temp .
bad,Managers started to let the workers who had seniority pick up all of the hours  instead of letting the new workers receive 40+ hours for the week. They started cutting hours for the workers who only been there for 2 months or less and gave overtime to those who were hired on. People started to get cut weeks at a time to reduce overflow of work hours.
bad,"When I first make it I clock in. Next I load up my computer and log on, After I fill out all my paperwork check and make sure my roll I'm loading match my paperwork and my screen. And I start my machine up for another days work 12 hr. shift. Nothing was real hard about the job just 12 hour shifts. The most enjoyable part was my supervisor and enjoying my co-workers.The work place was super clean. The cleaning was done by myself and co-workers."
bad,"There are many projects and teams in this company and I am not sure about them but the project/team where i worked is the worst place to work. I think people in this team especially the manager should learn how to manage the team by observing the work and worker, not by listening to some other stupid people."
bad,"Terribal work, life balance, work in office then go home and log on, also, the internal systems are HORRIBLE, constantly going down or not working right.,"
bad,Im a current employee here. im currently in the process of accepting a paycut with another company. Broadridge has to have the worst view towards their employees. They make you work 80 hour weeks for a whole year then next thimg you know your not allowed overtime anymore. Also if you cant work an overtime day they take it out of your vacation pay.. all in all i am not sad burning this bridge
bad,"opening mail, sorting it and distributing to the different department"
bad,Broadridge Financial Solutions is a company that does not value there employees and does not have sound business expertise at this rate I do not see this company being in business much longer
bad,Very cheap people no respect for new employees .no encouragement  and proper trainining .employees doesnt even help others.very immatured people .company is good with minimum benefits but people inside doesn't treat well horrible people typical day to start with.expect to work ASAP .please consider _ve reviews and try to look on it so that no issues would raise up again.
bad,They're closing the building soon and dumping all employees. Not much more to say.
bad,They change the selection criteria when they favor an applicant.
bad,This was the worst company I ever worked for. The worst manager ever. And I mean ever. The turn you co workers against you. Very hostile environment.  They pile the work on at the last minute.  I stayed 7 years. This was plain dumb on my part. But the job market was not good. So I stayed for more torture .
bad,"This place is a terrible place to work. The expectations of management is unbearable!  You have no work life balance at all. They tell you in the beginning you only have to do 12 hour shifts for the first 7 days in the beginning of the month.  NOT TRUE you have to work 12 hour shifts constantly even SATURDAY AND SUNDAY AND HOLIDAYS.  You only get a 1 hour lunch break that's it standing for 12 to 13 hours a day!!!  You n never spend time with your kids and family at all.  You do not get paid for Christmas or any other holiday that they may decide to give you off no matter how long you have been working there. You NEVER get a raise and they make promises they don't keep. Night shift is the absolute worse the managers are extremely disrespectful, they scream and yell at you..  They are always like this.  The turnover rate is hilarious. DO NOT WORK FOR THIS COMPANY!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
bad,Started as a great place to work. They fired a whole bunch of people recently for bs reasons. Too much favortism.
bad,"I temped here in about 2011 as a receptionist in the Toronto office. Dont know what it's like now but it was toxic back then.  The HR director was a nightmare. I lasted there three weeks. Really hope its changed."
