rating,review
bad,"No teamwork, people are rude. Meds went missing. It wasn't a good place to work at. I was told in the interview one pay and when I got my first check it wasn't"
bad,Poor management poor HR.   They care about quantity not quality. I am surprised they are still open for business management will pass anything and everything.
bad,Pouco espírito de equipa e fraca formação dos colaboradores
bad,"Poor management through out the entire warehouse.  Working with people from the ghetto, very unsanitary through out, unsafe work environment, no team work."
bad,"While you may try to convince yourself that you are part of an amazing global team at the end of the day you are just a number and you will be treated harshly without remorse or empathy even if you are doing a great job and and had a great review."
bad,"Management lied right from the beginning just to get me to come on board.things just never got better, poor management,  most of the co-workers were impossible to work with. It is not a very fun place to work at all. So many better places to work I am glad to be out of there."
bad,"This company hires temps, and some on probation for 45 days before they are hired and become Union. This company finds a reason not to hire you in the 45 days. In 45 days I was there I saw A lot of people come and go. No one was hired."
bad,The people who run the company have no vested interest in the business other than to pocket the profits that are left after expenses.  The purchase of Brunswick was a real estate deal.  They have no interest in the businesses that are sitting on the land.
bad,No room for advancement. Current manager is heartless and bland. Didn't take job seriously at all. I started my day by doing a bunch of work my manager didn't get done forcing my job responsibilities to be set on hold. The culture was great before AMF took over. The hardest part of the job is making sure the company doesn't think your stealing. That's right. Take a pen home and your job is done.
bad,The boss is terrible he lies causes trouble between employees manipulates employees plays favorites then when he fires you he lies to unemployment so you cant get it.  i would never refer them to a friend or enemy.
bad,Your hard work and dedication mean nothing to them. they will use you for as long as they can before they throw you under the bus.
bad,I worked here for 2 and a half months in a 3 month probationary period. I got laid off because they did not have enough money to keep me. It's alot of work for little pay. I pretty much was treated like a piece of garbage the whole time I worked there. If you like working long hours and getting treated like garbage apply here.
bad,"I wanted to be a bartender and they gave me a chance but overall it was the first horrible bartending job and the first horrible job I have ever dealt with in my entire life for a 23 year old. Coming from a low income family that lives on section 8 throughout his life, a passionate person that love helping people, and a person that did 5 years of volunteering, I had to walk out and it was unprofessionally. I do deserve the consequence but that's life. The only thing I learn from them is being an a hole to my co workers, and they're are times I was being at times because the stress from the management. The management is just ridiculously horrible. The kitchen manager and supervisor was the only the awesome manager in Lakeville. They're 3 nut head manager. One, is that  guy office manager thinks he's the king because he deals with your paperwork. Two, is that assistant manager that will always be that guy even if you have a bad up morning, he will find another way to make it more worst than your mother funeral, and finally but least the general manager. That is such a 2 face and will talk so much smack behind your back to other co workers but not tell you what you're doing wrong at work in front of your face. He doesn't even wanna help the co workers to be a better workers. He just want the money. Here's the funny side of the corporate, they will hire a general manager that used to manage at other place but will not promote the assistant manager that work for them more than 5 years. It doesn't make sense, it really don't. I loved all my co workers from CSR and servers. We are"
bad,"As I have worked at the Corporate office, It is not all it is cracked up to be.. Hr staff are very Caddy and are half the time clueless of actual employment law ...be careful"
bad,Poor management and leadership! Engineering is a joke they are more worried about meetings rather than fixing the problems they created! They treat their employees like dirt! Hr is a joke they don't care about the employees! You can't use your vacation when you want to! The weld Tech's are nothing but a joke! A very stressful and racist work environment! I wouldn't recommend anyone to work here!!!!
bad,"Nothing nice to say. Management is terrible. The way you're treated is terrible. If the 'click' doesn't like you, you have no chance of survival. No compassion from above."
bad,Terrible management and HR.. lack of advancement.. lies blames each other for not telling the truth... old managers were great.. new managers sneaky and lazy!
bad,"Fast paced - no benefits before 90 days! Hot, dirty, low pay, personal favouritism among employees, difficult work areas where expected to multiple jobs although it wasn't what I was hired to do - I felt like a monkey - trained for the amusement of the management staff. I ruined my personal clothing because no uniforms were offered, nor was there a uniform allowance, or compensation for destroyed clothing while working for this company."
bad,"-The union is controlled by the company, when I was let go the union cut me a check for my union dues and deleted me off their records so that they didn't have to help me out; and miraculously every time a new union contract comes along and brunswick wants a change made they will have a union steward make the change in exchange for a cozy office job directly with the company."
bad,"Pay cap at 15 an hour in assembly for the rest of your life. If someone calls in, your forced to do their job plus your own job. Half the crew on lines call in all the time because being forced to to other peoples jobs. Management only cares about numbers and bonuses for themselves. Your not viewed as a person. The union sides with them always and don't care.no work stability, they constantly move you wherever they want. If you make a complaint to hr, your a liar and may as well start looking for a new job. A bunch of teenagers work there who play on phones and tablets all day resulting in poor quality of product, and constant horseplay of goofing off. No accountability at all. If john doe keeps making a mistake, everyone gets blamed because poor management. Floaters job description is to do nothing unless they feel like it. Job bids are fixed. If you win a bid and they want to keep you where your at, theyll cancelled your bid and repost it or wash you out and repost it. If you bid to a different shift, the supervisor will talk to other shift supervisor and cancelled your bid. If your harassed,and you report it, they will say prove it, and if you prove it, they still do nothing. Old people there are always making racial slurs.that can't keep any workers because when new people show up and see what's going on, they either quit, call in, or don't come back. And there's a lot of drug dealing going on in there in young people."
bad,"They set you up to fail and when you ask for help, you dont grt it. Poorly managed and very behind the times. Not a good place for stability. The only good thing is they have an on site cafeteria, but is only available on first shift."
bad,"This is not a place you work if you want to advance unless you know someone.  No work/life balance, managers are worthless, and mine would throw her own employees under bus in a heartbeat!"
bad,"Too many people that don't know how to do their job or are unwilling to do it. Unfair treatment for different ""races"". Fights all the way against employees that are receiving short term disability or FMLA."
bad,"Poor mgt, unorganized, unprofessional, daily harassment from team leads accusing you of ""racial"" conversations/comments about them and HR did nothing!"
bad,As a current employee of Brunswick Life Fitness the management here absolutely is disrespectful plays favorites and makes you feel like you're doing something wrong when you're doing your job for new employees you're expected to know more than you currently do and if somebody that works there helps you they're reprimanded because they're not focusing on welding there helping you learn the job.
bad,"I worked there for 5 years and I was great for the first two years, then they moved to Hadley rd. Prisoners get more respect and treated better than they treat their employees. No integrity what so ever. If you like being miserable all day long go work at Brunswick and you will find it."
bad,"Work your butt off and still get yelled at or talked down to...A lot of drama between workers.  Some supervisors are serious jerks.  There are (were) good people there.  Stay on the good side of the bosses, or else."
bad,Worked at hammer strength in Falmouth for 4 years. Loved my job and all the coworkers but anything above a floor worker is part of a clique and you will never advance unless you are apart of that clique. Also do not go in giving 110% it’s a waste. I met any and all requests joyfully but it never gets you anywhere. If management was redone I would likely return.
bad,Not working well with family life hard schedule with kids. Stressful got injured while working a dangerous environment. Need something where I can be a mom and a wife family comes first. Not very understanding.
bad,Not the worst place in the world but long term temp everyone is out to get you if you show any skill and crew leaders are a joke that do nothing but stand around all day
bad,I thought it'd be exciting to work in the boating industry. Turns out they don't pay nearly as well as other industries such as defense or aerospace but I was willing to sacrifice finances for a rewarding career.  The office politics were immature at best...it's basically a fraternity of guys who have worked together forever that call the shots while the new comers do all the work and get taken advantage of. No real opportunity to move up unless one of the old guys retires.  Do you want to spend 3 weeks in the frozen tundra of Poland working 16 hour days getting yelled at daily? Then join the European boat group. If you want to work with an enthusiastic group of guys who are passionate about boats look elsewhere.
bad,"Work was frequently micromanaged by head of department, with little chance to work on projects or any chance to learn. Uses contract employees to avoid having to provide benefits and drops them once they feel they have gotten enough out of them. Was given no notice of this after months of promises to be brought on full time. Was called by staffing agency after work and told not to come back the next weekend. Unreliable with no real benefits to work. (Worked in the offices not manufacturing departments)"
bad,Too many cheifs and not enough indians. Poor management along with lay offs. Poor safety practices along with threats of being wrote up. Bosses don't know what's going on
bad,Management is very poor. Have little knowledge of jobs to be performed. Supply is a joke. Material quality is very poor. If you can get it. Engineering is former line workers. With no engineering back ground. Problem solving and design issues are out sourced. Costing to much money. Material used to complete project is poorly selected. Example: Exterior vinyl for cushions was not U/V resistant. Causing failure. Who dose this?
bad,"quantity not quality. company doesn't care for the employees at all. human resources are terrible and extremely one sided, and very poorly handled. hours start early and your days will end late. they claim to work 4 ten hour days a week, in the entire time i was there didn't see less than 5 ten hour days, and a lot of 6 day 60 hour minimum work weeks. overtime is MANDATORY. don't like it they will fire and replace you without notice."
bad,"Unless you are a high level employee, don't expect job security, good pay increases or any other perks. Managers are put in place who do not have the qualifications to lead the departments they are responsible for."
bad,I worked as a temp for 9 months before they hired me on. They then hired me October 15 so they wouldn't have to pay me holiday pay for Christmas and New Years.
bad,Management at this place is a joke. There was really nothing that I learned from this place. The only good look about working at Brunswick was that you got discounted bowling and billiards.
bad,"Brunswick makes a good product and has a great culture of safety.  Very fast pace environment, requiring broad collaboration across divisions and functions."
bad,"A lot of empty promises. Uneducated and unexperienced management and co-workers. Union is not helpful. They through you to the dogs with no training. Forced overtime during the week and weekends. No parts to fix the equipment so you try to use what ever you can find. They treat you like second class citizen. The pay is better then most for the area. Benefits are decent for the area. No bonuses unless your management. Forbes ranked it as a great place to work, I'm guessing if your in management. If you want a stress free job that you get paid as much as the lazy guy next to you this is the place. But for me that's very unfulfilling."
bad,"It needs to be more of a straight across the board company I don't like the fact some people can never do anything wrong or could get pulled aside because they are ""always"" working hard"
bad,"Very poorly managed, especially the customer service department. HR and the president could careless even though they have been told time & time again by several different employees. Very high turnover rate due to management issues. Benefits are okay except for the health insurance, very high out of pocket before they cover anything. My co-workers were wonderful if only the higher-ups would have taken their employees complaint seriously."
good,"They dont promote from within. Regardless of what they tell you. "
good,"El gerente de mi área no era ordenador, tenia muchas áreas de oportunidad como en delegar actividades y en orientar a su equipo de trabajo."
good,"Mal trato de personal por parte de altos mandos, no existe seguridad para empleados, no hay equipación adecuada, lo cual afecta la salud de los empleados."
good,i got to learn something new and exciting and the coworkers where cool . I had fun learning about the lanes and to see how they work. it was okay job.
good,Brunswick was always in chaos.  You never knew what the corporate office would throw at you next.  Including laying off all bookkeepers at al facilities in one day with no severance pay or warning.   Communication between management and employees was non existent.    I loved my work and I learned quite a bit.  I liked my co-workers and tried to support them as best I could given the restrictions I was under.
