rating,review
bad,"This is one greedy company.  I have never seen a company take back payroll like this. You literally work by yourself the month of Jan just so they can make year end results. They also do a yearly purge of managers to as they say "" stay profitable "". They have no loyalty to you as an individual or employee.  You will not have work life balance and will always be asked to give more of yourself"
bad,"It started out good but then I started getting scheduled when I had school and it took them a while to fix it. Managers act like the store is your first priority. Your back hurts from constantly picking things up off the floor. If you have a task and they need help at the cash register, they don’t care and expect you to stop whatever you’re doing even though cashing is not your job. One manager is very predatory and touchy touchy with female employees. The general manager prioritized badly and hours were cut so bad that people didn’t get scheduled for 2+ weeks. They’ll put you in one department by yourself with 5 hours to clean everything. They don’t schedule you when you put in your 2 weeks notice. Stay away, this job is not worth it."
bad,"I have worked for this company twice on contracts. It was the most depressing place to work.  One its very low pay. Two The equipment is so old it could take over 30 minutes to an Hour to resolve 1 issue.  So you really cant reach your goals here.  There isnt much to learn.  Everyone you work with is stressed out, and miserable."
bad,Store manager is a complete a hole! Rude managers! Male manager only communicates to other males appropriately horrible horrible place to work for many people corporate will do nothing after many many complaints what a shame
bad,Poor excuse for management!They don't come to work and when they do their there about 4 hrs leave and make everyone else do their job.Then complain if its not done right which they should be there in the first place.Awful place to work for in retail.
bad,Manager was hard talk with. A lot of people quit because of her and how rude she was. They had favorites at the place they literally didn’t give a s***t about their employees
bad,"not a good place to work not enough people, did not get hours, corporate does not listen to what you have to say, don't get recognized for hard work drains you"
bad,"When I first started at the Greece Burlington it was awesome great management and was layed back and overall a good place to work until a new SM came in and talked down on employees, constantly picked fights with employees and customer. The SM didn’t know how to respond to a medical emergency and was so under qualified for her position I wouldn’t even have hired her as a regular associate."
bad,"Promises of hours and higher pay, favouritism, people taking hour breaks while the only people working get 15min and get scolded when work isn't complete"
bad,"Employees are forced to do multiple peoples jobs on top of there own, dont get paid holiday pay unless it's a Burlington approved holiday. They overwork you and the pay is not good at all. Then expect you to stay after work if closing from anywhere 30mind on up to clean the store while only having maybe 2 to 3 employee working during a closing shift"
bad,"Regional and territorial management was awful.  Specifically, the individuals that were responsible for the Orange and Rockland, NY counties were inept and often acted childish / unprofessional.  They are clearly out for their own self preservation and development.  Expectations were unrealistic, while support was non-existent.  The “so-called” leaders in charge operate on a blame everyone or everything other than themselves type of mentality.  Very poor and spiteful leadership that unfortunately across the board from regional manger to regional human resources."
bad,No structure no money in the budget to pay u for extra hours  and the point system they use is bullcrap that’s why everyone quits all the time no structure
bad,If there was complete different management I would’ve stayed but they are a beautiful store great merchandise the linens department is amazing but the managers are extremely rude and disrespectful and judge mental the don’t treat the employees fair
bad,Management didnt care much about its employers. I got retail experience but wasnt taught by the store manager nor the assistant manager. Didnt pay each of us fairly.
bad,"Between the abusive corporate management, poor wages, and poor hours- Burlington is a bad place to work. All levels of management are out of touch, store managers are verbally abusive and shady, and corporate mistreats its employees horribly. "
bad,"If you need work, do not consider this company. Slave environment. They will schedule you less hours at minimum wage, and expect you do three times as much as any other company."
bad,"They do not give training, on the same day they leave you alone and one has to be asking others who often do not know about work or do not want to help, they are not flexible with schedules, they force everyone to work on Holidays, if not you will be fired, if you call out they add points and if you reach limit you're fired and they cut your hours, they don't give the two 15min  breaks only 30 minutes and sometimes no lunch at all or very late, they force you to do many tasks that are not in job description without extra pay including other people's work to make up who they fired, the managers have priorities with certain employees giving better hours and letting them slack off, they do not treat everyone equally, there are preferences, there is no honesty among the staff, they threaten to fire you constantly for there own benefits in anyway possible, I implore you not to apply, worst place to in any position"
bad,Never have hours they have a web portal you go to see your hours for the week then they text you different schedule they alter it. No bonuses what so ever no 40hrs just part time if you get over 40hrs which is for dec company don't pay time and a half. It's hot asf you swet like crazy and have you do million and one things for little pay. Corporate is in there all week long not doing anything walking around staring at everyone like they want to fire you it's creepy bottom line not worth your time don't work here you only get a 10 cent raise a year can't wait to leave no room to get promoted actually you won't I heard too many great employees quit and found better jobs.
bad,"Horrible experience. Bad managers and coworkers. Little time for breaks, maximum one day off, overworked to be part time, little pay, managers do not care about you"
