rating,review
bad,I've never had a job like this in my life. I dread waking up. I dread going to sleep because I know I have to wakeup and do it all over again. The morale is low. Co-workers don't show up. Customers treat you like less than trash. It's a terrible job no way around it. If you are called by this company  for any customer support roles it is better not to pick up the phone.
bad,Horrible experience working there.  It was challenging and stressful.  I would not recommend any of my colleagues to seek employment at that organization.
bad,"I wouldn't recommend this place to anyone. Management was horrible, they lie, the atmosphere is horrible. HR is close with management and retaliation occurs."
bad,"The rarest sight is seeing a manager at their desk working. They'll be gone weeks at a time, will show up half a day late, wander around aimlessly the few times they DO show up and talk about whatever the latest tv show is. No advancement opportunity, horrible work ethics, the company constantly cheats its clients, they lie about mandatory overtime, they refuse to hire enough people, and everyone treats each other horribly."
bad,Do not recommend this company.  Very stressful.  Do not give good raises or reviews.  Managers and supervisors are not always helpful when they should be.
bad,The call center is a joke. Supervisors play and socialize leaving all supervision to team leads who are even less qualified than the management. Chained to your desk. Only allowed up at breaks and lunch. Not allowed up between breaks and lunch even to go to restroom. Cannot improve self or position unless approved by management. Morale extremely low.
bad,Hr controls all pay levels and merit increases (people who dont even know you or the type of work you do) so count on terrible caps and increases.  Hourly employees are tracked like slaves with opus while salary have free reign. Very anti-American culture since they sold there sole to overseas IT for a better rating. Depressing place now.
bad,"Management says they care about their employees, but they won’t give them proper raises despite the fact that management and above is making six figures, and the hourly employees are making less than 30k."
bad,Scheduled new and existing job. Maintain documentation. Nice people to work with. Hardest part of the job was working weekends and being oncall
bad,"management very poor, your manager has no clue as to your daily job duties and when asked for assistance they will point you into another direction, very unprofessional place to work."
bad,"CNO hides behind a mantra that they are a great place to work and they take care of their staff,customers, etc. They don't. Not much has changed since they were Conseco, except the name. They are crooked and they look at you as a body in a seat. Managers are fired all the time for fudging numbers, and if you are miserable in your position you have to wait a year to transfer. People that dont fit in the environment there are quickly fired or forced to quit. Do not work here"
bad,Flexible and fun but hard ot make money...work with indigent people a lot..The have a lot of opportunity but they ahve a culture that is toxic and not healthy
bad,I was onboard when the entire IT department was outsourced. CNO management thought the outsourcer was experienced at this and had mature processes. They didn't. Many days were spent in limbo while processes were created and projects crawled along.
bad,"Management will run you to death and expect more out of you, reviews are biased if the manager likes you. I wouldn't recommend anyone to work here at all"
bad,Reorganizations every year and job cuts. No job security especially in IT. Managers will lie and do shady things to keep from paying severance. Employees are miserable and it's an awful environment.
bad,This company treats its lower level employees with a sweat shop mentally.  Employees are only warm bodies to get the job done as fast as you can and being perfect with accuracy also.
bad,"This was a new industry for me, was already nervous about the change. Training sub par overall and too rushed.  If they spent more time, money, etc on quality training, the turnover rate wouldn't be through the roof.  Highly stressful position.  Benefits offered are fantastic , however, working in the call center dealing with agents in particular over the phone all day mostly angry about something, being rude and disrespectful, using foul language, belittling, are just not worth it overall.  I can't speak for other departments but the call center is definitely not where you want to work."
bad,"I work in the contact center and hate it! Adherence is unattainable, unrealistic, and too strict. Management is a joke and so fake, pretending to care but really don't. Way too number driven and look at their employees as replaceable rather than valued. They couldn't care less about you being stressed so long as you do your job. They're all over the place with hardly any organization and the rules change day to day so be careful. I wouldn't suggest this place to my worst enemy."
bad,"CNO does not commend a job well done with their employees.  They will work you hard and expect more, but offer nothing in return.  Different rues for different departments, nothing is done across the board."
bad,Poor management. Poor office cleanliness. No career opportunities. Quick turn over rate due to lack of employee appreciation. Low pay wages making less than a liveable wage.
bad,Unethical management and poor working conditions. A lot of employees looking to leave company. I was screamed at by my 2 different managers for a misunderstanding and coworkers were very backstabbing.
bad,"CNO was a pretty decent place to work for the first 2 years that I was employed there. With changes in upper management and strenuous sales goals, the job became very stressful. The management is only concerned about you hitting a monthly sales goals. They were rewarded more when agents hit or exceeded monthly goals, more than the actual agent, while not having to make one single phone sale! The best thing was being ""rewarded"" pizza or a $20 lunch allowance here and there."
bad,"This is not a true Sales job. The environment is micro-managed by the supervisors. There is no commission incentive for the first 90 days. Once you become incentive eligible the structure is not enough to support a family. As a sales person you're expected to live off the base pay of $15.10/ hr or to work excessive hours of overtime. "
bad,"The agent care rep position is equal to banging your head against a wall all day.  Extremely repetitive, the management treats you like you are a child, you're chained to your cubicle, and the agents yell at you and treat you like garbage and are allowed to get away with it.  The training is over a couple months and is the only good part.  Get the job and get paid for the training and then get out of there because this place is a joke.  They don't even have coffee for the employees.  Revolving door of people in and out of the position because it's terrible."
bad,"slow paced, compartmentalized insurance company.  little upward mobility, lacked cultural flexibility and innovative know how"
bad,The operations call center is fast paced some days others it can be laid back. Call center reps are the most devalued roles. They make you feel replaceable and not at all comfortable at work. The training is inadequate for the job and they care more about money than they do employee retention.
