rating,review
bad,Management/Ownership is in it for themselves with zero regard for employees. As an employee you do not matter and are compensated as such. Be prepared for a corporate environment where the least logical decisions are the ones made.
bad,No chance of promotion unless you are popular with upper management. Too much focus on pitching the credit card no one wants. Dumb decisions by the Bass Pro overlords constantly. Constantly overworked and underpaid.
bad,"I worked as a gun vault specialist, responsible for all ATF paperwork, receiving guns, selling guns, shipping gun, ect."
bad,I did not enjoy working at Cabela's.  Very difficult times there under the BassPro acquisition.  Long hours are required; open availability if you are a full time employee.
bad,"Bad management "
bad,Horrible place to work and you are treated like cattle! There goal is 100 percent turnover! When you figure out they want all your labor and skills for free you are simply replaces! Don’t waste your time!!
bad,"Looking for a place where you’ll never get to socialize with anyone? Looking for a place where you’ll be inside a long truck, with little to no light for 7+ hours? Or not get provided a dusk mask when there is so much dust flying around and into your nose ? This is the place. Management doesn’t care about It’s employees, especially temporary. They won’t bother getting to know your name, or having any manners when they’re talking to you, they never show you the proper way of stacking until you mess up and get yelled at for something that wasn’t even your fault. I wouldn’t recommend this place to anyone, but if you’re in financial crisis then it’s understandable ."
bad,"Helped opened the store. Made quota on getting credit cards. Was the first person to let go. There were other workers that didn't do what they needed to do, but kept them. A bit of racism went on there. Glad I had a back up job when they let me go. That's why their business isn't doing well. Their Moto doesn't match up with their business."
bad,"I worked for Cabela's for over a year. During that time I saw turn-over faster than any company that I've worked for. Management play favorites and will cover-up misconduct by those that are favored. Almost everyone that works there is unsatisfied and over worked due chronic understaffing. You will be hired for one job, paid for one job, and expected to work many jobs. Outfitters that work the floor are also harassed on a daily basis to sell credit cards. I sold over 150 cards this past year and that still wasn't enough. The store manager finds it acceptable to yell and dress-down to employees at all levels. The only training you receive is on how to sell club cards, diversity training, and harassment training. No product training is done whatsoever: you are expected to learn about products on you own time at home. The store lacks integrity with how they deal with customers and employees."
bad,"My experience working for Cabelas in Utah was poor. Their employees are dispensable and are treated as such. The hours are horrendous and pay/benefits unfair, especially for the ‘bottom end’ workers.  Management was inexperienced and didn’t know how to run a company or take care of their workers. What appeared to be an honorable and successful company to be a part of, turned out to be a horrible mistake."
bad,I recommend working here if you want to make minimum wage as a first job. The managers have multiple pending EEOC complaints about them so diverse groups need not apply if looking for ethical pay and treatment.
bad,"No set place to work.  Rampant favoritism among the supervisors.  No help with mental health issues.  Micromanaging!!!!!  Difficult commute for me.  Discount was not applicable.  Thanksgiving work, Black Friday.  micromanaging.  Eavesdropping."
bad,"The management section shouldn’t even receive a star. There is a lot of favoritism here. People who hardly worked got to move up because of favoritism. Those of us who worked our butts off for the company got told we weren’t “qualified” enough to move into different areas of the building. Managers will talk to you like you are dirt on the bottom of their shoes. And if you really like making the public mad, work here! You are required to get a credit card every shift. Management is more concerned about getting credit cards rather then making sales. Many customers walk out angry without anything because they are tired of being bothered. This place is PATHETIC! I would suggest going anywhere else but here. If only corporate saw how the managers treated the workers. I quit after a manager pulled me aside and was completely rude and when I tried to defend myself he told me to shut up! Do yourself a favor and don’t apply here!"
bad,Went for 3 interviews I have many years of retail experience.I was interviewed for boat and marina the department management wanted to hire me.Then I interviewed with the store manager and he acted like I was lying about my experience.He wanted to.put me in the back room unloading truck.Was a total waste of time as this guy was just being rude the whole time..
bad,"Think of the management/employee life of wal-mart, mixed with a sporting goods store. Don't get me wrong, i met some very competent  people who were kind hearted, intelligent, passionate about outdoor life that were customers and co-workers... however, they were the exception and not the rule. Management drove a lot of problems, and have no issue throwing subordinates under the bus or cutting employee hours to achieve bonuses. Management seemed to treat bonuses like an expectation of their salary, not an incentive for quality work. If drama between sales floor staff was bad, between management departments it's worse. It's okay, if it's a seasonal, temp, or part time gig, but don't commit. applicants talents will be recognized in great degree in other companies."
bad,It was a decent place to work the pay was ok the people where the best part it just changed after bass pro bought them out and so it just became a different company
bad,"Someone please help us! HR lying to new hires and blaming them quitting after a week on outfits not being  ""nice"" is no way to run a company.  Maybe if you told people they would be working an extra one to two days a week for the foreseeable future when you hire them they could decide before they accept the job if they can work that schedule.  Making loyal employees feel like they are replaceable ""bodies"" and have no value kills morale. I feel stupid for still working there."
bad,They lie about your job title and and they lie to try and fire you they don’t care if you get hurt at work they will fire you for it even if your doctor says your not medically clear management bases there trust in you on rumors they make you work 5 12 hour shifts some weeks they over work you tell you can’t do it anymore more people are quitting and no one is applying do not apply for here
bad,Already answered under the cons category. The new management as of 2019 including leadouts do not have a clue whats going on. I was laid off for a mo due to being pt although i was interested in ft. After working a week from being laid off i never did get a phone call back informing me if i had to work or not.
bad,"no way to advance or get a raise after 4years. (only raise I received after my 4th year was 3 cents, and didn't have another one after that) the only reason I stayed as long as I did was because I was going to school and the manager they managed not to fire for 2 years worked with my school schedule. they could never keep a manager staffed in the department and they let them go for stupid reasons. the department went a year and a half without a manager."
bad,Over the year and a half of working there I went through 3 mangers. The management could care less about you as employee. Upper management would always hide in their offices and would only come out when they have tasks to divvy out. This especially happened when you where with customers or at the end of your shift and they would come up to you and ask you to get the task done. Front end was also very disorganized as the company could not hold a cashier to save their lives. The mangers were very rude to the employees forcing them to quit or walk out. By the end of my employment the CLUB card became such a nuisance that none of the other outfitters wanted to promote. CLUB was virtually shoved down the customers throats as soon as they would walk into the door.
bad,"Management only cares about keeping their jobs as managers and are not apt to be managers. They ask everyone to do their job for them, and will go out of their way to make sure someone else does it. Including but not limited to, stuff out of our pay and without professional aid to replace carpet, electric, computer hardware, software and paint! They expect associates to do absolutely everything that is asked of them knowing full well it is meant to ""make it look like you are busy"". Not only do they not care about their employees but they are blatant about it, they also flaunt having extra money and authority over people based on their credit card sales and personal bonuses because of each credit card sale. Lastly, not a single manager is familiar with the products the store sells."
bad,The employees and management are overly disorganized. They don't understand their own system and overambition leads to backstabbing within the workplace.
bad,"It was a great place to work at first, New management took over and everything went down hill, wages aren't enough, they started firing people who worked hard and kept people who couldn't be bothered to help out their team the firearms lead was lazy, management saw it and didn't do anything about it. Would not recommend working for this place at all unless your part time. turn over rate is so high its crazy."
bad,"The management was absolutely horrible. They are all a bunch of liars and manipulative. Rare and few times they actually help the outfitters, they mostly hide in their offices and don't face any of the customer concerns."
