rating,review
bad,i spent 33 years working there and was treat well and then thrown away.
bad,I have to say cab it is and by far the worst job I’ve ever worked at. They pay well but if you have a family a kid a girlfriend or any sense of life that is not the place for you. You work terrible hours management is awful many people flow through that company because of how terrible it is. Would not recommend going there unless you’re single I want to make money.
bad,Managed entirely from Corporate. Lots of politics and posturing for appearances with no accountability for results at the top. Financial games lead to misleading financial results. Systems are obsolete and inadequate. Not a good place to work.
bad,"Pay is great, dirty job, no chance for advancement, will hire foremen off the street, lower management=clueless. Upper management= penny pinching, if you are worried about Safety...then you will be labeled as a ""troublemaker"". Even as a union shop, if management wants you gone.....you're gone!!"
bad,"In one word, I would summarize: racist."
bad,"Unless you fit in with the click or do non company things you will not work there. I worked there for almost 2 years and trust me Cabot is not all what it seems. I did not my work to the best of ability and was not enough,"
bad,"Just a job, morale is low and I am told it has been for years. work schedule is long and being on call while on a long off is not a plus."
bad,"quasi impossibile fare carriera"
bad,"Company required us to work 12 hour shifts alone, which is unsafe and physically/mentally exhausting. Workload was enough to keep 2 people per shift busy. Supervsion did not care and never responded to reported safety dangers of working solo. Supervisors look out for themselves. Equipment was poorly maintained and constantly breaking. Extremely dirty workplace due to working with carbon. Folks who work here put out a lot of work with little recognition or praise. Pay was OK but below other chemical/oilfield plants in the area. Benefits were good but did not offset the demands of the job. This company is results oriented and definitely not people oriented. Go to work here with your eyes wide open."
bad,"Site GM was absolutely worst interview ever.  He was only interested in 1-2 word answers.  He made you not want to work for him or the organization.  Other interviewers held same opinion.  Comments were that you adjust to him and his abrasive style or you won't survive.  If ever there was a person that belonged in a single contributor role, its this guy.  He is an employee relations nightmare."
bad,Cabot Corp was a great place when I first started. Everyone was incredibly nice and 60% of the people has been with the company over 20 years and the was 10% of the company that has been here over 30 years. This all changed November 2019 when they had a massive layoff of 53% of the office. they are shipping all these jobs to Latvia. Most of the employees that have been here over 20 years have not taken it very well when others like myself have been through this before. They have been providing everyone job counseling and trying to help the people that were let go with there resumes. I think we all expected more for a company that was so family oriented.
bad,the work environment at cabot is poor the equipment is horrible and outdated and management is the worst i have ever had. pay is very good but that is the only pro about the place
bad,the pay is good but the management in place is the real downfall of the plant. It was a constant struggle between production and maintenance on who took priority.
bad,Each day you were extremely dirty and it was unavoidable. The pay was great and some of the job duties were easy. In the end they laid off a lot of people for poor financial decisions.
bad,Cabot has an old school vibe; no great work from home policy and slow to change things that should be able to pivot quickly. They do have a solid sense of security though and the pay is not bad.
