rating,review
bad,"If you want to throw your life away, go for it.  This has got to be the worst place to work in the entire Las Vegas Valley.  You want to have a steady job, feel like a family rather than feel like a number or look forward to advancement?  Well, it's not here, unless you can stick your entire nose way the 'fudge up' all of their ugly a holes.  You're better off cleaning up from underneath toilets for donations then work here.  move on... carry on"
bad,"Be ready to get surrounded by toxic people and the ugliness of casino culture.  Over in time it gets harder.  The wealthier the customers, the more valuable they are over the own company's employee staff.  Not an easy career."
bad,When you go to HR to explain that bullying is going on in the company and nothing is done about it you tend to look elsewhere for employment due to an uncomfortable work environment.
bad,"Everything and anything is about the bottom dollar... making the company money. You literally have to bend over for players and management for pennies. I will never work in a casino again, takes the life out of you."
bad,This place was the worst. Once management switched the job was more of a burden walking on eggs shells. The policy in place is not designed for a working person with a family.
bad,"Not a positive work environment. Dealers are minimum wage. Never see family for holidays and weekends  No true support from upper management. "
bad,"They’re dishonest and does a lot of dirty business. If you work there you ll never be happy and they rob your tourney tokes you will never realize it at all. "
bad,"Nearly every promise or “perk” of the job that I was told in the interview was a flat lie. They do NOT train new hires for back of house. The person tasked with training me couldn’t be bothered because she needed the face time that certain events or non-department specific events were opportunities for her to be seen. So rather than train me, she would say “put a calendar reminder” so we can pick this up later, which would never happen."
bad,Poor pay scale hard to move up and there is zero job security currently at all casinos due to buy out hr department is not available or very limited all departments are short staffed and not hiring.
bad,Hated working here. Horrible management. The hours were terrible and after 6 months they promised me I could switch shifts but they never followed through with that.
bad,"Backstabbing coworkers, zero job security or opportunity for advancement, millennial managers who play with Legos in their offices, frat boy atmosphere and mentality, one of the most toxic environments imaginable, huge disappointment"
bad,"Never work for Caesars!  And never work for their Strategic Marketing Department.  You will be overworked, underpaid and disrespected every step of the way.  You'll never move up, no matter how qualified or ready you are, and they will always make excuses to keep you down."
bad,"not sure how anyone could rate this company as a 4 or 5-star company to work for. Even if you have high seniority you still have to wait in line, OR IN YOUR CAR to get any specific day off. the union that represents the employees stands for this which is despicable and the company allows it to happen. I wouldn't wish this workplace on anyone. terrible shifts, no evening premiums, pay is subpar (guess it's ""good"" for windsor). Management does not care about their employees at all and they have a me against them mentality."
bad,Bad management.  People get promoted who are clueless.  Systems do not work and have to lie to customers.  Benefits of PTO is great.  Health insurance horrible.
bad,"Understaffed and over worked. Safety of guest and emplyees not a concern of the casino. They just don't care. The only time they show any appreciation for the employees is during eos surveys, so they get good scores. Everything is blacked out so you can't spend time enjoying our city or our families during the holidays. It is a horrid place to work. Very negative atmosphere."
bad,Supervisors was not knowledgeable about companies policy's. Anytime you ask about something they say they will get back to you with the answers and never do.
bad,"Poor management . All are snakes, if u work here, u gonna be a slave..."
bad,"Harrahs in valley center just wants employees that are just happy to have a job. They employ tons of foreign exchange students at a very low wage. Management is poor, I would say none of them really care about the work they do. Sanitation is horrid in kitchens and constantly overlooked. Food quality is extremely poor. Employees are piggen holed. HR is just ridiculous, and I don’t believe they understand HR is ment to support employees. Tons of fratnation with chefs and exchange students. All around just a sad excuse for a company. No holiday pay at all yet required to work all of them. There is really nothing good about this place. Unless you just want a low paying job."
bad,Retaliation and targeting is rampant. No career advancement opportunities for those who don't succumb to the negative culture. VPs/HR turn a blind eye.
bad,"If you happens to put your two weeks notice, because u try to be nice to people, dont expect they will let you work that two weeks, they simply too sensetive that you are leaving them."
bad,"Horseshoe Casino was very understaffed and not very well organized ."
bad,"This job was too long ago to rate.  I remember being a security guard and then I eventually moved into surveillance and it was a better job, was fast to move into supervisory role"
bad,"This is one of the worst professional experiences i have had.  People are terrible not just at Caesars but the over all culture of Las Vegas!  people here are dead and heartless inside!  Money is good be that just isn't enough for to cover the cold cut throat culture!  If you like the idea of playing games, being fake, and trying your hardest to ruin people careers and lives, this is the place for you."
bad,"Harrah's casino advertises themselves as a fun place to work, but it it quiet the contrary.  It is a very cutthroat environment, where management intimidates you."
bad,"The ""union"" that was ""representing"" the employees turned out to be BS. A lot of the bar porters at the time could not make it to the union meetings, so there was no representation for them."
bad,i would not tell my worst enemy to work for this awful company to be honest its the worst of any casino company around.... what others say is true if you can work for anyone else do so!
bad,never again they attitude was to bad. But dont get to wrong it's was okay for a first job into you find something better. But housekeeping just wasn't for me.
bad,"Looking for a great Casino in Baltimore City. This is a Great casino, with two floors of gambling, and a variety of slot machines. The Staff was very pleasant and helpful. There is free parking."
bad,"Worst place I ever worked.  The money is good but you need to give up your life for Caesars.  Not easy to advance as a new hire due to the union seniority.  Part time is available to new hires and you will probably stay part time for at least 3 years before you can achieve full time status.  When part time, you will work every shift in a week and every holiday.  It's very hard and very stressful on your body."
bad,"Horrible edr  food/ nasty people don't wear gloves"
bad,"the management sucked, coworkers and managers were unprofessional and rude constantly, The supervisors wouldn't follow proper protocol for sanitation and biohazards. Made employees that weren't their favorite feel inferior"
bad,Friday and Saturday was a goo day to work because of all the top players made the day special on the weekend. and they kept the day going as well as brought food from the special event the held for them.
bad,I think they have a meetings to discuss when to host meetings. No time to get your work done during normal business hours.  Talk the talk but do not walk the walk.  Properties are great and good working environment.
bad,Worse experience.. worked here for 5 years... some people are great... others were meh... management was just really not there for people and they overlooked a lot of things
bad,work was work and I showed up to be paid. some days was hard and some days was long but pay days were the best and the lunch was ok .management sucks .
bad,This job has no caring culture they I have never worked at a casino like this before. they need to get rid of the whole upper management team and start again. Worst place to work no one should ever work there I moral in that place is so bad that no one wants to come to work. They need to close the whole casino and start all over again!!!!
bad,Constant chaos. lack of accountability. put in several hostile situations. short training. never fully staffed. no support system for several departments.
bad,"The management has no clue on how to run a casino.  I would not tell anyone to work there, it would be a waste of your time.  Well if you do not know anything about the casino game, then yes it would be perfect for you, because you would know just as much as management, all the way to the top at this property."
bad,Working for this company was stressful because it was far a hour away then I was working 2 jobs at the time. I worked there for short period of time. I soon resigned and stayed employed only at isle of Capri.
bad,"I worked very hard but nobody didn't pay attention, I didn't get any vacation time wile working there I was always on time for work , never missed a day"
bad,The job is supposed to be a corporate job but we are treated as fast food workers. There is no room for growth and you do not get paid for major holidays like Christmas and Thanksgiving.
bad,"No Benefits, The hours are not great.  I have to work every weekend, I will get of Saturday/Sun at 4am and have to be back to work on sunday at 4pm.  Management not good"
bad,"dont work there, they dont care for the employees or for the guest they only care for the money, there is no advancement their, and they break the gaming laws all the time"
bad,The union runs the place.  It's a cut throat environment. They own you.  Place is filthy and infested with bed bus and rodents.  Staff is underpaid.  Horrible
bad,"The environment was poor. The employees in the surveillance department wasn't knowledgeable after being employed for 10 to 20 plus years (Old & set in their ways) which doesn't work well with a forever fast changing environment. The other department had no respect for the surveillance department. Lastly, The entire company wasn't organized."
bad,"Harrahs has undergone many changes since I worked there, there really isn't anything new to say."
bad,"When hired I was told I could bid for shifts. However, it is by seniority so it was very hard to get off graveyard shift. Twice I won a bid for a shift then they took the shift away before it started. I ended up quitting before I could receive benefits."
bad,We were told at orientation that if we applied at the grand Casino whcih was opening soon thereafter that we would be fired.  They found out and walked several of us out!
bad,This company does nothing for its employees thats.why it has been bought out . We were promised a raise every year and still I have never received one and I have been an employee for almost 3 years.
bad,"Scheduling was unreasonable. Drivers could not meet the scheduling requirements in a safe driving manor. If we were unable to pick up our guest on time because of the unrealistic scheduling, we were harassed by the dispatchers and management."
bad,"I have never worked somewhere that was more unprofessional. The training was terrible, that's if you actually get someone who even wants to train you. The managers, supervisors etc. are rude and don't care if you understand your job or not. They are just waiting for you to mess up so they can send you home. You are not paid enough to put up with the attitude of the staff or the drunken guest."
bad,I worked for Harrahs New Orleans for two years i hated it almost everyday if you are not a dealer you don't matter to this company your only the 800 number they give you DONT WASTE YOUR TIME
bad,I liked my position itself however there is a lot of backstabbing that goes on in a casino setting and you need to have a backbone. If you don't find a different job. Also they are open 24/7/365 so take that into consideration as well everything is by seniority or favoritism.
bad,I had the worse experience their they were not prepared to open this up and they didn't not know how to handle the employees and i can still go up there and find the same problems. The best things where the free stuff great but not worth while
bad,"working for Harrah's is noting like they say they are. They don't care about the employee. The laughlin property is out of date and the management team they have in place there is running it into the ground, it gets worse everyday."
bad,I am opposed to gambling. However I regret that I did not have a better grip on my personal life which interfered with my productivity and longevity with the company.
bad,"It sucks working there they dont care about all they care about is making money.they wouldnt listen to there poeple, there all about the money"
bad,Working for Horseshoe was like working on a slave ship.  Every month it was an additional project added to the work load with no follow through from upper management.  As middle management I was left to figure it out and have my team look to me for guidance and when things did not go right.  There was a performance documentation on how poor performance for the project went or our team scores are to low.  If you have the ability to run your head into a brick wall and enjoy it please Apply.  The General Manager and Assistant General Manager are clueless to how the department is ran and can careless when things are brought to them.
bad,Would not recommend anyone working at this casino.  Management has proven unable to properly staff the facility.  This leads to overworking the employees.  Management is unappreciative of the efforts of the employees and consistently harps on what has not gone well.
bad,"Very low employee morale after harrah's bought the biloxi grand, I was lied on suspended and terminated over a situation I had absolutely nothing to do with."
bad,"due to a current issue with this company I cant write a good or bad review when it comes to this company. I would say in the beginning it was a very nice place, but towards then end of my employment thing went not according plan."
bad,"This place has gone down since Jack Binion, guests are finding out the real shoe! its hard to get comps, give always goes to the high rollers. employee get treated like step kids..."
bad,I Have not been treated fairly from day one to much nepitizim.
bad,"a typical day at work for me included answer phones, enter data into the computer system, filing paperwork, transferring calls, answering any questions that the guest may have, and work together with the wait staff in order to ensure that the guest receive the best possible service.the worst part about my job was not getting enough hours"
bad,"great co workers,worked there for over 8 years co workers became like family"
bad,Typical casino job....all work and no time to have a life.  Management expects more and pays less.  No frills place to work.
