rating,review
bad,"There is no job security with Carmax at all! There is also no clear and concise explanation of what money you earn for incentives. The point system for attendance is ridiculous! If you are even one minutes late, you will receive a full point for that! There is also no grace period! No matter what is happening in your life, you can’t leave early even for family(children) emergencies."
bad,Management is bored with life and make up drama to be entertained then if you have any response they try to make life as awful a possible for you and refuse mandatory pay raises
bad,Wouldn’t recommend them to anybody They told me one thing in return they hired me two months -three months down the road they changed it all and expect us all to live with it I was hired for one shift and Now they making us work a shift that nobody wants to work
bad,Micromanagement at its best! They track how long it takes you to use the restroom and require that you take 5 minutes or less.Pay cuts all around as well. I would save the trouble.
bad,"Does not pay fairly. Managers make less than employees. No room for advancement. Terrible communications. Heath benefits suck pay over $800 for my family. For being the largest used car dealer in the nation you would think they would treat there employees better"
bad,"$160/car, with additional $100 if you sell the extended warranty. If a customer returns their car, you lose the money for the sell of your pay--even if it's a new pay period it is taken from your next check. If you do not sell any cars, they will pay you minimum wage for the hours that you worked, but you will be required to pay it back. I have never seen this at a car dealership. CarMax claims to be about their employees, but have such a high turnover rate."
bad,"Everything they will say to get you in the door is a lie. And many people I've spoken to besides my own experience seems the same way. They try and make it seem like it's such a high morale at the company and that it's awesome to work for CarMax.. that couldn't be further from the truth. The few months that I worked here was terrible. My supervisor was a reject who had just left toys r us because they shut down, and apparently someon.                        There also stole food from the break room. Low. Also very low paye had The bright idea to hire him at CarMax. He was lazy and truly terrible. He made it worse than it already was. People who worked"
bad,"They say they will promote you and don’t  they dangle the carrot in front of your face       . The management has Favorites and do what they want. I guess if you’re a man they treat you well, females get pushed aside."
bad,Only managers are valued they hound you everyday about sales because their commission is off you they just sit at one desk all day hounding you to sale while they watch Netflix
bad,"very low expectations of getting permanent or full time work, hours are totally scattered and all over the place.  other employees are great to work with and great challenges"
bad,Worst company I’ve ever worked for I wouldn’t recommend even applying. Low pay. Terrible hours. Management is the worst. They hire retail managers for automotive world and it’s just the worst
bad,This company doesn’t care about their employees all they want is profit. Manager at Sanford location is unprofessional. Favoritisms is the way to get promoted. If she likes you no matter what you will get the promotion. She generally doesn’t know much about anything. That’s why she doesn’t value people that work but only people that know how to get under her skin. Also if your dad is manager at another
bad,"Very stressful, if you are not available around the clock you loss money because your deals get split and commission is a flat rate not a percentage so it's hard to make a good living."
bad,Corporate Car sales not to the advantage of the sales team...I do not recommend this way of selling cars with their structure.  Too many restriction for the sales staff to make money.
bad,With new Omni Channel the pay structure cut sales consultants commissions to half or a quarter deal in some situations. Will be good place for 19-24 year olds but seasoned sales professionals will not be happy here.
bad,You do the most work in the company and get paid the least. They promote only the ones they can manipulate. You don’t move up based off the great work you do.
bad,"I first began my career with this company after hearing nothing but good things in regards of CarMax. After working there for three years I fully see how they once were a great company but they have become an awful corporation who harasses their employees. The management is very picky in regards to their favorites. If you’re in good with management they will fully support your development and growth. However if you disagree with their point of view on anything whatsoever, they will harass you as a result. I was harassed by management for the past year due to my speaking my opinion on a change within the company leading countless employees within the company to lose thousands of dollars.. As a result I was targeted, singled out, lied to, and ultimately let go. Do not work here, it is not worth your time or sanity."
bad,"What i thought was going to be a great job coming from another part of the company, ended up being a Nightmare! Constant changes in bonus. Nobody can explain or wants to fix. Your targeted if you complain. Not getting paid for everything you sell. They sell you a dream and its a lie! No room for advancement unless your liked. Favortism at all time high! Point system is horrible! No work life balance. Nobody knows nothing! Constant reports being filed on CEC center! Stay away its a NIGHTMARE!"
bad,"Internally promoted managers who you hated in high school who grind down the employees as much as possible, horrible work environment. Managers have no consistency or any idea what they;re doing so they treat call center employees as poorly as possible. Completely disinterested in anything but making themselves look like they know what they're doing and making callers feel worthless"
bad,Pay structure is horrible and hidden from you managers are not helpful or motivating. The environment is depressing and full of homosexuality and a point system that set up for failure. you dont know how much you make they hide it from you
bad,"Carmax recently implemented a new way of selling cars where the salesperson only makes $40 a car... That's right, only $40 a car.   Do yourself a favor and work somewhere better."
bad,"Went into job with high hopes and excitement, and soon had huge let downs.  Had issues with several co workers that included offensive language daily, and harassment bordering on bullying, went to management on issues never was dealt with, never offered alternate solution.  As employee in question had special relationship/treatment.  CarMax says it has good culture but when you work there you see the opposite is actually true."
bad,Dont work here they are awful. The mangement dont care about employees needs. They pay poor and there system works only if you play the system. I do not recmend this companny.
bad,"Worried more customers then employees "
bad,This company does not want real sales people. I spent almost 4 years of my life there wasting my time. If you want to sell cars and be compensated for what you put in then go somewhere else. Management is a joke and the GM will let you know how great they are everyday. The new commission structure is absolutely horrible and a true show of a corporation sucking the bottom people dry.
bad,"Carmax does not care about there employees (sales) the cut the our pay. We only receive $100 for a car. How can you live of that. They expect us to be o.k. with that. Managers and corporate  are still making great pay while Sales the backbone of Carmax suffer that's why I quit. "
bad,This has been a terrible expirence. Every one is paid differently. They lie and avoid answers about pay... it's not even stated on job offer. They make you wear a name tag and complete uniform and force you to buy them. No woman in leadership. Job changes daily. No PTO or Vacation upfront...so you must work everyday. High stressand
bad,"I was written up all the time for made up accusations. I asked for proof and was told it was confidential. So, when I refused to sign the false write ups, later on that day the lot general manager sent a sheriff to my home and accused me of being suicidal."
bad,The customers are great and I used to like working there but they cut my pay so the executives and shareholders could make more money without regards for their sales force.
bad,The company found themselves with a cfo as the ceo. They are currently changing the way they pay sales staff to help offset new cost of call centers. Could not recommend as a good place to work.
bad,It was a very disappointing job no respect no team work. No help when needed getting mistreated or disrespected lack of communication all the above. Dis honest. vehicles not properly cleaned nor fix. Favoritisms. Management not threating the employees. I’ve never seened so many people walking out or getting fired unfairly until I witness it there and experience it I don’t recommend no one working there nor buying vehicles there
bad,Worst dealership I’ve ever worked for mangers are incompetent. The company has ridiculous rules that set up employees for failure not success. Good luck ever getting a significant raise it would take two plus years just to earn an extra buck. What sucks most about the garbage raises is that the company will constantly remind you how much money they are making but never kick some of it down to there employees who are make it that a multi billion dollar company. Corporate red tape everywhere with greedy upper management who will cut corners to save money and screw over employees and customers alike these are the core values of CarMax.
