rating,review
bad,I had a contract position here and was treated incredibly badly.  These people are just plain evil.  I just didn't go in one day despite making a decent wage.  That's how had it was.
bad,Great place to work if you want to be lied to about improving ylirself and moving up in company...will offer you what they said they would when you put in your 2 weeks...great plqce to work if you want to love there ..great place to worl if you ha e no family or life....hire more people to deal with computer system then on the floor
bad,"Absolutely the worst company in berks county they only thing they have to offer is 25 plus dollars an hour that's it they will work you 7 days a week 12 hrs a day all ur vacation days will be denied coworkers will throw you under the bus to save themselves Supervisors and upper management r lazy to help or care about the guys on the floor and don't forget about SAFETY"
bad,"Worst place to work management is bad, supervisor are in over their heads. Dirty, noisy, dangerous environment . Highly flamble and toxic fumes. Under paided and under appreciated. You think Dynamet and carpenter run and run far away."
bad,"This place sux, management sux, they just pretend all is well to the mother ship in Pa, while forming a management click to do as they please, most discriminating place in north Alabama"
bad,"Good co-workers ,like flexible hours ,good pay, paid lunches."
bad,Coworkers are against each other. Not many days off.horrible pay. It takes 4 yrs to hit full rate. Management does not have a clue what they are doing. Senior employees are lazy and cause overtime the the younger guys are forced to work over especially in the bricklayers group.
bad,I enjoy my current position and the responsibilities of my position. There is 0 moral at the Reading facility. Overtime is excessive for no reason. The company management continues to take away any time off. There is no work /life balance.
bad,"Top level executives have forgotten that the most important resource in any company is the people! There are VERY FEW leaders but plenty of managers ready to dictate, blame, micro-manage, and reprimand you for a miss on a low priority task while forgetting how many high priority tasks you’ve completed that exceeded expectations. You are always guilty without the opportunity to prove your innocence"
bad,They work you 7 days a week on a rotating schedule and they can change your hours with less than 24 hours notice without telling you. This place does not care about it's employees at all and they have no problems replacing you. There is no time for a life with this place
bad,"I have found it to be very stressful, no human factor, management can use some backbones."
bad,Not for me. aside from the pay I struggle to find anything else nice to say about it. If you don't want to have a life this would be a great place to work.
bad,I would describe the environment as a bullying like atmosphere. The worst training i have ever received at a job with the most accountability on knowing procedures that you are not sure about. And if you make a mistake on something you haven't been trained well enough to understand you get cursed at by supervisor and or fired!! The top out is 17.75 an hour for being belittled by leadership and not shown any respect by management. HR at this company gives the supervisors full control over their department with no limits on how they treat employees!! Please do not waste your time or put yourself in a situation to be employed here!!
bad,Horrible management machinery wore out diesel power steamer inside the building can't breathe foreman has anger issues manager is the grand wizard of the KKK good luck trying to keep this job if you get it.
bad,"Horrible executive Management.  Employees are livestock.  No consideration for employees or their families.  Everything is about $$$!!!  7 days a week, mandatory work on holidays, no home life.  No opportunity or desire for advancement."
bad,"Admin lady was very rude. But everyone else was nice. But working there you had to work close with admin cause she was there 17 years. Very very ignorant woman. But the other people were very great people. This is a steel company, everything is moved with forklifts/cranes."
bad,Management is at a loss of knowledge.  They schedule you 7 days a week and literally tell you you wont get a day off for a long time.  Absolutely no Home/Work life balance.  The pay is great but whats the point if you cant use any of it.  Not a good place to work if you have a family that you want to see.  Most people like their job.  They are just tired of being there every single day.  Even when there is hardly any work.
bad,"Lots of favoritism.  Poor management, the management will lie to manipulate ppl to do what they want. Not much for time off during weekends to spend with your family."
bad,I worked there for 7 years. I had zero life. I hated every minute of it! Management is incompetent and does not care about employees. It was the worst 7 years of my life!
bad,"horrible management. hr department are incompetent idiots"
bad,The Decatur plant hasn't been open a year and it sounds like it's following in Reading PA's footsteps. I'm sure the technology is far more advanced in a brand new plant. Management seems to be the problem.
bad,Worked there for 10 years still felt like an outsider. No longer there. Not family friendly. Cut throat corporate. Is a dog eat dog world in the corporate world there. They have managers and supervisor with no experience on dealing with people. No guidelines no processes. Not sure how they stay in business this long. They will get caught. It will catch up.
bad,"Pays well, good compensation, rotate shifts with no days off. Place has high turnover. Management has been getting worse and worse."
bad,"Was once a top place to work. Its now a 3rd world counrty sweat shop. Swing shift, 80 plus hours a week."
bad,"Never saw an operation as this. Stuck in a time warp with uneducated sheltered employees.  Cannot fathom how they're still in business as management has no applicable skills.  Everything is their interpretation of well recognized methodologies and practices- and a poor interpretation at that.  A lot of typical Berks Countians--- sheltered, uneducated to how the outside world has progressed and anti-change.  Worst company and management I have ever worked for--- or ever fathomed existed.  Good riddance- I give the place another 10 years at their current pace of outdatedness."
bad,"Current furnace operator. Pay is very good but that's where it ends! Monday thru Thursday 8 hrs. Fri. Sat. Sun. 12 hrs with every 3rd weekend off. Only 2 holidays recognized, those being Christmas eve and Christmas day. If you value family or friends,  do not choose CarTech."
bad,"Most employees work 12 hrs a day and then 8-10 hrs a day on weekends. Nearly impossible to get someone to cover so you can have time off. Extremely understaffed and no one can figure out why."
bad,"Do not apply here unless you are in desperate need of a job. The wages are so low that management schedules overtime and weekends just so you can come in and stand around.  The management is totally incompetent and clueless that I'm surprised the place is still in business.  Things have gotten so bad over recent years under the Carpenter Tech control that they can't find people willing to work.  It went from being like applying for a job in the White House to as long as you pass a drug test and you're hired.  Then after you jump thru hoops to get in, the management bullies you and tries to find way to get you fired.  If it wasn't for the management, this would be a great place to work."
bad,If you seek a way to make 100k a year and dont mind missing out on every family event and plan then this is the job for you. Surprise 12 hour shifts. Surprise working holiday weekends. It is easy to feel burned out.
bad,They hire u for a position they promise to give u then once hired on everything is a lie don’t fall for it just pick somewhere else to work unless u want to b lied too
bad,"You may be scheduled for 5 day work week and end up working 7 10 hour days. They schedule mandatory OT whenever they feel the need with no notice. They will ""ask"" you to stay for OT. If you refuse you get points.. I have seen them fire people with no notice rhyme or reason. They require temp to hire performance for 6 month without guarantee of being hired on full time. The pay and benefits are way out of scale for other similar plants in this field. I do not recommend Shalmet to anyone."
bad,"If you're nothing more than a soulless meat automaton, this is the perfect job for you! Look forward to never seeing your family! 6 month probation. Top heavy management. Too many chiefs and not enough Indians. You will get treated like the worthless maggot that the management thinks you are. Pay is okay, and you'll make good money, but you'll be spending half of your waking life to get it."
bad,"Excessive work hours, poor management from supervisor and up.  Will not see your family. Some good union employees. Lots of finger pointing. Stay away"
bad,"Worst Management team I've ever worked for, disrespectful to employees, constant lies, no communicaton at all, Nobody trusts them, Very low morale,  they won't be happy till everyone quits. Excessive overtime has become unbearable. They have a hard time finding people to hire."
bad,There is not much room for advancement unless you are well liked by the right people.  There is no work/life balance.  The company is trying to mirror Alcoa.
bad,"Theres a huge rift between Latrobe and Corporate.. Half the time Corporate doesnt know the crazy decisions Latrobe Front office makes.. Its supervisors quit within a year due to manager pressure and working within the CBA. Its workers face Constant Mind games and daily stress that can cause long term PTSD for the Younger Generation. Its Latrobe Operations President is a sexist bigot, who thinks he is morally and intellectually superior to everyone around him. His Subordinates despise him, His production workers in the mill believe he is a two face liar. I could go on... I been working in hot operations since 2015 and the Union is finally waking up calling Corporate to get control of its Latrobe Front office Circus. The only good thing about Latrobe? Is its rate of pay... I wonder how long that'll last though."
bad,"Used to have a decent culture years ago but under new ""leadership"" the place has gone down to unbearable. The work and facility is god awful. Boring same job day in day out. They always want more hours from you and will change your schedule to 12 hours a day without even asking you. Expect to never see your family, get a decent raise, learn any skills that are transferable or enjoy a single day at this place. Also very unsafe they are unwilling to invest in safe machines and blame employees for any and all injuries (which there are many). People are not valued here they work very hard at trying to make everyone replaceable."
bad,One of the best jobs you will ever hate . Pay is decent much is required of the hourly employees as far as giving any and sometimes all of your freetime away . As hard as it is to get hired there they try even harder to find a way to fire you . So many layers of management and incompetence at many levels . Many various sets of rules depending on who you know or what level you hold in the company . Many workplace ethic rules violated on a regular basis . Special vendors and outside contractors used because of the masonic lodge contacts or what kind of kick backs can be had by management issuing the contract for services. I could go on for ever.
bad,"5 years. I made great money, but could not enjoy it. 7 days a week,12-16 hours a day. If you wanted a day off, you had to call off, but you could only do that 5 times a year, or they would fire you. A coworker had to call off so he could attend his own wedding. The managers are 85% incompetent and will leave you high and dry consistently. I would not recommend working here to my worst enemy, possibly the worst 5 years of my life."
bad,"This place is a joke! They tell you are going to work in a certain department or do a certain job, but then they change it on you all the time. And if you get so much as a runny nose or a cold, you have to go to the medical department to be evaluated - it winter in Western PA duh we will get colds. "
bad,"Good pay for area , but no chance of advancement. Also have to plan on working a lot of overtime.Poor management for the most part also. Seem to be taking away a lot of benefits as of late."
bad,"Very biased management, non supportive by TL's and Supervisors. Don't get into their gossip for entrapment. The culture depends on who and where you're working. Unsupportive of rules and process. low pay sale"
bad,Very stressful   management doesn't make it better just harder for us  keep changing requirements  and responsible but pay doesn't increase   they think you can do everything  at the snap of your finger
bad,My experience there was dealt with alot of babying of favorite employees. As much as you work your butt off the most minor thing will stick out more and you'll be bad mouthed by your employees. The stopped overtime work and made me feel insecure about muy job security. I was terminated on my first offense while others are still there even after committing the same infraction.
bad,No Home/Work life Balance. 7 days a week 363 days a year. Opportunity to make a lot of money but your new address is now Carpenters. Great for someone who is single or wants to be single.
bad,"My manager did not respect senior engineers. Co-op was denied projects solely because the senior engineer was not liked by the manager. Come into work around 7 am, daily meeting, walk the factory floor to inspect units. The hardest part of the job was getting things approved and allowing the engineers to do their job. The manager acted like an engineer, was not a degreed or practiced engineer. "
bad,So much hope.....so much promise....so many lies...i know for a fact every person i interact with is looking for another job. 60+ percent turnover....and there is a reason why.
bad,"If all you care about is making money and don't mind living at work, then Carpenter is the place for you. You don't know what shift you are working from week to week, making it difficult to have a life. Poor management was also another drawback."
bad,"Was a terrific place to work years ago. Treat workers poorly, most management has little experience in the company to understand the processes. Very toxic environment, many workers forced to constantly work overtime including holidays. The quality of the products suffer from mismanagement & poor quality forced to work holidays to work holidays.ffscheduling"
bad,"I worked here for 6 months, in that time there is a lot of money to be made, at the cost of your home life, you will basically live there. The co workers are great people, the bosses and ceo, not so much"
bad,"Unless you are willing to shamelessly service the ego of a delusional megalomaniac you have absolutely zero chance of advancement in the department I work in. The result is a management/supervisory structure made up of limited-intelligence, no moral, individuals whose biggest concern is to raise their rings and praise their omnipotent master. Intelligence, truthfulness and fairness are for the weak and anyone exhibiting these qualities is to be dismissed and buried at all times usually with the complicity of the ""highly respected"" HR department. The worse thing of all is that no one above all this seems to care yet the people on the floor are supposed to."
bad,"Stressful, Very Poor work life balance, Brash one minded sub groups"
bad,"The pay and benefits are decent for this area. The working atmosphere is terrible. Be prepared to be ordered around by morons who know nothing about nothing. Harrasment and constantly trying to get something on you to get you wrote up, days off, or fired! This used to be a good place to work. People did their jobs well,but also had fun and got along with management working long hours and seven days a week. Now everybody walks around miserable and avoiding management in fear of punishment. Forget about the Union! The company runs them."
bad,"Typical Day: 12 plus hours 6 to 7 days a week."
bad,If you seek a way to make 100k a year and dont mind missing out on every family event and plan then this is the job for you. Surprise 12 hour shifts. Surprise working holiday weekends. It is easy to feel burned out.
bad,"They pay you well , but thats about the only good thing. Not a bad place if you dont mind working 7 days a week, 60-80 hours a week with no days off. We are now required to work holidays, 12 hour shifts on weekend. If you dont mind not seeing your family, you could make alot of money"
bad,"-reports"
bad,12 hr shifts 7 days a week most jobs are swing shift all 3 shifts. but if you like money and dont mind spending your life at work to get it this is the job for you.
bad,"Typical day varied greatly. Start times would be either 4 am, 6 am, noon, 2 pm, or 10 pm. The co-workers were typically great to be around. The management was adequate but had very little knowledge of the work because many were hired from outside of the company and were not trained well enough or taught about the work done there. Hardest part of the job was having an order that was complicated or incorrect and not being able to rely on the boss to know what to do. The most enjoyable part of the job was when things were running smoothly and didn't have to change any operations or involve the boss."
bad,Don't take a job here if you don't have to. HR & Managment have set this place up for failure.  The attitudes from all employees make it harder & harder to show up everyday.  The only people who are hired here are moslty kids who have no idea what an industrial envirnment is and HR can pay them less.  The advancement path/ pay rate structure is completely idiotic for production/ maintenance.  The turnover rate is astronimical. Safety is of no concern here.  Most Maintenance electricians don't even have an understanding of basic circuits let alone complex automation.  (mechanical guys are good) Metallurgy group is usually standing around with their hands down the back of their pants or tickling each other.   Can't wait to get out of here.
bad,"Summer was your money time 45 - 50 hours per week , fall and winter 30-35 per week  Overtime is always in summer . Zero in winter Except around the holidays when its not wanted"
good,The job is great for people who want to make a lot of money but are willing to work long hours 7 days a week. Definitely not a job for someone who has a family and kids.
good,When I first got hired you were treated like a valuable asset and the pay was great as were the benefits. Year by year we have been going backwards on wages and benefits while watching the salaried employees wages and bonuses increase. Sad to say but the core of the company values has been left in the past.
