rating,review
bad,You feel like a dam robot. And they don’t appreciate new employees they will just throw you out there to fend for yourself. They are not compassionate or understanding. You are or will become a robot. And management is a dam joke. You better get your  nose ready to be brown if you get on full time and speaking Spanish or African is a plus. I purposely wrote dam
bad,"Bad experience. Managers lacked patience to train, did not provide enough working days on my schedule. It was a seasonal job but they didn’t give enough days. They need to improve a lot of things in this store"
bad,Manager was racist and environment was horrible. They pay minimum wage but want you to do way too much. Management is unprofessional and tries to only hires her friends.
bad,"the management is very unprofessional and disrespectful. my coworkers were wonderful, and I enjoyed working for the company for 6 months. However my store manager lacked any sort of managerial skills when it comes to her employees, and made the working environment miserable. 👍🏼"
bad,"All but one of the managers were atrocious. They were very clicky and gossiped behind all the associates backs. They also had very unrealistic expectations. Using my situation as an example; they would only shedual me 3 hours a week (they promised me at least 10 a week during my interview) and then would become upset with me if I didnt remember things like promotionals, sales, and the store layout(that they would change EVERY WEEK). They also didn't train me, insisting that I would ""figure it out"" but then would become angry with me if I couldn't. The costumers would treat me like absolute trash and the managers (except one) would not care and just watch it happen. The store also gets stolen from almost everyday. It's too much stress for a job that will give you only 60 dollars a pay check. Do yourself a favor and find a better place to work."
bad,"Honestly, working for the company was great for the first year and a half, but something changed. The requirements of the job ended up being too much. You had to have near perfect everything, and if you didn’t you are not doing good enough. They also do not care if you have priorities outside of them. They expect you to put them first and that’s not right. People have familial issues to attend to, school, and more, but they do not care about work/life balance despite advertising it. They will rather have you there than for you to pursue your own successes. The amount of work and responsibilities is not worth the money. My job had me function as a store/general manager and I was not paid much compensation. As a sales manager, I was not in charge of hiring or interviewing people, but I had to do it despite this being out of my pay grade. Management, especially higher up, don’t care about you. You are a number on a list and they will gladly get rid of you if you do not conform. Policy is more important that one’s safety. Overall, this company ended up being highly disrespectful and I would not recommend working here."
bad,"-This company expects workers to work so much, from process clothes to cashiering to helping customers for so little pay.  "
bad,A lot to due didnt have good management at the time due to people leaving finding better job didnakit on my own to step up and get stuff done at the store
bad,Absolute worst job I’ve ever had. Worst management worst coworkers worst hours worst everything!! Avoid at all costs. Didn’t even get trained properly and everyone except the costumers are extremely rude and disrespectful
bad,"Favoritism, unprofessional me supervisors and leads that prey on new employees from temp services.. female supervisor will make you work like a dog if male supervisors they like show you too much attention.."
bad,"Working in a area as a packer/picker or a area like shipping/receiving is extremely physically demanding. Lots of injuries and they will always blame you for the injures. They use to keep you in a area where you start out at but now that the TURNOVER rates is so bad the management throw you all over the place to make up for their BRUTAL goal to please their seniority. For full time or people that they think need the job, they will be verbally abusive to you if you ever have to meet with them on poor performance on LMs that only 30% of the building workforce is on. Stay away."
bad,Hated the place since the first day. Everyone is so miserable and that environment takes a toll on you. The only good thing about it  was the sample sale events every few months.
bad,"Carter's is the absolute worst place I have ever worked. The manager I had was a lair,racist, flirt, underhanded, thrived on getting someone in trouble from innocents. He is a womanizer, and if you are female, could get away with just about anything. Chose who he wanted to write up and chose what he wanted to sweep under the rug. If you were from the same geographical area you could do as you pleased... Stay away from the William Carter Company in Braselton, Ga."
bad,"When i first got the job I was so incredibly happy but that happiness died quickly  there is a ton of favoritism. hours go to those who management likes. there were months where i literally got no hours, while some people got ridiculous amounts of hours. Since i wasn't working on a regular basis I wasn't familiar with company policies and I always felt like a new employee."
bad,"Kesinlikle pişmanlık yaşadım. Müdürlerinizi gözden geçirmeniz gerekiyor , işe severek başladım ancak beni işyerinden resmen soğuttu . Sonrasında etraftaki mağazaların personel ve müdürleri ile görüşüp iş kariyerimi engelledi işe giremedim . Kendisi ile kapıda saatlerce oturup çay kahve muhabbeti yapmadığım , dedikodulara ortak olmadığım için işine gelmediğini düşünüyorum ."
bad,"Plum awful they won't let you know if your assignment ended you com to work and your badge is cut off, they never have your check correct and the supervisos sucks"
bad,"All the regional/district managers are a bunch of bitter, middle aged, racist, caucasian women. One of them needs to use vagisil. If you're a young caucasian woman, they will love you."
bad,"Management do not be honest with there employees only looks out for there self "
bad,"I was really excited to work for Carter’s Oshkosh until I started. The manager is very unorganized and not always professional. Also,  you get little to no hours a week. The typical work day isn’t hard. Unfortunately,  I had to quit due to the lack of hour and poor management."
bad,They actually do not deserve hard working people. Because they will take you as granted. People always leave. Short staff all. No help from management
bad,All they care about is self image. The guards they hire are stupid. They waste money in useless stuff. They have you working more than one job in your area alone and when you ask for help they tell you no.. what kind of place is this? Then the person who is in my area doesn't do a dang thing !
bad,"Working at Carters I thought that it was going to be fun and excited but is not. Doesn't give you a lot of hours, and when they do is because one of the managers is not going to be there or because of its holiday. They really don't care about you because the managers want you to do all the cleaning and not do other things, for example, each manager teach you different things and some people knows how to catch up really quick but they don't let you do it.  For example one time they just give me one day of the week to work for 4 hours and it was a Friday and they knew I was available."
bad,"Company had no solutions for their own problems. DM micro manged and tons of pressure from everyone above. Heavy workload. Shipment was intense everyday almost 300 boxes, little to no stock room space. Company overall incredibly cheap."
bad,"It was stressful working at Carters, the manager and assistant manager were not friendly to employees, they were highly unprofessional. And they never treated employees fairly. I only worked 3hour shifts for 2 to a day a week. It was not enough to live off of taking care of my son. I was getting paid minimum wage."
bad,Everyone at carters is friendly and good tonwork woth. The hours are not enough for someome to live off of expecially having 2 children. More for a younger person in school .
bad,By far the worst management ever. I would never want to work here again. Manager sets her own schedule and comes and goes as she pleases. Not a very friendly atmosphere.
bad,"Not a good company to work for.  DM plays favoritism and promotes the ones that she likes.  You can bust your behind for hours and they'll just overlook you to praise the ones that they like.  "
bad,messy and sloppy. management team was very unprofessional and picks favorites. hopefully it changed but I left because management. co workers were nice
bad,Its retail so it's not a great place to work. It is fine as a temporary job but I wouldnt do it as a normal job full time or anything. If you like retail then this is for you
bad,"idk it was a long time ago but no hours. slow, you have to know how to run register and handle money. Not a lot of traffic coming through. Hardest part of the job was finding something to do when everything was clean."
bad,"No diverse culture and lots of discrimination. Poor management. The hardest part of the job is the fakeness of the management."
bad,"Pay rate was low, benefits were non existent. Unless you are management/supervisor, hours were a joke- those roles always had 40 hours/week. Definitely not for those looking for a career."
bad,"The manager made work so uncomfortable and more stressful than it should have been. All the managers/ supervisors were not on the same page so you'd end up having to fold clothes a different time each time you work. The requirements were not doable because so much was asked for in such a short period of time. I think that if Carters were to get a new manager, it'd be a fun and great place to work at."
bad,working conditions are bad . the hours are too long. ver fast paced and stressful. we got yelled at when our numbers werent high . they are very unprofessional
bad,No hours to give but they are hiring more people... then they call you 15 mins before your shift to tell you not to come in today. The new manager does not know what she's doing and is very rude and disgusting .
bad,"Management is horrible at running the store, they are so rude and inappropriately caddy with the workers. Some of the management was even hostile and rude towards employees and customers. Also has a bad turn around. "
bad,"This was one of the worst places I have ever worked.  I was assaulted by the manager and nothing was done about it.  she has such ahigh turnover at this carters because she is a horrible manager and a horrible, hateful person."
bad,"I hav years of retail, caahier, and customer service experience  amd they told me I sont meet the qualifications????? It just doesn'tmake any sense to me."
bad,This was just a job you get excited to get because it's your first job and you think it's great because you're gonna be making your own money. But then you start and it's like 6 hours a week you work so you basically get paid nothing.
bad,One of the wost company to work for. Distric manager was so unprofessional and rude. if you are not bi language its almost imposible to get a job there.
bad,I was hired on as a sales associate and I enjoyed it at first but the store manager has every unpredictable moods swings. She would create an environment where I felt like I had to walk on egg shells and that would make me have anixety about coming to work. Her rude comments to me and others and overall unfair treatment made me resign and many others like me. I wouldn't recommend working at the Arundal mills location in Maryland. It has scared my entire perspection of the organization.
bad,Honestly when I started it was worth going to work everyday now over the few years it's gotten worse they don't care for employees. It's pretty sad how they treats us
bad,Management issues and inconsistent schedules. Repeat problems with last minute schedule changes and no notice. Inconsistent directions for floor plans.
bad,It is a fun place to work because you get to organize clothes and engage with people . But when i work there i did not get enough hours at all and that was a huge disappointment
bad,"Great  and starting job if you do not need many hours and also do not need any benefits. The store manager was the worst person I have ever met.  She would refuse to help you if the store was busy.  Her priority was staying in the back office.  She would make you feel terrible about yourself anytime you were around her.  Nothing could ever be about you.. It had to be about her ""10 ct diamond ring"" or her ""breast implants""."
bad,Conducted supervior job . Work enviorment was aweful and unethical. Hours were taken constiantly without advance notice. Would never work for this company again.
bad,No raises regardless how long you've worked with the company. No support or resources for management team. Completely overworked with the amount of product delivery pumped into the store. Demands are high from head office. Only focused on higher sales and opening new stores while the employees are over worked without any appreciation. Head office human resources is a complete utter joke with no support or accountability for decipline for associates that are not performing. No such thing as work life balance with this company. Disappointing seeing how it's a children's store. Huge turnover as employees get completely burned out.
bad,"Very sad to say I did not enjoy my seasonal part time position at carter's the management was rude and would call customers ghetto and talk about them when they left, they are so inconsiderate when it comes to sickness, so unorganized with work scheduling. 4 hours a week if you're lucky maybe 8 the only ones who get hours are the management, they're all rude and unprofessional. I just can't believe how horrible it was to work here, especially cause I was so excited about it."
bad,This is a bad place to work the only nice thing I have to say is that the facility is nice. I was hired through a veteran's program and told I had the job went for second interview and they left me hanging but finally got the job secured. You are under constant scrutiny and the managers are always playing tricks on you like being under a constant test to see what kinds of decisions you will make in current situations. Managers were hard to find when you needed them and they were very disorganized I had 3 different bosses and my co workers were very cut throat I had to watch !y back constantly the work ethic of my co workers was very lazy and were there only for the paycheck if you didn't hunt dear or raise show pigs you were not in the club also they didn't take very kindly to me being ex military. The upper management and human resources personally were completely lost when it came to getting !y background check and done I had to do it myself because the girl in the he Dept. had no idea how to do it. If you are the type of person who likes to be beat down at work and constantly threatens with your job then it's the place for you. The security guards will go through your personal items and give you a hard time. The turnover rate is very high and most people I made cont act with were very disgruntled and only other for a check they also worked  more temporary employees  than regular full time I guess to keep from having to pay benefits. The bosses would ride around in a golf cart all day and sit and watch you work while talking badly about you to other employees. I felt I did
bad,"Do not work at the cary, nc location you will hardly get any hours you will get 5-15 but they may still cutt you even more. When it was around christmas/thanksgiving the store manager hired like 6 more new seasonal girl but the thing about that was how are you still hiring when the girls you have ain't getting hours so when she hired the new girl everyone that was a sales associate was getting like 4 or 5 hours a week so imagine 13 girls getting like 4 or 5 hours a week. So all the seasonal quit within 2 or less days. Plus there is a lot of not making the store goals a day so if you don't make goals you can't give hours. They call you at the last minute to tell you that you don't need to come to work. Ect. Plus the manager talk and gossip to much and give hours to the ones they like most."
bad,my coworkers were great and very nice. I had a friend from school who worked with me as well. there were a lot of workers and everyone had their own tasks to do.
bad,"First off the management team seems great & nice at first but after being there for a while you start to realize the immature, fake, miserable lives they truly lead. There is SO much bad talking about other employees ESPECIALLY by management and also of customers. They racially profile all shoplifters regardless of they say they do or not. The she use is inconvenient & they have especially their on call shift that you will receive about 2-3 times a week. I've worked for other retailers and they are by far the most unprofessional and unorganized. One employee is expected to do the work of ten. And don't get me started on the attitudes. I wouldn't go back if my salary was doubled."
bad,not guaranteed working hours which makes it hard to provide for a family. The pay can be better since full time employers are not guaranteed full time hours.
bad,It was the worse job I ever had. I worked very hard for a very low pay which was not fair to me and my other co workers. Unacceptable
bad,"- minimum wage , no benefits and lots of expectations ..."
bad,"docker worker"
bad,"a lot of partiality, very unorganized,never knowing where you are going  to work at or how long you were going to work"
bad,"I hated most of my coworkers. They were a bunch of petty women and all they did was talk behind one another's backs. They were often condescending towards the staff members they didn't like for no particular reason. The store was always a mess. We wouldn't get paid for working overtime, which is illegal but the managers still thought it was ok to make us stay later than we were supposed to without pay. They are lucky no one reported them to the labour board for this. The hours were scarce, yet they always seemed to be hiring new people."
bad,Horrible management they only hire family never gives hours plus the pay is horrible don't work for them the  company is great but the store in rockville is terrible.need to hire new management.with experience
bad,"Their was no training at all. Sink or swim kind of thing. They expected to much out of you during extremely busy days. If you just rang people up back to back with no break for anything else you would get written up or have to clock out and stay after your shift to get the clothing done that they assigned to you. Even on your break sometimes you would have to go up to the floor to help. Over staffed, each person had 8-12 hours a week but they would split those hours throughout the week. You would get a write of if you called in. I had a family emergency with my niece in the hospital and called off and I got fired (for not doing my hour and a half day)"
bad,"temporary sales associate, hardest part of the job was making my school schedule fit with my work life kept being put on shifts when i had to attend class, management treated me like i was not an employee the co-workers were ok not really helpful"
bad,having to go door to door inquiring about internet and working outside  trying to recruit new customers .
bad,Training Temp service employees just for them to quit and train another set of mass hires.
bad,"Horribly negative work environment, management treated the employees like children. Also the managers constantly complained about even being there. No upward mobility besides assistant management. Also worked there for over a year and there was no salary increase. And throughout my year there were only 3 coworkers out of the 40 that they employ that were there when i started."
bad,"i didn't really enjoy carters as a company , they really dint treat there employees that great"
bad,i didnt like this job. i left because i recieved another job that paid better and had better hours. this has to be the worse job ive ever had
bad,"I have been here and watched the place self-destruct over the last few years.  Crown cherry pickers, order pickers will be assigned to the Overstock department, even if you start in another department you will be sucked into the downward swirling black hole of overstock. "
bad,"Bad management "
bad,Management was so poor and did not communicate with each other . Hiring manager was nice but store manager had an attitude and was demeaning to others .
bad,"Was told by a fellow employee that if I felt like I was being pushed out, it was because I was.  Extremely unprofessional store management. Borderline hostile environment."
bad,Had high expectations going in and it quickly when down. My supervisor and coordinators are great but upper management has no idea what to do day in day out
bad,Little to no room for advancement. Poor wages. Poor raises.  Very clicky environment. Like being back in high school. Very hot working environments. Little incentives for extra work done. Expects alot from employees with little appreciation.
bad,"Consistently cutting hours, low pay. Store manager was amazing but working there was draining to every employee and during the entire time I worked there everyone was looking for a new job."
bad,"Carter's is one of those companies where the more people you know the better your career with them will be. Favoritism, sexism, and nepotism go hand in hand in this company."
bad,"As a mom, I thought I would enjoy working at Carter's. Unfortunately maybe this location wasn't the right one. The store manager was a sweetheart, but some of the other managers were rude. Something I hated was that they would force you to basically interrogate customers, when I myself hate being approached by employees."
bad,Worst place I've ever worked in my life. Their training is horrible they put you out on the floor with very minimum training your calls are graded they expect you to get 92 or above on all phone calls. They say they're a family-orientated company but yet you don't get any holidays off so you can't spend any time with your family
bad,"Worst place to work, try working for a company that actually cares about you and all the work you put in the company. Management does not know about the hassles in store, and most store managers don’t know how to do their job. There is always drama with co workers and  the store managers for no reason. DO NOT WORK HERE!"
bad,"What is the point of putting in a review when you cannot tell the truth,what happened to freedom of speech...I loved every second I spent working for Carters,it was  one of my best jobs"
bad,"there wasnt any work/life balance. poor management. Lack of training and support with in store concerns. workloads were extremely heavy with no payroll to support , leaving a lot of work on the shoulders of the very few staff that was there."
bad,Management was so awful I don't even know where to begin. I was miserable even outside of work. No where to really move up. Horrible hours they only give hours for what best suits them. Lazy as ever but get mad if you forget to do one little thing. Leaves to go shopping while on the clock. Bullies employees and picks favorites. District doesn't care about complaints.
bad,"Terrible company to work for. "
bad,"Carter's Babies & Kids, started off as a great place to work however as my time went on with the company i learned how awful they treated their workers. i got barely any training or support and i could never do anything correctly and they would ask me to pull clothes from the back but never told me from what section and what type. it gave me nothing but anxiety and even my co-workers would be rude to me including bossing me around as if they were my boss and told me what i was doing wrong when i later found out i was doing the right thing but i listened to them and then later my manager told me i had to start over because it was wrong. i felt like i wasnt even apart of a team there."
bad,i was promised and guaranteed plenty of lies. very disrespectful management team. Nothing is confidential and they tend to harass people about working on their off days
bad,"This is very honestly the worst job I've ever had. I worked there about a day before learning the staff was new because most of the last staff quit before black Friday. Turnover is so high because they don't give longer than 4 hour shifts so employees can't take breaks, then they harp on people. Went to cash my check and the girl at the bank proceeded to tell me she quit because of the management. Which I can see, she definitely has this vibe like she's trying to make everyone afraid of her. Problem is she doesn't want to take the time to properly train anyone, then she wonders they're all ""useless"". Well if your staff isn't trained and motivated it's a sign of poor management. Half of the equipment they give us is glitchy it takes forever to do anything. Half of the job it's redundant or busy work, or just unnecessary it's ridiculous. It's not even really a customer service or sales job, unless of course you like selling their brand credit card. Just a bad job."
bad,They don’t really train you they expect you to just know what you’re supposed to do. The associates aren’t too friendly they have their favorites. When closing they don’t announce they are closed you have to tell customers in person. Barely any hours are giving with low pay honestly it’s not worth it. You get paid every two weeks you can’t possibly survive there.
bad,"Bad experience for me, poor schedule and bad team work. Management keeps all the available hours, new hires are treated like disposable help. They offer a lot of benefits but you will most likely never even make half of a living on the schedule and pay they offer."
bad,I work part time and they started to deny me days off and schedule me when I wasn't available then make it my problem to find someone to cover for me.
bad,"While the main supervisor was nice, they were all in over their heads.  Many employees worked through their breaks for added coverage, which is illegal.  I quit because they kept trying to make me do it."
bad,"This is a great place to work if you love being well overworked, underpaid and unappreciated ! Most staff are great, management not as great. Decent discount but not too many other benefits."
