rating,review
good,"The opportunities at Caterpillar can be endless and the benefits are fantastic. Caterpillar have plenty of options for career advancement as long as you are willing to relocate for them, sometimes to remote locations although that is not always the case."
bad,Management is focused on all of the wrong things.  They were far more skilled at finding a local bar or restaurant than providing clear direction and support to all employees.
bad,Mgmt. Doesn't appreciate employees and is very unprofessional only criticize employees in rev ups. The company is good just not ran good or professional
bad,Not good experience at all.  It’s never enough no matter how hard you work.  Bad management and they don’t care to even fix the problem.  They treat people very poorly and unfair and if you complain no one cares.
bad,its a terrible place to work. terrible management but good supervisors. hours were terrible with no flexibility. all focus was on products and not employees.
bad,"They like to wait at the time clock and ask you to work over or wait until you are driving home and call you back to work over. For what they pay, no thank you. And the supervisors are all out to get you unless you are a brown noser then you would be alright"
bad,"It's really not the best place to work hi turn around rate good pay but that about it. Operates one or more machines to work metal pieces to desired specifications."
bad,You’re jut a number no matter how hard you work.  People are very nasty.  I was the best part picker they don’t care.  It’s like a mafia even the president of the company sucks
bad,"Made 10.50 a hour but did the same job as permanent employees that made 19.00 a hour. Poor management, no team work work starts at 6:00 am but you have to be at work ten minutes early"
bad,The worst of the worst place I have ever worked...Do not go in here with experience and education..They will feel threatened. You are better off going in and miss work and be lazy... They will convert you faster...They do not want you to come in knowing what you can do or do not work too hard..They do not want a hard worker. Drug users and people that do not have goals in their lives!!!
bad,Processed invoices using 3 different accounting systems. Company more interested in volume processing than customer service. Poor unqualified management structure. Very unhappy workplace. Helping customers understand the accounting processes. Getting positive feedback from customers.
bad,They suck and wish I never wasted my time with them. Don’t waste your time if you are of color because this company is very racist especially if your a temp.
bad,The only thing this company does well is screw its employees.. The people I worked with were awesome on the other hand. Stay far far far away from this company!!!
bad,"Good co-workers, good pay. Unfortunately, management is terrible and willing to drop people in a heartbeat. If you're looking for a company to retire at, look elsewhere. Very low morale at every turn. People working 12+ hour days to ""hopefully"" keep their jobs. Sad."
bad,"Caterpillar can be a good stepping stone however it is very fast paced and you will feel as though you are not being paid enough for the work that you do. This company is constantly understaffed and you will most likely be doing work for two people. There are many uncertainties such as issues with parts you may not get a full 40 hours a week or you may have to work more than 12 hours a day and will not be informed by team leaders or section managers to what is going on, with little to know understanding when it comes to illness or personal life. Most days you will feel uninspired and worn down mentally and physically due to the work load."
bad,"If you like being in high school all over again, then Cat Financial is for you. Management plays favorites, does not promote within, and has  some of the poorest decision making ""skills"" I have ever witnessed. Typical day at work is very very routine so if you like boring cubicle office culture then look no further. The hardest part of the job is dealing with every terrible manager there, which is every single one of them. The most enjoyable part of the job is leaving and hopefully never coming back."
bad,Better Jobs elsewhere.  Better jobs else where. Better jobs elsewhere. No future with this company  always looking to cut jobs. Better jobs elsewhere.
bad,"Caterpillar is a terrible company.  It is your typical EOE.  The pay isn't great.  Production orders are a toss up.  You are never given any notice of anything.  If you are a foreigner, minority, or are obese you will be treated better.  Close to none of their parts are American made.  Management is the worst part."
bad,"busy environment, people over worked and under paid.  management does not respect or recognize great work.  Interview is not a real reflect of work environment.  Focus should be on developing people and training them to move up if desired is there"
bad,"The union that supports Caterpillar, supports low productivity as well. So if a person is a go getter at the job, their co workers harasses them until the person breaks or quits the job.."
bad,"Waste of my time working for this company.If I nkown then what I know now,keep looking for a position you will enjoy going to.------------------------"
good,"The opportunities at Caterpillar can be endless and the benefits are fantastic. Caterpillar have plenty of options for career advancement as long as you are willing to relocate for them, sometimes to remote locations although that is not always the case."
bad,Management does not have a clue how to do anything. Yet they know every detail of how to do your job. The levels of incompetence are off of the charts for the management team.
bad,Cat is very poorly managed also dishonest and greedy cooperation. If you can find  another job I would recommend doing so.  At cat you are a Badge number  The human factor does  matter at cat
bad,Terrible they don’t care about employees at all pay was not sufficient for all you have to do. It was a lot of favoritism there some employees just got to walk around and play while you was told to do their jobs as well as yours. You could work 3 or 4 stations all day and when there is a gap they do t want to give you a chance to rest you have to move down the line to other stations the heads have no compassion for their employees
bad,As I was the only girl on the line the boys spoke to me what ever way they wanted they bullied me for months as they were full time and I was a temp the managers did nothing about it and only got worse . I tried to report it and know one wanted to know . There was a lot off favouritism with the team leaders people doing what they wanted and getting away with it .
bad,"Boring, no room for advancement, no gain sharing, no motivation, no incentives, horrible benefits, horrible management, lack of trustworthy co-workers, lots of hours with nothing to show for it."
bad,This place is an absolute joke! Even when you do your job the management will find something to complain about. Don't take care of it's present or past employees either
bad,empresa focada na seguranca e qualidade de vida do funcionario.
bad,All they do is hire people to get caught up then let you go it is sad place to work for cat used to be the high hog back in the day and the people who they pick to work full time are just plain but kissers
bad,You cannot advance without having a relative high up in the organization.  There were no promotions in Payroll in the 7 years I was there.  Zero direction from management.
bad,"I would never refer anyone to work at CAT in Athens, GA. The management is so unprofessional and very messy. There is no job security. Don't waste your time. They have a very high turnover rate. This company will fail if they don't make changes soon."
bad,This company will reject your qualifications and experience based on your race or nationality. Beware. Don’t apply here. You don’t wanna work with a bunch of racists.
bad,Unless you are a part of their click you will not advance! Very poor management and higher ups turn their heads!  Very unprofessional place to work!  Hostile work environment among co-workers!
bad,No room for advancement. You will get held back and be sent to hr and punished for things you did not do. They do not like to hire their temps on as permanent. You will be stuck making $13.76 an hour as a temp for as long as they see fit before allowing you to make the transition to a regular full time employee.
bad,"Do not work here, they do not care about there employees. They lay off like crazy and do not give a valid reason. I would never recommend this company"
bad,This Company will layoff at an instance and leave you searching for work in Peoria. In Peoria its hard to find work for Engineers other working at CAT. Terrible Management that does not have courage  to talk to you about job situation.
bad,"Employees are regarded as a libility not as an asset. Very difficult to advance or change positions or shifts, most never even get an interview after applying for a new opening although everyone is told they have great opportunity, mandatory overtime six days a week is expected with a very low pay increase annually, most get only a 2% raise!"
bad,"The management was untrained and did not know how to run their department. I paid doe insurance that was overpriced and of no use to me. I paid for insurance, but whwn I dound out I was pregnant was directed to go get medical card. I had no maternity leave paid and was treated poorly whwn I returned."
bad,"Great place for someone looking for a mechanical job, but if you think you are doing your average assembly job think again. They expect too much out of you. Pay is not enough for the amount of work you have to do. Many workers have been there for years and make about the same as someone just coming through the door. Along with wear and tear on your body. Tired all the time. They are more concerned with quantity than safety which they preach about. Only family and friends getting promoted."
