rating,review
bad,There is nothing positive to say about the SIU. Manager turnover is an issue. Training is huge issue. The dramatics of the staff are and issue. Overall I have never heard anything positive about the SIU.
bad,Worked on four projects concurrently for 16 months without title or compensation because I was led to believe it would result in a promotion. Boy was I wrong.
bad,"They expect you to do everyone else’s work without any training or experience. Send you escalated claims expecting you to get them done ASAP, without any previous experience in those sort of claims. Horrible management, never in my life have I ever been treated so terribly, degraded and disrespected. They talk to you like you are a child, that needs to be talked down to... :-("
bad,Management does NOT communicate well at all! It’s like playing a game of telephone  by the time information makes its way to staff there are several versions that differ from the original content. That’s if staff is told anything at all.
bad,"The people the staff the environment the culture is toxic. The training environment is delusional, it's like walking into the Lion's Den with pork chop drawers on. And it's the worst job I've ever had in my life! Everyone there is a liar! Actually hate being there!"
bad,"This company values those who are lucky to get into management but even those positions are a joke. Those in management look like they were chosen by luck of the draw and most of the time while you are slaving away at your job, management is taking their sweet time, joking around, and acting like they have better things they could be doing with their lives. I have never worked in a place where my past education has been so disregarded. At Centene you either hand over your soul to them or they will penalize you for it. Going to work everyday is literally walking into a building where everyone hates their job, you get penalized if you are out of adherence with your stats or if you get sick and have to miss a day, AND you are promised compensation for your work but you never get it. Not only have I become mentally and emotionally unstable due to this job but my physical health has declined as well since working here. So do yourself a favor, and don't even think about working here. You will save your health and a daily headache at that."
bad,Working here was awful i was in the call center for years huge favoritism and if your not in the right side of things life is terrible for you. Seeing people move on to other areas and other states with the treatment just as bad made me happy to leave.
bad,Told by tracy the supervisor that i dont need to attend the meeting as its for full time ppl and i was a temp. Meanwhile the meeting was there near my desk. Humiliating. I left then was fired. Great to not work there anymore
bad,Couldn’t stand how boring it was. No work was offered. Sat staring at a computer all day. There was an odd tension in the air. Manager was suddenly weird.
bad,You only advance to another position if you know someone. It doesn't matter how good you are at your job. You are a worker bee that is it. Coming to work and doing your job great means nothing.
bad,"The people that I managed, my director and other employees. I enjoyed the people but did not enjoy the organization and the goals and direction of the department."
