rating,review
bad,Worst place to work. Ghetto and ratchet.  Management only looks out for those they can control. Family members are management and work under family in higher management. No opportunity for growth.  Raises are promised but ways are found not to get one. Wouldn't recommend this job to my enemies.
bad,I worked for Centerpoint in Houston. They do not follow the company values or mission. It's very retaliatory to it's employee's.  They do not balance home or work life. The managers are not helpful and they work you like a dog. The base is 11.00 and the goals to obtain to get the commission pay is not obtainable. I would not recommend this company.  Very high turnover
bad,"Unless you are a favorite you will be horribly mistreated at this company. "
bad,It was very ghetto. You could wear anything you wanted to wear. Any color hair you wanted to wear. I would not recommend this place at all. Any and everybody could work here.
bad,Electric and Gas should be separate departments.  More training to assist with ongoing changes is needed more often than just the foundational training at the beginning of the job.
bad,I’ve worked for Centerpoint for over a year and it just got worse and worse over time. No room to grow with this company. Management is the worse and dealing with customers make the job even worse. I would only recommend someone fresh out of high school to seek employment here just to have experience and income. I wouldn’t recommend for anyone to try and make this a career.
bad,"Average call center. No communication, rules and policies change ever other day. Ok as a first job! Changed a lot of rules and pay information for new hires which wasn't fair."
bad,Management is very cut throat and have that good ole boy routine.  Minorities are ok as long as they don't complain about being harassed or mistreated.  They will black ball and look for reason to fire you
bad,"A typical day at work you would go in and take calls, there is very unrealistic expectations of the role. also working in this role there is always another department transferring calls over to us when it is not something we support, about 8 out of 10 times it is the department that transferred the call supported the issue and nothing is ever done about the issue. Causing irritated callers when this is not needed. However in the site itself you work with very friendly people and make good friends."
bad,I like the people I work with; average work day is 8 to 5pm; good place to work if you don't want to work hard and just collect a paycheck; don't recommend working here
bad,high volume call center utilities. Fast paced environment.
bad,"Attracts potential customers by answering product and service questions, suggesting information about other products and services."
bad,"I quit this job after a few weeks.  The training was ok but the trainer was very immature."
bad,"needs work of company culture. Alot of politics, hard to advance due to outdated company culture. Its not about what you know at this company more about who you know."
bad,HR has no clue how to operate. No room for advancement. Management in most cases dont know how to operate or run their departments correctly. Over all not a great place to work if you are looking for advancement opportunities.
bad,"I worked there for 8 months and paid union dues from the start, but back then (I don't know if it's changed) CenterPoint had a policy of no unexcused absences over 40 hours the first year of employment while you're under probation."
bad,"I could not wait for an opportunity to work for CenterPoint. I had heard great things about pay and benefits.  Unfortunately, that is really the only reason people stay there.  It is a company in flux.  Held back by the phrase ""that is how we have always done it"" by the skilled and experienced personnel while being pushed toward innovation and new processes by new management hired from outside the company.  There is a rift in the two mindsets that makes working there uncomfortable.  The way the Union personnel is treated is subhuman.  They recently merged with a company called Vectron and to be honest, they should have gotten their own house in order before trying to merge with another company.  Shareholders take priority in this company, and they will do whatever it takes to keep the stock price up."
bad,"The Morale is Terrible and supervision walk around with their chest out , also the only way to move up is to volunteer at company events in your free time so you can show up just to stroke your supervisor ego .... basically CNP is more important then your family. Younger new hires with no experience move into supervisor positions faster because most have no family’s and nothing but free time to volunteer at CNP events , it’s really backwards , the idea of someone with no experience telling the people with years of experience what’s best.... it’s like the blind leading people with 20/20 vision lol"
bad,"Sounds good, looks good.. But its not good. They dictate your time off, even if you have it available to take, they dock  you for every little thing possible. Give you points for using your sick pay, or forcibly taking the day off to handle business since they will not approve time off for you. Pretty much if you have a life this is not the place t work, if you depend on your finances for certain things.. This is no the place to work..They pay you low salary but expect you to be here doing everything.  Its horrible, awful and nerve shattering. I could go on but .. I still work here.. Smh"
bad,CNP terminated me after I was sent home by a supervisor during training for informing them I was exposed to strep throat. I was sent  home under the impression I was excused for the day. I was asked if I had a doctor's note which I did well the following day I received a call from the supervisor saying I was terminated. I caught strep throat from one of the new hires in the class. This is wrong
bad,"takes 20 people to make a simple decision, if you do not want to be held accountable for your job then work here.  No repercussions for not doing your job and no reward for doing your job."
bad,They say they are working towards being employee focused however with the many changes and diffrent schedule changes the company shows more so of being company oriented.
bad,many calls
bad,The hardest part is keeping up with sells. The managment is okay. They say sells is a big part but not a big part. The lack of compassion for employees health is not good but are big on safety.
bad,"Terrible Office Environment, no office cohesion worked with PRIME LEGACY RECORDS, terrible supervisor. I have worked here for a year and other employees try to get you fired to gain an upper hand"
bad,"CenterPoint Energy is a stable company but it is difficult to come in contact with appropriate management that are truly helpful and knowledgeable about the work being done. I do not feel you are given all the resources that could be available to do your job effectively and efficiently and they are behind in technological advances regarding employee resources. Work/life balance is hit or miss. They try to teach a strong ethical company with HR support but after 11 years of loyal employment, I had to leave due to retaliation after going to HR with a legitimate concern. However, CenterPoint Energy did have good benefits and is a stable company."
bad,"promotions are based on personal feelings, not merit. workplace culture is not good. nothing more to say because i cant find anything suitable to say about it"
bad,"This company is okay to work for if you are not looking for a high salary or advancement. Everyone is very nice. This was my first office job so even though the pay wasn't that great, it was good experience for me."
bad,"Seems like a lot of incentives but very time consuming . You are given a lot of vacation and medical time. The only thing is getting it requested off is impossible ."
bad,I have no review for this particular company. I would like to remain silent in this instance. I am not the person for reviews. Long hours though. Training is okay
bad,"Pay and benefits are competitive, but management likes to make things personal and then hide behind their management positions for their own vindictive natures."
bad,Over worked with little help from management.  The company still uses the Good Old Boy system when promoting.  There is little help from supervisors during emergencies due to fear of termination because of company policies and procedures.  Company only enforces policies when it benefits them.  Trying to get other departments help with issues is like pulling teeth out of an alligator.  Management and personnel hide in the field and don't answer calls due to fear of having to work.
bad,a typical energy company that allow you grow within the company if you have a degree 
bad,Has no interest in what is best for their employees. Management treat employees as if they are inferior to them. Your ideas does not count.
bad,"Good place to work though very fast pace and stressful environment.  Some great people in various departments; however, very few opportunities for advancement or growth."
bad,"Not a horrible job,  but a lot of things done based on management's favorites.  1 year probationary period attendance policy is unrealistic.  No such thing as  an excused absence,  if you get sick you have to be at work even if feverish, vomiting,  etc. Many employees regularly violate rules regarding time away from desk or using cell phones at desk but as long as you are supervisors favorites it's ignored.  Not a favorite of your supervisor,  called out on every possible error. This is not just my experience but also other employees."
bad,"My co-workers were the best. Customer Service was a must because you were always going on to someone's property to do a job. What I learned was how to handle people, pets, electrical line systems and electric meters. Hardest part of the job was pets. The most enjoyable part of the job was the others I worked with out in the field."
bad,"A typical day working as a electrical service consultant at CenterPoint started at 7AM. The job consist of project management/organization, in which I initiated project start off by scheduling multiple meetings a day with new clients to meet on site to discus construction plans, and possible electrical options. After all field visits I would head back to the office to begin paperwork and compile an electrical construction schedule and electrical layout for the client. Once the client approve and sign all legal documents I would put the project on our internal construction schedule and manage until finished."
bad,"Great management here. Beautiful office in downtown Minneapolis. Flexible hours which is amazing. I love being organized which is part of my job.  Ability to ride the bus is a must, but I have grown used to it & now enjoy this portion of my day to relax."
bad,"The company preaches diversity and gives all kind of training on the subject, but the office I was in was all white, and every year they fired a black employee until they got the office to their liking.Very racial atmosphere. I don't recommend this job."
bad,Great work life balance but no hope in advancement. Great benefits but since there was no hope for advancement it made it hard to break the barrier of the set relationships of already hired employees.
bad,"as a new employee they're management skills weren't up to par as expected, but overall is a good place of work! For students they have  good work to life ratio!"
bad,If you like walking and being outside with no one watching your every move than Center point is a good fit for you but if you have a problem with being outside for a long period of time than I wouldn't suggest that you apply for this career.
good,"no comment.  I really don't have the energy to explain.  the company as a whole have opportunities, but they are restrained and its necessary to know someone"
good,"Good opportunities to learn many different skills in a short period of time. A lot of young and senior talent, however this can be overshadowed by poor management choices."
good,"The company is good, most people are very nice they become like family after a while. You only move up if you know and are in the good graces of the right people. It consumes your life and the call center/customer service department is the worst place you can work at but it's a good place to start to get your foot in the door."
good,I liked working this job in the beginning until I started realize somethings were not as said they would be. The pay was okay but i didn't have as much responsibilities then .
good,If your looking for advancement don’t waste your time. Life is not fair but customer service is unfair on so many levels. M............................
good,The most enjoyable part of the job was working with associates and reaching and exceeding team goals. We brought in millions of dollars for our department alone which cast a positive light on the team.
good,"This is not a professional environment. Long hours at a small pay rate. Hard to manage with children. Loud and ghetto. I could've went back after I had my daughter, but I decided to go back to school. My experience there made me realize that i deserved more."
good,"Identfy opportunities to promote gas technologies.Learned how to increase personal effectiveness, the natural gas process from shale to the customer, effective communications."
good,"Great place to work if you love sales, overtime, and long hours during the busy seasons. As a Service Technician you essentially have 3 jobs 1) Utility Worker "
good,Center Point Energy was a great job for me the only problem I was a FEMALE WITH MAD SKILLS but the pay sucked GREAT FOR THE MEN just like they were the bread winner so was I a single mother taking care of business not BEGGING or WAITING ON THE GOVERNMENT TREAT CHECKS.BUT The Father I made it 29yrs I stayed to long for the raise to get good for in 2010 -15-152015
good,"Great place if you aren’t on the phones in the call center ... we were rushed out of training because they needed people on the phones. If you work flex don’t even think about having the holidays off unless that’s your normal off day .. petty, miserable co workers and more annoying customers who complain about things like the wind.."
good,Rates are way below the market average. Lowest I’ve seen in over a decade comparable to the market. Technology is well rounded and secure which is nice . I also tech side of things are very well managed.
good,"CNP used to be a great place to work, as shown by the huge number of employees with really long tenure.. New management came in with the new CEO a couple three years ago and some of these top level management people are changing things just because they can. They didn't look at how things were working, they just wanted to make change for the sake of making change. This has led to a lot of disgruntled employees. CNP is a utility company. Its never going to be a sexy company - its just a utility company!  This new top level of management wants to run it like its an oil and gas company and it just isn't.  They are going to run into a roadblock at some point that will stop them in their tracks, but until then, I'm afraid many very talented people will leave the company."
good,"Great wages after the first couple years. They will pay you just enough to keep you from thinking about leaving. Overtime is expected and often mandatory, you will make lots of money after you get passed your assessment tests."
good,"Company was in the middle of transitions when I started my employment there.I enjoyed being mobile, provided with company vehicle,uniforms,and tools. The company began to outsource soon after my employment.My position was very hands on, outdoor and extremely physical.The division of the company where I worked was in the process of being phased out.Overall my time with the company went well."
good,"I've been here for over 8 yrs and loved my job until recently. Since CNP had decided to take the company into a new direction, life has been awful, training has been non existance, stress has been through the roof and customer service has been thrown out the window."
good,It was all about the company and money and budget. Nothing for the little people. If you aren't in management don't bother.
good,"Would you like to spend your day doing ""meetings"" without getting any actual work done, all for below-market pay? Then CenterPoint Energy is for you!"
good,Not much opportunity to advance in the company unless you are willing to move. Great supervisor and co workers that will teach you if you are willing to learn.
good,"I work in the customer service department and it drains you everyday. For the amount of stuff that we do, we should get paid more than what we are currently paid."
good,"easy work , not to strenuious, 8 hour work days, every day varied in what job you may be doing that day. was a union based job"
good,"This company has issues with management and personal feeling towards employees, exp. I management does not like a person they will not let that person advance. no matter how well the preform on the job. "
good,I have grown as a operations supervisor with cemterpoint energy. As a business tey are innovating to gather information that allows me to be successful
good,Management could have been more professional and helpful. Shifts were fixed and were attainable only by raise. Breaks consisted of 30 min and 2 fifteen minute breaks distributed in morning and evening.
good,"Most of the company has a lot of opportunity. If you have an engineering degree then the sky is the limit. If you don't or don't have other industry experience you will be relegated to a frustrating position. Also be willing, no be pushing, to relocate to Houston."
good,OK. Depends on your department. Hard to post out to other groups. Health benefits costs more than previous employer. 401K matching is 6% plus another 5% in a low interest account.
good,Stable company with opportunities for advancement in certain departments. Opportunities for knowledge transfer as many employees are retiring. Family culture.
good,Install poly pipe mains and services to homes and business's.
good,"I work on HVAC, ranges, refrigerators in customers homes. I find gas leaks in customers homes; repair gas line. Install gas lines to appliances. Inform the customers what I found and how I repaired the appliance."
good,Great work life balance
good,"I was hired for my ""innovative mindset, entrepreneurial spirit, and can-do attitude!""  However, it was those same attributes that made me disliked by my peers.  Management is a joke, and you can only get ahead at CenterPoint based on who you know, or who likes you.  You're expected to bend over backwards and kiss butts.  I don't do that very well, so since no one liked me....well, you'll figure out the rest.  "
good,the work environment for the most part was good.  the management was not so great.  a lot of micromanagement.  also managers did not know all the ins and outs to help with specific job functions but were quick to tell you that you did something wrong.
good,The company overall is great to their employees. However management is very unprofessional. There is not a lot of advancement with in the organization.
good,"I feel like a robot. There is no time for the unexpected.  Every minute, every second must be accounted for with very little wiggle room. Dont get me wrong, it's a good place to work (once you're out of the call center)."
good,"The benefits are great.  The job was stressful and demanding.  However, it is now under new management and stress has been reduced. The work schedule and work location is more flexible."
good,"Centerpoint treats union personell much different than Non Union personell."
good,"Poor management in my group.  Lots of restructuring and lay offs.  No job advancement, hard to move within departments.  Managers are difficult to work with."
good,I am assigned as temporary so my duties vary which I enjoy.  I would like to receive more challenging assignments and be more included in larger projects.
good,Great place to learn about the Natural Gas Industry... Learned several aspects of the Distribution side of Natural Gas Business....
good,working at center point was very interesting.
good,The company has been moving more towards more sales oriented service work than just come in and repair appliances at least for service technicians. Other than that its a good company to work for and they have many places to advance and expand your career with them.
good,Centerpoint recently acquired the company I work for in a merger. The culture at Centerpoint seems very team and goal oriented while striving to succeed for their customers.
good,"People are friendly. Good on the job training. Management is open, approachable and flexible. Compensation is decent. comfortable work environment. Opportunity for growth."
good,"CenterPoint Energy Services is a highly competitive department and working for the company has it's benefits including longevity, security and benefits.  I would say management is pretty poor and needs to be evaluated much closely.  Should have more work/life balance options and consider the needs of the employee."
good,It's a big company corporate culture.  My previous company was bought by CenterPoint Energy and we went from a small company culture to a big company culture.  This is not what I am interested in.
good,"it was very stressful environment, some of management was difficult to work with, Some of project were pending for a long time due to lack of coordination among different teams."
good,"like any job, most will depend upon who you work for.  there are a lot of good bosses and just a few that unfortunately only know how to look good to their boss."
good,Good company. Worklife and culture enhances ones outlook. Hardest part of job was the constant meetings. The most enjoyable part of the job is the people.
good,A great place to work if you not into traveling and want to make it home to see your family every day. There is a good workplace balance. The only drawback is most people are there for 40 years and there are limited advancement opportunities.
good,We have deadlines that needs to be met daily at the U.S.P.S. Productive and fast pace job. Make sure inserts are inserted correctly to all the right SBU.
good,ok work place. pay is good. management is lacking. not much room to move into management. you will get on the job training.
good,Good Solid Company to work for.  Good benefits and work life options that makes an employee have the option of working at home.
good,"I worked thru my employer. It was nice working in CNP, great people and nice office. Office is in Downtown to commute is bit hectic"
good,I am working from my employer to Centerpoint. I find center point working environment is good. Only drawback is office is in Downtown so driving to work take lot of time
good,"At CenterPoint, I learned quite a bit about electricity.  The hardest part about the job was grasping all the information about the electrical side of things since I have a background of Mechanical Engineering from school.  The most enjoyable part about the job was getting to meet many customers and talk with them."
good,"Depending on your role, this can be a good company to work for. Once you pass the 5 year mark, you can do anything without having to worry about getting terminated. I've seem employees get aware with ""murder. "
good,CenterPoint is a stable company and has a good work-life balance.
good,"I have learned a lot & developed many relationships. I have been with the company since 3/2011 & my schedule has changed (3) times & is due to change again in January, due to this factor, I am seeking new employment."
good,"Taking calls and responding to emails is part of our responsibility. I have learned a lot about the gas and electric industry. "
good,My experience was good as a overall company. My co-worker was not as social and did not really help me exceed and may be the cause of me not being there anymore. Our boss did not help with getting me educated from my co worker to do my job. He called us family and brothers but I did not fell that way. I did not have the best experience doing my job but the work place was great.
good,"Many working and volunteer experiences through varied work locations.  I learned the natural gas utility business first, then the electric utility business."
good,It is an odd working environment. A valuable and experienced programmer was not getting along well with the project leader. However; most of the programs were written by him. I realized that the project leader were frustrated and teared one time because of this.
good,I feel to work at center point energy you must work hard. the only thing I will like for the company to change is that they can be a little understanding when it come to employees that have kids. you will still receive points if you bring a doctor note.
good,"This company provides training and has great pay with benefits, the safety culture is strong but so are consequences for mistakes."
good,"Currently I am in a department were the management is awful, they say inappropriate things and each time I try to transfer they refuse to allow me to do so. I have been sexually assaulted and looking desperately to move to another department or find another job with another company. Other departments I have worked for where so nice and wonderful. I loved every minute of it, it is about who you know and what department you end up in that will determine how your experience will be."
good,although it was a nice place to work it take forever to get out of the call center. if you work in the call caneter stay on top of your game so that you can advance any little small mistake will have you there for the entire duration of your career there.
good,"CNP is a good company to work for, benefits start asap and pay is good, however often Mandatory overtime with little notice, self paid parking (downtown location) or you can have an amount deducted from your pay ($60/month) to park at a hotel downtown. Strict Strict attendance policy ( if you have kids especially young kids...THIS IS NOT THE PLACE FOR YOU) and if you are in the Customer Service Dept.....good luck trying to promote to another dept. I know people say this all the time but here at this company you have to really kiss A** to move up."
