rating,review
good,I have to say this is one of the best places I have ever worked. I had a good team and management is very supportive. Each day I had time to perform my duties. I learned many new technologies and methodologies. The culture is very open and friendly. I was given a lot of opportunities to be able to grow my skills.
bad,"The majority of the employees do not have children and work 60+ hours a week and expect everyone else to as well. "
bad,"Permormed CCAR and ERM related contract work. The risk head is a waste running the dept with people like ERM head who behaves everyday like she has just been let of a mental institution. While I was there 7 people quit and the big guy couldn’t care because his bonus doesn’t get affected. Jokers running the place. If Chuck or his daughter care they can reach out to me."
bad,Poor management. No communication. No advancement. Management shows favoritism towards the people who have been there the longest but they don't work as hard.
bad,"Not a good Place to Work.  I saw several good PM's Leave before I did."
bad,"A terrible culture and work place.  I would not recommend working for this company.  After Charles Schwab retired the place was no longer a place to work.  The place is much more a sweat shop, they do not believe in promoting people in their current position.  You are required to apply for a different position at a higher level, promotes no motivation to do a good job as you will not be rewarded for doing a great job.  Many people currently working at Schwab tend to simply stay under the radar by doing as little work as possible, some choose to actually sleep on the job. Top management is never held responsible, ridiculous employee surveys only hold immediate supervisors responsible for unhappy employees, and these managers have no power to make any real change or impact."
bad,Terrible place to work... Stay away... High stress... Bad experience.... Not nice people... Pretentious... Unrealistic expectations... People fake their way forward... All about the external image and not the substance... Interview wasn't even for the job skills I was interviewing for...
bad,Schwab is a negative environment where employees are micro managed. Raises are terrible if at all. I do not recommend them as any kind of long term place to work. They hire outsiders rather than promote from within.
bad,"My experience was perhaps the worst experience I have ever had in a job at this company. I would not recommend it to no one. Low pay, low morale, no respect for employees."
bad,Overall it was a stressful environment. It felt like working under a dictatorship. Lots of chefs and not enough indians. The micro managing was out of control.
bad,"The company has no development plan for its employees.  It has good life work balance, but it a company that provides just a 9-5 job.  There is no advancement plan or reward for hard work.  Moreover the company is unethical.  Specifically they required the software teams to wrongfully float Mutual Funds managed by Schwab up the recommendation chain, even though they clearly underperformed Mutual funds from competitors such as Fidelity.  It is a sales culture and technically minded people are treated with disdain."
bad,This company went out of business years ago in Florida. It was a decent company to work for but the pay sucked and it was not a good company for someone who is looking for a career.
bad,Untrusting work environment. Lack of control over success. Unidentified strategy.
bad,"This division of Schwab handled all aspects of the leased or owned real estate for the firm. They are poorly organized with little written policies and only annual interaction with upper management. We were required to used 23 different systems/products to pay bills, manage properties, order supplies and process invoices. This led to vendors not wanting to work with the firm because they didn't get paid for 3-5 months. Company credit cards were often ""turned off"" for non-payment which left me traveling and no way to get back home unless I paid for airfare via my personal credit card. They should start over and outsource the entire department or hire folks from the commercial real estate industry that can turn this ship around."
bad,"Discriminatory work environment, especially if you are a minority trying to progress in your career. Even though promotions are given, responsibilities are taken away."
bad,"Do not take a job as a ""Broker Trainee"" it is a call center and nothing more than a customer service job. They promise a start to a career that never materializes. Everyone is looking for the next opportunity to ""get off the phones"" and end up taking jobs outside of their area of interest or desired career path in order to stop taking calls. If you want to enter the world of financial services and do not have experience, take the job, get licensed and get out as soon as you can afterwards."
bad,"Inbound client and potential customer calls. Place trades, solve issues."
bad,"You are a clog in their machine. "
good,I have to say this is one of the best places I have ever worked. I had a good team and management is very supportive. Each day I had time to perform my duties. I learned many new technologies and methodologies. The culture is very open and friendly. I was given a lot of opportunities to be able to grow my skills.
bad,Revolving doors. Have not met too many people who were excited to have been working there. Standard benefits but no job satisfaction. College campus like atmosphere.
bad,No innovation and collaboration isnt’t true. Tons of meetings and little decision making. Very much wants to avoid risk when evaluating new tools and software
bad,"Worked there, left there. Good project work, but management mentor-ship and training was less than desirable. Did not support critical thinking or dissent."
bad,"During my 15 interviews it was sold to me that someone with my skill set was needed. I was told that  help was needed to develop the team, enhance processes, make my own assessments of the team, and train the team.  They made it sound like change was needed and supported."
bad,"I worked for Charles Schwab as an Estate Representative, in Phoenix AZ management is disrespectful to its team members, They , micromanage to a fault. No matter what phone call you are on they want to tell you exactly what to say as if you do not have a brain."
bad,"My assignment with Charles Schwab was with Adecco contract."
bad,"Google ""Enlighten"" - basically a program designed to micro-manage every minute of your day. It boils down to numbers/metrics being scrutinized daily on white boards for your entire team to view. "
