rating,review
bad,I worked this as a temp job and cannot rate this as I would a permanent job. I did some receptionist work and some HR work. The job varied and some buildings were very nice and some were very quiet.
bad,The new management does not care about their employees. They work you to death and do not pay you for it. There under staffed and going out of business soon.
bad,"Chesapeake Energy is a horrible place to work. The upper management is utterly clueless on what to do and how to go about doing it. Most of middle management is there because they suck up. I wouldn't recommend CHK to anyone for any reason, unless your family is starving.  If you do decide to work there, begin working on plan B immediately."
bad,Worked there for 5 year was good but know things really changed from bad ti worst  no advanced ments unless you know your production forman very well they hire firends and jump you and new hires become your boss after 6 months do not reccomend working here its bad
bad,Just wasn't the best fit for me at all. I wanted to try something outside of law enforcement field but this was a terrible fit. The agency as a whole appeared to be fantastic.
bad,CEO committed suicide in 2015. I'm not sure how much they conduct business now that the oil industry is collapsing in Oklahoma. Got into nursing shortly after leaving this company
bad,"Chesapeake was in the midst of some sort of ""growing pains"". "
bad,"Terrible place to work. They lied about what they were doing never affected my job but did lots of other people. Would say no more lay offs the rest of ten year then lay people off very next week."
bad,"Four of us were in charge of placing orders for truck loads of crude to be picked up at well location.  We worked 12 days on & 2 days off.  The pay was $10,000 less than other companies paid their employees for the same role.  There was no room for advancement in this role & upper management had no idea what we did, we ran & managed ourselves."
bad,Chesapeake tends to have layoffs yearly and it takes a toll on your psyche.  It is going through a transition and it never seems to end. If you enjoy rollercoaster rides then this ride maybe all you need.  P
bad,Very poor company with no regard for its employees. Extremely poor and unethical leadership. The organization leadership is extremely unethical. The former CEO was indicted by the Justice Department.
bad,poor mgt drove the company into the ground. too much micromanaging and too many cronies still on the payroll.  hopefully thing will start looking up in the near future.
bad,Job security was horrible! A month before they did a mass layoff the CEO told us not to worry about any layoffs that it wasn't going to happen. A month later they did a mass layoffs over 800 just on OKC campus & almost 5000 nation wide! This is the second time they have had such a huge/ mass layoff in less then 4 years.
bad,"Kitchens have mold in the fridge, some management don't know what they are doing and they are feeding people food that was not prepared properly. They base the pay on how they feel about you 3 years working there and i only made 10.75 an hr. I have a bachelor's degree and a degree in culinary arts"
bad,They are re- structuring and laying off like crazy. Most likely the job wont last long but they won;t tell you that.  They hire temps then get rid of you so they dont have to pay unemployment.  I would stay far away.
bad,"Don't Believe Fortune 500's Best Places To Work! It Must Be Rigged! As said other reviews Management and HR are weak to say the least! My Coordinator made Racial Slurs about Martin Luther King and about the only black person in our department, on MLK Day! So bad I wouldn't dare type them here! I took it to my Manager and he said he would talk to him. Shortly after my Coordinator was promoted to Supervisor! I asked my manger about this he said ""I talked to him and told him we need to be good supervisors"" I filed an Ethics Complaint which was suppose to remain anonymous, it went to HR and immediately all the management in my department began to treat me different, shunning me, talking behind my back, and refusing to even make eye contact with me. HR conducted an investigation, they called several of us in, said not to talk about it to anyone. Immediately I had co-workers coming to me asking me what I had done. After admitting I was the one who filed the complaint, most of them said they backed me up on all the complaints I filed. Yet to this day nothing has changed. I could go on and on with stories, reasons why I am here at Indeed.com. Run Do Not even consider working for these people!"
bad,I really don't have much to say about working here because I don't remember much about it. We are getting pretty far back into my past careers. I wish I could help more.
bad,"Would not listen to employees. HR thought they knew everything and would not even talk to us. They sold a lot of property that would have made them money, again, they would not listen."
bad,The foreman and the supervisors didn't like you based on your dedication to the job but on how much you kissed there butt.
bad,"If you have a family and Chesapeake is recruiting you run fast do not move to a very unsecure company that will let you go as fast as they make their next bad management decision!!!!  And then you will be stuck in Oklahoma, Yahhhh!!!!!!"
bad,"There are some professionals here, but it is mostly rednecks, boots and F-150s. They believe their own propaganda in that it's a great company to work for--maybe if you work at HQ in Oklahoma. Field offices are poorly managed with little direction. Be careful if you want a career---this company is now under investigation for price fixing land leases in Michigan; the board of directors has recently been mostly replaced, the CEO is under SEC investigation. Can you say Enron?"
bad,This poor management in the South Texas Land department has been a known issue for years but HR and VPs will do nothing to address the problems.  Staff employees receive zero recognition for their efforts and accomplishments.
bad,Chesapeake treats it's contractors like dirt.
bad,"*No opportunity for advancement "
bad,"This company is the most unprofessional, unethical, discriminatory, and bigoted place I have ever worked. I have over 30 years work experience and 20 of those years in oil & gas industry. I’ve never dealt with so many lies and breeches of confidentiality.  I was one of many that doesn’t “fit” in and were. let go because the company being so unethical. To the point that HR was even a part of it. There so many cowards who were more worried about losing a job than doing the right thing and in turn compromising their integrity and breaking employer/employee confidentiality."
bad,"Management at the San Antonio business unit was terrible. Processes were not handled with tact or consistency. Focus is taken from the earnings of the business units and given to fund the corporate campus. Several culture trainings have been attempted recently, and none have stuck. A very un-transparent company culture, from top to bottom. No sense of team work, it's very much each section and team for themselves. Little credit is given to those who work in business units."
bad,"Lack of career advancement is a major obstacle in Chesapeake's success.  Current managers were promoted based on appearance or tenure, not necessarily talent, at a time of immense growth.  Now that the business is shrinking rapidly, many of those managers are unable to cope with the changing demands placed on them and those in their service."
bad,"They work you until you have nothing else to give. While I enjoyed my co-workers, management was awful. No matter how hard you work, they always expect more."
bad,"-job required constant travel, and although I was able to make it home most nights (having started a new family this was very important) was usually required to drive anywhere between 1,000-2,500 miles PER WEEK."
bad,Stressful place to work with frequent rotations in areas with no expertise. Too much focus emphasized on workplace culture and not on the actual work.
bad,"Was the poster child of innovation and great results.  No longer.  Earnings releases has them cutting for the sake of staying alive and all the good talent with plan ""b's"" have departed."
bad,"Chesapeake is trying to be a big player in the oil and gas industry.  Unfortunately, their own internal rules and bad business decisions from all upper management prevent the company from being great."
bad,"Chesapeake was a great place to work. With different management it could still be a great place to work. The new culture is strange and constantly changing. The most enjoyable part of the job was the job itself, the work was great. The worst part of the job was constantly wondering if you were going to have a job."
bad,"Company is very unstable with a downward spiral since 2013, led by sub-par  middle management. Benefits are excellent in attempt to keep employees happy."
bad,I really enjoyed being a natural gas scheduler at Chesapeake and working with my fellow coworkers.  I learned a lot about how important communication is with upstream and downstream partners.  Management was not strong in my department and very little job security.
bad,"The pay and benefits are great.  Working for a company that does not care about work/life balance not so great.  I have heard that other departments do not have this issue, but the midsream accounting group does. The department had a very high turnover rate which perpetuated a culture of misinformation and confusion."
bad,"I was raised that if you don't have anything nice to say, to say nothing at all. That being said, I only worked in the field, not at the corporate office. I'm sure rules are different."
bad,Poor management - they either don't care or ignore the problems.
bad,"Just another day in the oilfield great place to work, I would recommend it to someone that is looking for a job"
bad,No life outside of work you will work 70 plus hrs a week . You will only have 1 day a week off and don't plan on holidays off chances are you will work
bad,"My department was rough, lack of leadership and understanding of the work that was being done. Culture was based on if you were liked in my department. I tried to fit but I was not a woman and my boss had a complex towards men."
bad,"Chesapeake Energy is a place that grew too fast for its own good. Employees were promoted based on seniority and not merit. Middle management is littered with untalented hacks. The executive level is full of brilliant industry minds, but for the life of them they can't figure out how to put the right people in a position to succeed. Chesapeake will continue to flounder for years and years; the mistakes of the past have caused irreparable harm."
bad,"toxic environment. Does not allow for freedom to grow and horrible upper management. Money is great, but its not worth it."
bad,"I didn't find my time here of any particular value. My perspective is one as a temporary employee who was never hired on because I didn't fit the mold. I am appreciative of the job that I had and that it was able to provide me with a necessary paycheck. However, I never felt as if I had a voice within the job."
bad,"Management did not truly care for their employees. While the company is in the red, they continually focused on the culture of the company instead of actually looking at processes that could be improved or phased out completely."
bad,The culture has changed to bitter sweet.  You spend much of your time competing with colleagues rather that working with them.
bad,I did not care to be a CPA and the life that that entailed.  CPA firms work you so long.  I felt as though I was selling my life for a little bit of cash.  It made me realize that money is not happiness and what is everyone trying to buy.
good,Not only was it a stressful environment but they also preferred quantity over quality of your work. Me personally I would rather do the task right the first time instead if going back to change errors. The manager told me that I shouldn't worry because he runs a report once a month that lets him know where the errors were made. Which there were more mistakes made by people because of management. I personally would never work there again because they have no structure and the majority of employees don't even know what their doing half the time. Just a bad environment to work in.
good,"- My day consisted of monitoring the previous days work load and assessing the current days work requirements for my project.  My projects were long but extensive. "
good,"I was sucked in to this job with promises of an excellent work/ life balance and growth opportunities. This was quickly crushed when I was stuck at a desk and forced to work 12-14 hour days, 6 days a week even when there was no need and not much work to be done. My boss was verbally abusive, swore at me and liked to use racial slurs. Fortunately he retired, but the current management is just as bad. Needless to say I'm looking for an exit and a path to grow my career."
good,At the time Chesapeake was a great stepping stone in my growth as a professional and as a person - how to identify organizational politics and manage yourself in a highly political environment and still maintain a sense of self-worth...truth.
good,"Although some benefits are topnotch, its is not a company for a long term career as there are few opportunities to advance unless you have a masters degree in geology.  Management is unpredictable, and it is routine to be told one thing then have the opposite conspire.  The slogan is people are the best asset, yet routinely good people are left feeling unappreciated and leave, which only concentrates the bad work culture."
good,"The work atmosphere is stressful, mangers didn't do their job. workers were over worked all the time and weren't treated fairly. Managers played favorites as well. i was afraid to come to work every day."
good,"I liked working at Chesapeake. I would have retired from Chesapeake had they not laid me off. Overall a decent company. Great benefits, great people, good work environment."
good,Interesting place to work. Opportunity to learn various things regarding the oil and gas industry.
good,I was a contractor for a few months.  I worked right before the layoffs happened in 2015.  Management did not want to help me learn.  I went in for a totally different job and was placed in a different dept.
good,"It's a pretty cool and a quick pace job to do, it is not a very difficult job, if you just stay on up of the orders. I thing I love about it is that is not that much moving."
good,If you don't fit in with the culture of CHK then you won't last long.  You won't last long anyways if the Board of directors allows the debt to become insurmountable again.
good,This is a six month contract position. This contract will expire at the end of this month or at the expense of my supervisor.
good,Chesapeake is an employer that requires innovation in order to grow the business.  Accounting tasks are meant to provide purpose and help with the development of the overall business.
good,Indeed requires review only reason I’m writing review. Many changes have happened since I first started with Chesapeake. Currently there are many issues with upper-management.
good,"Layoffs are pervasive in this industry and especially at this company. The technical staff is mostly young and needs better mentorship. We had many different responsibilities without being forced to do one specific job, which was one of the best aspects of the job."
good,"The company has too much debt for current cash flows.  As a result, management has created an environment that does not promote a healthy career.  "
good,There are great people and teams to work at within Chesapeake. I had the unfortunate chance to be in a department that reorganized and changed leadership every 6 months. This makes it difficult to achieve department goals because the team changed direction with every new leader. And every new Anadarko leader was more clueless than the last one. This wouldn't be a problem if leadership trusted those of us that were the individual contributors that had been at the company longer then they were. There is a rampant problem with Chesapeake leadership wrestling with itself to their own detriment.
good,Great place to work but compensation is not good. It had a great atmosphere to work in with the people I was around. they do not look at contractors in  a goo light.
good,"long hours, no home life, but it paid well and the drivers where good people"
good,"Managed calendars for multiple sr. staff members"
good,I would assess every job site.  I learned things pertaining to the oilfield.  Management is efficient.  Co-workers are good to work with.  The hardest thing for me was being in an office every morning.  The thing I enjoyed the most is keeping everyone safe.
good,"Chesapeake has great benefits, but broken processes and no accountability. Management works 20 hours a week and does homework all day in her office while everyone else has to pick up the slack. There are no standard operating procedures in place and chaos ensues."
good,"Work day consisted of doing Data Entry, verifying new employees work for misspelling. If you did a good job with hardly any errors then you would be able to listen to headphones while working, which made the day go by faster. Also we were allowed 15 min breaks in the morning/afternoon."
good,"The benefits are amazing! However, the HR team was dysfunctional. There was little communication and collaboration. It felt like Highschool with a bunch of cliques. The employees were all the same personality wise and culturally."
good,"Chesapeake could be a great place but they continue to downsize on average every 2 years. Also, one person has to do the job of 2 or 3 people. You are continually worried about layoffs."
good,"I was hired on as a remote field support tech (IT). started as a contractor. Was SUPPOSED to go perm after 9 months. 8 months in, Chesapeake had a ""restructuring"" and laid off over 400 employees from all over the country; including ALL the remote field support technicians. I'm not sure how they are maintaining all the IT work, but the corporate office stated that ""the helpdesk in Oklahoma can handle it""...yeah, ok. (I'm not bitter or anything :) )"
good,I loved my job for the most part!  Never a dull moment.  Going to the field office for quarterly reviews was fun & I got to meet co-workers that I would talk on the phone with.
good,Days were typically slow but lots of training opportunities to expand knowledge either operationally or technologically.  Benefits were great with an on-site gym.
good,I really liked working at Chesapeake while the company was doing well but has been going down-hill for years.  When they started laying people off I decided it was time to leave
good,"Learned a lot about oil and natural gas production.  Advancement was difficult and no matter your work ethic or ability to take initiative, you will not be noticed for your hard work."
good,"Six drill rigs working around the clock & calendar . Two completions jobs going on at all times . More traffic than anyone can imagine . More landowner complaints , citizen issues than any company could ever deal with ,  what fun !"
good,"processed invoices on a daily basis. expect to spend time viewing pages of documents and many emails to team members for verification and questions. information can be overwhelming at first, but company provides training through 1 on 1 mentoring. though management is lacking and work is self-motivated, you can get better feedback through result of your work. the turnover rate is high and most positions are temp contracts."
good,"The culture at CHK is all that I have known in the professional world.  It was incredibly fun and focused on keeping people happy. Training on the other hand was much less emphasized upon and ultimately my skills were seen as ""no longer adequate"" for the position and I was let go with no option of training to bring my skills to where they needed to be."
good,"Put everything in writing."
good,"As with any company there are problems in certain departments.  I believe the CEO is sincere, but there are areas that have issues."
good,"Good company, nice work environment, required a strong work ethic and tough minded employees."
good,"It is a beautiful campus, but previous management has lead to a situation where the company is doing great, but the Debt to Income ratio drives most decisions by the board."
good,Fast paced working environment. Typical day spent modeling.  I earned about air emission filtration. Hardest part of the job was staying within schedule to meet project deadlines.
good,"It is hard to review the company in its current state, it has changed dramatically since I was there.  In my time, it was a decent company to work for.  A little stressful with disagreements between upper and middle management."
good,Entered land/ title documents into system which had to be closely paid attention to detail as well as in a timely fashion.
good,"The management in the field is horrible. Safety glitches from inexperienced managers looking to advance their agenda. A buddy based system. Great employees that care, not the same from the top managers."
good,The company is in a big state of tradition/restructuring.  Waiting to see the end result.  When the restructuring is over the company won't be anything like what it was.
good,"I loved working here. However, when my daughter started having seizures and required multiple hospitalizations they were not willing to work with me.  But the benefits were amazing."
good,"So much has changed since I started Chesapeake in 2008, not the same company it once was.  I was laid off in November 2019 after being there almost 12 years."
good,"I was interviewed from a friend’a mother. My job was to refill ice buckets, refill fountain drinks, and to prepare snacks that were on the menu  I worked during Basketball games"
good,"Evaluated Latin America Basins for new ventures for Chesapeake for unconventional plays."
good,"While the company benefits were good the leadership was lacking.  Guidance for a new hire is very much needed.  Report to one manager, yet the work preform is for another."
good,"Great people to work with. However, staff strength and executive direction were not on par with what was needed to transform and grow their business' supply chain."
good,My first two years at Chesapeake we’re great then management changed and everything changed to the worst drastically. I was laid off but was also ready to leave
good,The job was stressful at times and felt as you were addressing the same problems day after day.  It is a job for a person who is highly motivated and has a drive to do the best they can.
good,I work as a third party for the company. The job here lasted 4 years. The job consisted of lateral lines and pipeline. The gas company had  a lot of meter station as well.
good,"I liked working at Chesapeake Energy Corporation; I especially enjoyed the people I worked with.  In the most recent layoff, they cut a lot of creative and outspoken people."
good,"Good business to work for as long as you can conform to what the EC wants you to be. Free thinking and dissenting opinions are not received well. Overall, good place to work if you are a yes man."
good,"Pay for Performance Culture is fair to all employees.  If you work hard, are productive, and prove your ability, you will be acknowledged and paid well."
good,"I actually enjoy working at CHK but there is no advancement for me in the current position unless I move to OKC which I don't want to do.  I've asked for more training or even if I pay for my own training, can I do more and the answer is always no, that we have people in OKC that do that."
good,"Bad upper management. Do not keep there word. Good production facility's and they do not  mind sending money when it is needed........"
good,work 2 weeks on and 2 weeks off. great pay work day hitch work night hitch. Over all another step into the direction to advance my career
good,"Daily routine got boring. Did learn more about pumping jacks and heater treaters. Too many Chiefs not enough Indians. Plant operator was great ,my relief operators were not knowledgeable enough. Hardest part would be keeping repairs( all units decided to fail). And you had problem free days."
good,"Basically I feel it's time for a career change and new challenge. After 35 yrs in this industry, you will continue to learn and gain experience in situations that you may encounter This in turn prepares you to handle any problems which may arise."
good,I Enjoyed working for Chesapeake Energy. It was one of my favorite jobs. my coworkers were friendly and supportive. The hardest part of the job was being laid off.
good,"The pay and benefits for Chesapeake were great. However, I was scared at times to even take a break for lunch for fear there would be consequences. The executives ask their employees to be transparent, ethical, and develop strong communication skills, but most employees felt theirs was lacking. I did enjoy my last role at Chesapeake and my boss was much more enjoyable to work for than my first. However, due to the low price of oil and gas I was laid-off. The managers had zero say in who was and was not laid-off. I am not sure how a CEO and the other executives know what the daily tasks of each employee are in order to make their decision. I felt it was not handled well."
good,The company lost a lot of experience with the 2013 volunteer separation program and layoffs. Some departments wisely selected employees that were under performing for the lay off while others used some unknown criteria which left them with inexperienced personnel facing complex issues.
good,Great company offering opportunity for advancement.  Desire permanent placement.
good,"I liked working at Chesapeake, but would agree that their management shows favoritism."
good,Chesapeake used to be a great place to work. It was very unique and had character. It is now just another plain corporation with no heart.
good,Large E&P Company based in Oklahoma City that was branching out to the Midstream Sector.  
good,Working at Chesapeake was a good experience. I worked with nice people and had good managers the entire time I was there. There was uncertainty in the air alot of the time with the recent events at the company. They have great benefits even today and the campus is beautiful.
good,I have lost Thousands and thousands of dollars in my 401 K and its stock is a joke . If I knew now back when I first started I would have never bought CHK stock and invested in their 401 K.
good,"Typical day at work was reading through various probate court, deed and title transfer documents to determine ownership of mineral rights for specific counties of interest."
good,good job to work at and good people to work with saftey is to the highest youwill get all the skills to work for the company and everyone that you work with
good,"Due to a high debt load, long-term employment is questionable. Assets are constantly sold to meet operational needs and to pay down debt, resulting in layoffs every couple of years. Benefits are great though."
good,"I hope they pull back from the debt. It was fine, and the people who work there are wonderful people. I hope it gets better for that company someday.."
good,No advancement but very good benefits. The company is trying to renew their workplace culture. I enjoyed working in the field. I found office was disorganized.and did not have a plan on how to get the best from employees. Always changing. Not consistent.
good,I left early on during the change over in management so I cannot accurately give a review of how the corporate culture or work environment is at CHK currently.
good,"Professional company with good environmental and safety practices"
good,"Over the last year I have learned that promotions will never come and my job is completely stagnant. Management plays favorites and takes vacations with employees. Common talk is about sexual harassment and alcohol abuse, very profane, and crude. "
good,"A tough and yet fun place to work. Management needs to run business smoother as every corner that could be cut was being cut, along with salaries. Any other company in the same field will end up paying you the going rate, this company has cut all costs and hires entry level persons and moves them up the line fast (if you are dedicated)."
good,"The company was the one of the best to work for when I started over 2 years ago. Employees were valued and it was shown through all the amenities like the fitness center, restaurants etc. All of that is still there but the atmosphere has changed tremendously. While I was there before the restructuring began I loved going to work and seeing my co workers etc....when the new management came in the atmosphere totally changed. You never knew if you had a job or not the next day because they would never tell you anything. The morale of all employees was so low and no one wanted to work. Unfortunately I was let go after weeks and months of stress and worry. I am currently looking for a job and see job postings from them which I don't get. Over 600 people were laid off and your posting jobs???? Doesn't make any sense to me. If you are looking for a job especially in the oil and gas industry I would stay away, at least until the restructuring has ended."
good,"nice, convenient restaurant, individual offices for privacy. It is very fast paced and you are held accountable for your own work so must have self discipline and time management skills.  overall fun place to work"
good,"Fun job during the earlier years.  Later no matter how long you had been there, you were just another employee.  No one cares how much you have given the company in the end."
good,"Good company previously employee oriented now more concerned with board and stockholders. Great people within the company. multiple changes. offer a good benefits package, pay not consistent with other organizations of same type and career path."
good,"Grew to fast. Lack of coherence. Not enough qualified mentors, too many talented young people with not enough guidance. Re-invent the wheel mentality and lack of cross functional groups. Silo builders."
good,Great place to work with great benefits and great people. I enjoyed my time there and would recommend this company
good,Well it has been a good place to work and it offers a lot of great benifits as well as career growth.
good,"Busy on computer all day updating spread sheets, graphs, etc; but with flexible start times, lunches, etc. Availability to learn different types of programs that the company uses, to your benefit. Culture of people is very diversified.  Hardest part is learning on your own and not enough training or the training isn't given to everyone who needs it.  Most enjoyable is being able to go out and play sports, work out, swim or just take a stroll around the field track on the work grounds."
