rating,review
bad,Owners were racist. I didn't like working there. They didn't train me very well and treated me poorly. I am a hard worker but didn't feel like I was appreciated.
bad,"Cooking, cleaning, taking care of customers. Restocking, refill for next shift all for $7.25 an hour. Pay really needs to be upped. Training didn’t really happen. They just put you out there."
bad,"Fantastic place to work full of life , the environment and safety culture was good . It only that African in any position are not too good , they use sentiment to do their recruitment which is not fair enough ."
bad,"I enjoyed working here everyday, I enjoyed talking to customers and getting to know them. Everyday wasn’t the same that’s what I liked about that job, we always challenged ourselves as employees to do the best."
bad,gave me a 17 hours shift and when I say I can't they say if u can't then quit and of course none of the at is on the pay check. They only give me legal hours on the lay check which is not true and there are no lunch breaks not even for a minute and no bathroom bathroom only for 1 minute for a 10 hour shift the worst gas station and wprst experience no gloves to change trash and worst tratment
bad,They have great opportunities and great pay just there’s certain people there that ruin the job for everyone and just make you not want to show up. Thank you.
bad,"If you want to be bullied, never have the same hours and quit/fired because this place is so horrible and breaks many California Labor laws once you actually work there, then this place is for you. Poor owners probably have no clue as to what goes on in there."
bad,too many things were wrong. one no safety measures with a gas spill. mice problem on my food the owner just laughed at me. needed time off for my sick dad first said yes than said no. I have pictures too prove all my claims. never got paid for vacation pay when they said it would be ok.
bad,"This company will work you to death. They pay the lowest they possibly can. Just a few days of paid vacation for full time employees. Zero benefits for those who work part time. If an employee gets injured or sick they will find whatever loop hole they need to fire that employee. They do not promote based on skill and education. Friends and families are promoted over those with skill and education. Because this company has nothing to offer, the employees it attracts are uneducated and undesirable to work with."
bad,Bad company overall to work for. They don’t care about they employees and treat us like nasty. The manager very rude and disrespectful. Yelling in front of customers and at customers.
bad,They pay was good and my co workers  were friendly  but managment  was horrible. They would leave you to do a double shift with out asking. And they had favorites.
bad,Constantly being micromanaged and the owner was constantly making you feel like were not fast enough. Having to work for your hourly wage. Always having you do a task and then 10 minutes later assign another one the gets angry cause you did complete the other 20 tasks that were assigned. Only allowed 2 minutes per customer
bad,Awful man to work for. No respect for his workers never gave acknowledgment of a job well done. Lied about future advancements threw things at workers
bad,They preach about how much they want you to move up but it's all a lie. Empty promises. They do not care about your well being.  They work you until you cant handle it anymore and eventually quit. The people they do move up are normally inadequate for the jobs standards. So many people are unfairly treated at this job I literally till this day still receive checks from lawsuit settlements of other employees being treated unfairly or illegally.illegally
bad,"Bad owner was no good with running store"
bad,"No direction, no expectations, poorly managed. Such a disappointment for a company with so much money. Supervisors don’t want to fix anything because it cuts into their bonuses."
bad,"Worked for chevron for 2 years and for those 2 years I was a field specialist in Odessa Tx. Oh, by the way, notice how I left each chevron with a small ""c"". No matter how hard I worked or what I did it didn't matter. My 2 bosses there at the time mocked me at looked down on me. I even was called an idiot in front of everyone by Lee after working tirelessly on like 30 wells that days and having my partner sleep in his truck. They then fired me on 3 reasons, 1: I did not know how a boiler operated or how to perform functions on it. That was a total lie. 2: I failed the retake exam I did. Another total lie. And 3: I did not know how to gauge a tank, probably the easiest thing to do on the job. Once again....another total lie about me. September 23, 2015 I was called by Lee to the chevron headquarters in Midland Tx and on that day they fired me. To this day the reason I think they let me go was due to some health issues I was having. My advice to all who is out there....do not work for this low life company! All they will do is invite you in and then leave you in the dust! Oh, I also moved 1800 miles away from my family and friends just to work for them and they fired me for those 3 reasons that they made up. DONT WORK FOR THEM!!!! I don't buy their gas, grease, and I certainly don't buy their oil! I tell everyone your better off putting water in your car or truck then that gas and oil from chevron."
bad,I worked here for 2 days and then found another job. I was hired for register and later found out that I was a full time custodian while co workers we're inside doing register. I cleaned and cleaned for 8 hours straight till it felt like my legs were gonna fall off! Idk if the chick training me was doing it on purpose but it definitely felt like she was. So be aware when they say your hired for register!
bad,customers very rude. management sucks and manager is very disrespectful. no overtime no holidays off no shift rotations and very rude employees. employees are always high at work. not a place to work at unless you like getting treated like trash
bad,They suck. They really really just suck. They accuse every black person of stealing and they watch them like a hawk when they come into the store. Racist and rude. I am disgusted to have seen such horrid slander on one race. They are disgusting too.
bad,Manager doesn't take time to listen to the employee always changing the schedule on us without asking if we had important things to do sliding around corner trying to hear what we're talking about.giving the employee pay role deduction for the manager mistakes and stays in the office all on the phone when the manager should be helping her employee.
bad,Horrible at taking care of their workers. Always have horrible shifts to offer. I would never work for this company again. The benefits are not good either.
bad,Chevron used to be a great place to work for and probably still would be if the owner of the company changed completely who he is.. they do not offer any paid time off you work every day of the year the store never closes no paid holidays and no paid vacations
bad,"On a typical day I would clock in and get my paperwork ready, you count the cigarettes, cash register, lotto etc. you'll be counting that at your end of shift as well, after that you can start assisting customers (first priority) then when things get slow you start cleaning, organizing and stocking making coffee. you only get a 30 min lunch. every shift is a little bit different as is every gas station."
bad,"For a person that will like to learn that field in customer service and cash handling is good but not to stay for long time."
bad,"This location was horrible,  mainly stemming from management. Lazy workers, no equipment maintenance up keep with cheap owners. So if you have job ethic or work hard you  shouldnt work here."
bad,"low pay, treated not the best, short staffed, expect you not to have a life outside of this job. No sense of benefit to what you’re doing. Unorganized"
bad,Management was the biggest problem as well as organization. They really didn't care about the employees. When a employee tried to call out because they had a burning fever they were forced to come to work or lose their job.
bad,The company had switched owners during the time of my employment and the new owners  did not meet the prior goals of the company in any way. I was very disappointed in the way they treated their employees also.
bad,"Everything is about average or below average about this company. Average salary and benefits, no flexible hours by any means. no opportunity to work remotely. Minimum annual raise. The only thing they are excellent at is advertising themselves."
bad,the company is terrible does not care about workers and does not take in account the people that come in and destroy the store or the bathrooms and the employees are expected to put on a smile and be nice no matter what it is not right what so ever if a customer is acting a fool and rude they should be treated accordingly
bad,"Bad management , forced everyone to be on call if u dont come in they write u up . Slave drivers . They dont care about family life ..........................................................................................."
bad,They will only hire family members or close friends who need a job. They'll hire a random person and have them work 3-5 hours maybe. They will send them home and call the new employee and tell them they don't need you any more and they found someone else to hire. It happened to me at the chevron in kelso on allen street. It was a full time passion and played me pretty much.
bad,Unless you intend on becoming a franchise operator with a large amount of cash to invest then this is only a basic minimum wage type job. I was going for a franchise operator and trained in a special program but due to sudden and drastic corporate restructuring at the time it became unfeasible for me to continue to do so.
bad,This place started out ok. But with managment it was hard to be yourself. They don't care about their employees like they should. They always place rediculouse expectations on the employees but then they show the total opisit.
bad,"Working there was a joke, They expected alot from you for very little pay, when i was hired he said in 90 days i would recieve a raise never gave me one"
bad,"I don't like working here because our manager doesnt know what he is doing, doesnt listen to any of us and doesnt care about our safety. I am looking for another job solely because of him."
bad,Management was terrible. Would not recommend working there. no chance for advancement. hours were inconsistent. was always treated with a lack of respect. would work two graveyards then be expected to work the following days at different times.
bad,10.50 an hour. Management was rude and unprofessional. I was only payed for 8 hours a day but worked 8.25 without breaks. This was a franchise not a corporate store.
bad,I honestly wouldn’t even buy my gas there. The employees are rude to the customers at every location I’ve been too. They always look like they are high on something ( meth probably )
bad,"Unprofessional management , toxic work environment , no breaks even though the law requires them , the only way you'll get a break is if you are a smoker and have to have a smoke break . Managers dont help, and any issues you have will never be kept confidential ."
bad,No room to advance. Managers don't care about days you need off even when discussing request  1 week in advance. The job wouldn't be so bad if the management staff was a bit more proactive and attentive to their surroundings and attempted to acknowledge good work when its being done.The atmosphere is fear driven unless you are friendly with the right people(i.e. manager) Management turnover rate is horrible.
bad,"Very poor management and employees. sometimes my hours would drop so low it made it hard to even get a pay check. Drama filled work place, rude customers."
bad,It was the worst job I have ever had to date. there is literally nothing left i have to say good or otherwise because its not worth hearing about trust me
bad,No room to advance. Do not care about days you need off. Schedule is based off of a lazy manager that does not look at days off requested. No set schedule.
bad,The job at Chevron wouln't be so bad if the management staff was a bit more proactive and attentive to their surroundings and attempted to acknowledge good work when its being done.  The atmosphere is fear driven unless you are friendly with the right people (i.e. manager).
bad,This company doesn't care if you get hurt on the job I called out and had to go to the ER and the manager asked if I was still going to make it for my shift.
bad,Working for Chevron was too regimented and boring.  Everyday was the same grind.  I would not recommend this job if you are a creative type of person.  The office politics here are unpleasant.
bad,"The chevron I work at was Private own no benefits also with  no vacation pay and ,  no longer worth the stressful environment. The way the economy is no one who is a decent worker is willing to stay in the environment this job provides for the pay."
bad,"Fired without warming while on suspension for missing 1 day of work. Bad hours, Management favors people. No control of employees, People would leave whenever they got a chance because the manager had favored them."
bad,"The benefits would seem okay with vacation pay and 75% tuition reimbursement, but the benefits are no longer worth the stressful environment. The way the economy is no one who is a decent worker is willing to stay in the environment this job provides for the pay."
