rating,review
good,"I started this job with no experience in the food industry, two years later I advanced from a crew member, to a takeout specialist, to now being a certified trainer. This has been nothing but a learning experience for me. I've how to teach and train others so that they're performing at their greatest potential. "
bad,Bad attitudes. Bully others. And have favorites. Theres no hours available for us already working there but will keep hiring more ppl. Never worked for a worse comp
bad,"however, the management there plays favorites with other works. I just felt at my location it was all about who liked who, and never about the job at chipotle."
bad,I did not enjoy working at Chipotle. Most of the management at my store was girls fresh out of high school. Too much responsibility for not enough pay
bad,"They need better management and better employees. I was disappointed on how they put all the work on me, and wouldn’t have somebody help me out on prepping and on dishes. I was working harder than what I was getting paid and the managers are no help at all."
bad,The managers are awful and do not care about you. They insult you instead of teaching you. If you don’t know how to do something they just cut your hours.
bad,Mal distribución del trabajo favoritismos de Manejadores en cuestión de horas.
bad,Don't work here if you want to have fun while working. Corporate doesn't care about you or anyone but the almighty dollar. They don't care if you are feeling like garbage and they are understaffed half of the time and the other half they are staffed with incompetent people.
bad,"Coworkers were mean "
bad,"Chipotle is one my favorite restaurants to eat at. So I thought it would be cool to work there . But I was completely wrong , for my training I just watch a couple videos but after two days I was thrown on the line and then move to cashier. It wasn’t too bad before we had our bogo it was a disaster, I was on the line all day without no break, or lunch break.  The mangers showed favoritism at work. It just honestly not worth your mental health."
bad,"The chipotle on Lexington Springmill is terrible, I do not recommend working there. The employees are rude and disrespectful. The managers are lazy and do not have the maturity to run the store"
bad,Worst place I ever worked in all my 49 yrs   The only thing nice was the employee meal  their culture does not promote a sustainable business model and has only gotten worse with Steve Ells being made to step down  no future growth as the hours are extremely long since you will cover any employee who claims they are sick and threw up as that is their policy  so many better jobs out there
bad,The hardest part is you get to do everything once you learn everything. The management is messed up. Don't follow laws' on scheduling and at the same time... they do favoritism.
bad,"So this place is toxic terrible training management hours and benefits. They backbite managers are lazy the trainings a joke and the management dont even get me started. Wow you get 3 paid days off a year and free food. Watch out though they cut your hours and automatically enroll you in medical, This place went from 15 workers to 30 because the district manager whos there 2 times a month would rather hire new people at 3dollars more an hour  than invest in current employees. The gm lacks discipline character and looks out only for himself and management"
bad,"Had to give e a starbut if I could would give them zero stars. I started at Chipotle in January 2019.  At first it was good, but when the Assistant Manager transfered the store went down extremely fast.  The so called manager does not have a backbone, doesn't know how to run a fast food restaurant. He makes others do his manager job.  Then an aprintence came to the store, even a bigger loser then the manager."
bad,"this job was horrible. It was my first real job and I swear it gave me new job anxiety. They treated me very poorly. Management was cliquey, they talk down to their workers, change clock in time and end (even if you come in early or leave late), they expect you to do more then you applied for, pay not worth the emotional abuse, they start drama among eachother for no reason. THIS WAS THE WORST JOB EVERY I DO NOT RECOMMEND ANYBODY TO WORK THERE!!!"
bad,Little pay for so much work. Management sucks and usually end up picking up everyone else paces cause everyone calls out. the good thing about this job though is the free food
bad,"Horrible job horrible Field Leader Horrible employees Worst customer service I've experienced in my years of working Never Had full menu always running out of things customer complain they didn't care closing store for hours on hours, the staff didn't was hands serving nasty lettuce guac was old chicken was old, ran out of meat every night, lazy service managers thasaid their job was to sit"
bad,"worst location ever, meanest managers all except one & she ended up leaving! the managers are old and bitter, angry that young people are in college & doing better. overall rude!"
good,"I started this job with no experience in the food industry, two years later I advanced from a crew member, to a takeout specialist, to now being a certified trainer. This has been nothing but a learning experience for me. I've how to teach and train others so that they're performing at their greatest potential. "
bad,Not the best experience. Ok. But wasn't comfortable working with the company. The pay rate wasnt the best 11 an hour. And not much of a flexible schedule
bad,Trash company to work for and I would recommend everyone no longer eat there for the remainder of the Chipotles existence in mainstream fast food industry
bad,This company plays favorites to yes people!! The management absolutely sucks!! If you are a lesbian as the general manager is you are fine!! If you are normal you do not belong!!
bad,At chipotle if your not Spanish speaking you will never move up. Almost all the managers for the company are Spanish. It’s very unprofessional. The work is mostly easy and you get free food
bad,I didn’t like how chipotle was ran very unorganized and unprofessional. Didn’t feel welcomed so much drama before I got there. They didn’t put work first
bad,Chipotle is probably the worst place I have worked at in all my experience for working with people and providing customer service. The management sucks and everything about that place is toxic.
bad,"Hostile work environment. Manager was unprofessional, wasn't trained properly. Work schedule always changing when it was supposed to be a set schedule. no benefits"
bad,"THEY DONT CARE ABOUT EMPLOYEES..."
