rating,review
bad,Long hours with little training for new hires.  One of the hardest parts of the job is trying to find the correct contact for information needed to complete your work.  
bad,"It's not the work but lack of training, you are expected to work as a if you are seasoned employee who has been there 20+ years without being provided with training. The gossip, the drama and fights are worse then being in elementary school. Small staff of 16- 20 at most. Extremely hard to take aday off even on your day off unless you are one that is part of the ""click"". Don't pre- announce anything if you want it to actually happen like a day off. HR is Florida 😂 No lunch breaks, eat at your desk"
bad,no room for advancement and only Hispanic males are in charge.  This company has no incentive to make you feel valued as and employee.  This is not a good company for upward growth.
bad,Company doesn't respect family the needs that come with it.
bad,"Chiquita is one of the world's leaders in commodity fruits and vegetables. Perishable foods commodity companies operate on extremely thin margins and a very fast paced business culture. Employees had to be nimble and work around change as it occurred on a daily basis. The company was rich with intelligent employees who supported each other, but manage struggled with transitioning the company from a once value added product to a commodity as consumer penetration became high and private label changed the segment. As the company has consolidated their corporate head quarters and transitioned to a new business model, they are positioned to regain significant market share, rebuild corporate culture and succeed in future endeavors."
bad,Excellent exposure to different cultures and business environments.  Deep analysis of production and complex logistics costs.  Very competitive market place.
good,"Very miserable place to work"
good,"Company was struggling but the IA team was not focused on improving operations"
good,"lots of changes at chiquita, not many people left since I worked there several years ago. I hear the owners don't think much of the employees and it's a distrustful environment"
good,Chiquita was purchased by a private company. I only worked for that company for a few months during the transition period before the company moved to Florida.
good,I love working for this company and if this co was not relocating I still would be here.
good,"The environment is fast paced, and the hours are long. Compensation and benefits are good. It is beneficial to be able to speak Spanish while working at this facility."
good,"Bought out and relocated corporate.  Otherwise a great place to work until that time.  See resume for all job function that were all highly enjoyed.  Writing, Documentation Development, Food Safety, QA and Custoemr/Vendor interactions were all exceptional portions of my job."
good,"I had a great personal experience which I would almost entirely attribute to my manager.  He treated everyone fairly, valuing the contribution each made to the department, regardless of level.  He encouraged people to stretch out of their comfort zones and made opportunities available to take on new challenges. "
good,Poor Business Deals which lead to closures but good place to work.  
good,Challenging and engaging atmosphere.  Opportunity to learn about consumer goods industry working at an international company.
good,"Great people, great brand, great products"
good,Great place to work. Great brand. Lots of opportunities to work with upper management which allow you to gain exposure.
good,"Chiquita is a very diverse company. "
good,"Enjoyable place to work. Company to relocate to Charlotte, NC this year."
good,Enjoyable work environment - promotes welliness within the workforce and individual employee.
good,The Most Enjoyable part of my job was to get to know different cultures from different countries in one single spot.  Good opportunities to flight overseas.  Good Standard practices.
good,I was hired directly from a contractor's position by Chiquita Brands International. The company was supportive of their employees and prouded themselves on provided a healthy work place for their employees.
good,"Great management, Great people, Great Bananas!  The people here are willing to help train, motivate, and finish tasks!"
good,Decision to relocate the company in different state. Migrating to different system. It was a nice environment to work with special with my coworkers.
good,"Interning here was a great experience. The culture at Chiquita is outstanding. We all get along and everyone seems to move in unison. Although tax season and end of months can be pretty busy, everyone seems calm and relaxed during these times."
good,I really enjoyed my time recruiting for Chiquita Brands International.
good,Loved working for Chiquita in the Marketing and Project Management business unit. Sad to see the corporate office move to North Carolina after spending many years in Downtown Cincinnati.
good,"Primera experiencia laboral, muy demandante pero bien interesante."
good,"Chiquita Brands International in Cincinnati OH was a great place to work.  There was a strong team culture in the ""C"" suite.  Initial owners of the company were local and they cared about employees."
good,"Un milieu accueillant, riche en différentes cultures"
good,"The best part of the job was the employees. There was real team work and shared work loads across everyone. It was rarely dumped onto one persons plate. Great planning and execution by IT Managers. No complaints otherwise, other than them getting bought and moving the headquarters."
good,Fun workplace learned alot co workers were awesome great job peaceful enviorment easy work no straining and i loved smelling like bananas when i left would work there again
good,"Checking Growing. Harvesting Later. Packing, therafter. Office at the end. "
good,"Working for a small broker shop was a great way to learn about the mortgage business. High energy, fast paced and quick on your feet, were the main characteristics."
good,To bad the company is moving. I would have really like to stay for a long time. great place and people to work with. Also a great location  other than the parking.
good,"Great place to work for I really enjoyed the people and role I played within the organization. I would like to continue working for this company however my position is being relocated out of Charlotte, NC."
good,"4 to 3, learned to operate machine and many of the responsibilities that comes with it, the management is great, co-wokers fun to work with, the hardest part of the job was getting use to the cold but I did, the most enjoyable part is to work and operate the machines"
good,"Excellent place to work, great enviroment lots of opportunities to grow."
