rating,review
bad,"Awful management. Terrible management, horrible management, no structure, no one really knows what’s going on. Did I mention terrible leadership  after the merge company went down hill employees paid poorly."
bad,"los empleados externos no son valorados solo son un número más y un robot que hay que exprimir para sacar toda la ventaja posible, hacen promesas falsas con tal de retener al empleado... no importa que éstos son personas humanas y tienen vida afuera,  los jefes son prepotentes y ponen encima los intereses (no saben decir NO)  Y aun en temas que están fuera de un alcance del área sacrificando los tiempos ya programados y las tareas asignadas,  y muchas veces sacrifican los tiempos del empleado, ocasionando que este trabaje fuera de horario y gratis...  Los lideres en el área de IT Soporte de Aplicaciones Mexico / LATAM   no son los adecuados, hasta que cambien de mentalidad, seguirán teniendo una elevada rotación de empleados externos, como hasta hoy..."
bad,"Chubb was bought out a few years ago from  ACE insurance, since then the company went down.  It became a stressful environment and high turnover rate."
bad,"terrible place now.  "
bad,"unsozialer und ungerechtfertigter Druck gegenüber Mitarbeitern, Inkompetenz der Führungskräfte teilweise"
bad,Joining the company on the first day was a sad moment as i was left out to do things independently and without any guides or help from fellow peers or management. We were only told to do and we must do it no matter what situation we are facing even if safety is compromise.
bad,"I took voluntary redundancy as I was desperate to leave after nearly 10 years of working there. "
bad,"Prior to the M&A by Ace, Chubb was a great place to work.  It wasn't perfect but people had an opportunity to grow and thrive.  The toughest part of joining Chubb was getting into the culture and becoming part of the family.  There was a family, outsiders just needed to grow into it.   "
bad,Awful place to work as a developer after the merger with Ace Insurance.   They replaced too many experienced staff with temp consultants so all the subject matter expertise is missing creating a huge roadblock to getting anything done.
bad,This company no longer exists. It was purchased by another insurance company.  The culture changed the last few years of my employment at Chubb and it just didn't have the quality workmanship for which it was known.
bad,"I worked for Chubb Agribusiness and I have to say it was the worst experience I have ever had. I was the first associate they hired through a company wide program and boy they were unprepared. There was no instruction given at all and most of my days were filled reading books instead of on the job learning. There were some days I had no instruction despite asking multiple times."
bad,Unorthodox.  Innapropriate.  Mismanaged.  Just an all around horrible place to work.  The worst job (Underwriting Associate) I have ever had in my life.
bad,"Very low. "
