rating,review
bad,"I wasn't given the chance to take any training. Despite this, the management expected me to deliver since day two."
bad,"This company is full of millennial's that swear that they are entitled to what ever. And don't let me get started on the Executive Assistants there. They are indeed a couple that are the nicest. But the majority of them, swear they are the VPs of the company. Really? These are only secretaries with a higher position and they enjoy throwing their weight around. Karma is something and when they get their walking papers, they'll see... They have this application which is horrible, Go To Meeting and Go to Webinar. Their network just sucks and this past March, they had a security breach which affected the company and many others world wide. Every year they go through this lay-off off process which puts a majority of the  folks in a stressful situation. Oh and btw, if you don't belong to a clique' in this office (Ft, Lauderdale), you're basically in outsider. I used to dread going to work there because of the atmosphere that it transpired. I will never ever see Citrix the same again. For me, its not a place that you can grow or better yet be a part of. If I hear anyone wanting to wok for this mediocre company, I will make it my point to talk them out of it! That's my story and I'm sticking to it!!!"
bad,"The whole structure of outbound calling, setting appointments up with the customer and then hoping the person that is doing the demo actually closes was not a good practice ever. If the Demo person was not  your friend, then they will put your appointment on the low end of the list and you miss out on sales. That is not good considering it is a commission base job."
bad,Not a good place to work. Environment very stressful. Managers always want more do not care about the worker. They only care about numbers and reports
bad,Citrix Systems lost there way. Management team is unsupportive. Contractors are not converted in a timely manner after doing the job function that is needed. Hoping that Citrix Systems will get back on track.
bad,The manager here talked to you as if you were not any one and he does not respect his workers. Not a good environment for some one to work in.
bad,"Citrix India - Bangalore customer service dept is the worst place to work at."
bad,I regret why did i wasted my valuable time in this org. You will be watched on what time you come in and you go out . It is like a manufacturing factory not a high tech company
bad,"Management is terrible and the employee surveys reflected such.  The culture is set up so that you can't implement change. No real rhyme or reason for promotions, they're given based on likability."
bad,"It was not by no means a facility maintenance tech job. More of a manual labor moving office equipment of sorts, furniture etc. from place to place. Barely using any tools for the job. Not looked upon well by office personnel throughout complex."
bad,"End of quarters were miserable.  They made you work very long hours, until midnight on the last day and 10-11 pm on other days leading up to it.  Including New Years Eve, they made us work until midnight.  No one was happy to be there.  The last two weeks of December were working late every night.  They didn't pay over time if there were holidays during the week, was regular hours."
bad,"Citrix gets a lot of praise for their culture and environment, but I found none of it to be true.  I saw immature sales management gossip about reps and promote them based on who they liked and who tried harder to be promoted rather than who had the skill to do the job.  I saw VP-level sales management threaten to ruin careers.  I saw Director-level sales management date the marketing team and have inappropriate friendships with the college hires.  I saw management try to make people work free overtime ""if they wanted to be promoted.""  Everything was watched and counted - including the number of times you got up from your desk to get a soda - and used against you in staffing reviews."
bad,"Scary. Stressful. Nightmare. No Security. Low Morale. Sad Employees. No Employee Engagement. No Direction. The culture used to be great, but not so much in the last 4 years. It's been a very stressful place to work. No job security. Only the top executives and their, wives, and friends can sleep at night with no worry of losing their job."
bad,Citrix has a few pros and cons like every place one works for. I would say overall Citrix is going through a transition phase. I really wish it comes out this phase a winner.
bad,"If you like being stabbed in the back by upper management. It doesnt matter what department you are in, they are all just as bad as the other. So keep that in mind."
bad,"How motivating is this? ""I suggest you pack your stuff as I might fire you today"" which I endured over and over day after day. All this manager cared about was his wallet and how he could squeeze you to make his wallet fatter."
bad,"Every 4 years or so, Citrix likes to slash a decent-sized amount from its workforce. The latest was in March 2014 when they deleted most of their senior management, especially in marketing. Apparently neither skills nor time invested in the company would save your job. In fact, the older you were, the more likely you were to face the hatchet. Ouch!"
bad,The company gets into its own way.  Great products but horrible company management.  They have been through several CEO's in the last few years.  Annual lay-offs are how they manage profitability.  People leadership is poor and so is morale.  Diversity employees quickly exit
bad,Lots of turnover in senior management. Slow to promote and put resources compare to competitors. Worst company I've been part of thus far in my life.
bad,Be likeable and give the managers the platform to continuously speak of themselves in your presence and you will be there for a very long time.  Its a favoritism game there
bad,"Lots of late hours and weekends during non close time frames.  The company promotes ""work from anywhere"" but employees have to be in the office to work late hours and weekends.  There is a feel that the hours are expected and we should be on call on weekends."
bad,I begin working with Citrix and it was an amazing experience in the beginning. As time passed it was obvious they were positioning themselves for a buy out. Perks were being cut and managers were leaving without being replaced. I would go in more detail but I think everyone reads the news and knows how this all went down.
bad,Hi Paced with a lot of requirements. People and team are great members are great to work with! IT department folks are great :) .
bad,"Citrix Systems does offer the ability to work from anywhere and does provide the ability to work with data center class technologies.  However, the CSM(client services managers) are overzealous during recruitment and are less than honest about work expectations."
bad,"Stressful workplace. Difficult for work and life balance."
bad,"It is a great place to work at. I learnt alott during my work at Citrix. I was give a chance to work on all the latest technologies like Azure, C# and automation."
bad,"Not a good company"
bad,"Still being run by majority of men, who have yet to see the value of a diversified team running their sales divisions. Management could use some cleaning out- some major liabilities still on the team."
bad,Citrix is being broken up and sold and everyone is in fear of their jobs.  It is a very tough time for a place that was great to work.
bad,"No thanks.  I don't have anything positive to say about working for Citrix.  Most aren't happy here and I was no exception.  They will pitch a work life balance, but you won't have one here, at least in sales.  You will get paid well, but you will work long hours and you will hate your manager."
bad,"Worked there 3 years and went through 4 rounds of layoffs. Ongoing rumors the company is being positioned for M&A. Used to be a great company to work for, but has steadily declined with changes to Executive Board, and focus on profitability. Overall moral is very low. Due to poor management and (seemingly deliberate) misinformation, Executive Management has lost the confidence of the rank and file."
bad,The company is going through a lot of change with the slip of the Mobility Apps services. Revenue expectations are such that most of the sales teams struggle to hit quota let alone exceed the.
bad,"It used to be a very different place to work but..."
bad,Citrix has been through so many re-orgs and process and product changes that the products have become unstable as a result
bad,"Citrix used to be a great company to work for years ago. Terrible management, politics, cut throat, and human resources is a nightmare. If you're lucky to be a 'chosen one"" there, count your blessings, but even then your job is never safe. Company has no loyalty to its employees."
bad,"Citrix has been taken over by accountants and has been trimmed down in an attempt to prepare for sale.  "
bad,"Fun and energetic place to work if your looking for a sales position.  Corporate headquarters is mainly an older campus. I'm not sure how they plan to attract young talent in this area.  Office design is very dated.  No clear vision for the company and the uncertainty trickles down to all levels of employees. Red tape across the departments makes day-to-day activities challenging."
bad,Good place to learn about new technologies and state of the art software solutions for new IT world. It is also losing its sheen as the management in India is not very supportive
bad,"Flexible"
good,"No direction, lack of management, rolling layofffs."
good,"Regional Sales Manager"
good,"Citrix Online was a great place to work in the beginning, but my schedule began to adversely effect my health. My schedule was 5am to 2pm and I was told it would be temporary until new techs were hired, but new techs kept being hired and the would not let me change my schedule even though I had been diagnosed ulcers. I begged my manager every week for months, and the sicker I became the more my performance and attendance suffered."
good,It is hard to move up in this company. They tend to promote their friends and work others to death. They really don't care about their employees.
