rating,review
bad,No work home balance they expect you to live at your job no sense of communication the general manager will cuss you like a dog and steals from the company it's a horrible  place to work would not recomend it to any one they dont care about you
bad,The worst company to work for ever senior management is a joke especially the vp of the company this is just in the Baltimore area the vp for that region is definitely the biggest joke that company has he sucks up to the senior vp so bad you don’t know where he stops and she begins
bad,Work Load is Ok. But the Compony is Cheap! I wish that the CEO notice that Because the cost of living and Way of living are different now.. not Like before
bad,My thoughts about clean are split. I worked with some great hourly guys who are unappreciated by management and are constantly mistreated in everything from wages to workplace safety. With a knowledge management structure that had care and concern for there employees this would be a good job.
bad,When we were hired we were told there was a lot of work coming up and we will be trained and signed off on vehicles within a month or so of being hired it is now it's January and its really slow we are not signed off on vehicles thinking that they would give the time now since it is so this is all Sun Trine sign everything but that hasn't happened at the office is very disorganized and never know what's going on you're always firing and hiring people also It's January and it's really slow we are not signed off on vehicles thinking that they would give the time now since it is slow to sign soft and train us on everything but that hasn't happened at the office is very disorganized they never know what's going on you're always firing and hiring people also with us not having work it dries it in a room and stare at each other and then management walks through and sees us all there and is aggravated at where sitting there even though it's there fault that they hard so many of us trained us and do not have work for us and they're looking to hire 30 more people in less than a month there philosophy is higher 30 or 40 people just to get for 5 out of that patch not a good business model at
bad,The people that work there wasn't supportive they lie on you they stopped one guy from getting a promotion with their lies the Romanians they want to rule everything they cheat on their hours they want you to do all the dirty work while they sit in the truck and smoke cigarettes
bad,"Horrible people, pis poor management, employees have no respect for the supervisors because there is no discipline for drug use or other infractions.."
bad,Treat their employees terribly.  Overworked and underpaid for the industry.  Management only concerned about getting their bonuses.  Management constantly lies to employees.
bad,It was a potential opportunity that lead to nowhere. You are literally just a number and with 0 support. There is never a way for you to be able to contact management when you need them and your literally left on your own demise. P&V sector has no growth and you will always remain in the same position.
bad,Do as your told no matter why. All they want are lap dogs and yes men. Management only care about their bonuses horrible place. If you raise any concerns you are shown a stack of resumes and told you are easily replaced. Hr only looks after management not the workers wh work hard to make their pay cheques.
bad,"If I could leave 0 stars I would.  In fact, if there were red flags I would leave ten or more.  I want to warn you about this place.  These people are the worst bunch of backstabbers I've ever met and I've worked in some bad places.  "
