rating,review
bad,Good workers aren't appreciated and they allow other workers to get drunk and do drugs on their breaks... Worst job ever!!! They show favoritism and the pay is horrible and they don't allow you to move up!!!
bad,Horrible ghetto underpaid place to work. I do not recommend this place to anyone. There is no room for growth and u have to sign in and out just to use the restroom
bad,Worst place to work for .... lowest paying warehouse job in Illinois as far as general labor goes .... dont look to make anything unless you can drive a forklift. Managers very disrespectful and unprofessional.
bad,Overall R&D is very cliquish and promote like minded people; management afraid to have an opinion; the directors and vps lack trust and throw blame on their subordinates.
bad,"NOT ENOUGH MONEY, don't pay enough, not enough team leadership , they need to up their pay rate , they don't pay enough but want you to bust your behind"
bad,I’ve been here 24 years.  Haven’t had a raise in 17 years!! Management at the Aberdeen plant paints a pretty picture but that’s just get you in the door so they can really stick it to you!! Don’t waist your time!!!
bad,"I've been working in factories for 20 years. When I say this is the worst place I've ever bern in that's bad. This is a multi-million dollar company who does not value their employees. They want you to work an 8 hour day in a fast paced hot warehouse with one 30 min break. Now manual labor is manual labor, they want you to value working there, yet they don't even value you or the time you put in. When I say that I mean, my time and my labor that I'm giving you is worth more than 9.00 an hour. If you want your employees to stay. Then start valuing the time and effort they give you. I'm not gonna work all day long as fast as I can work, believe me I'm fast, for you to pay me a lousy 54.00 at the end of the day that's what you make each day before taxes. This place is literally a sweat shop. I don't even want to give them 2.00 for a gallon of bleach anymore."
bad,"they gave us a raise and took it back down, unacceptable! you don't change the pay rate to go down only up! I do not recommend, and I would not go back. 4 years never one raise or benefit!"
bad,This is a good ole boy environment it really depends on who you know and how long they have been working there. No support very cut throat job. No perks and lots of overtime.
bad,There's a lot of favoritism.  Not given a chance to learn and grow. Come to work just to be sent home is very frustrating. I have a family to see about not working 2-3 days a week on so low pay you can't take care of yourself.
bad,"Absolute ghetto culture. From the permanent employees, including  management, to the temp. workers who do not undergo drug or criminal background checks, who live NOT to work."
bad,I disliked the lack of job advancement. Line leaders were poor communicators also. I didnt like the fact that we were given only one break. That was only for lunch. You were required to sign a sign out she to go to the restroom.
bad,"the company was not the best company at all in reality it was the worst company that i have worked for. pay rate was not acceptable, supervisors complained about bathroom breaks and lunch breaks"
bad,"on a typical day of work we would have to build several pallets "
bad,Very hot environment. Lots of heavy boxes .no air-conditioning. One half you break not a friendly environment the pay was too low on way to move up in company
bad,Worst job I ever had it was very bad pay we worked very hard for little pay it was like slave work very cold in the winter in the inside very bad supervisors
bad,"As a DSP, you encounter plenty of Negative Nancys and Debbie Downers which make it tough and busy on certain days. There are days you have to pick up their slack. Despite having conversations with this minority group, it's difficult to turn them into Positive Pattys. Accountability is the issue here and being too lenient with the individuals will only cause a ripple effect on the good staff. How can we avoid having t…"
bad,"mala remuneración, bajo nivel intelectual,no aprendí nada nuevo , no había reuniones como en molinos rio  de la plata,y nunca conocí a nadie de la dirección y la gerencia"
bad,"rude shift leaders, they talk to you any kind of way. I do not tolorate any kind of disrespect."
bad,At this company they were all about productivity to them you were just a worker without a future.
bad,"Unless you are family or are related to someone, there are no opportunities.  Some employees are required to work hard, while others stand around and talk."
bad,If it wasn't from all the back stabbing and the way you are treated by the Managment it would be a Good job. Upper Management from the Plant Manager who walks around and expects you to Bow down to him to the way he Bullies other Managers when they cower in fear for making him look like the Selfish Person he is. The work environment is Toxic.
bad,"I worked in IT, open office environment, loud and cold."
bad,During my time roughly 1/3 of my group left the company.  It is cut throat at review time as there is a forced fit to the curve.  Only a few at the top get decent raises.  My manager only looked out for their self.  There are better companies who offer more pay in the Bay Area.
bad,There is a lot of non communicated expectation and impossible to know what they expect. You find out about new projects from system and not manager. Most projects are 6 months late when assigned to you.
bad,"Line leaders take job too serious and management doesn't.leaders talk to you disrespectful and get you fired for no reason or explanation, especially that  racist white mf on 2nd shift and cj ugly  niece with the moustache .most places give you a grace period but be 1 minute late there and it's over.defenitely not a place to look for a career out of."
bad,Nothing good to say about this company. Your paid 8.00 a hour to slave for nothing then you only get 1 break. And that only 30 minut and thats in the morning
bad,The job is okay they just don't explain nothing to you they just basically put you to work without telling you anything in but it's a great place to work I guess
bad,"Terrible workplace,"
bad,Was it production lead ran the production line made sure the workers performed and did their job accordingly and troubleshooted any problems that we had
bad,Working hard place where you had to move at fast pace mangers were on you if not working multi-work not doing one thing having to get things out quickly
bad,salir a ruta con el vendedor. llevar el control de venta diaria.
bad,a day at work was pretty ok. work went smoothly as expected. i would definitely recommend others give Clorox a chance. there was experiences i never seen before working here.
bad,"good for a temporary job, working in a warehouse, dealing with boxes, packaging, wrapping in plastic wrap, lifting, carrying, tossing, continuous cycle"
bad,"They look down on the good workers and praise the lazy workers. They believe that whatever they wanted to do was ok, didn't really care too much about how the workers feel. Didn't appreciate the hard work and dedication I put in."
bad,Too much gossiping. Best option is to stay to yourself. Fast paced. Can get easily laid off due to attendance. Disorganized. Easy work. No smoking on premises. And make sure u bring your own lunch.
bad,"The Clorox Company. el trabajo consta con varios sectores los cuales aprendí y recorrí cuatro d ellos cada sector a su vez tiene sector individual de  area. Buen trato laboral. Lo mal retribuido es la falta de constancia laboral ya que no trabajamos mes completo aunque el contrato se realizo por 6 meses, paran los sectores semanalmente afectando directamente al empleado eventual .Lo que mas me gusto fue aprender trabajo manufacturing, y las capacitaciones dadas de control de calidad , seguridad y producción.  En tanto a la remuneración no es específica debido a los días no trabajados dictaminados por la empresa. Un mes se puede cobrar $1800 y otro $12000. Debido a la inestabilidad de la empresa y la falta de compromiso con los empleados.Trabajamos para la consultor Manpower quien tampoco se compromete en asegurar mes completo de trabajo"
bad,Lot of responsibilities but limited time.  Too many meetings.
bad,While I was a candidate at clorox warehouse I found myself unhappy. The work was stressful and very unorganized. The things I learned at clorox were how to unloaded and load off a conveyor belt. My co-workers was very nice and helpful and was easy to get alone with. The hardest part of the job was driving to work from a 10 mile drive and getting sent home daily because there wasn't any work for my station to do. The most enjoyable part of the job was learning how to load and unload off the conveyor belt at a certain time speed.
bad,long hrs.
bad,"Work life balance, really depends on your manager.  Not consistent throughout the department.  A lot of decisions are made by people who do not work directly with you.  Compensation is below average but decent."
