rating,review
bad,The coach and Chestnuthill has poor management needed the store manager or assistant manager has a real grasp  of how to manage a store. Associates and supervisor were nice and kept the work environment friendly. There was a lot of talk of moving a lot of people but instead they choose to out source the position and lie to the staff. They don’t pay well seasonal staff gets paid $13 . And associates $15
bad,"Orari folli. Notturni intensi e la giornata successiva sempre in turno."
bad,They don't pay their stock team what they should for the amount of work that we do. Lazy and rude managers and are very unprofessional. Understaff in the stock department but still blame the stock team for not completing everything.
bad,"Management completely not mature enough for their ""position""   Character assassination of other employees was significant.  It's amazing how they can lie through the corporate meetings and visits.  The  ""Coach"" retail world will or should wake up soon to the hypocrisy of it all."
bad,"A typical day at work is organizing purses all the time, and sales as many purses to people. Bad part about it is theirs no commission, and never really get a raise. A person can be working their for year or more and hardly get a raise. The job isn't hard, only gets hard on the holidays. The only thing good about it is they work with your schedule, its great for people who go to school."
bad,They don't take care of their products. They don't treat the customers fairly. Managers text on their phones at any giving time. No respect for authority.
bad,I have nothing positive to say other than I got discounts on bags sometimes. Manager was poor and schedule was poor. They make you type emails and answer phone calls at the same time & you get in trouble for not sending emails out fast enough. They should have a separate internet response team like most companies.
bad,"Poor management, that needs to be fired! "
bad,"Day to day work, conducting meetings, resolving user's issue. Participating in meetings for cross module to discuses issue related to other consultant. For example Stock Transport order."
bad,"The company likes to micromanage its employee, and provide them little incentives for their hard work. Plus, the quality in the products are bad."
bad,1st day used rf scanner that was junk never needed it after that. Set up to fail .Racism is a problem there. Machine problems count against your productivity waiting on maintenance to fix or adjust machinery searched by security every time you walk in and out of facilities.
bad,"It's very popular brand, but I didn't like that the fact they don't have much detail on their products but logo. Nothing to talk about their products besides its price and the functionality."
bad,"Working at Coach has helped me determine that the world is NEVER black and white; only gray. That about sums things up, for me."
bad,Do not recommend if you want a life outside of work.
bad,"It was actually great when I first started! But when management changed that’s when Things got worse our sale and ratings went down, more Thefts! Turning people against each other. It felt like high school all over again with all the gossip and management sleeping with employees taking drugs on the clock and drinking in the building."
bad,Typical day consists of reaching your sales goal.I learned its best to work here if you're Chinese (managers treat them like god) . Managers sit in office and talk bad about everyone. They talk about their personal life. One of the managers bought their daughter to work on black Friday weekend as a volunteer for free lunch and dinner. Treat you like you're disposable. Employee discount has so many specifications. Don't waste your talent at this location specifically.
bad,"Would not recommend this sales job to anyone I cared about.  Was promised extra opportunity for bonuses, which we were never compensated for.  The environment was stressful and poorly organized.   Hours were all over the place  and you’re told you’ll work one weekend a month, but count on 3."
bad,I have never hated a job more than currently working for Coach. You work your employees to the bone and continue to ask for more even when they are already giving you over 100%. There are no clear training guidelines so everyone gets trained differently on the same thing.
bad,"The workplace culture here is very toxic and dysfunctional.  Organization is going through multiple changes, people do not know nor understand their roles and processes.  Senior management cannot be trusted and this trickles down to the employees.  The culture is so hyper competitive that colleagues backstab each other rather than support and collaborate,"
bad,Employees work hard and are driven to work for you. external management (area manager) did not care to bond with staff to see their work ethic. they pay very poorly but pay their managers very well. often would work 16 hour days with unreasonable expectations
bad,Management is at the lowest level. Poor is an understatement.
bad,"Place where I work is negative. Manager leads the team by micromanaging and gossip. Even the managers below her don’t feel safe or supported to do their jobs. Pay is fine, hours are terrible and they constantly ask to go home early or not come in at all. They care about numbers only and the manager doesn’t treat anyone on staff like we are important. Upper management was even notified and has done nothing to improve. Discount isn’t worth it as you find you buy items as a customer instead of an employee."
