rating,review
good,"Amazing company, fun-filled workplace with courts for table tennis, cricket. Work-life balance is strikingly great!"
good,It has been great working with Cognizant. People are supportive and helpful. Made many friends and it has healthy working environment. Competitive though... You need to prove yourself to grow which enhances your skills.
good,"Great place to learn and grow in the highly customer focused company. Processes optimized to enable work to be done with least impediments. If you know how to move up the corporate ladder, it can be very rewarding."
good,"Cognizant is a good company with decent benefits, great learning opportunities and good job security. There are opportunities for global travel as there are job opportunities and projects throughout the world including (but not limited to) India, US, UK, Europe, Middle East, Australia etc.. They have a good immigration team as well."
good,"Client site: Ridgefield, CT"
good,"helps to find jobs , interns for people all around the world. easy to use and find employers. would like to suggest my friends also. thank you. keep helping people"
good,"Give good opportunity to learn .Good Management team. "
good,"it was a best experience to work in Cognizant."
good,"Very Good Learning Environment"
good,"typical at night shifts"
good,"Cognizant est une entreprise moteure, avec un esprit à la fois ""start-up"" et entrepreneurial. Sa forte croissance en est la preuve."
good,"good to work with cognizant"
good,All types of projects are there mostly production support projects. Mainly general shift projects but few have night shift as well.
good,"This Site is Very interactive and Easy to Apply for the Job."
good,"Good in Management"
good,Good place and surrounding to work. People have the willingness to grow in the organization and do everything possible to achieve it. The project they have are mostly on health care domain
good,"My day at Cognizant was 9 am -6 pm IST general shift work as Process & Quality -Sr.Consultant but as per workload , late hours needs to be spent on.  "
good,"Awesome and amazing experience. Friendly leads and Managers."
good,I learnt how to manage team and share the knowledge.learnt how to manage difficult situations during the deadlines and manage agile projects meeting
good,very good place to work and learn and get explored to new technologies/domains and get the skill updated as per the markets strategy/requirement.
good,"I had enjoyed working there in Cognizant. I made a move due to location constraint."
good,Cognizant is indeed a place to work . Work Culture over here is the most important thing that plays a key role in raising the Organization towards Zenith of Success. The Freedom to work but with a strong dedication is the secret for the well being.
good,"Since Cognizant was my first company, I learnt the basics here. I saw that they are very much result oriented and keeps you on your toes. They have a very good clientele base, and they serve them really very well. They have a talented pool of employees."
good,"The work culture is great, i got scope to learn many things. it is immense pleasure to work for cognizant where i got chance to use my skills and increase my knowledge"
good,It is a very good company to give exposure to projects on latest technology.Middle management has to be bit focused on individuals aspirations.
good,"Cognizant is very good to work with, "
good,"AutomationTester in Banking & Finance (Former Employee), Pune, "
good,Good Work/Life Balance. But the management is very poor. No good managing skills May initiate Green card in some cases. Very good job security
good,"The company encourages new ideas. But ideas should be accepted with wider vision and longer run in mind. As they are growing, the compensation is still not up to industry standards. Overall a very good job."
good,"I have learnt a lot in my company and there are supportive people in the organisation, so many opportunities are there for everyone."
good,"Good Place for your career development. technically and also employee friendly. "
good,"It is a very good experience working in Cognizant Technology Solutions."
good,"cognizant s a nice company to work with,people here are very approachable and also helps us in bringing out our talents."
good,"Great place to work, management is great. Enjoy resolving my customers issue tickets when received through email. Relaxing environment and great co-workers"
good,"Technical Skills:"
good,"Good Company"
good,"If you are okay with working some extended hours, you will be fine at Cognizant.  There are lots of opportunities to do work a level or two above, and you are rewarded for this."
good,"It was really fantastic journey in Cognizant & the team mates & the management was really helpful to me."
good,"Productive, Excellent and Feel-good working environment and culture. Excellent exposure in the technologies, which are of my technical expertise and interest. Meaningful and productive projects, very comfortable working environment and excellent team mates. The hardest part of the job was that the work there was bit hectic and often had to work overtime."
