rating,review
bad,"Started out fairly good place to work but that changed very quickly. Greenwood facility has a high turnover rate. Supposed to only work 8 HR shifts after plant start up. Yet they knew once they went to 12 hour shifts, there would be no going back to 8 hours. Flat lied to everyone! Then said "" 12 hours, like it, or leave!"" They have a handful of great people, but the bad far outweigh the good. That's from the top down to production associates. Without a 4 year college degree, there is no advancement. Highest you can go is from operations technican 1 to maintaince mechanic. No advancement. Do NOT recommend!"
bad,I experienced low wages and illegal workers in the workplace plus 7.25 per hour. Mangers treat you like your disposable. They rewarded good work by giving out pizza.
bad,"A typical working day is working with salesmen. which start at 7 am till 7 pm. I enjoyed earning money through work. Management is supportive. Work place culture is one of competition. The hardest part of the job is politics, The most enjoyable part of the job is meeting different people each day"
bad,los jefes son buenos jefes en cuan ala formación  laboral  le ayudan mucho a formar el ser humano
bad,The only benificial thing about that place was that you had a job and that was it and you were just another person to tell what to do in a rude manner which is not what you need
bad,I felt like I was being judge. Anytime I would make a small mistake. The world was gone end. I didn't like the job I don't want to go back.
bad,Morristown TN was already a bad place to stay in for a few months but working through a Temp Service was to inconvenient for ever trying to expand your career.
bad,it was a mess they weren't organized and the people there are very rude you wouldn't be able to get any work done there plus the work environment was very dirty
bad,They say take your time and do  your job right as the breath down your neck because production isn't high enough. They do not have a good safety culture and contradict themselves.
bad,"Em desenvolvimento de projeto, projeto de trabalho com pequeno varejo."
bad,"Ambiente pesado , péssimo , ma gestão de pessoas , a todo momento sofremos assédio moral , não recomendo"
bad,Not fair to qualified people for other jobs. Disrespect hard workers and make people take vac time when You not read to take them. Not fair with communication
bad,"I work in Information Technology at a Colgate Plant in Cambridge Ohio. The days are long and you are tied to your cell phone 24 x 7.  Unless you are in New Jersey your efforts are ignored and there is 0 room for advancement.  "
bad,"people can speak to you however they want in management and above. It’s all legal so don’t bother with the HR ethics route. Mean girl from Highschool is acceptable. You are an at will employee so race , age, sex, religion has to be part of the harassment. Bullying is totally ok !!!"
bad,"Management is out of touch with the demands and those delivering for the business are not supported with structure to empower the employees."
bad,"Dziadostwo dziękuję za poświęcony czas, ale nie ma problemu z tym ze nie ma problemu. Pozdrawiam. ......nie mam czasu."
bad,"People talk more than working.  Top management does not listen,  They like to run the show.   Very dictatorship style.  Lower level staff are not paid fairly.  Super high pressure on numbers."
bad,"o trabalho era bom um bom ambiente.aprandi muita coisa com se responsavel e trabalho com segurança."
bad,"Empresa péssima para se trabalhar, não valoriza o funcionário, sobrecarga de trabalho, restaurante ruim com comida nada balanceada, oportunidades de estágio sem nenhum plano de carreira"
bad,"We launched our difficult product's Tetley Tea Sku with Rs:10... That day, I performed beyond expectations in terms of sale call and made launching successful."
bad,era por temporada de lanzamiento de palmolibe asi que no pude comisionar y tampoco tener una estabilidad se exijia demasiado para el cargo mas no se pagaba lo correcto
bad,"Was sold a picture of how much better Colgate was than most companies, not true at all. poor management, no real chance of advancing in the company, poor equipment, Band-Aids put on equipment,always breaking down and nonchalant attitudes taken towards fixing"
